Q100,Q102,Q105,Q106,Q105_a,Q113,Q113_A,Q116,Q116_A,Q117,Q118,tHFA_A001,tHFA_A002, Facility_Score , HW_Competence_Score , Patient_Centeredness_Score , HTM-ANC , system_CHW_score , facility_composite , HTM-ANC , presence_score , caseload , ANC_score , DPT_score , TB_treatment_completion , ART_retention , CHW_count , CHW_paid , CLM_score , guideline_score , oxygen_score , vacancy_score , all_funded_posts , all_unfilled_posts 
MWI_000193,Chikwawa District Hospital,South West Zone,Chikwawa,SECONDARY,DISTRICT HOSPITAL,,LOCAL GOVERNMENT,,PERIURBAN,BOTH OUT AND INPATIENT,SECONDARY,628282, 56.65 , 39.43 , 73.86 , 50.00 , 43.75 , 68.33 , 50.00 , 40.00 , 20.00 , 100.00 ,, 100.00 , 100.00 , 4.00 , 25.00 , 100.00 , 100.00 , 100.00 , 52.66 , 169.00 , 80.00 
MWI_001282,Pirimiti Rural Hospital,South East Zone,Zomba,SECONDARY,HEALTH CENTRE,,MINISTRY OF HEALTH,,RURAL,BOTH OUT AND INPATIENT,SECONDARY,40137, 44.13 , 39.36 , 48.89 , 63.33 , 95.00 , 52.08 , 63.33 , 88.46 , 12.17 , -   , 96.44 ,,, 5.00 , 80.00 , 66.67 , 100.00 , 100.00 , 58.65 , 133.00 , 55.00 
MWI_000166,Chezi Mission Hospital,Central East Zone,Dowa,SECONDARY,HEALTH CENTRE,,CHRISTIAN HEALTH ASSOCIATION OF MALAWI (CHAM),,RURAL,BOTH OUT AND INPATIENT,PRIMARY,25177, 85.00 , 100.00 , 70.00 ,, 75.00 , 73.75 ,, 100.00 , 100.00 ,, 95.00 , -   ,, 5.00 , 100.00 , 100.00 , 100.00 , 100.00 , 82.14 , 56.00 , 10.00 
MWI_001312,Salima District Hospital,Central East Zone,Salima,SECONDARY,DISTRICT HOSPITAL,,MINISTRY OF HEALTH,,URBAN,BOTH OUT AND INPATIENT,SECONDARY,85112, 59.83 , 41.33 , 78.33 , 60.00 , 90.00 , 90.00 , 60.00 ,,, 100.00 ,, 100.00 , 100.00 , 5.00 , 100.00 , 83.33 , 100.00 , 100.00 ,, 999.00 , 999.00 
MWI_001109,Namadidi Health Centre,South East Zone,Zomba,PRIMARY,HEALTH CENTRE,,MINISTRY OF HEALTH,,RURAL,OUTPATIENT ONLY,PRIMARY,17100, 46.82 , 33.64 , 60.00 , 66.67 , 65.00 , 62.57 , 66.67 , 28.57 , 100.00 , -   , 92.76 , 100.00 , 50.00 , 5.00 , 80.00 , 100.00 , 100.00 ,, 100.00 , 35.00 , -   
MWI_001356,St Montfort Hospital,South West Zone,Chikwawa,SECONDARY,OTHER GENERAL HOSPITAL,,CHRISTIAN HEALTH ASSOCIATION OF MALAWI (CHAM),,PERIURBAN,BOTH OUT AND INPATIENT,SECONDARY,9, 60.44 , 72.67 , 48.21 , 66.67 , 70.00 , 56.67 , 66.67 ,,, 60.00 ,, -   , 100.00 , 5.00 , 100.00 , 50.00 , 100.00 , 100.00 , 66.33 , 196.00 , 66.00 
MWI_000240,Chinguluwe Health Centre,Central East Zone,Salima,PRIMARY,HEALTH CENTRE,,MINISTRY OF HEALTH,,RURAL,BOTH OUT AND INPATIENT,PRIMARY,17602, 44.57 , 26.36 , 62.78 , 60.00 , 25.00 , 65.45 , 60.00 , 100.00 , 100.00 , -   , 98.12 , -   , 100.00 , 5.00 , -   , 50.00 , 100.00 ,,, 32.00 , 999.00 
MWI_000221,Chilumba Rural Hospital,North Zone,Karonga,SECONDARY,OTHER (SPECIFY),Rural Community Hospital,MINISTRY OF HEALTH,,RURAL,BOTH OUT AND INPATIENT,PRIMARY,21115, 79.17 , 83.33 , 75.00 , 46.67 , 50.00 , 56.03 , 46.67 ,,, 40.00 , 93.50 , 100.00 , -   , 3.00 , 33.33 , 100.00 , 100.00 ,,, 45.00 , 999.00 
MWI_000255,Chipoka Health Centre,Central East Zone,Salima,PRIMARY,HEALTH CENTRE,,MINISTRY OF HEALTH,,URBAN,BOTH OUT AND INPATIENT,PRIMARY,37179, 52.42 , 39.29 , 65.56 , 66.67 , 45.00 , 78.70 , 66.67 , 100.00 , 100.00 , 40.00 , 94.23 , 50.00 , 100.00 , 5.00 , 20.00 , 50.00 , 100.00 , 100.00 , 94.34 , 53.00 , 3.00 
MWI_000570,Karonga District Hospital,North Zone,Karonga,SECONDARY,DISTRICT HOSPITAL,,MINISTRY OF HEALTH,,PERIURBAN,BOTH OUT AND INPATIENT,SECONDARY,414100, 71.20 , 66.30 , 76.11 , 50.00 , 60.00 , 75.10 , 50.00 , 80.00 , 100.00 , -   , 95.72 , 100.00 , 100.00 , 5.00 , 60.00 , 100.00 , 100.00 , 100.00 ,, 999.00 , 999.00 
