SubmissionDate,SubmissionDate
starttime,starttime
endtime,endtime
deviceid,deviceid
subscriberid,subscriberid
simid,simid
devicephonenum,devicephonenum
username,username
duration,duration
caseid,caseid
FI_1,FI_1 Survey date
FI_2,FI_2 Interviewer name
FI_3,FI_3 Country name
Q102,Q102 Name of facility 
Q100,Q100 Facility code
Q100a,Q100a Facility sampling category
Q105,Q105 Name of zone
Q106,Q106 Name of district
Q105_a,Q105_a Facility level form MFL
Q106_a,Q106_a Country ISO Code
Q109-Latitude,Q109-Latitude
Q109-Longitude,Q109-Longitude
Q109-Altitude,Q109-Altitude
Q109-Accuracy,Q109-Accuracy
tHFA_A004,"tHFA_A004 DID ANY OF THE FOLLOWING OCCUR WHILE THE SURVEY TEAM WAS ATTEMPTING TO LOCATE THE FACILITY AND BEGIN THE T-HFA VISIT?

• FACILITY VISIT WAS POSTPONED
• FACILITY WAS CLOSED
• FACILITY WAS DESTROYED
• FACILITY WAS NOT FOUND
• OTHER SITUATION THAT PREVENTED COMPLETION OF THE SURVEY VISIT "
