tHFA_A001,Q117,Facility count,HIV,TB,Malaria,ANC,Immu,Quality_Score,HW_Competence_Score,Patient_Centeredness_Score,iss_score,fac_iss,fac_stats,fac_group_PS,fac_comms_data,HTM-ANC,hiv testing,ART access,iptp scores,TB screening,system_CHW_score,chw_iss,chw_contract,chw_paid,chw_tools,facility_composite,HTM-ANC,presence_score,caseload,ANC_score,DPT_score,TB_treatment_completion,ART_retention,CHW_paid,CLM_score,guideline_score,guide_HIV,guide_TB,guide_malaria,guide_anc,guide_immu,guide_imci,oxygen_score,oxygen_avl,oxygen_avo,test-capac,with lab,without lab,vacancy_score,all_funded_posts,all_unfilled_posts
COUNTRY,AVERAGE,120,100,93,100,98,99,58,50,67,90,80,95,91,93,63,95,63,95,1,42,26,44,57,41,70,63,76,68,47,91,69,80,57,77,88,98,90,82,79,92,86,64,51,76,51,53,46,30,386,391
PRIMARY,General,63,100,86,100,97,98,56,46,67,83,63,94,88,89,63,97,46,96,0,42,28,40,57,42,70,63,73,75,41,92,69,78,57,74,83,97,81,75,67,92,84,50,42,58,43,42,44,29,196,254
PRIMARY,PERIURBAN,1,100,100,100,100,100,61,43,79,100,100,100,100,100,67,100,,100,0,55,20,40,100,60,72,67,100,28,80,96,60,75,100,100,100,100,100,100,100,100,100,100,100,100,59,59,,,999,78
PRIMARY,RURAL,56,100,89,100,96,98,56,45,67,85,64,96,90,89,63,98,32,96,0,40,24,41,54,41,68,63,70,75,38,92,69,75,54,78,81,96,80,71,63,91,84,45,35,55,42,40,44,30,180,265
PRIMARY,URBAN,6,100,50,100,100,100,64,57,71,65,50,67,60,83,63,93,100,93,0,55,69,33,77,41,82,63,93,81,67,88,83,100,77,33,97,100,100,100,100,100,83,60,60,60,49,49,,20,211,174
SECONDARY,General,53,100,100,100,100,100,60,53,68,97,98,98,96,98,62,93,75,95,2,42,25,47,58,39,71,62,79,60,52,91,68,83,58,85,94,100,98,91,92,92,91,70,53,87,59,59,68,31,566,508
SECONDARY,PERIURBAN,12,100,100,100,100,100,60,51,69,97,100,92,100,100,62,98,100,88,3,44,14,66,84,14,68,62,71,42,60,91,60,90,84,83,95,100,100,100,92,92,83,50,27,73,64,64,,26,444,361
SECONDARY,RURAL,28,100,100,100,100,100,61,54,67,96,96,100,93,96,65,95,67,99,2,40,28,37,48,49,72,65,81,72,47,92,67,85,48,88,93,100,96,86,89,96,93,68,50,86,56,55,68,31,510,466
SECONDARY,URBAN,13,100,100,100,100,100,60,52,68,100,100,100,100,100,57,83,57,94,0,45,29,52,56,43,69,57,83,49,55,88,78,73,56,78,96,100,100,92,100,85,92,92,83,100,61,61,,42,800,736
TERTIARY,General,4,100,100,100,100,100,65,64,65,81,100,75,75,75,59,94,83,85,0,39,15,60,35,45,71,59,89,50,70,79,74,67,35,29,86,100,100,75,75,100,50,83,100,67,77,77,,,999,999
TERTIARY,URBAN,4,100,100,100,100,100,65,64,65,81,100,75,75,75,59,94,83,85,0,39,15,60,35,45,71,59,89,50,70,79,74,67,35,29,86,100,100,75,75,100,50,83,100,67,77,77,,,999,999
