Q100,FI_2,FI_3,Q102,Q100a,Q105,Q106,Q105_a,Q106_a,Q109-Latitude,Q109-Longitude,Q109-Altitude,Q109-Accuracy,Q113,Q113_A,Q116,Q116_A,Q117,Q118,tHFA_A001,tHFA_A002
COG_000029,MBEMBA Reine Paola,Congo,Kibouendé Centre de Santé Intégré,Random,Brazzaville,,PRIMARY,COG,-4.2610935,15.2330279,315.6,3.7,HEALTH CENTRE,,HEALTH CENTER,,RURAL,OUTPATIENT ONLY,PRIMARY,34507
COG_000282,MASSALA PEYA Jethro,Congo,Mossaka Hopital de Base,Panel,Cuvette,,SECONDARY,COG,-1.2246771,16.7974162,290.9,2.7,DISTRICT HOSPITAL,,HOSPITAL,,URBAN,BOTH OUT AND INPATIENT,SECONDARY,98574
COG_000011,NIANGA Donalie,Congo,Q58 Centre de Santé Intégré,Random,Brazzaville,,PRIMARY,COG,-4.2289448,15.2703511,308.5,12.9,HEALTH CENTRE,,HEALTH CENTER,,URBAN,OUTPATIENT ONLY,PRIMARY,34408
COG_000026,BAKOUETILA Rabi Sara,Congo,Madame Centre de Santé Intégré,Random,Brazzaville,,PRIMARY,COG,-4.2910909,15.2620994,288.7,4.8,HEALTH CENTRE,,HEALTH CENTER,,URBAN,BOTH OUT AND INPATIENT,PRIMARY,17373
COG_000028,BAKOUETILA Rabi Sara,Congo,Kingouari Centre de Santé Intégré,Random,Brazzaville,,PRIMARY,COG,-4.2922928,15.224174,304.5,4.9,HEALTH CENTRE,,INTEGRATED HEALTH CENTER,,URBAN,BOTH OUT AND INPATIENT,PRIMARY,29937
COG_000058,MBALOULA Johngide Damanslert,Congo,Hinda Centre de Santé Intégré,Random,Kouilou,,PRIMARY,COG,-4.6186234,12.0385573,88.1,3.5,HEALTH CENTRE,,INTEGRATED HEALTH CENTER,,RURAL,OUTPATIENT ONLY,PRIMARY,5982
COG_000048,MBALOULA Johngide Damanslert,Congo,Mongo Tandou Centre de Santé Intégré,Panel,Kouilou,,PRIMARY,COG,-4.5618833,11.97806,93,2.5,HEALTH CENTRE,,INTEGRATED HEALTH CENTER,,RURAL,OUTPATIENT ONLY,PRIMARY,5612
COG_000094,MAVOUNGOU Cathy,Congo,Centre antituberculeux (CAT) (Pointe Noire),Panel,Pointe Noire,,TERTIARY,COG,-4.7878221,11.8597435,23,4.8,HEALTH CENTRE,,HEALTH CENTER,,URBAN,OUTPATIENT ONLY,TERTIARY,2000
COG_000316,NSOUADI FAMMY Reche Hydeale,Congo,Garnison Centre de Santé Intégré,Random,Likouala,,PRIMARY,COG,1.5794081,18.0581312,315.9,4.5,HEALTH CENTRE,,INFIRMARY,,URBAN,BOTH OUT AND INPATIENT,PRIMARY,600
COG_000056,MBALOULA Johngide Damanslert,Congo,Les Saras Centre de Santé Intégré,Random,Kouilou,,PRIMARY,COG,-4.3536199,12.3600949,81.2,4.6,HEALTH CENTRE,,INTEGRATED HEALTH CENTER,,RURAL,OUTPATIENT ONLY,PRIMARY,5843
COG_000277,MASSALA PEYA Jethro,Congo,Juillet 31 Hôpital Général,Panel,Cuvette,,TERTIARY,COG,-0.4892159,15.9084452,163.8,5,OTHER (SPECIFY),Hôpital général,HOSPITAL,,URBAN,BOTH OUT AND INPATIENT,TERTIARY,9
COG_000053,MOUTOU MAVOUNGOU Rodrigue Serge,Congo,Louvoulou Centre de Santé Intégré,Random,Kouilou,,PRIMARY,COG,-4.373154,12.1433264,23.8,4.8,HEALTH CENTRE,,HEALTH CENTER,,RURAL,OUTPATIENT ONLY,PRIMARY,2444
COG_000309,NSOUADI FAMMY Reche Hydeale,Congo,Moungougui Centre de Santé Intégré,Random,Likouala,,PRIMARY,COG,1.6320504,18.0540364,328.5,4.6,HEALTH CENTRE,,INTEGRATED HEALTH CENTER,,URBAN,OUTPATIENT ONLY,PRIMARY,52462
COG_000096,GATSONGO EWOLO Garland Marcel,Congo,Adolphe Sicé Hôpital Général,Random,Pointe Noire,,TERTIARY,COG,-4.790632977094743,11.85946995497919,14.8,67.3,OTHER (SPECIFY),Hôpital général,HOSPITAL,,URBAN,BOTH OUT AND INPATIENT,TERTIARY,120000
COG_000075,GATSONGO EWOLO Garland Marcel,Congo,Och Centre de Santé Intégré,Random,Pointe Noire,,PRIMARY,COG,-4.7919504454529696,11.87633791829847,21,40,HEALTH CENTRE,,INTEGRATED HEALTH CENTER,,URBAN,OUTPATIENT ONLY,PRIMARY,17591
COG_000074,GATSONGO EWOLO Garland Marcel,Congo,Pambou Benjamin Centre de Santé Intégré,Random,Pointe Noire,,PRIMARY,COG,-4.801794877154737,11.888983903004798,13.1,1201.9,HEALTH CENTRE,,INTEGRATED HEALTH CENTER,,URBAN,OUTPATIENT ONLY,PRIMARY,131988
COG_000010,BAKOUETILA Rabi Sara,Congo,Talagaï l’Hôpital de Base,Panel,Brazzaville,,SECONDARY,COG,-4.2346943,15.2950643,280.5,4.9,NATIONAL REFERRAL HOSPITAL,,HOSPITAL,,URBAN,BOTH OUT AND INPATIENT,SECONDARY,371147
COG_000007,MBEMBA Reine Paola,Congo,Centre Antituberculeux (CAT) (Brazzaville),Panel,Brazzaville,,TERTIARY,COG,-4.276561,15.2579521,306.6,4.9,OTHER (SPECIFY),CAT,OTHER (SPECIFY),CAT,URBAN,OUTPATIENT ONLY,TERTIARY,9
COG_000182,MBERI Josh Clay Pierre,Congo,Mambouana Centre de Santé Intégré,Random,Lékoumou,,PRIMARY,COG,-3.4987877,13.3192018,490.7,4.8,HEALTH CENTRE,,HEALTH CENTER,,RURAL,BOTH OUT AND INPATIENT,PRIMARY,5133
COG_000174,MBERI Josh Clay Pierre,Congo,Zanaga Hopital Comboutique,Panel,Lékoumou,,SECONDARY,COG,-2.8502219,13.8183746,581.6,4,DISTRICT HOSPITAL,,HOSPITAL,,URBAN,BOTH OUT AND INPATIENT,SECONDARY,23207
COG_000076,GATSONGO EWOLO Garland Marcel,Congo,Ngoyo Centre de Santé Intégré,Random,Pointe Noire,,PRIMARY,COG,-4.838958644782794,11.913982772770497,14.4,9982.9,HEALTH CENTRE,,INTEGRATED HEALTH CENTER,,URBAN,OUTPATIENT ONLY,PRIMARY,42512
COG_000024,MINGOLET BILONGUI Emeldie Luxène,Congo,Makélékélé l’Hôpital de Base,Panel,Brazzaville,,SECONDARY,COG,-4.2943873698928545,15.241634806307648,313.3,32.4,DISTRICT HOSPITAL,,HOSPITAL,,URBAN,BOTH OUT AND INPATIENT,SECONDARY,284288
COG_000085,EYOULOU NGNEPHI Elnietsch,Congo,Loandjili Hôpital Général,Panel,Pointe Noire,,TERTIARY,COG,-4.760942228539683,11.867791640081418,8.1,2913.2,NATIONAL REFERRAL HOSPITAL,,HOSPITAL,,URBAN,BOTH OUT AND INPATIENT,TERTIARY,9
COG_000095,EYOULOU NGNEPHI Elnietsch,Congo,Hopital Général de Patra,Random,Pointe Noire,,TERTIARY,COG,-4.8297228886492976,11.927499462582546,19.8,40,NATIONAL REFERRAL HOSPITAL,,HOSPITAL,,URBAN,BOTH OUT AND INPATIENT,TERTIARY,9
COG_000066,EYOULOU NGNEPHI Elnietsch,Congo,Tié-Tié l’Hôpital de Base,Panel,Pointe Noire,,SECONDARY,COG,-4.79362634704084,11.8859866038985,19.8,723.3,DISTRICT HOSPITAL,,HOSPITAL,,URBAN,BOTH OUT AND INPATIENT,SECONDARY,9
COG_000268,MASSALA PEYA Jethro,Congo,PMAS Oyo Centre de Santé Intégré,Random,Cuvette,,PRIMARY,COG,-1.1613858,15.9820369,314.8,5,HEALTH CENTRE,,INTEGRATED HEALTH CENTER,,RURAL,OUTPATIENT ONLY,PRIMARY,32604
