,,Facility count,HIV,TB,Malaria,ANC,Immu,Quality_Score,HW_Competence_Score,ANC_score,ANC_score,ART_score,TB_score,Patient_Centeredness_Score,PC_avg_Communication,PC_avg_Respect,PC_avg_Autonomy,PC_avg_Confidentiality,PC_avg_Social support,PC_avg_HW told,PC_avg_Danger signs,PC_avg_Rudeness,PC_avg_Challenges,iss_score,fac_iss,fac_tech,fac_stats,fac_group_PS,fac_comms_data,HTM-ANC,HTM-ANC,hiv testing,ART access,iptp scores,TB screening,system_CHW_score,chw_count,chw_iss,chw_contract,chw_contract_any,chw_paid,chw_tools,facility_composite,HTM-ANC,HTM-ANC,presence_score,caseload,ANC_score,ANC_score,DPT_score,TB_treatment_completion,ART_retention,CHW_count,CHW_paid_full,CLM_score,comm_data_collectors,quarterly_feedback,comm_data_analysis,CLM_aware,CLM_promotion,client_feedback,guideline_score,guide_HIV_test,guide_ART,guide_TB,guide_malaria,guide_anc,guide_immu,guide_imci,flowmeter_avl,flowmeter_func,humidifier_avl,humidifier_func,oxy_available,oxy_deliverable,oxygen_avl,oxygen_avo,oxygen_delivery_avl,oxygen_delivery_func,oxygen_score,pulse_oximeter_avl,pulse_oximeter_func,test-capac,fac_has_lab,fac_test_no_lab,fac_no_test,score with lab,score without lab,Antibodies to HIV 1/2 (anti HIV Ab),Qualitative (EID) or quantitative (viral load) HIV nucleic acid test (NAT),CD4 cell enumeration,Antibodies to Treponema pallidum OR Combined antibodies to T. pallidum and HIV 1/2,Lipoarabinomannan (LAM) antigen,Mycobacterium tuberculosis bacteria,M. tuberculosis DNA,Drug susceptibility testing of M. tuberculosis culture,Plasmodium spp. antigens; species-specific (e.g. HRP2) and/or pan species-specific (e.g. pan-pLDH),Staining procedures,Culture OR Culture and Genus and species identification of bacteria and fungi,Antimicrobial susceptibility testing (AST),C-reactive protein (CRP),"Complete blood count (CBC), automated",Prothrombin time and international normalized ratio (PT/INR),Blood culture,Blood gas,Glucose,Liver profile/Liver Function test,Renal function test,SARS-CoV-2 test,Hepatitis B surface antigen (HBsAg),Influenza A and B antigen,Influenza A and B diagnostic,"Qualitative dengue virus nucleic acid test, Dengue virus IgM antibody or Dengue virus antigen (NS1)",Qualitative nucleic acid test (NAT) for Chlamydia trachomatis (CT) and Neisseria gonorrhoeae (NG) infections,Measles nucleic acid test or Measle serology,Vibrio cholerae antigen,vacancy_score,all_funded_posts,all_unfilled_posts
COUNTRY,AVERAGE,120.0,88.33333333333333,28.333333333333332,97.5,75.83333333333333,68.33333333333333,58.43349863427297,51.259320273743356,60.113391296935596,46.75438596491228,32.73391812865497,66.875,74.07502368439869,79.14414414414414,85.04504504504506,66.39840182648402,86.4699074074074,59.08564814814814,89.90990990990991,70.92342342342343,94.009009009009,16.21693121693122,62.56944444444444,75.83333333333333,89.77272727272727,77.90697674418605,75.0,89.70588235294117,53.20850914205345,53.20850914205345,70.21929824561404,75.0,87.65822784810126,2.7004219409282704,12.288732394366198,1.3083333333333333,28.497652582159628,0.0,16.103286384976528,6.103286384976526,14.55399061032864,50.26632584758948,53.20850914205345,53.20850914205345,78.3501009183535,7.210627107897854,60.113391296935596,46.75438596491228,80.23042387696628,57.97101449275363,51.41304347826087,1.3083333333333333,6.103286384976526,65.83333333333333,70.83333333333333,58.333333333333336,58.333333333333336,62.5,61.666666666666664,83.33333333333333,66.78968253968254,59.43396226415094,72.58064516129032,73.52941176470588,79.48717948717949,52.747252747252745,82.92682926829268,61.111111111111114,78.26086956521739,86.95652173913044,56.52173913043478,69.56521739130434,100.0,47.82608695652174,43.47826086956522,73.91304347826087,73.91304347826087,82.6086956521739,58.69565217391305,73.91304347826087,86.95652173913044,21.708754208754208,69.16666666666667,6.666666666666667,24.166666666666668,29.852744310575638,3.43980343980344,50.833333333333336,20.833333333333332,5.833333333333333,29.166666666666668,2.5,30.120481927710845,16.867469879518072,10.843373493975903,47.5,54.21686746987952,21.686746987951807,16.867469879518072,81.92771084337349,45.78313253012048,20.481927710843372,8.433734939759036,18.072289156626507,90.36144578313252,34.93975903614458,31.325301204819276,19.166666666666668,31.666666666666668,5.833333333333333,5.833333333333333,3.6144578313253013,16.867469879518072,3.6144578313253013,0.0,29.633347788894454,166.9,174.41666666666666
General,PERIURBAN,4.0,75.0,50.0,100.0,50.0,50.0,39.345238095238095,37.083333333333336,51.66666666666667,50.0,20.0,25.0,71.42857142857143,75.0,100.0,,,25.0,100.0,0.0,100.0,100.0,75.0,100.0,75.0,75.0,75.0,0.0,66.66666666666667,66.66666666666667,100.0,,100.0,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.0,54.42653467222433,66.66666666666667,66.66666666666667,83.33333333333333,2.3397435897435894,51.66666666666667,50.0,74.8768472906404,100.0,,0.75,0.0,29.166666666666668,50.0,0.0,25.0,25.0,0.0,75.0,55.0,100.0,100.0,50.0,50.0,0.0,50.0,50.0,0.0,100.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.33333333333333,100.0,0.0,0.0,33.33333333333333,,50.0,25.0,0.0,50.0,0.0,50.0,25.0,25.0,25.0,50.0,25.0,25.0,75.0,50.0,25.0,0.0,25.0,75.0,25.0,75.0,25.0,50.0,50.0,0.0,0.0,50.0,25.0,,24.8062015503876,282.25,112.75
General,RURAL,53.0,77.35849056603773,18.867924528301888,100.0,88.67924528301887,83.01886792452831,55.26580333969657,48.8956611570248,54.8324074074074,48.29059829059829,27.388888888888893,62.5,74.6578016890517,81.89102564102564,90.16025641025641,55.48076923076923,92.46794871794872,55.25641025641026,88.78205128205128,70.83333333333334,98.46153846153847,19.63768115942029,63.52201257861635,75.47169811320755,87.17948717948718,86.84210526315789,71.7948717948718,91.42857142857143,45.684027777777786,45.684027777777786,55.04273504273504,50.0,81.08333333333334,1.3333333333333335,11.168981481481481,1.5660377358490567,31.25,0.0,13.425925925925927,5.555555555555555,7.870370370370371,49.67107012638284,45.684027777777786,45.684027777777786,78.90033577533578,9.02972374847375,54.8324074074074,48.29059829059829,77.20338530965522,34.285714285714285,52.69230769230769,1.5660377358490567,5.555555555555555,71.0691823899371,75.47169811320755,64.15094339622641,66.0377358490566,69.81132075471699,73.58490566037736,77.35849056603773,60.97484276729559,46.34146341463415,65.0,80.0,73.58490566037736,51.06382978723404,84.0909090909091,54.0,62.5,75.0,75.0,87.5,100.0,37.5,37.5,87.5,87.5,100.0,62.5,87.5,100.0,17.648179912330857,58.490566037735846,7.547169811320755,33.9622641509434,27.240143369175627,4.132231404958677,49.056603773584904,9.433962264150944,3.7735849056603774,24.528301886792452,5.660377358490566,25.806451612903224,6.451612903225806,9.67741935483871,49.056603773584904,74.19354838709677,25.806451612903224,12.903225806451612,83.87096774193549,45.16129032258065,6.451612903225806,0.0,16.129032258064516,93.54838709677419,32.25806451612903,9.67741935483871,18.867924528301888,22.641509433962263,0.0,0.0,0.0,9.67741935483871,3.225806451612903,0.0,36.02028495269301,54.62264150943396,100.90566037735849
General,URBAN,63.0,98.41269841269842,34.92063492063492,95.23809523809524,66.66666666666667,57.142857142857146,62.1778005407616,54.1290515040515,66.27914277914277,44.857142857142854,35.375,72.27272727272727,73.80894334684228,77.7127659574468,81.89716312056737,72.43794326241135,83.07971014492753,62.05555555555556,90.31914893617021,72.48226950354609,91.41843971631207,12.051282051282051,60.978835978835974,74.60317460317461,93.33333333333333,70.45454545454545,77.77777777777777,90.625,60.61561561561562,60.61561561561562,85.42857142857143,84.375,94.09909909909909,4.324324324324325,13.83578431372549,1.126984126984127,26.42156862745098,0.0,19.41176470588235,6.862745098039216,22.058823529411764,50.510714666038865,60.61561561561562,60.61561561561562,77.41654049098821,5.793466895872769,66.27914277914277,44.857142857142854,84.44492785292525,66.22222222222223,50.90909090909091,1.126984126984127,6.862745098039216,63.75661375661375,68.25396825396825,57.142857142857146,53.96825396825397,58.73015873015873,55.55555555555556,88.88888888888889,72.43008314436887,66.12903225806451,75.0,72.72727272727273,86.66666666666667,57.142857142857146,83.33333333333333,68.51851851851852,92.85714285714286,92.85714285714286,50.0,57.142857142857146,100.0,57.142857142857146,50.0,71.42857142857143,71.42857142857143,78.57142857142857,60.714285714285715,71.42857142857143,85.71428571428571,24.38672438672439,76.19047619047619,6.349206349206349,17.46031746031746,31.25,2.4242424242424243,52.38095238095238,30.158730158730158,7.936507936507937,31.746031746031747,0.0,31.25,22.916666666666668,10.416666666666666,47.61904761904762,41.666666666666664,18.75,18.75,81.25,45.833333333333336,29.166666666666668,14.583333333333334,18.75,89.58333333333333,37.5,41.666666666666664,19.047619047619047,38.095238095238095,7.936507936507937,11.11111111111111,6.25,18.75,2.0833333333333335,0.0,23.756141688837058,254.03174603174602,240.17460317460316
PRIMARY,General,76.0,84.21052631578948,10.526315789473685,100.0,96.05263157894737,92.10526315789474,59.71853585402692,52.8941728465538,57.628462039752364,44.54802259887006,35.3968253968254,61.666666666666664,74.21267361111111,77.34375,84.97916666666666,67.42521367521368,85.24122807017544,61.55982905982906,90.54166666666666,69.33333333333334,94.41666666666666,17.727272727272727,68.09210526315789,80.26315789473684,91.80327868852459,73.6842105263158,79.66101694915254,92.98245614035088,52.547043010752695,52.547043010752695,68.7431693989071,64.28571428571429,87.58064516129032,2.4731182795698925,12.792397660818713,1.4736842105263157,30.409356725146196,0.0,11.111111111111112,7.017543859649122,13.742690058479532,51.01589843935118,52.547043010752695,52.547043010752695,76.98959459686004,8.060309360473834,57.628462039752364,44.54802259887006,80.90860144703156,60.0,46.875,1.4736842105263157,7.017543859649122,82.01754385964912,86.84210526315789,76.3157894736842,77.63157894736842,81.57894736842105,80.26315789473684,89.47368421052632,61.97055137844611,48.4375,61.53846153846154,87.5,76.3157894736842,53.42465753424658,84.28571428571429,59.45945945945946,0.0,0.0,100.0,100.0,100.0,0.0,0.0,100.0,100.0,100.0,50.0,100.0,100.0,11.620591883749778,52.63157894736842,9.210526315789474,38.1578947368421,19.35185185185185,3.0303030303030303,35.526315789473685,10.526315789473685,2.6315789473684212,17.105263157894736,2.6315789473684212,12.5,5.0,7.5,40.78947368421053,42.5,15.0,12.5,67.5,25.0,5.0,0.0,10.0,82.5,5.0,7.5,11.842105263157896,6.578947368421052,1.3157894736842106,1.3157894736842106,5.0,0.0,2.5,0.0,30.04135459564904,76.67105263157895,134.73684210526315
PRIMARY,PERIURBAN,2.0,50.0,0.0,100.0,100.0,100.0,56.19047619047619,51.66666666666667,51.66666666666667,50.0,,,71.42857142857143,75.0,100.0,,,25.0,100.0,0.0,100.0,100.0,50.0,100.0,50.0,50.0,50.0,0.0,66.66666666666667,66.66666666666667,100.0,,100.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,49.65435139573071,66.66666666666667,66.66666666666667,66.66666666666666,2.5,51.66666666666667,50.0,74.8768472906404,,,1.5,0.0,50.0,100.0,0.0,50.0,50.0,0.0,100.0,40.0,100.0,,,50.0,0.0,50.0,50.0,,,,,,,,,,,,,,9.25925925925926,100.0,0.0,0.0,9.25925925925926,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,50.0,50.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.5,0.0
PRIMARY,RURAL,42.0,73.80952380952381,7.142857142857143,100.0,97.61904761904762,92.85714285714286,55.1748066900205,48.38458110516934,52.63725490196079,46.76767676767677,25.555555555555557,0.0,72.97566833751044,78.50877192982456,90.04385964912281,55.96491228070175,91.8859649122807,50.877192982456144,84.64912280701753,65.35087719298247,97.89473684210526,22.647058823529413,58.333333333333336,69.04761904761905,89.65517241379311,85.18518518518519,67.85714285714286,93.10344827586206,44.497549019607845,44.497549019607845,52.929292929292934,50.0,79.50980392156863,0.9803921568627452,12.163978494623656,1.5238095238095237,34.67741935483871,0.0,13.978494623655916,6.451612903225806,7.526881720430108,49.83548407109199,44.497549019607845,44.497549019607845,77.09750566893425,10.381944444444445,52.63725490196079,46.76767676767677,77.72074632316213,0.0,50.0,1.5238095238095237,6.451612903225806,78.96825396825396,83.33333333333333,73.80952380952381,73.80952380952381,76.19047619047619,80.95238095238095,85.71428571428571,58.32766439909297,41.935483870967744,54.54545454545455,66.66666666666667,73.80952380952381,51.21951219512195,84.61538461538461,50.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,100.0,100.0,100.0,50.0,100.0,100.0,12.570145903479236,47.61904761904762,9.523809523809524,42.857142857142854,21.85185185185185,4.132231404958677,40.476190476190474,9.523809523809524,2.380952380952381,16.666666666666668,4.761904761904762,5.0,0.0,5.0,40.476190476190474,60.0,25.0,15.0,80.0,40.0,5.0,0.0,15.0,90.0,10.0,5.0,11.904761904761905,7.142857142857143,0.0,0.0,0.0,0.0,5.0,0.0,37.03768487092439,10.738095238095237,99.47619047619048
PRIMARY,URBAN,32.0,100.0,15.625,100.0,93.75,90.625,65.7091301060051,58.66384438606661,64.61402486402486,41.041666666666664,39.333333333333336,74.0,75.52703373015873,76.35416666666666,79.41666666666666,78.3125,78.59649122807018,74.16666666666667,95.66666666666666,76.58333333333334,90.83333333333334,6.666666666666667,82.03125,93.75,96.66666666666667,64.28571428571429,93.10344827586206,96.29629629629629,61.98717948717949,61.98717948717949,86.41025641025641,75.0,97.17948717948717,4.615384615384615,14.083333333333332,1.40625,26.333333333333336,0.0,8.0,8.0,22.0,52.65028898791765,61.98717948717949,61.98717948717949,77.49314431039974,5.360682647792022,64.61402486402486,41.041666666666664,85.61286878670438,75.0,45.833333333333336,1.40625,8.0,88.02083333333333,90.625,84.375,84.375,90.625,84.375,93.75,68.125,53.125,66.66666666666667,100.0,81.25,60.0,86.20689655172414,71.875,,,,,,,,,,,,,,10.521885521885523,56.25,9.375,34.375,17.695473251028808,1.298701298701299,31.25,12.5,3.125,18.75,0.0,22.22222222222222,11.11111111111111,11.11111111111111,40.625,27.77777777777778,5.555555555555555,11.11111111111111,55.55555555555556,11.11111111111111,5.555555555555555,0.0,0.0,77.77777777777777,0.0,5.555555555555555,12.5,6.25,3.125,3.125,11.11111111111111,0.0,0.0,0.0,21.673123575297485,167.96875,189.4375
SECONDARY,General,29.0,96.55172413793103,68.96551724137932,100.0,41.37931034482759,31.03448275862069,53.39237954918759,45.05420472384758,67.80104071013162,50.15151515151515,25.659722222222225,64.0,73.88434193121692,80.47348484848486,85.75757575757576,61.36363636363637,87.08333333333333,55.378787878787875,86.89393939393939,72.95454545454545,95.45454545454545,19.333333333333336,61.49425287356321,79.3103448275862,81.81818181818181,90.9090909090909,63.63636363636363,66.66666666666667,56.76767676767677,56.76767676767677,77.27272727272727,100.0,92.27272727272727,1.8181818181818181,6.666666666666667,1.2413793103448276,21.11111111111111,0.0,23.333333333333332,0.0,5.555555555555555,49.7326775207722,56.76767676767677,56.76767676767677,84.29212511915725,2.728783240867046,67.80104071013162,50.15151515151515,73.82040920641681,53.333333333333336,55.23809523809524,1.2413793103448276,0.0,41.37931034482759,44.827586206896555,34.48275862068966,31.03448275862069,37.93103448275862,37.93103448275862,62.06896551724138,71.43678160919539,71.42857142857143,75.0,70.0,82.75862068965517,41.666666666666664,66.66666666666667,64.0,78.57142857142857,85.71428571428571,42.857142857142854,50.0,100.0,42.857142857142854,28.571428571428573,78.57142857142857,71.42857142857143,78.57142857142857,53.57142857142857,78.57142857142857,85.71428571428571,37.29246487867178,100.0,0.0,0.0,37.29246487867178,,79.3103448275862,24.137931034482758,6.896551724137931,48.275862068965516,3.4482758620689653,51.724137931034484,27.586206896551722,10.344827586206897,65.51724137931035,75.86206896551724,24.137931034482758,13.793103448275861,96.55172413793103,62.06896551724138,24.137931034482758,10.344827586206897,24.137931034482758,100.0,62.06896551724138,48.275862068965516,27.586206896551722,75.86206896551724,6.896551724137931,6.896551724137931,0.0,31.03448275862069,0.0,,32.162300634653576,241.27586206896552,214.3448275862069
SECONDARY,PERIURBAN,1.0,100.0,100.0,100.0,0.0,0.0,30.0,30.0,,,10.0,50.0,,,,,,,,,,,100.0,100.0,100.0,100.0,100.0,,,,,,,,,0.0,,,,,,67.56410256410255,,,100.0,2.692307692307692,,,,100.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,100.0,100.0,,,100.0,,,,,,,,,,,,,,40.74074074074074,100.0,0.0,0.0,40.74074074074074,,100.0,0.0,0.0,100.0,0.0,100.0,0.0,0.0,0.0,100.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,100.0,0.0,100.0,0.0,100.0,100.0,0.0,0.0,100.0,0.0,,49.6124031007752,129.0,64.0
