tHFA_A001,Q117,Facility count,HIV,TB,Malaria,ANC,Immu,Quality_Score,HW_Competence_Score,ANC_score,ART_score,TB_score,Patient_Centeredness_Score,PC_avg_Communication,PC_avg_Respect,PC_avg_Autonomy,PC_avg_Confidentiality,PC_avg_Social support,PC_avg_HW told,PC_avg_Danger signs,PC_avg_Rudeness,PC_avg_Challenges,iss_score,fac_iss,fac_tech,fac_stats,fac_group_PS,fac_comms_data,HTM-ANC,hiv testing,ART access,iptp scores,TB screening,system_CHW_score,chw_count,chw_iss,chw_contract,chw_paid,chw_tools,facility_composite,HTM-ANC,presence_score,caseload,ANC_score,DPT_score,TB_treatment_completion,ART_retention,CHW_paid,CLM_score,guideline_score,guide_HIV_test,guide_ART,guide_TB,guide_malaria,guide_anc,guide_immu,guide_imci,oxygen_score,oxygen_avl,oxygen_avo,test-capac,with lab,without lab,vacancy_score,all_funded_posts,all_unfilled_posts
COUNTRY,AVERAGE,120.0,88.33333333333333,28.333333333333332,97.5,75.83333333333333,68.33333333333333,58.30473523117329,51.259320273743356,60.113391296935596,32.73391812865497,66.875,73.75684836622337,79.14414414414414,85.04504504504506,66.39840182648402,86.4699074074074,59.08564814814814,89.90990990990991,70.92342342342343,94.009009009009,12.24867724867725,62.56944444444444,75.83333333333333,89.77272727272727,77.90697674418605,75.0,89.70588235294117,53.20850914205345,70.21929824561404,75.0,87.65822784810126,2.7004219409282704,12.288732394366198,1.3083333333333333,28.497652582159628,0.0,6.103286384976526,14.55399061032864,50.26632584758948,53.20850914205345,78.3501009183535,7.210627107897854,46.75438596491228,80.23042387696628,57.97101449275363,51.41304347826087,0.0,66.11111111111111,66.78968253968254,59.43396226415094,72.58064516129032,73.52941176470588,79.48717948717949,52.747252747252745,82.92682926829268,61.111111111111114,58.69565217391305,43.47826086956522,73.91304347826087,28.626928626928624,29.852744310575638,15.909090909090908,37.451864701239515,166.9,174.41666666666666
PERIURBAN,General,4.0,75.0,50.0,100.0,50.0,50.0,37.55952380952381,37.083333333333336,51.66666666666667,20.0,25.0,57.142857142857146,75.0,100.0,,,25.0,100.0,0.0,100.0,0.0,75.0,100.0,75.0,75.0,75.0,0.0,66.66666666666667,100.0,,100.0,0.0,0.0,0.75,0.0,0.0,0.0,0.0,54.42653467222433,66.66666666666667,83.33333333333333,2.3397435897435894,50.0,74.8768472906404,100.0,,0.0,29.166666666666664,55.0,100.0,100.0,50.0,50.0,0.0,50.0,50.0,0.0,0.0,0.0,33.33333333333333,33.33333333333333,,49.87080103359173,282.25,112.75
PRIMARY,General,76.0,84.21052631578948,10.526315789473685,100.0,96.05263157894737,92.10526315789474,59.510674931880295,52.8941728465538,57.628462039752364,35.3968253968254,61.666666666666664,73.62404927248677,77.34375,84.97916666666666,67.42521367521368,85.24122807017544,61.55982905982906,90.54166666666666,69.33333333333334,94.41666666666666,10.151515151515152,68.09210526315789,80.26315789473684,91.80327868852459,73.6842105263158,79.66101694915254,92.98245614035088,52.547043010752695,68.7431693989071,64.28571428571429,87.58064516129032,2.4731182795698925,12.792397660818713,1.4736842105263157,30.409356725146196,0.0,7.017543859649122,13.742690058479532,51.01589843935118,52.547043010752695,76.98959459686004,8.060309360473834,44.54802259887006,80.90860144703156,60.0,46.875,0.0,82.01754385964912,61.97055137844611,48.4375,61.53846153846154,87.5,76.3157894736842,53.42465753424658,84.28571428571429,59.45945945945946,50.0,0.0,100.0,18.790744322659215,19.35185185185185,15.584415584415584,38.52119040223704,76.67105263157895,134.73684210526315
PRIMARY,PERIURBAN,2.0,50.0,0.0,100.0,100.0,100.0,52.61904761904762,51.66666666666667,51.66666666666667,,,57.142857142857146,75.0,100.0,,,25.0,100.0,0.0,100.0,0.0,50.0,100.0,50.0,50.0,50.0,0.0,66.66666666666667,100.0,,100.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,49.65435139573071,66.66666666666667,66.66666666666666,2.5,50.0,74.8768472906404,,,0.0,50.0,40.0,100.0,,,50.0,0.0,50.0,50.0,,,,9.25925925925926,9.25925925925926,,50.0,0.5,0.0
PRIMARY,RURAL,42.0,73.80952380952381,7.142857142857143,100.0,97.61904761904762,92.85714285714286,54.97987491614136,48.38458110516934,52.63725490196079,25.555555555555557,0.0,72.48833890281259,78.50877192982456,90.04385964912281,55.96491228070175,91.8859649122807,50.877192982456144,84.64912280701753,65.35087719298247,97.89473684210526,13.823529411764707,58.333333333333336,69.04761904761905,89.65517241379311,85.18518518518519,67.85714285714286,93.10344827586206,44.497549019607845,52.929292929292934,50.0,79.50980392156863,0.9803921568627452,12.163978494623656,1.5238095238095237,34.67741935483871,0.0,6.451612903225806,7.526881720430108,49.83548407109199,44.497549019607845,77.09750566893425,10.381944444444445,46.76767676767677,77.72074632316213,0.0,50.0,0.0,78.96825396825396,58.32766439909297,41.935483870967744,54.54545454545455,66.66666666666667,73.80952380952381,51.21951219512195,84.61538461538461,50.0,50.0,0.0,100.0,21.997755331088666,21.85185185185185,22.727272727272727,45.322200019486964,10.738095238095237,99.47619047619048
PRIMARY,URBAN,32.0,100.0,15.625,100.0,93.75,90.625,65.7091301060051,58.66384438606661,64.61402486402486,39.333333333333336,74.0,75.52703373015873,76.35416666666666,79.41666666666666,78.3125,78.59649122807018,74.16666666666667,95.66666666666666,76.58333333333334,90.83333333333334,6.666666666666667,82.03125,93.75,96.66666666666667,64.28571428571429,93.10344827586206,96.29629629629629,61.98717948717949,86.41025641025641,75.0,97.17948717948717,4.615384615384615,14.083333333333332,1.40625,26.333333333333336,0.0,8.0,22.0,52.65028898791765,61.98717948717949,77.49314431039974,5.360682647792022,41.041666666666664,85.61286878670438,75.0,45.833333333333336,0.0,88.02083333333333,68.125,53.125,66.66666666666667,100.0,81.25,60.0,86.20689655172414,71.875,,,,16.0333493666827,17.695473251028808,6.060606060606061,27.69826791565922,167.96875,189.4375
RURAL,General,53.0,77.35849056603773,18.867924528301888,100.0,88.67924528301887,83.01886792452831,55.11148235204225,48.8956611570248,54.8324074074074,27.388888888888893,62.5,74.30167633292633,81.89102564102564,90.16025641025641,55.48076923076923,92.46794871794872,55.25641025641026,88.78205128205128,70.83333333333334,98.46153846153847,13.115942028985508,63.52201257861635,75.47169811320755,87.17948717948718,86.84210526315789,71.7948717948718,91.42857142857143,45.684027777777786,55.04273504273504,50.0,81.08333333333334,1.3333333333333335,11.168981481481481,1.5660377358490567,31.25,0.0,5.555555555555555,7.870370370370371,49.67107012638284,45.684027777777786,78.90033577533578,9.02972374847375,48.29059829059829,77.20338530965522,34.285714285714285,52.69230769230769,0.0,71.0691823899371,60.97484276729559,46.34146341463415,65.0,80.0,73.58490566037736,51.06382978723404,84.0909090909091,54.0,62.5,37.5,87.5,26.724386724386722,27.240143369175627,22.727272727272727,42.826637617300136,54.62264150943396,100.90566037735849
SECONDARY,General,29.0,96.55172413793103,68.96551724137932,100.0,41.37931034482759,31.03448275862069,53.39237954918759,45.05420472384758,67.80104071013162,25.659722222222225,64.0,73.88434193121692,80.47348484848486,85.75757575757576,61.36363636363637,87.08333333333333,55.378787878787875,86.89393939393939,72.95454545454545,95.45454545454545,19.333333333333336,61.49425287356321,79.3103448275862,81.81818181818181,90.9090909090909,63.63636363636363,66.66666666666667,56.76767676767677,77.27272727272727,100.0,92.27272727272727,1.8181818181818181,6.666666666666667,1.2413793103448276,21.11111111111111,0.0,0.0,5.555555555555555,49.7326775207722,56.76767676767677,84.29212511915725,2.728783240867046,50.15151515151515,73.82040920641681,53.333333333333336,55.23809523809524,0.0,41.37931034482759,71.43678160919539,71.42857142857143,75.0,70.0,82.75862068965517,41.666666666666664,66.66666666666667,64.0,53.57142857142857,28.571428571428573,78.57142857142857,37.29246487867178,37.29246487867178,,35.11176582445125,241.27586206896552,214.3448275862069
SECONDARY,PERIURBAN,1.0,100.0,100.0,100.0,0.0,0.0,30.0,30.0,,10.0,50.0,,,,,,,,,,,100.0,100.0,100.0,100.0,100.0,,,,,,,,0.0,,,,,67.56410256410255,,100.0,2.692307692307692,,,100.0,,,0.0,100.0,100.0,100.0,100.0,100.0,,,100.0,,,,40.74074074074074,40.74074074074074,,49.6124031007752,129.0,64.0
SECONDARY,RURAL,11.0,90.9090909090909,63.63636363636363,100.0,54.54545454545455,45.45454545454545,55.61159060846561,50.63333333333333,67.27160493827161,28.61111111111111,71.42857142857143,79.22359221466364,91.07142857142857,90.47619047619048,54.16666666666667,94.04761904761905,67.14285714285714,100.0,85.71428571428571,100.0,11.111111111111112,83.33333333333333,100.0,80.0,90.9090909090909,81.81818181818181,83.33333333333333,52.40740740740741,66.66666666666667,,90.0,3.3333333333333335,5.0,1.7272727272727273,10.0,0.0,0.0,10.0,49.04330779203876,52.40740740740741,86.47222222222221,3.3503968253968255,56.666666666666664,73.58185821510695,40.0,53.888888888888886,0.0,40.90909090909091,71.08225108225109,60.0,77.77777777777777,85.71428571428571,72.72727272727273,50.0,80.0,70.0,64.28571428571429,42.857142857142854,85.71428571428571,37.03703703703704,37.03703703703704,,32.28981858584463,222.1818181818182,106.36363636363636
