Q100,FI_2,FI_3,Q102,Q100a,Q105,Q106,Q105_a,Q106_a,Q109-Latitude,Q109-Longitude,Q109-Altitude,Q109-Accuracy,Q113,Q113_A,Q116,Q116_A,Q117,Q118,tHFA_A001,tHFA_A002
GHA_004637,FRIMPONG ANOKYE,Ghana,Abease CHPS,Random,Brong Ahafo,Pru West,PRIMARY,GHA,7.9585362,-1.1820187,131.4,3.9,HEALTH CENTRE,,MISSION/FAITH-BASED,,RURAL,BOTH OUT AND INPATIENT,PRIMARY,57000
GHA_000880,Ezekiel Asare,Ghana,Tetrefu Health Centre,Random,Ashanti,Bosomtwe,PRIMARY,GHA,6.618307409814204,-1.5154735744013594,279.2,5,HEALTH CENTRE,,OTHER (SPECIFY),Ghana Health Service,RURAL,OUTPATIENT ONLY,PRIMARY,4527
GHA_002072,FRIMPONG ANOKYE,Ghana,Kintampo Municipal Hospital,Panel,Brong Ahafo,Kintampo North,PRIMARY,GHA,8.0502896,-1.7309644,131.4,3.9,DISTRICT HOSPITAL,,MINISTRY OF HEALTH (GOVERNMENT),,URBAN,BOTH OUT AND INPATIENT,PRIMARY,147143
GHA_002222,FRIMPONG ANOKYE,Ghana,Premuase CHPS,Random,Brong Ahafo,Sene East,PRIMARY,GHA,7.7954292,-0.2884363,152.3,4.4,CHPS,,MINISTRY OF HEALTH (GOVERNMENT),,RURAL,OUTPATIENT ONLY,PRIMARY,5004
GHA_002993,Sophia Arhinful,Ghana,Aboso CHPS,Random,Central,Gomoa East,PRIMARY,GHA,5.5246308,-0.7120875,99.7,4.8,CHPS,,MINISTRY OF HEALTH (GOVERNMENT),,RURAL,OUTPATIENT ONLY,PRIMARY,15210
GHA_000129,Ezekiel Asare,Ghana,Ampunyase Health Centre,Random,Ashanti,Adansi South,PRIMARY,GHA,6.055236551916278,-1.7366274073736152,129.8,5,HEALTH CENTRE,,OTHER (SPECIFY),Ghana Health Service,RURAL,OUTPATIENT ONLY,PRIMARY,10074
GHA_002447,Yaa Boatema Fiscian,Ghana,Breme CHPS,Random,Brong Ahafo,Tano South,PRIMARY,GHA,7.0951851,-1.9645886,376,4.8,CHPS,,LOCAL GOVERNMENT,,RURAL,OUTPATIENT ONLY,PRIMARY,2450
GHA_007239,Mavis Nukunu,Ghana,Alabonu CHPS,Random,Volta,North Tongu,PRIMARY,GHA,6.105690889324293,0.20399068686422497,11.2,6,CHPS,,MINISTRY OF HEALTH (GOVERNMENT),,RURAL,OUTPATIENT ONLY,PRIMARY,3821
GHA_000018,FRIMPONG ANOKYE,Ghana,Brong Ahafo Regional Hospital,Panel,Brong Ahafo,Sunyani Municipal,SECONDARY,GHA,7.3448999,-2.3143344,325.9,3.9,TEACHING HOSPITAL,,MINISTRY OF HEALTH (GOVERNMENT),,URBAN,BOTH OUT AND INPATIENT,TERTIARY,9
GHA_009175,Sophia Arhinful,Ghana,Nyamebebu CHPS,Random,Central,Assin South,PRIMARY,GHA,5.3613497,-1.2420124,129.4,4,CHPS,,MINISTRY OF HEALTH (GOVERNMENT),,RURAL,OUTPATIENT ONLY,PRIMARY,1648
