tHFA_A001,Q117,Facility count,HIV,TB,Malaria,ANC,Immu,Quality_Score,HW_Competence_Score,Patient_Centeredness_Score,iss_score,fac_iss,fac_stats,fac_group_PS,fac_comms_data,HTM-ANC,hiv testing,ART access,iptp scores,TB screening,system_CHW_score,chw_iss,chw_contract,chw_paid,chw_tools,facility_composite,HTM-ANC,presence_score,caseload,ANC_score,DPT_score,TB_treatment_completion,ART_retention,CHW_paid,CLM_score,guideline_score,guide_HIV,guide_TB,guide_malaria,guide_anc,guide_immu,guide_imci,oxygen_score,oxygen_avl,oxygen_avo,test-capac,with lab,without lab,vacancy_score,all_funded_posts,all_unfilled_posts
COUNTRY,AVERAGE,120.0,82.5,55.0,98.33333333333333,90.0,100.0,74.77220145475039,77.05334834774087,73.1349072419312,78.75,75.86206896551724,82.90598290598291,77.87610619469027,89.2156862745098,71.16185897435898,95.65,58.57142857142857,90.72115384615384,28.942307692307693,32.20753205128205,52.83653846153846,15.92948717948718,34.1025641025641,25.96153846153846,67.01034889060445,71.16185897435898,84.26905684375389,13.202956786902151,76.10576923076923,84.96808761031988,51.458333333333336,93.67521367521368,34.1025641025641,57.5,87.37301587301587,68.33333333333333,77.27272727272727,96.61016949152543,84.25925925925925,97.5,81.5126050420168,81.52173913043478,65.21739130434783,97.82608695652173,32.01218297372144,50.04154795821463,16.558441558441558,14.34728790089632,304.28333333333336,117.70833333333333
PRIMARY,General,99.0,78.78787878787878,45.45454545454545,97.97979797979798,87.87878787878788,100.0,74.40032095089117,76.25997796346633,73.23123529165728,78.11447811447812,71.875,82.47422680412372,76.84210526315789,89.41176470588235,70.23092369477912,94.87654320987654,50.0,90.06024096385542,27.59036144578313,27.53391472868217,48.275193798449614,13.294573643410851,28.042635658914726,20.523255813953487,66.65617049865342,70.23092369477912,83.25034655982476,12.835587689048094,77.53012048192771,86.1935649307553,57.407407407407405,91.51515151515152,28.042635658914726,57.91245791245791,85.84896584896585,61.61616161616162,71.11111111111111,96.90721649484536,80.45977011494253,97.97979797979798,81.63265306122449,80.0,64.0,96.0,24.181262735479603,39.99155851007703,16.55844155844156,13.602775871658684,105.35353535353535,71.12121212121212
PRIMARY,PERIURBAN,4.0,75.0,50.0,100.0,100.0,100.0,79.76157407407408,78.38888888888889,81.13425925925927,75.0,50.0,75.0,75.0,100.0,66.66666666666667,93.75,,95.0,15.0,27.1875,63.75,10.0,35.0,0.0,64.6909214092141,66.66666666666667,68.27380952380952,25.875,75.0,93.54013421086592,50.0,100.0,35.0,66.66666666666667,90.17857142857143,75.0,50.0,100.0,100.0,100.0,75.0,100.0,100.0,100.0,14.141414141414144,16.666666666666668,9.090909090909092,7.536764705882353,20.25,2.0
PRIMARY,RURAL,80.0,75.0,35.0,97.5,85.0,100.0,75.31747822514762,78.09268592104414,73.71397874218181,78.85416666666666,72.72727272727273,83.33333333333333,78.94736842105263,88.57142857142857,70.8984375,95.0,50.0,89.921875,29.53125,24.377934272300468,42.46478873239437,11.5962441314554,26.15023474178404,17.300469483568072,65.24679317540854,70.8984375,83.19499888028874,11.387020266472863,74.921875,88.27527038339971,33.63636363636363,81.48148148148148,26.15023474178404,55.625,84.22916666666666,53.75,67.85714285714286,96.15384615384616,77.94117647058823,97.5,79.74683544303798,66.66666666666667,44.44444444444444,88.88888888888889,18.21807821807822,27.469135802469136,16.12349914236707,13.628900706404185,53.5875,76.575
PRIMARY,URBAN,15.0,100.0,100.0,100.0,100.0,100.0,68.14029180695847,67.50617283950618,68.77441077441078,75.0,73.33333333333333,80.0,66.66666666666667,90.9090909090909,68.33333333333333,94.66666666666667,50.0,89.33333333333333,22.666666666666668,48.03030303030303,80.15151515151514,25.454545454545453,37.72727272727273,48.78787878787878,74.6969159798099,68.33333333333333,89.08882539144943,18.233955170364904,89.33333333333333,74.17694344800144,77.14285714285714,98.33333333333333,37.72727272727273,67.77777777777777,93.33333333333333,100.0,80.0,100.0,86.66666666666667,100.0,93.33333333333333,86.66666666666667,73.33333333333333,100.0,52.02969869636536,55.13916283147052,31.81818181818182,15.093237986770939,404.1333333333333,60.46666666666667
SECONDARY,General,15.0,100.0,100.0,100.0,100.0,100.0,77.47512332628612,83.11515151515151,71.83509513742072,92.22222222222221,100.0,93.33333333333333,92.3076923076923,85.71428571428571,80.11111111111111,98.46153846153847,87.5,96.0,46.666666666666664,50.11904761904761,84.52380952380952,13.80952380952381,55.357142857142854,46.785714285714285,68.28827191063854,80.11111111111111,90.16873787533262,18.521860663797767,58.666666666666664,88.57809481456347,40.0,96.36363636363636,55.357142857142854,61.11111111111111,95.23809523809523,100.0,93.33333333333333,100.0,100.0,93.33333333333333,80.0,76.66666666666667,53.333333333333336,100.0,56.79012345679012,56.79012345679012,,15.685085193932071,530.6666666666666,30.733333333333334
SECONDARY,PERIURBAN,1.0,100.0,100.0,100.0,100.0,100.0,85.27777777777777,93.33333333333333,77.22222222222223,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,12.5,50.0,0.0,0.0,0.0,82.72705018359854,100.0,,,80.0,93.63525091799265,40.0,100.0,0.0,83.33333333333334,100.0,100.0,100.0,100.0,100.0,100.0,100.0,50.0,0.0,100.0,29.62962962962963,29.62962962962963,,18.705035971223023,139.0,26.0
SECONDARY,URBAN,14.0,100.0,100.0,100.0,100.0,100.0,76.91779086546528,82.38528138528139,71.45030034564918,91.66666666666666,100.0,92.85714285714286,91.66666666666667,84.61538461538461,78.69047619047619,98.33333333333333,83.33333333333333,95.71428571428571,42.857142857142854,53.01282051282051,87.17948717948717,14.871794871794872,59.61538461538461,50.38461538461539,67.25693060542712,78.69047619047619,90.16873787533262,18.521860663797767,57.142857142857146,88.21686937860424,40.0,96.0,59.61538461538461,59.52380952380952,94.89795918367346,100.0,92.85714285714286,100.0,100.0,92.85714285714286,78.57142857142857,78.57142857142857,57.142857142857146,100.0,58.73015873015873,58.73015873015873,,15.469374424125574,558.6428571428571,31.071428571428573
TERTIARY,General,6.0,100.0,100.0,100.0,100.0,100.0,74.08894500561166,73.27048260381594,74.9074074074074,55.555555555555564,80.0,60.0,60.0,100.0,61.666666666666664,100.0,60.0,86.66666666666667,3.3333333333333335,70.0,40.0,80.0,90.0,70.0,69.65948480771134,61.666666666666664,94.6797886240542,9.684912314530374,100.0,56.743924912889696,53.333333333333336,96.66666666666667,90.0,41.666666666666664,92.85714285714285,100.0,83.33333333333333,83.33333333333333,100.0,100.0,83.33333333333333,100.0,100.0,100.0,78.39506172839506,78.39506172839506,,26.454324724477885,3020.6666666666665,1103.8333333333333
TERTIARY,URBAN,6.0,100.0,100.0,100.0,100.0,100.0,74.08894500561166,73.27048260381594,74.9074074074074,55.555555555555564,80.0,60.0,60.0,100.0,61.666666666666664,100.0,60.0,86.66666666666667,3.3333333333333335,70.0,40.0,80.0,90.0,70.0,69.65948480771134,61.666666666666664,94.6797886240542,9.684912314530374,100.0,56.743924912889696,53.333333333333336,96.66666666666667,90.0,41.666666666666664,92.85714285714285,100.0,83.33333333333333,83.33333333333333,100.0,100.0,83.33333333333333,100.0,100.0,100.0,78.39506172839506,78.39506172839506,,26.454324724477885,3020.6666666666665,1103.8333333333333
