,,Facility count,HIV,TB,Malaria,ANC,Immu,Quality_Score,HW_Competence_Score,ANC_score,ANC_score,ART_score,TB_score,Patient_Centeredness_Score,PC_avg_Communication,PC_avg_Respect,PC_avg_Autonomy,PC_avg_Confidentiality,PC_avg_Social support,PC_avg_HW told,PC_avg_Danger signs,PC_avg_Rudeness,PC_avg_Challenges,iss_score,fac_iss,fac_tech,fac_stats,fac_group_PS,fac_comms_data,HTM-ANC,HTM-ANC,hiv testing,ART access,iptp scores,TB screening,system_CHW_score,chw_count,chw_iss,chw_contract,chw_contract_any,chw_paid,chw_tools,facility_composite,HTM-ANC,HTM-ANC,presence_score,caseload,ANC_score,ANC_score,DPT_score,TB_treatment_completion,ART_retention,CHW_count,CHW_paid_full,CLM_score,comm_data_collectors,quarterly_feedback,comm_data_analysis,CLM_aware,CLM_promotion,client_feedback,guideline_score,guide_HIV_test,guide_ART,guide_TB,guide_malaria,guide_anc,guide_immu,guide_imci,flowmeter_avl,flowmeter_func,humidifier_avl,humidifier_func,oxy_available,oxy_deliverable,oxygen_avl,oxygen_avo,oxygen_delivery_avl,oxygen_delivery_func,oxygen_score,pulse_oximeter_avl,pulse_oximeter_func,test-capac,fac_has_lab,fac_test_no_lab,fac_no_test,score with lab,score without lab,Antibodies to HIV 1/2 (anti HIV Ab),Qualitative (EID) or quantitative (viral load) HIV nucleic acid test (NAT),CD4 cell enumeration,Antibodies to Treponema pallidum OR Combined antibodies to T. pallidum and HIV 1/2,Lipoarabinomannan (LAM) antigen,Mycobacterium tuberculosis bacteria,M. tuberculosis DNA,Drug susceptibility testing of M. tuberculosis culture,Plasmodium spp. antigens; species-specific (e.g. HRP2) and/or pan species-specific (e.g. pan-pLDH),Staining procedures,Culture OR Culture and Genus and species identification of bacteria and fungi,Antimicrobial susceptibility testing (AST),C-reactive protein (CRP),"Complete blood count (CBC), automated",Prothrombin time and international normalized ratio (PT/INR),Blood culture,Blood gas,Glucose,Liver profile/Liver Function test,Renal function test,SARS-CoV-2 test,Hepatitis B surface antigen (HBsAg),Influenza A and B antigen,Influenza A and B diagnostic,"Qualitative dengue virus nucleic acid test, Dengue virus IgM antibody or Dengue virus antigen (NS1)",Qualitative nucleic acid test (NAT) for Chlamydia trachomatis (CT) and Neisseria gonorrhoeae (NG) infections,Measles nucleic acid test or Measle serology,Vibrio cholerae antigen,vacancy_score,all_funded_posts,all_unfilled_posts
COUNTRY,AVERAGE,120.0,82.5,55.0,98.33333333333333,90.0,100.0,76.790772053771,76.63137157062391,81.16015928515928,75.55016181229773,55.815602836879435,81.45833333333333,77.25356440511307,87.09070796460178,90.54203539823008,76.66297935103246,90.15117994100295,61.740412979351035,84.7172619047619,73.7905604719764,94.64601769911505,28.27044025157233,68.95833333333333,83.33333333333333,81.81818181818181,84.0,78.35051546391753,89.41176470588235,71.16185897435898,71.16185897435898,95.65,58.57142857142857,90.72115384615384,28.942307692307693,31.40625,2.466666666666667,54.0224358974359,11.25,41.746794871794876,34.34294871794872,26.009615384615383,68.6247774551477,71.16185897435898,71.16185897435898,84.26905684375389,13.202956786902151,81.16015928515928,75.55016181229773,82.5509311502168,94.83870967741936,93.67521367521368,2.466666666666667,34.34294871794872,56.527777777777764,50.833333333333336,46.666666666666664,49.166666666666664,48.333333333333336,48.333333333333336,95.83333333333333,86.9563492063492,82.82828282828282,89.47368421052632,72.72727272727273,96.61016949152543,84.25925925925925,97.5,81.5126050420168,91.30434782608695,89.1304347826087,67.3913043478261,67.3913043478261,95.65217391304348,95.65217391304348,63.04347826086956,97.82608695652173,93.47826086956522,97.82608695652173,80.43478260869566,100.0,97.82608695652173,27.65151515151515,40.0,46.666666666666664,13.333333333333334,50.0,12.752525252525253,60.0,28.333333333333332,5.833333333333333,35.833333333333336,2.5,75.0,56.25,37.5,82.5,95.83333333333333,31.25,35.416666666666664,29.166666666666668,72.91666666666667,33.333333333333336,33.333333333333336,14.583333333333334,93.75,58.333333333333336,58.333333333333336,27.5,46.666666666666664,8.333333333333334,10.0,18.75,18.75,25.0,2.7777777777777777,11.145317355135434,304.28333333333336,117.70833333333333
General,PERIURBAN,5.0,80.0,60.0,100.0,100.0,100.0,84.80925925925926,81.37777777777777,80.84444444444445,76.0,100.0,76.66666666666667,88.24074074074073,99.0,100.0,90.66666666666666,99.0,75.5,81.66666666666667,77.33333333333334,100.0,71.0,80.0,80.0,100.0,100.0,100.0,100.0,73.33333333333334,73.33333333333334,95.0,100.0,96.0,32.0,23.25,2.6,61.0,4.0,46.0,28.0,0.0,72.11667213505498,73.33333333333334,73.33333333333334,68.27380952380952,25.875,80.84444444444445,76.0,88.88137370510792,100.0,100.0,2.6,28.0,63.333333333333336,60.0,40.0,60.0,60.0,60.0,100.0,92.14285714285714,100.0,100.0,66.66666666666667,100.0,100.0,100.0,80.0,100.0,100.0,50.0,50.0,50.0,100.0,50.0,100.0,100.0,100.0,75.0,100.0,100.0,14.410774410774412,60.0,20.0,20.0,20.987654320987655,4.545454545454546,60.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,80.0,100.0,0.0,0.0,0.0,33.333333333333336,0.0,0.0,0.0,66.66666666666667,0.0,0.0,20.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,9.770418958950486,44.0,6.8
General,RURAL,80.0,75.0,35.0,97.5,85.0,100.0,77.51504258604733,77.43868320733992,79.7125946969697,74.609375,51.21212121212122,77.27272727272727,78.24644850329781,89.0582191780822,91.72945205479452,77.76826484018264,90.7648401826484,59.98858447488585,83.125,75.70776255707763,96.91780821917808,27.904040404040405,68.85416666666666,82.5,80.0,84.84848484848484,78.46153846153847,89.65517241379311,70.8984375,70.8984375,95.0,50.0,89.921875,29.53125,24.460093896713616,2.2125,48.42723004694836,5.962441314553991,34.88262910798122,26.15023474178404,17.300469483568072,65.44736007357561,70.8984375,70.8984375,83.19499888028874,11.387020266472863,79.7125946969697,74.609375,85.1824122165911,96.0,81.48148148148148,2.2125,26.15023474178404,54.791666666666664,48.75,46.25,46.25,45.0,46.25,96.25,83.60416666666666,71.66666666666667,75.0,57.142857142857146,96.15384615384616,77.94117647058823,97.5,79.74683544303798,88.88888888888889,77.77777777777777,44.44444444444444,44.44444444444444,88.88888888888889,100.0,44.44444444444444,88.88888888888889,88.88888888888889,100.0,66.66666666666667,100.0,88.88888888888889,14.688552188552189,15.0,66.25,18.75,27.469135802469136,12.433155080213904,43.75,5.0,0.0,13.75,0.0,33.333333333333336,33.333333333333336,16.666666666666668,75.0,83.33333333333333,0.0,8.333333333333334,8.333333333333334,25.0,16.666666666666668,0.0,0.0,91.66666666666667,16.666666666666668,16.666666666666668,3.75,23.75,0.0,1.25,0.0,16.666666666666668,25.0,2.9411764705882355,11.195911993908528,53.5875,76.575
General,URBAN,35.0,100.0,100.0,100.0,100.0,100.0,74.01049182299182,74.40788840788841,83.85223665223664,77.25490196078431,54.705882352941174,83.23529411764706,73.61309523809524,81.28571428571429,86.71428571428571,72.35714285714286,87.60714285714286,63.42857142857143,88.42857142857143,69.28571428571429,89.14285714285714,22.857142857142858,67.61904761904762,85.71428571428571,83.33333333333333,80.0,75.0,86.95652173913044,71.33333333333334,71.33333333333334,96.96969696969697,61.81818181818182,91.42857142857143,27.428571428571427,50.476190476190474,3.0285714285714285,66.96428571428571,25.952380952380956,58.392857142857146,56.25,52.73809523809524,75.38860365875423,71.33333333333334,71.33333333333334,90.42561977833975,16.917079254429808,83.85223665223664,77.25490196078431,76.11337882838791,94.16666666666667,97.14285714285714,3.0285714285714285,56.25,59.523809523809526,54.285714285714285,48.57142857142857,54.285714285714285,54.285714285714285,51.42857142857143,94.28571428571429,93.87755102040816,100.0,97.05882352941177,85.71428571428571,97.14285714285714,94.28571428571429,97.14285714285714,85.71428571428571,91.42857142857143,91.42857142857143,74.28571428571429,74.28571428571429,100.0,94.28571428571429,68.57142857142857,100.0,94.28571428571429,97.14285714285714,84.28571428571429,100.0,100.0,59.17267917267917,94.28571428571429,5.714285714285714,0.0,60.83052749719416,31.81818181818182,97.14285714285714,85.71428571428571,20.0,88.57142857142857,8.571428571428571,96.96969696969697,69.6969696969697,48.484848484848484,100.0,100.0,45.45454545454545,48.484848484848484,39.39393939393939,93.93939393939394,42.42424242424242,48.484848484848484,21.21212121212121,96.96969696969697,78.78787878787878,78.78787878787878,82.85714285714286,97.14285714285714,28.571428571428573,31.428571428571427,27.272727272727273,21.21212121212121,27.272727272727273,0.0,11.251197117330117,914.4857142857143,227.57142857142858
PRIMARY,General,99.0,78.78787878787878,45.45454545454545,97.97979797979798,87.87878787878788,100.0,76.55650919729364,75.75046422139445,80.42898868200074,77.1285140562249,43.205128205128204,78.51851851851852,77.64719202898551,88.27445652173913,91.75271739130434,77.08333333333334,90.68840579710145,61.21376811594203,82.94871794871794,72.80797101449275,95.59782608695652,28.901960784313722,68.26599326599326,82.82828282828282,79.01234567901234,84.14634146341463,77.77777777777777,90.0,70.23092369477912,70.23092369477912,94.87654320987654,50.0,90.06024096385542,27.59036144578313,26.38081395348837,2.242424242424242,49.321705426356594,7.635658914728683,35.94961240310077,28.042635658914726,20.523255813953487,67.21790494716959,70.23092369477912,70.23092369477912,83.25034655982476,12.835587689048094,80.42898868200074,77.1285140562249,83.3539615006742,98.82352941176471,91.51515151515152,2.242424242424242,28.042635658914726,56.73400673400673,50.505050505050505,48.484848484848484,48.484848484848484,47.474747474747474,48.484848484848484,96.96969696969697,85.34391534391534,78.2051282051282,83.33333333333333,64.44444444444444,96.90721649484536,80.45977011494253,97.97979797979798,81.63265306122449,92.0,88.0,64.0,64.0,92.0,100.0,60.0,96.0,88.0,96.0,78.0,100.0,96.0,20.16120803999592,27.272727272727273,56.56565656565657,16.161616161616163,39.91769547325103,12.752525252525253,52.525252525252526,16.161616161616163,1.0101010101010102,26.262626262626263,0.0,62.96296296296296,48.148148148148145,25.925925925925927,78.78787878787878,92.5925925925926,11.11111111111111,14.814814814814815,14.814814814814815,51.851851851851855,18.51851851851852,11.11111111111111,0.0,92.5925925925926,40.74074074074074,40.74074074074074,14.141414141414142,35.35353535353536,5.05050505050505,6.0606060606060606,14.814814814814815,14.814814814814815,25.925925925925927,2.7777777777777777,10.690509889804483,105.35353535353535,71.12121212121212
PRIMARY,PERIURBAN,4.0,75.0,50.0,100.0,100.0,100.0,84.69212962962962,78.38888888888889,76.05555555555556,75.0,100.0,75.0,90.99537037037037,98.75,100.0,92.08333333333333,98.75,71.875,77.08333333333334,91.66666666666667,100.0,88.75,75.0,75.0,100.0,100.0,100.0,100.0,66.66666666666667,66.66666666666667,93.75,,95.0,15.0,25.9375,2.75,63.75,5.0,45.0,35.0,0.0,66.46407762291909,66.66666666666667,66.66666666666667,68.27380952380952,25.875,76.05555555555556,75.0,87.29674796747967,100.0,100.0,2.75,35.0,58.333333333333336,50.0,50.0,50.0,50.0,50.0,100.0,90.17857142857143,100.0,100.0,50.0,100.0,100.0,100.0,75.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,10.606060606060607,50.0,25.0,25.0,16.666666666666668,4.545454545454546,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,7.536764705882353,20.25,2.0
PRIMARY,RURAL,80.0,75.0,35.0,97.5,85.0,100.0,77.51504258604733,77.43868320733992,79.7125946969697,74.609375,51.21212121212122,77.27272727272727,78.24644850329781,89.0582191780822,91.72945205479452,77.76826484018264,90.7648401826484,59.98858447488585,83.125,75.70776255707763,96.91780821917808,27.904040404040405,68.85416666666666,82.5,80.0,84.84848484848484,78.46153846153847,89.65517241379311,70.8984375,70.8984375,95.0,50.0,89.921875,29.53125,24.460093896713616,2.2125,48.42723004694836,5.962441314553991,34.88262910798122,26.15023474178404,17.300469483568072,65.44736007357561,70.8984375,70.8984375,83.19499888028874,11.387020266472863,79.7125946969697,74.609375,85.1824122165911,96.0,81.48148148148148,2.2125,26.15023474178404,54.791666666666664,48.75,46.25,46.25,45.0,46.25,96.25,83.60416666666666,71.66666666666667,75.0,57.142857142857146,96.15384615384616,77.94117647058823,97.5,79.74683544303798,88.88888888888889,77.77777777777777,44.44444444444444,44.44444444444444,88.88888888888889,100.0,44.44444444444444,88.88888888888889,88.88888888888889,100.0,66.66666666666667,100.0,88.88888888888889,14.688552188552189,15.0,66.25,18.75,27.469135802469136,12.433155080213904,43.75,5.0,0.0,13.75,0.0,33.333333333333336,33.333333333333336,16.666666666666668,75.0,83.33333333333333,0.0,8.333333333333334,8.333333333333334,25.0,16.666666666666668,0.0,0.0,91.66666666666667,16.666666666666668,16.666666666666668,3.75,23.75,0.0,1.25,0.0,16.666666666666668,25.0,2.9411764705882355,11.195911993908528,53.5875,76.575
PRIMARY,URBAN,15.0,100.0,100.0,100.0,100.0,100.0,69.33873456790123,67.50617283950618,84.65185185185186,88.44444444444444,32.857142857142854,80.0,71.17129629629629,81.66666666666667,89.66666666666667,69.75,88.16666666666667,64.33333333333333,83.66666666666667,53.666666666666664,88.0,17.333333333333332,63.333333333333336,86.66666666666667,69.23076923076923,76.92307692307692,69.23076923076923,88.88888888888889,68.33333333333333,68.33333333333333,94.66666666666667,50.0,89.33333333333333,22.666666666666668,38.93939393939394,2.2666666666666666,49.84848484848485,19.393939393939394,39.54545454545455,37.72727272727273,48.78787878787878,76.86183155947096,68.33333333333333,68.33333333333333,89.08882539144943,18.233955170364904,84.65185185185186,88.44444444444444,73.30125391333415,100.0,98.33333333333333,2.2666666666666666,37.72727272727273,66.66666666666667,60.0,60.0,60.0,60.0,60.0,100.0,93.33333333333333,100.0,92.85714285714286,80.0,100.0,86.66666666666667,100.0,93.33333333333333,93.33333333333333,93.33333333333333,73.33333333333333,73.33333333333333,100.0,100.0,66.66666666666667,100.0,86.66666666666667,93.33333333333333,83.33333333333333,100.0,100.0,51.89674523007856,86.66666666666667,13.333333333333334,0.0,54.98575498575498,31.81818181818182,100.0,80.0,6.666666666666667,100.0,0.0,100.0,69.23076923076923,38.46153846153846,100.0,100.0,23.076923076923077,23.076923076923077,23.076923076923077,84.61538461538461,23.076923076923077,23.076923076923077,0.0,100.0,69.23076923076923,69.23076923076923,73.33333333333333,93.33333333333333,33.333333333333336,33.333333333333336,30.76923076923077,15.384615384615385,30.76923076923077,0.0,9.028469271540292,404.1333333333333,60.46666666666667
SECONDARY,General,15.0,100.0,100.0,100.0,100.0,100.0,78.9784090909091,83.02626262626264,86.41212121212122,58.666666666666664,76.66666666666667,86.0,74.93055555555556,82.33333333333333,85.0,72.08333333333333,83.91666666666667,65.0,93.33333333333333,74.66666666666667,90.66666666666667,28.0,85.55555555555556,93.33333333333333,100.0,92.85714285714286,91.66666666666667,84.61538461538461,80.11111111111111,80.11111111111111,98.46153846153847,87.5,96.0,46.666666666666664,50.892857142857146,3.6,85.47619047619048,13.80952380952381,63.57142857142857,57.142857142857146,47.142857142857146,76.168707718528,80.11111111111111,80.11111111111111,90.16873787533262,18.521860663797767,86.41212121212122,58.666666666666664,87.84141011561464,95.0,96.36363636363636,3.6,57.142857142857146,61.11111111111111,60.0,46.666666666666664,60.0,60.0,53.333333333333336,86.66666666666667,95.23809523809523,100.0,100.0,93.33333333333333,100.0,100.0,93.33333333333333,80.0,86.66666666666667,86.66666666666667,60.0,60.0,100.0,86.66666666666667,53.333333333333336,100.0,100.0,100.0,76.66666666666667,100.0,100.0,56.79012345679012,100.0,0.0,0.0,56.79012345679012,,93.33333333333333,80.0,20.0,80.0,20.0,86.66666666666667,60.0,46.666666666666664,100.0,100.0,40.0,46.666666666666664,26.666666666666668,100.0,40.0,46.666666666666664,20.0,93.33333333333333,73.33333333333333,73.33333333333333,86.66666666666667,100.0,26.666666666666668,20.0,20.0,20.0,13.333333333333334,,9.662591279212933,530.6666666666666,30.733333333333334
SECONDARY,PERIURBAN,1.0,100.0,100.0,100.0,100.0,100.0,85.27777777777777,93.33333333333333,100.0,80.0,100.0,80.0,77.22222222222223,100.0,100.0,85.0,100.0,90.0,100.0,20.0,100.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,12.5,2.0,50.0,0.0,50.0,0.0,0.0,94.72705018359854,100.0,100.0,,,100.0,80.0,93.63525091799265,100.0,100.0,2.0,0.0,83.33333333333333,100.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,100.0,100.0,0.0,100.0,100.0,100.0,50.0,100.0,100.0,29.62962962962963,100.0,0.0,0.0,29.62962962962963,,100.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,,18.705035971223023,139.0,26.0
