tHFA_A001,Q117,Facility count,HIV,TB,Malaria,ANC,Immu,Quality_Score,HW_Competence_Score,ANC_score,ART_score,TB_score,Patient_Centeredness_Score,PC_avg_Communication,PC_avg_Respect,PC_avg_Autonomy,PC_avg_Confidentiality,PC_avg_Social support,PC_avg_HW told,PC_avg_Danger signs,PC_avg_Rudeness,PC_avg_Challenges,iss_score,fac_iss,fac_tech,fac_stats,fac_group_PS,fac_comms_data,HTM-ANC,hiv testing,ART access,iptp scores,TB screening,system_CHW_score,chw_count,chw_iss,chw_contract,chw_paid,chw_tools,facility_composite,HTM-ANC,presence_score,caseload,ANC_score,DPT_score,TB_treatment_completion,ART_retention,CHW_paid,CLM_score,guideline_score,guide_HIV_test,guide_ART,guide_TB,guide_malaria,guide_anc,guide_immu,guide_imci,oxygen_score,oxygen_avl,oxygen_avo,test-capac,with lab,without lab,vacancy_score,all_funded_posts,all_unfilled_posts
COUNTRY,AVERAGE,120.0,82.5,55.0,98.33333333333333,90.0,100.0,76.790772053771,76.63137157062391,81.16015928515928,55.815602836879435,81.45833333333333,77.25356440511307,87.09070796460178,90.54203539823008,76.66297935103246,90.15117994100295,61.740412979351035,84.7172619047619,73.7905604719764,94.64601769911505,28.27044025157233,68.95833333333333,83.33333333333333,81.81818181818181,84.0,78.35051546391753,89.41176470588235,71.16185897435898,95.65,58.57142857142857,90.72115384615384,28.942307692307693,31.22596153846154,2.466666666666667,53.78205128205128,11.25,34.1025641025641,25.76923076923077,66.4188441646892,71.16185897435898,84.26905684375389,13.202956786902151,76.10576923076923,82.5509311502168,51.458333333333336,93.67521367521368,34.1025641025641,57.5,86.9563492063492,82.82828282828282,89.47368421052632,72.72727272727273,96.61016949152543,84.25925925925925,97.5,81.5126050420168,80.43478260869566,63.04347826086956,97.82608695652173,31.905594405594403,50.0,16.3961038961039,14.34728790089632,304.28333333333336,117.70833333333333
PRIMARY,General,99.0,78.78787878787878,45.45454545454545,97.97979797979798,87.87878787878788,100.0,76.55650919729364,75.75046422139445,80.42898868200074,43.205128205128204,78.51851851851852,77.64719202898551,88.27445652173913,91.75271739130434,77.08333333333334,90.68840579710145,61.21376811594203,82.94871794871794,72.80797101449275,95.59782608695652,28.901960784313722,68.26599326599326,82.82828282828282,79.01234567901234,84.14634146341463,77.77777777777777,90.0,70.23092369477912,94.87654320987654,50.0,90.06024096385542,27.59036144578313,26.38081395348837,2.242424242424242,49.321705426356594,7.635658914728683,28.042635658914726,20.523255813953487,65.95627157408308,70.23092369477912,83.25034655982476,12.835587689048094,77.53012048192771,83.3539615006742,57.407407407407405,91.51515151515152,28.042635658914726,57.91245791245791,85.34391534391534,78.2051282051282,83.33333333333333,64.44444444444444,96.90721649484536,80.45977011494253,97.97979797979798,81.63265306122449,78.0,60.0,96.0,24.04770597541682,39.91769547325103,16.3961038961039,13.602775871658684,105.35353535353535,71.12121212121212
PRIMARY,PERIURBAN,4.0,75.0,50.0,100.0,100.0,100.0,84.69212962962962,78.38888888888889,76.05555555555556,100.0,75.0,90.99537037037037,98.75,100.0,92.08333333333333,98.75,71.875,77.08333333333334,91.66666666666667,100.0,88.75,75.0,75.0,100.0,100.0,100.0,100.0,66.66666666666667,93.75,,95.0,15.0,25.9375,2.75,63.75,5.0,35.0,0.0,63.75441347270616,66.66666666666667,68.27380952380952,25.875,75.0,87.29674796747967,50.0,100.0,35.0,66.66666666666667,90.17857142857143,100.0,100.0,50.0,100.0,100.0,100.0,75.0,100.0,100.0,100.0,14.141414141414144,16.666666666666668,9.090909090909092,7.536764705882353,20.25,2.0
PRIMARY,RURAL,80.0,75.0,35.0,97.5,85.0,100.0,77.51504258604733,77.43868320733992,79.7125946969697,51.21212121212122,77.27272727272727,78.24644850329781,89.0582191780822,91.72945205479452,77.76826484018264,90.7648401826484,59.98858447488585,83.125,75.70776255707763,96.91780821917808,27.904040404040405,68.85416666666666,82.5,80.0,84.84848484848484,78.46153846153847,89.65517241379311,70.8984375,95.0,50.0,89.921875,29.53125,24.460093896713616,2.2125,48.42723004694836,5.962441314553991,26.15023474178404,17.300469483568072,64.4575668376276,70.8984375,83.19499888028874,11.387020266472863,74.921875,85.1824122165911,33.63636363636363,81.48148148148148,26.15023474178404,55.625,83.60416666666666,71.66666666666667,75.0,57.142857142857146,96.15384615384616,77.94117647058823,97.5,79.74683544303798,66.66666666666667,44.44444444444444,88.88888888888889,18.07821807821808,27.469135802469136,15.951972555746142,13.628900706404185,53.5875,76.575
PRIMARY,URBAN,15.0,100.0,100.0,100.0,100.0,100.0,69.33873456790123,67.50617283950618,84.65185185185186,32.857142857142854,80.0,71.17129629629629,81.66666666666667,89.66666666666667,69.75,88.16666666666667,64.33333333333333,83.66666666666667,53.666666666666664,88.0,17.333333333333332,63.333333333333336,86.66666666666667,69.23076923076923,76.92307692307692,69.23076923076923,88.88888888888889,68.33333333333333,94.66666666666667,50.0,89.33333333333333,22.666666666666668,38.93939393939394,2.2666666666666666,49.84848484848485,19.393939393939394,37.72727272727273,48.78787878787878,74.5365256622128,68.33333333333333,89.08882539144943,18.233955170364904,89.33333333333333,73.30125391333415,77.14285714285714,98.33333333333333,37.72727272727273,67.77777777777777,93.33333333333333,100.0,92.85714285714286,80.0,100.0,86.66666666666667,100.0,93.33333333333333,83.33333333333333,66.66666666666667,100.0,51.89674523007856,54.98575498575498,31.81818181818182,15.093237986770939,404.1333333333333,60.46666666666667
SECONDARY,General,15.0,100.0,100.0,100.0,100.0,100.0,78.9784090909091,83.02626262626264,86.41212121212122,76.66666666666667,86.0,74.93055555555556,82.33333333333333,85.0,72.08333333333333,83.91666666666667,65.0,93.33333333333333,74.66666666666667,90.66666666666667,28.0,85.55555555555556,93.33333333333333,100.0,92.85714285714286,91.66666666666667,84.61538461538461,80.11111111111111,98.46153846153847,87.5,96.0,46.666666666666664,49.55357142857143,3.6,83.69047619047619,13.80952380952381,55.357142857142854,45.357142857142854,68.1755670054808,80.11111111111111,90.16873787533262,18.521860663797767,58.666666666666664,87.84141011561464,40.0,96.36363636363636,55.357142857142854,61.11111111111111,95.23809523809523,100.0,100.0,93.33333333333333,100.0,100.0,93.33333333333333,80.0,76.66666666666667,53.333333333333336,100.0,56.79012345679012,56.79012345679012,,15.685085193932071,530.6666666666666,30.733333333333334
SECONDARY,PERIURBAN,1.0,100.0,100.0,100.0,100.0,100.0,85.27777777777777,93.33333333333333,100.0,100.0,80.0,77.22222222222223,100.0,100.0,85.0,100.0,90.0,100.0,20.0,100.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,12.5,2.0,50.0,0.0,0.0,0.0,82.72705018359854,100.0,,,80.0,93.63525091799265,40.0,100.0,0.0,83.33333333333334,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,50.0,0.0,100.0,29.62962962962963,29.62962962962963,,18.705035971223023,139.0,26.0
SECONDARY,URBAN,14.0,100.0,100.0,100.0,100.0,100.0,78.52845418470419,82.29004329004329,85.44155844155844,75.0,86.42857142857143,74.76686507936508,81.07142857142857,83.92857142857143,71.16071428571429,82.76785714285714,63.214285714285715,92.85714285714286,78.57142857142857,90.0,30.0,84.52380952380952,92.85714285714286,100.0,92.3076923076923,90.9090909090909,83.33333333333333,78.69047619047619,98.33333333333333,83.33333333333333,95.71428571428571,42.857142857142854,52.40384615384615,3.7142857142857144,86.28205128205128,14.871794871794872,59.61538461538461,48.84615384615385,67.13617534990097,78.69047619047619,90.16873787533262,18.521860663797767,57.142857142857146,87.42756434401619,40.0,96.0,59.61538461538461,59.52380952380952,94.89795918367346,100.0,100.0,92.85714285714286,100.0,100.0,92.85714285714286,78.57142857142857,78.57142857142857,57.142857142857146,100.0,58.73015873015873,58.73015873015873,,15.469374424125574,558.6428571428571,31.071428571428573
TERTIARY,General,6.0,100.0,100.0,100.0,100.0,100.0,75.14797278338945,73.27048260381594,78.14478114478113,58.333333333333336,83.33333333333333,77.02546296296298,80.83333333333333,85.83333333333333,81.66666666666667,97.5,61.666666666666664,90.0,86.66666666666667,90.0,20.0,38.88888888888889,66.66666666666667,75.0,50.0,50.0,100.0,61.666666666666664,100.0,60.0,86.66666666666667,3.3333333333333335,71.25,3.3333333333333335,45.0,80.0,90.0,70.0,69.65948480771134,61.666666666666664,94.6797886240542,9.684912314530374,100.0,56.743924912889696,53.333333333333336,96.66666666666667,90.0,41.666666666666664,92.85714285714285,100.0,100.0,83.33333333333333,83.33333333333333,100.0,100.0,83.33333333333333,100.0,100.0,100.0,78.39506172839506,78.39506172839506,,26.454324724477885,3020.6666666666665,1103.8333333333333
TERTIARY,URBAN,6.0,100.0,100.0,100.0,100.0,100.0,75.14797278338945,73.27048260381594,78.14478114478113,58.333333333333336,83.33333333333333,77.02546296296298,80.83333333333333,85.83333333333333,81.66666666666667,97.5,61.666666666666664,90.0,86.66666666666667,90.0,20.0,38.88888888888889,66.66666666666667,75.0,50.0,50.0,100.0,61.666666666666664,100.0,60.0,86.66666666666667,3.3333333333333335,71.25,3.3333333333333335,45.0,80.0,90.0,70.0,69.65948480771134,61.666666666666664,94.6797886240542,9.684912314530374,100.0,56.743924912889696,53.333333333333336,96.66666666666667,90.0,41.666666666666664,92.85714285714285,100.0,100.0,83.33333333333333,83.33333333333333,100.0,100.0,83.33333333333333,100.0,100.0,100.0,78.39506172839506,78.39506172839506,,26.454324724477885,3020.6666666666665,1103.8333333333333
