Q100,Q102,Q105,Q106,Q105_a,Q113,Q113_A,Q116,Q116_A,Q117,Q118,tHFA_A001,tHFA_A002,HIV,TB,Malaria,ANC,Immu,Quality_Score,HW_Competence_Score,HW_Check,ANC_score,ART_score,TB_score,Patient_Centeredness_Score,PC_Individuals,PC_attributes,PC_avg_Communication,PC_avg_Respect,PC_avg_Autonomy,PC_avg_Confidentiality,PC_avg_Social support,PC_avg_HW told,PC_avg_Danger signs,PC_avg_Rudeness,PC_avg_Challenges,iss_score,iss_check,fac_iss,fac_tech,fac_stats,fac_group_PS,fac_comms_data,HTM-ANC,hiv testing,ART access,iptp scores,TB screening,system_CHW_score,chw_count,chw_show,chw_iss,chw_contract,chw_contract_any,chw_paid,chw_tools,facility_composite,HTM-ANC,presence_score,caseload,ANC_score,DPT_score,TB_treatment_completion,ART_retention,CHW_count,CHW_paid_full,CHW_scores,CLM_score,comm_data_collectors,quarterly_feedback,comm_data_analysis,CLM_aware,CLM_promotion,client_feedback,guideline_score,guide_HIV_test,guide_ART,guide_TB,guide_malaria,guide_anc,guide_immu,guide_imci,flowmeter_avl,flowmeter_func,humidifier_avl,humidifier_func,oxy_available,oxy_deliverable,oxygen_avl,oxygen_avo,oxygen_delivery_avl,oxygen_delivery_func,oxygen_score,pulse_oximeter_avl,pulse_oximeter_func,test-capac,fac_has_lab,fac_test_no_lab,fac_no_test,score with lab,score without lab,Antibodies to HIV 1/2 (anti HIV Ab),Qualitative (EID) or quantitative (viral load) HIV nucleic acid test (NAT),CD4 cell enumeration,Antibodies to Treponema pallidum OR Combined antibodies to T. pallidum and HIV 1/2,Lipoarabinomannan (LAM) antigen,Mycobacterium tuberculosis bacteria,M. tuberculosis DNA,Drug susceptibility testing of M. tuberculosis culture,Plasmodium spp. antigens; species-specific (e.g. HRP2) and/or pan species-specific (e.g. pan-pLDH),Staining procedures,Culture OR Culture and Genus and species identification of bacteria and fungi,Antimicrobial susceptibility testing (AST),C-reactive protein (CRP),"Complete blood count (CBC), automated",Prothrombin time and international normalized ratio (PT/INR),Blood culture,Blood gas,Glucose,Liver profile/Liver Function test,Renal function test,SARS-CoV-2 test,Hepatitis B surface antigen (HBsAg),Influenza A and B antigen,Influenza A and B diagnostic,"Qualitative dengue virus nucleic acid test, Dengue virus IgM antibody or Dengue virus antigen (NS1)",Qualitative nucleic acid test (NAT) for Chlamydia trachomatis (CT) and Neisseria gonorrhoeae (NG) infections,Measles nucleic acid test or Measle serology,Vibrio cholerae antigen,vacancy_score,all_funded_posts,all_unfilled_posts
GHA_004637,Abease CHPS,Brong Ahafo,Pru West,PRIMARY,HEALTH CENTRE,,MISSION/FAITH-BASED,,RURAL,BOTH OUT AND INPATIENT,PRIMARY,57000,0,0,100,100,100,80.93055555555556,82.0,"[np.float64(90.0), np.float64(90.0), np.float64(70.0), np.float64(80.0), np.float64(80.0)]",82.0,,,79.86111111111111,"[np.float64(100.0), np.float64(88.88888888888889), np.float64(63.888888888888886), np.float64(66.66666666666667), np.float64(nan)]","[100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 0, 100, 100, 100, 100, 75, 100, 100, 0, 0, 100, 0, 100, 100, 100, 100, 0, 100, 0, 100, 0, nan, nan, nan, nan, nan, nan, nan, nan, nan]",100.0,100.0,93.75,100.0,75.0,75.0,25.0,100.0,50.0,75.0,"[100, 0, 100, 100]",100,100.0,0.0,100.0,100.0,46.66666666666667,40.0,,100.0,0.0,0.0,3,"[np.float64(0.0), np.float64(0.0), np.float64(0.0)]",0.0,0.0,0.0,0.0,0.0,69.26461295418642,46.66666666666667,100.0,2.5,100.0,97.1563981042654,,,3,0.0,"[0, 0, 0]",100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,,,100.0,100.0,100.0,,100.0,0.0,0.0,0.0,100.0,100.0,0.0,100.0,100.0,100.0,50.0,100.0,100.0,18.51851851851852,100.0,0.0,0.0,18.51851851851852,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,100.0,,47.008547008547005,117.0,55.0
GHA_000880,Tetrefu Health Centre,Ashanti,Bosomtwe,PRIMARY,HEALTH CENTRE,,OTHER (SPECIFY),Ghana Health Service,RURAL,OUTPATIENT ONLY,PRIMARY,4527,100,100,100,100,100,51.54545454545455,53.090909090909086,"[np.float64(50.0), np.float64(50.0), np.float64(60.0), np.float64(60.0), np.float64(45.45454545454545)]",53.090909090909086,,,50.0,"[np.float64(55.55555555555556), np.float64(44.44444444444444), np.float64(nan), np.float64(nan), np.float64(nan)]","[100, 100, 100, 100, 0, 0, 0, 100, 0, 100, 100, 100, 0, 0, 0, 0, 100, 0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",100.0,100.0,100.0,50.0,0.0,0.0,0.0,100.0,0.0,100.0,"[100, 100, nan, 100]",100,100.0,100.0,,100.0,61.66666666666667,100.0,100.0,80.0,0.0,0.0,1,[np.float64(0.0)],0.0,0.0,0.0,0.0,0.0,58.99904214559386,61.66666666666667,88.88888888888889,3.75,80.0,60.689655172413794,,,1,0.0,[0],16.666666666666668,0.0,0.0,0.0,0.0,0.0,100.0,28.571428571428573,0.0,0.0,0.0,100.0,0.0,100.0,0.0,,,,,,,,,,,,,,0.0,0.0,100.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,0.0,0.0,22.0,0.0
GHA_002072,Kintampo Municipal Hospital,Brong Ahafo,Kintampo North,PRIMARY,DISTRICT HOSPITAL,,MINISTRY OF HEALTH (GOVERNMENT),,URBAN,BOTH OUT AND INPATIENT,PRIMARY,147143,100,100,100,100,100,63.974747474747474,57.39393939393939,"[np.float64(100.0), np.float64(90.9090909090909), np.float64(90.0), np.float64(90.0), np.float64(90.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(100.0), np.float64(100.0), np.float64(50.0), np.float64(100.0), np.float64(50.0)]",92.18181818181817,0.0,80.0,70.55555555555556,"[np.float64(66.66666666666667), np.float64(55.55555555555556), np.float64(77.77777777777777), np.float64(80.55555555555556), np.float64(72.22222222222223)]","[100, 100, 100, 0, 100, 0, 0, 100, 100, 100, 100, 0, 100, 0, 0, 0, 100, 100, 100, 100, 100, 100, 100, 0, 0, 100, 100, 100, 100, 100, 0, 25, 100, 100, 100, 100, 100, 100, 100, 100, 50, 100, 0, 100, 0]",100.0,100.0,80.0,60.0,55.0,40.0,20.0,100.0,80.0,0.0,"[0, 0, 0, nan]",100,0.0,0.0,0.0,,75.00000000000001,100.0,50.0,100.0,40.0,,0,[],,,,,,67.5875850340136,75.00000000000001,95.23809523809523,11.25,60.0,31.625000000000004,100.0,100.0,0,,[],16.666666666666668,0.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,40.74074074074074,100.0,0.0,0.0,40.74074074074074,,100.0,100.0,0.0,100.0,0.0,100.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,0.0,0.0,100.0,100.0,0.0,,24.96025437201908,629.0,157.0
GHA_002222,Premuase CHPS,Brong Ahafo,Sene East,PRIMARY,CHPS,,MINISTRY OF HEALTH (GOVERNMENT),,RURAL,OUTPATIENT ONLY,PRIMARY,5004,0,0,100,100,100,80.38888888888889,88.0,"[np.float64(80.0), np.float64(90.0), np.float64(90.0), np.float64(90.0), np.float64(90.0)]",88.0,,,72.77777777777779,"[np.float64(100.0), np.float64(72.22222222222223), np.float64(72.22222222222223), np.float64(55.55555555555556), np.float64(63.888888888888886)]","[100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 25, 100, 25, 100, 0, 100, 100, 100, 100, 100, 100, 50, 0, 0, 100, 100, 50, 100, 50, 100, 100, 0, 0, 100, 0, 100, 100, 100, 100, 75, 0, 0, 100, 0]",90.0,100.0,75.0,100.0,70.0,40.0,20.0,100.0,60.0,100.0,"[100, 100, 100, 100]",100,100.0,100.0,100.0,100.0,66.66666666666667,100.0,,100.0,0.0,25.0,2,"[np.float64(25.0), np.float64(25.0)]",100.0,0.0,0.0,0.0,0.0,63.352575315840625,66.66666666666667,100.0,1.0,80.0,69.09620991253644,,,2,0.0,"[0, 0]",16.666666666666668,0.0,0.0,0.0,0.0,0.0,100.0,100.0,,,,100.0,100.0,100.0,100.0,,,,,,,,,,,,,,9.090909090909092,0.0,100.0,0.0,,9.090909090909092,0.0,0.0,0.0,0.0,0.0,,,,100.0,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,0.0,33.33333333333333,9.0,3.0
GHA_002993,Aboso CHPS,Central,Gomoa East,PRIMARY,CHPS,,MINISTRY OF HEALTH (GOVERNMENT),,RURAL,OUTPATIENT ONLY,PRIMARY,15210,100,100,100,100,100,71.41534391534391,58.57142857142857,"[np.float64(70.0), np.float64(60.0), np.float64(70.0), np.float64(60.0), np.float64(50.0), np.float64(50.0), np.float64(50.0)]",65.0,,50.0,84.25925925925925,"[np.float64(83.33333333333333), np.float64(88.88888888888889), np.float64(80.55555555555556), np.float64(nan), np.float64(nan)]","[100, 100, 100, 100, 50, 100, 0, 100, 100, 100, 100, 75, 100, 25, 100, 100, 100, 100, 100, 100, 75, 100, 50, 0, 100, 100, 100, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",100.0,100.0,83.33333333333333,100.0,41.666666666666664,66.66666666666667,66.66666666666667,100.0,100.0,75.0,"[0, 100, 100, 100]",100,0.0,100.0,100.0,100.0,58.33333333333334,100.0,,75.0,0.0,0.0,2,"[np.float64(0.0), np.float64(0.0)]",0.0,0.0,100.0,0.0,0.0,59.26233453670277,58.33333333333334,100.0,10.0,50.0,77.9783393501805,,,2,0.0,"[0, 0]",16.666666666666668,0.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,,,,,,,,,,,,,18.181818181818183,0.0,100.0,0.0,,18.181818181818183,100.0,0.0,0.0,0.0,0.0,,,,100.0,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,0.0,30.0,20.0,6.0
GHA_000129,Ampunyase Health Centre,Ashanti,Adansi South,PRIMARY,HEALTH CENTRE,,OTHER (SPECIFY),Ghana Health Service,RURAL,OUTPATIENT ONLY,PRIMARY,10074,100,100,100,100,100,57.18518518518519,44.0,"[np.float64(60.0), np.float64(20.0), np.float64(30.0), np.float64(60.0), np.float64(50.0)]",44.0,,,70.37037037037038,"[np.float64(72.22222222222223), np.float64(72.22222222222223), np.float64(66.66666666666667), np.float64(nan), np.float64(nan)]","[100, 50, 100, 100, 0, 100, 100, 100, 0, 100, 100, 50, 100, 0, 100, 100, 100, 0, 100, 100, 100, 100, 0, 0, 0, 100, 100, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",100.0,83.33333333333333,83.33333333333333,100.0,0.0,66.66666666666667,66.66666666666667,100.0,33.333333333333336,25.0,"[0, 0, 0, 100]",100,0.0,0.0,0.0,100.0,46.66666666666667,80.0,,60.0,0.0,25.0,1,[np.float64(25.0)],100.0,0.0,0.0,0.0,0.0,54.314449917898195,46.66666666666667,87.5,1.4285714285714284,40.0,95.97701149425288,,,1,0.0,[0],16.666666666666668,0.0,0.0,0.0,0.0,0.0,100.0,71.42857142857143,100.0,0.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,100.0,0.0,100.0,0.0,9.090909090909092,0.0,100.0,0.0,,9.090909090909092,0.0,0.0,0.0,0.0,0.0,,,,100.0,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,0.0,0.0,10.0,0.0
GHA_002447,Breme CHPS,Brong Ahafo,Tano South,PRIMARY,CHPS,,LOCAL GOVERNMENT,,RURAL,OUTPATIENT ONLY,PRIMARY,2450,0,0,100,100,100,73.14814814814815,50.0,"[np.float64(30.0), np.float64(60.0), np.float64(50.0), np.float64(50.0), np.float64(60.0)]",50.0,,,96.2962962962963,"[np.float64(100.0), np.float64(88.88888888888889), np.float64(100.0), np.float64(nan), np.float64(nan)]","[100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 0, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",100.0,100.0,100.0,100.0,100.0,66.66666666666667,100.0,100.0,100.0,100.0,"[100, 100, 100, 100]",100,100.0,100.0,100.0,100.0,26.666666666666668,0.0,,80.0,0.0,25.0,1,[np.float64(25.0)],0.0,0.0,0.0,0.0,100.0,22.869565217391305,26.666666666666668,50.0,0.0,0.0,37.68115942028986,,,1,0.0,[0],100.0,100.0,100.0,100.0,100.0,100.0,100.0,75.0,,,,100.0,0.0,100.0,100.0,,,,,,,,,,,,,,0.0,0.0,0.0,100.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,0.0,,999.0,999.0
GHA_007239,Alabonu CHPS,Volta,North Tongu,PRIMARY,CHPS,,MINISTRY OF HEALTH (GOVERNMENT),,RURAL,OUTPATIENT ONLY,PRIMARY,3821,100,0,100,100,100,86.7550505050505,87.3989898989899,"[np.float64(88.88888888888889), np.float64(81.81818181818181), np.float64(88.88888888888889), np.float64(90.0)]",87.3989898989899,,,86.11111111111111,"[np.float64(86.11111111111111), np.float64(nan), np.float64(nan), np.float64(nan), np.float64(nan)]","[100, 100, 100, 100, 75, 100, 100, 100, 0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",100.0,100.0,100.0,100.0,75.0,100.0,100.0,100.0,0.0,100.0,"[100, 100, 100, 100]",100,100.0,100.0,100.0,100.0,54.16666666666667,100.0,0.0,100.0,0.0,0.0,1,[np.float64(0.0)],0.0,0.0,0.0,0.0,0.0,58.10064935064936,54.16666666666667,100.0,6.25,50.0,80.08658008658008,,,1,0.0,[0],16.666666666666668,0.0,0.0,0.0,0.0,0.0,100.0,80.0,100.0,,,100.0,100.0,100.0,0.0,,,,,,,,,,,,,,0.0,0.0,0.0,100.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,0.0,0.0,5.0,0.0
GHA_000018,Brong Ahafo Regional Hospital,Brong Ahafo,Sunyani Municipal,SECONDARY,TEACHING HOSPITAL,,MINISTRY OF HEALTH (GOVERNMENT),,URBAN,BOTH OUT AND INPATIENT,TERTIARY,9,100,100,100,100,100,72.84343434343434,66.24242424242424,"[np.float64(63.63636363636363), np.float64(70.0), np.float64(70.0), np.float64(70.0), np.float64(70.0), np.float64(50.0), np.float64(50.0), np.float64(50.0), np.float64(50.0), np.float64(50.0), np.float64(100.0), np.float64(100.0), np.float64(50.0), np.float64(100.0), np.float64(50.0)]",68.72727272727272,50.0,80.0,79.44444444444444,"[np.float64(100.0), np.float64(75.0), np.float64(75.0), np.float64(77.77777777777777), np.float64(69.44444444444444)]","[100, 100, 100, 100, 100, 100, 100, 100, 100, 75, 75, 75, 100, 50, 100, 100, 100, 0, 100, 75, 75, 100, 25, 100, 0, 100, 100, 100, 100, 100, 100, 0, 100, 100, 100, 0, 75, 75, 75, 75, 25, 100, 0, 100, 100]",90.0,85.0,85.0,95.0,40.0,100.0,60.0,100.0,60.0,100.0,"[100, 100, 100, 100]",100,100.0,100.0,100.0,100.0,63.333333333333336,100.0,0.0,100.0,0.0,85.0,5,"[np.float64(100.0), np.float64(75.0), np.float64(100.0), np.float64(100.0), np.float64(50.0)]",80.0,100.0,100.0,100.0,60.0,74.27600931128113,63.333333333333336,99.0521327014218,10.119617224880383,100.0,47.42698191933241,100.0,100.0,5,100.0,"[100, 100, 100, 100, 100]",83.33333333333333,100.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,74.07407407407408,100.0,0.0,0.0,74.07407407407408,,100.0,100.0,100.0,0.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,,66.57142857142857,3500.0,2330.0
GHA_009175,Nyamebebu CHPS,Central,Assin South,PRIMARY,CHPS,,MINISTRY OF HEALTH (GOVERNMENT),,RURAL,OUTPATIENT ONLY,PRIMARY,1648,0,0,100,0,100,86.11111111111111,,[],,,,86.11111111111111,"[np.float64(86.11111111111111), np.float64(nan), np.float64(nan), np.float64(nan), np.float64(nan)]","[100, 100, 100, 100, 75, 100, 100, 100, 0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",100.0,100.0,100.0,100.0,75.0,100.0,100.0,100.0,0.0,25.0,"[0, 0, 0, 100]",100,0.0,0.0,0.0,100.0,,,,,,25.0,2,"[np.float64(50.0), np.float64(0.0)]",50.0,0.0,100.0,50.0,0.0,68.33333333333333,,100.0,5.0,,100.0,,,2,50.0,"[100, 0]",16.666666666666668,0.0,0.0,0.0,0.0,0.0,100.0,100.0,,,,100.0,,100.0,100.0,,,,,,,,,,,,,,9.090909090909092,0.0,100.0,0.0,,9.090909090909092,0.0,0.0,0.0,0.0,0.0,,,,100.0,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,0.0,40.0,5.0,2.0
