Q100,FI_2,FI_3,Q102,Q100a,Q105,Q106,Q105_a,Q106_a,Q109-Latitude,Q109-Longitude,Q109-Altitude,Q109-Accuracy,Q113,Q113_A,Q116,Q116_A,Q117,Q118,tHFA_A001,tHFA_A002
GMB_000104,Joseph W. Jatta,Gambia,Chamboi Kunda Health Post,Random,Upper River,Chamboi Kunda,PRIMARY,GMB,13.4624245,-14.1145174,54.2,3.9,COMMUNITY CLINIC,,MINISTRY OF HEALTH (GOVERNMENT),,RURAL,OUTPATIENT ONLY,PRIMARY,2200
GMB_000110,Babucarr Jassey,Gambia,Foday Kunda Health Centre,Random,Upper River,Foday Kunda,SECONDARY,GMB,13.4824922,-14.0531252,57,2.2,HEALTH CENTRE,,MINISTRY OF HEALTH (GOVERNMENT),,RURAL,BOTH OUT AND INPATIENT,SECONDARY,6308
GMB_000105,Susan Sambou,Gambia,Changally Lang Kaddy,Random,Upper River,Changally Lang Kaddy,PRIMARY,GMB,13.2425245,-14.3099212,0,1900,HEALTH CENTRE,,MINISTRY OF HEALTH (GOVERNMENT),,RURAL,OUTPATIENT ONLY,PRIMARY,9
GMB_000114,Elizabeth Barrai,Gambia,Kuwunkuba Health Post,Random,Upper River,Kuwonkuba,PRIMARY,GMB,13.4207135,-14.3066049,62.5,56.1,HEALTH POST,,MINISTRY OF HEALTH (GOVERNMENT),,RURAL,OUTPATIENT ONLY,PRIMARY,800
GMB_000100,Susan Sambou,Gambia,Bajakunda Health Centre,Panel,Upper River,Baja Kunda,SECONDARY,GMB,13.4823736,-14.0534148,57,3.9,HEALTH CENTRE,,MINISTRY OF HEALTH (GOVERNMENT),,RURAL,BOTH OUT AND INPATIENT,PRIMARY,3098
GMB_000113,Lamin Manjang,Gambia,Koina Health Centre,Panel,Upper River,Koina,SECONDARY,GMB,13.4672441,-13.8619131,48.3,4.4,HEALTH CENTRE,,MINISTRY OF HEALTH (GOVERNMENT),,RURAL,BOTH OUT AND INPATIENT,SECONDARY,16018
GMB_000109,Mot Ceesay,Gambia,Fatoto Health Centre,Panel,Upper River,Fatoto,SECONDARY,GMB,13.39645,-13.8928174,58.4,4.9,HEALTH CENTRE,,MINISTRY OF HEALTH (GOVERNMENT),,RURAL,BOTH OUT AND INPATIENT,SECONDARY,42671
GMB_000107,Lamin Manjang,Gambia,Demba Kunda Kuta Health Post,Random,Upper River,Demba Kunda Kuta,PRIMARY,GMB,13.2492321,-14.2649477,49.3,4.4,HEALTH POST,,MINISTRY OF HEALTH (GOVERNMENT),,RURAL,OUTPATIENT ONLY,PRIMARY,5217
GMB_000106,Musa Samateh,Gambia,Demba Kunda Koto Health Centre,Random,Upper River,Demba Kunda Koto,SECONDARY,GMB,13.2571598,-14.2687136,61.3,4.9,HEALTH CENTRE,,MINISTRY OF HEALTH (GOVERNMENT),,RURAL,BOTH OUT AND INPATIENT,PRIMARY,17642
GMB_000119,Elizabeth Barrai,Gambia,Yoro Bawol Health Centre,Panel,Upper River,Yorro Bawol,SECONDARY,GMB,13.4275617,-14.2053083,25.5,3.9,HEALTH CENTRE,,MINISTRY OF HEALTH (GOVERNMENT),,RURAL,BOTH OUT AND INPATIENT,SECONDARY,25418
GMB_000116,Alhagie Bah,Gambia,Numuyel Health Post,Random,Upper River,Numuyel,PRIMARY,GMB,13.2756126,-14.2935135,50.4,1.3,COMMUNITY CLINIC,,MINISTRY OF HEALTH (GOVERNMENT),,RURAL,OUTPATIENT ONLY,PRIMARY,6980
GMB_000099,Lamin Manjang,Gambia,Ahamadiya Clinic,Panel,Upper River,,TERTIARY,GMB,13.3098701,-14.217434,49.3,4.2,CLINIC/DISPENSARY,,MISSION/FAITH-BASED,,RURAL,OUTPATIENT ONLY,TERTIARY,9
GMB_000117,Lamin Manjang,Gambia,Sabi Health Centre,Random,Upper River,Sabi,SECONDARY,GMB,13.2341889,-14.1860098,79.6,4.7,HEALTH CENTRE,,MINISTRY OF HEALTH (GOVERNMENT),,RURAL,BOTH OUT AND INPATIENT,PRIMARY,18700
GMB_000115,Alhagie Bah,Gambia,Mango Chinese Private Clinic,Random,Upper River,Basse,SECONDARY,GMB,13.3014264,-14.2093433,50,4.8,CLINIC/DISPENSARY,,PRIVATE-FOR-PROFIT,,RURAL,BOTH OUT AND INPATIENT,SECONDARY,9
GMB_000102,Mot Ceesay,Gambia,Basse District Hospital,Panel,Upper River,Baase,SECONDARY,GMB,13.3079347,-14.2109574,50.3,2.9,DISTRICT HOSPITAL,,MINISTRY OF HEALTH (GOVERNMENT),,RURAL,BOTH OUT AND INPATIENT,SECONDARY,97583
GMB_000045,Joseph W. Jatta,Gambia,Kuntaur Major Health Centre,Panel,Central River,Kuntaur,SECONDARY,GMB,13.6718831,-14.889957,37.9,10.3,HEALTH CENTRE,,MINISTRY OF HEALTH (GOVERNMENT),,RURAL,BOTH OUT AND INPATIENT,SECONDARY,9
GMB_000101,Lamin Manjang,Gambia,Bakadagi Health Post,Random,Upper River,Bakadaji,PRIMARY,GMB,13.2979318,-14.3835373,38.9,4.5,HEALTH POST,,MINISTRY OF HEALTH (GOVERNMENT),,RURAL,OUTPATIENT ONLY,PRIMARY,21168
GMB_000118,Alhagie Bah,Gambia,Sotuma Sere Health Post,Random,Upper River,Sotuma,PRIMARY,GMB,13.2930158,-14.3193912,42.3,4.8,COMMUNITY CLINIC,,MINISTRY OF HEALTH (GOVERNMENT),,RURAL,OUTPATIENT ONLY,PRIMARY,5373
GMB_000052,Elizabeth Barrai,Gambia,Sami Madina Community Clinic,Random,Central River,Sami Madina,SECONDARY,GMB,13.5456733,-14.48816,30.3,3.9,HEALTH POST,,MINISTRY OF HEALTH (GOVERNMENT),,RURAL,OUTPATIENT ONLY,PRIMARY,5981
GMB_000031,Susan Sambou,Gambia,Ballagharr Health Post,Random,Central River,Ballagharr,PRIMARY,GMB,13.6647266,-15.3978361,47,4.8,HEALTH POST,,MINISTRY OF HEALTH (GOVERNMENT),,RURAL,OUTPATIENT ONLY,PRIMARY,4464
GMB_000051,Babucarr Jassey,Gambia,Sami Karantaba Health Center,Random,Central River,Sami Karantaba,SECONDARY,GMB,13.5604773,-14.5737262,1.9,1.4,HEALTH CENTRE,,MINISTRY OF HEALTH (GOVERNMENT),,RURAL,BOTH OUT AND INPATIENT,SECONDARY,17803
GMB_000050,Lamin Manjang,Gambia,Pinnai Village Clinic,Random,Central River,Pinnai,PRIMARY,GMB,13.5506765,-15.2833481,21.3,4.2,HEALTH POST,,MINISTRY OF HEALTH (GOVERNMENT),,RURAL,OUTPATIENT ONLY,PRIMARY,1654
GMB_000040,Elizabeth Barrai,Gambia,Jailang Bakadagie Village,Random,Central River,Jailan Bakadagie,SECONDARY,GMB,13.7193821,-15.0133415,29,2.4,HEALTH POST,,MINISTRY OF HEALTH (GOVERNMENT),,RURAL,OUTPATIENT ONLY,PRIMARY,2591
GMB_000048,Elizabeth Barrai,Gambia,Njau Village Clinic,Random,Central River,Njau,PRIMARY,GMB,13.7456065,-15.2112074,47.1,26.4,HEALTH CENTRE,,MINISTRY OF HEALTH (GOVERNMENT),,RURAL,OUTPATIENT ONLY,PRIMARY,83286
GMB_000041,Elizabeth Barrai,Gambia,Jamali Health Post,Random,Central River,Jamali,PRIMARY,GMB,13.573882,-14.7763423,0,3200,HEALTH POST,,MINISTRY OF HEALTH (GOVERNMENT),,RURAL,OUTPATIENT ONLY,PRIMARY,4244
