tHFA_A001,Q117,Facility count,HIV,TB,Malaria,ANC,Immu,Quality_Score,HW_Competence_Score,ANC_score,ART_score,TB_score,Patient_Centeredness_Score,PC_avg_Communication,PC_avg_Respect,PC_avg_Autonomy,PC_avg_Confidentiality,PC_avg_Social support,PC_avg_HW told,PC_avg_Danger signs,PC_avg_Rudeness,PC_avg_Challenges,iss_score,fac_iss,fac_tech,fac_stats,fac_group_PS,fac_comms_data,HTM-ANC,hiv testing,ART access,iptp scores,TB screening,system_CHW_score,chw_count,chw_iss,chw_contract,chw_paid,chw_tools,facility_composite,HTM-ANC,presence_score,caseload,ANC_score,DPT_score,TB_treatment_completion,ART_retention,CHW_count,CHW_paid,CLM_score,guideline_score,guide_HIV_test,guide_ART,guide_TB,guide_malaria,guide_anc,guide_immu,guide_imci,oxygen_score,oxygen_avl,oxygen_avo,test-capac,with lab,without lab,vacancy_score,all_funded_posts,all_unfilled_posts
COUNTRY,AVERAGE,120.0,60.0,33.333333333333336,98.33333333333333,66.66666666666667,64.16666666666667,68.7628882264299,59.23631820854043,69.37301587301587,28.666666666666668,66.25,73.81113629192758,92.94724770642202,97.32798165137615,65.42813455657493,95.87538226299695,38.86467889908257,85.01529051987767,56.23853211009175,98.6697247706422,29.41896024464832,73.47222222222221,89.16666666666667,92.5925925925926,75.47169811320755,86.53846153846153,80.21978021978022,57.3125,80.32467532467533,60.0,99.22077922077922,1.25,26.61082474226804,1.7583333333333333,56.75257731958763,1.8041237113402062,38.78006872852234,9.106529209621993,63.177521295728894,57.3125,85.40456658320774,38.39961189137266,44.45887445887446,92.95181120749875,88.2882882882883,50.530303030303024,1.7583333333333333,38.78006872852234,27.638888888888893,85.48015873015873,83.33333333333333,84.44444444444444,72.5,88.98305084745763,82.5,90.9090909090909,87.5,72.14285714285714,57.142857142857146,87.14285714285714,24.5617688916658,28.690662493479394,13.286713286713288,41.6461634503525,159.375,153.275
PERIURBAN,General,7.0,57.142857142857146,42.857142857142854,100.0,85.71428571428571,71.42857142857143,65.38945578231292,55.04761904761905,58.0,34.44444444444445,66.66666666666667,75.73129251700682,97.85714285714286,97.14285714285714,50.714285714285715,98.57142857142857,51.42857142857143,82.85714285714286,60.0,97.14285714285714,40.952380952380956,75.0,85.71428571428571,100.0,50.0,100.0,100.0,52.22222222222223,60.0,,96.66666666666667,0.0,21.666666666666668,1.5714285714285714,36.66666666666667,0.0,50.0,0.0,62.39189870810934,52.22222222222223,73.88167388167389,43.89079238733616,26.666666666666668,93.32878480932735,93.33333333333333,83.33333333333333,1.5714285714285714,50.0,38.09523809523809,89.28571428571429,100.0,100.0,100.0,71.42857142857143,100.0,100.0,85.71428571428571,60.0,40.0,80.0,24.001924001924003,28.148148148148145,13.636363636363637,12.971416379596903,254.57142857142858,157.71428571428572
PRIMARY,General,72.0,44.44444444444444,18.055555555555557,97.22222222222223,55.55555555555556,51.388888888888886,68.88333495389159,57.77437770562771,66.72792022792022,18.333333333333332,73.07692307692308,73.24341557859704,92.11693548387096,98.54838709677419,62.03629032258065,97.56048387096774,35.20161290322581,87.36559139784947,54.193548387096776,99.03225806451613,30.161290322580644,68.75,87.5,92.5,69.35483870967742,86.88524590163935,74.54545454545455,55.41666666666667,73.97435897435898,33.333333333333336,99.48717948717949,2.5,26.47222222222222,1.7638888888888888,53.916666666666664,2.0833333333333335,41.0,8.88888888888889,60.96564997930198,55.41666666666667,82.8124301363738,43.27978618603619,44.01709401709402,94.24381148956174,76.92307692307692,21.296296296296294,1.7638888888888888,41.0,31.018518518518515,87.61904761904762,87.5,88.88888888888889,69.23076923076923,90.0,80.0,97.29729729729729,90.27777777777777,59.375,34.375,84.375,17.696192696192696,21.0727969348659,13.438735177865613,45.09540693838606,86.18055555555556,151.76388888888889
PRIMARY,PERIURBAN,4.0,50.0,25.0,100.0,100.0,75.0,63.34722222222222,53.5,51.0,30.0,100.0,73.19444444444444,98.75,100.0,23.75,100.0,36.25,100.0,55.0,100.0,45.0,56.25,75.0,100.0,0.0,100.0,100.0,45.0,40.0,,95.0,0.0,25.0,1.0,33.333333333333336,0.0,66.66666666666667,0.0,59.3789556492535,45.0,63.19444444444444,67.05357142857143,25.0,97.7621676354042,100.0,50.0,1.0,66.66666666666667,37.5,81.25,100.0,100.0,100.0,50.0,100.0,100.0,75.0,50.0,0.0,100.0,13.383838383838384,14.814814814814815,9.090909090909092,11.647727272727273,28.25,7.75
PRIMARY,RURAL,57.0,42.10526315789474,19.29824561403509,96.49122807017544,47.36842105263158,42.10526315789474,68.05180586845128,54.86851937744795,68.39749345304901,17.647058823529413,69.0909090909091,72.36070808531746,90.234375,98.125,63.776041666666664,97.578125,28.28125,89.30555555555556,56.979166666666664,99.16666666666667,23.958333333333332,68.42105263157895,89.47368421052632,89.28571428571429,70.0,85.71428571428571,72.34042553191489,57.5925925925926,75.92592592592592,100.0,100.0,3.7037037037037037,25.71078431372549,1.8421052631578947,53.627450980392155,2.450980392156863,38.26797385620915,8.49673202614379,61.43109038497241,57.5925925925926,81.28401360544217,46.78163211057948,50.24691358024692,94.58030001999104,72.72727272727273,19.6078431372549,1.8421052631578947,38.26797385620915,33.62573099415204,88.65914786967419,83.33333333333333,88.23529411764706,63.63636363636363,94.54545454545455,77.77777777777777,100.0,92.98245614035088,55.76923076923077,30.76923076923077,80.76923076923077,16.178451178451176,18.69488536155203,13.397129186602871,51.189137173179724,97.78947368421052,189.33333333333334
PRIMARY,URBAN,11.0,54.54545454545455,9.090909090909092,100.0,81.81818181818181,90.9090909090909,74.60055096418733,70.08207070707071,68.95707070707071,,90.0,77.5,98.5,100.0,69.0,96.5,68.0,73.0,40.5,98.0,54.0,75.0,81.81818181818181,100.0,88.88888888888889,88.88888888888889,80.0,53.51851851851852,84.375,0.0,100.0,0.0,33.68055555555556,1.6363636363636365,66.66666666666667,0.0,51.388888888888886,16.666666666666668,59.13080217902736,53.51851851851852,97.72727272727273,16.48884448884449,32.5,92.24849858878707,100.0,,1.6363636363636365,51.388888888888886,15.151515151515149,84.54545454545455,100.0,,100.0,81.81818181818181,77.77777777777777,90.0,81.81818181818181,87.5,75.0,100.0,27.441077441077443,34.81481481481482,15.151515151515154,31.22135217723453,47.09090909090909,9.454545454545455
RURAL,General,87.0,54.02298850574713,32.18390804597701,97.70114942528735,57.47126436781609,54.02298850574713,67.2889337707046,56.15590541533938,70.52131313131312,20.90909090909091,62.5,72.38967695664125,91.70454545454545,97.72727272727273,64.8917748917749,95.78463203463204,29.366883116883116,86.58008658008659,56.03896103896104,98.8961038961039,24.805194805194805,72.22222222222221,90.80459770114942,90.56603773584905,74.35897435897436,84.41558441558442,77.02702702702703,59.8,80.2,100.0,100.0,2.0,25.580168776371305,1.9655172413793103,55.33755274261604,1.5822784810126582,35.48523206751055,9.915611814345992,63.479907674661284,59.8,83.10898905016552,44.488063987222944,50.46666666666667,95.03778166000264,83.46666666666665,33.541666666666664,1.9655172413793103,35.48523206751055,30.268199233716473,87.7695675971538,82.97872340425532,81.81818181818181,60.714285714285715,95.29411764705883,84.0,97.87234042553192,91.95402298850574,64.8936170212766,46.808510638297875,82.97872340425532,20.488466757123472,23.91304347826087,12.987012987012989,49.432780496867,134.35632183908046,168.7816091954023
SECONDARY,General,39.0,84.61538461538461,51.282051282051285,100.0,84.61538461538461,84.61538461538461,68.37171922862713,59.71212121212121,73.09677419354838,31.0,58.0,74.84066067947647,94.21052631578948,96.3157894736842,71.78728070175438,92.93859649122807,43.38815789473684,82.63157894736842,57.63157894736842,98.28947368421052,30.438596491228072,79.91452991452991,92.3076923076923,93.93939393939394,83.33333333333333,82.85714285714286,86.66666666666667,59.74747474747475,89.6774193548387,100.0,100.0,0.0,24.368279569892472,1.8461538461538463,55.483870967741936,0.0,30.698924731182796,11.290322580645162,66.17529869800211,59.74747474747475,87.78747417132172,34.63246874612067,49.24731182795699,92.48396266254036,93.33333333333334,60.0,1.8461538461538463,30.698924731182796,23.076923076923073,81.66056166056165,78.78787878787878,75.0,65.0,89.74358974358974,84.84848484848484,87.87878787878788,82.05128205128206,85.0,80.0,90.0,27.254021698466143,28.322440087145967,9.090909090909092,39.71699628306597,213.12820512820514,125.6923076923077
SECONDARY,PERIURBAN,1.0,100.0,100.0,100.0,100.0,100.0,62.80952380952381,54.666666666666664,64.0,50.0,50.0,70.95238095238096,90.0,100.0,60.0,100.0,40.0,60.0,60.0,100.0,66.66666666666667,100.0,100.0,100.0,100.0,100.0,100.0,66.66666666666667,100.0,,100.0,0.0,8.333333333333334,3.0,33.333333333333336,0.0,0.0,0.0,63.01253233945541,66.66666666666667,72.72727272727273,26.25,0.0,75.44378698224851,100.0,100.0,3.0,0.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,25.925925925925927,25.925925925925927,,23.357664233576642,137.0,32.0
SECONDARY,RURAL,27.0,77.77777777777777,55.55555555555556,100.0,77.77777777777777,77.77777777777777,65.44918854293854,56.67391304347826,73.80952380952381,20.714285714285715,54.0,72.59602665852665,94.03846153846153,96.73076923076923,69.63141025641026,91.98717948717947,33.02884615384615,80.0,53.84615384615385,98.26923076923077,28.46153846153846,81.79012345679013,96.29629629629629,95.65217391304348,80.76923076923077,80.76923076923077,84.0,63.41269841269842,88.57142857142857,100.0,100.0,0.0,25.368589743589745,2.2962962962962963,55.25641025641026,0.0,32.75641025641026,13.461538461538462,67.54340900525075,63.41269841269842,85.44039294039294,42.46296296296296,55.55555555555556,95.20976794360783,90.55555555555556,41.53846153846154,2.2962962962962963,32.75641025641026,25.30864197530864,86.38447971781305,80.95238095238095,71.42857142857143,53.333333333333336,96.29629629629629,90.47619047619048,95.23809523809524,92.5925925925926,76.3157894736842,68.42105263157895,84.21052631578948,24.21436588103255,25.589225589225588,9.090909090909092,48.44607934120096,204.03703703703704,137.55555555555554
