Q100,Q102,Q105,Q106,Q105_a,Q113,Q113_A,Q116,Q116_A,Q117,Q118,tHFA_A001,tHFA_A002,HIV,TB,Malaria,ANC,Immu,Quality_Score,HW_Competence_Score,HW_Check,ANC_score,ART_score,TB_score,Patient_Centeredness_Score,PC_Individuals,PC_attributes,PC_avg_Communication,PC_avg_Respect,PC_avg_Autonomy,PC_avg_Confidentiality,PC_avg_Social support,PC_avg_HW told,PC_avg_Danger signs,PC_avg_Rudeness,PC_avg_Challenges,iss_score,iss_check,fac_iss,fac_tech,fac_stats,fac_group_PS,fac_comms_data,HTM-ANC,hiv testing,ART access,iptp scores,TB screening,system_CHW_score,chw_count,chw_show,chw_iss,chw_contract,chw_contract_any,chw_paid,chw_tools,facility_composite,HTM-ANC,presence_score,caseload,ANC_score,DPT_score,TB_treatment_completion,ART_retention,CHW_count,CHW_paid_full,CHW_scores,CLM_score,comm_data_collectors,quarterly_feedback,comm_data_analysis,CLM_aware,CLM_promotion,client_feedback,guideline_score,guide_HIV_test,guide_ART,guide_TB,guide_malaria,guide_anc,guide_immu,guide_imci,flowmeter_avl,flowmeter_func,humidifier_avl,humidifier_func,oxy_available,oxy_deliverable,oxygen_avl,oxygen_avo,oxygen_delivery_avl,oxygen_delivery_func,oxygen_score,pulse_oximeter_avl,pulse_oximeter_func,test-capac,fac_has_lab,fac_test_no_lab,fac_no_test,score with lab,score without lab,Antibodies to HIV 1/2 (anti HIV Ab),Qualitative (EID) or quantitative (viral load) HIV nucleic acid test (NAT),CD4 cell enumeration,Antibodies to Treponema pallidum OR Combined antibodies to T. pallidum and HIV 1/2,Lipoarabinomannan (LAM) antigen,Mycobacterium tuberculosis bacteria,M. tuberculosis DNA,Drug susceptibility testing of M. tuberculosis culture,Plasmodium spp. antigens; species-specific (e.g. HRP2) and/or pan species-specific (e.g. pan-pLDH),Staining procedures,Culture OR Culture and Genus and species identification of bacteria and fungi,Antimicrobial susceptibility testing (AST),C-reactive protein (CRP),"Complete blood count (CBC), automated",Prothrombin time and international normalized ratio (PT/INR),Blood culture,Blood gas,Glucose,Liver profile/Liver Function test,Renal function test,SARS-CoV-2 test,Hepatitis B surface antigen (HBsAg),Influenza A and B antigen,Influenza A and B diagnostic,"Qualitative dengue virus nucleic acid test, Dengue virus IgM antibody or Dengue virus antigen (NS1)",Qualitative nucleic acid test (NAT) for Chlamydia trachomatis (CT) and Neisseria gonorrhoeae (NG) infections,Measles nucleic acid test or Measle serology,Vibrio cholerae antigen,vacancy_score,all_funded_posts,all_unfilled_posts
GMB_000104,Chamboi Kunda Health Post,Upper River,Chamboi Kunda,PRIMARY,COMMUNITY CLINIC,,MINISTRY OF HEALTH (GOVERNMENT),,RURAL,OUTPATIENT ONLY,PRIMARY,2200,0,0,100,0,0,,,[],,,,,"[nan, nan, nan, nan, nan]","[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",,,,,,,,,,33.333333333333336,"[nan, 100, 0, 0]",100,,100.0,0.0,0.0,,,,,,0.0,1,[0.0],0.0,0.0,100.0,0.0,0.0,60.0,,100.0,20.0,,,,,1,0.0,[0],16.666666666666664,0.0,0.0,0.0,0.0,0.0,100.0,100.0,,,,100.0,,,100.0,,,,,,,,,,,,,,7.407407407407407,100.0,0.0,0.0,7.407407407407407,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,2.0,0.0
GMB_000110,Foday Kunda Health Centre,Upper River,Foday Kunda,SECONDARY,HEALTH CENTRE,,MINISTRY OF HEALTH (GOVERNMENT),,RURAL,BOTH OUT AND INPATIENT,SECONDARY,6308,0,0,100,100,100,84.03273809523809,90.0,"[90.0, 90.0, 90.0, 90.0, 90.0]",90.0,,,78.06547619047618,"[64.28571428571429, 87.5, 71.875, 88.88888888888889, 77.77777777777777]","[100, 100, 50, nan, 0, 100, nan, 100, 0, 100, 100, 100, 100, 100, 100, 0, 100, nan, 100, 100, 75, 100, nan, 100, 0, 100, 0, 100, 100, 100, 100, 100, 100, 100, 100, 0, 50, 100, 50, 100, 100, 100, 0, 100, 100]",90.0,100.0,75.0,100.0,75.0,100.0,25.0,100.0,25.0,100.0,"[100, 100, 100, 100]",100,100.0,100.0,100.0,100.0,66.66666666666667,100.0,,100.0,0.0,50.0,1,[50.0],100.0,0.0,100.0,0.0,100.0,77.25988700564973,66.66666666666667,100.0,41.66666666666667,100.0,77.96610169491525,,,1,0.0,[0],66.66666666666666,100.0,100.0,100.0,0.0,0.0,100.0,100.0,,,,100.0,100.0,100.0,100.0,,,,,,,,,,,,,,9.090909090909092,0.0,100.0,0.0,,9.090909090909092,0.0,0.0,0.0,0.0,0.0,,,,100.0,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,0.0,20.0,5.0,1.0
GMB_000105,Changally Lang Kaddy,Upper River,Changally Lang Kaddy,PRIMARY,HEALTH CENTRE,,MINISTRY OF HEALTH (GOVERNMENT),,RURAL,OUTPATIENT ONLY,PRIMARY,9,0,0,100,0,0,,,[],,,,,"[nan, nan, nan, nan, nan]","[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",,,,,,,,,,0.0,"[nan, 0, 0, 0]",100,,0.0,0.0,0.0,,,,,,0.0,1,[0.0],0.0,0.0,100.0,0.0,0.0,45.0,,50.0,40.0,,,,,1,0.0,[0],16.666666666666664,0.0,0.0,0.0,0.0,0.0,100.0,100.0,,,,100.0,,,100.0,0.0,0.0,0.0,0.0,100.0,100.0,0.0,100.0,100.0,100.0,50.0,100.0,100.0,9.090909090909092,0.0,100.0,0.0,,9.090909090909092,0.0,0.0,0.0,0.0,0.0,,,,100.0,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,0.0,33.33333333333333,3.0,1.0
GMB_000114,Kuwunkuba Health Post,Upper River,Kuwonkuba,PRIMARY,HEALTH POST,,MINISTRY OF HEALTH (GOVERNMENT),,RURAL,OUTPATIENT ONLY,PRIMARY,800,0,0,100,0,0,,,[],,,,,"[nan, nan, nan, nan, nan]","[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",,,,,,,,,,66.66666666666667,"[nan, 100, 0, 100]",100,,100.0,0.0,100.0,,,,,,25.0,1,[25.0],100.0,0.0,0.0,0.0,0.0,40.0,,50.0,30.0,,,,,1,0.0,[0],16.666666666666664,0.0,0.0,0.0,0.0,0.0,100.0,100.0,,,,100.0,,,100.0,,,,,,,,,,,,,,0.0,0.0,0.0,100.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,0.0,,999.0,999.0
GMB_000100,Bajakunda Health Centre,Upper River,Baja Kunda,SECONDARY,HEALTH CENTRE,,MINISTRY OF HEALTH (GOVERNMENT),,RURAL,BOTH OUT AND INPATIENT,PRIMARY,3098,100,100,100,100,100,57.22222222222222,70.0,"[70.0, 80.0, 70.0, 70.0, 70.0, 50.0, 50.0, 50.0, 50.0, 50.0, 100.0, 100.0, 100.0]",72.0,50.0,80.0,44.44444444444444,"[61.111111111111114, 30.555555555555557, 30.555555555555557, nan, 55.55555555555556]","[100, 100, 75, 100, 75, 0, 0, 100, 0, 0, 100, 0, 75, 0, 0, 0, 100, 0, 0, 100, 0, 75, 0, 0, 0, 100, 0, nan, nan, nan, nan, nan, nan, nan, nan, nan, 0, 100, 25, 75, 0, 100, 100, 100, 0]",25.0,100.0,25.0,81.25,18.75,25.0,25.0,100.0,0.0,100.0,"[100, 100, 100, 100]",100,100.0,100.0,100.0,100.0,53.333333333333336,60.0,,100.0,0.0,0.0,1,[0.0],0.0,0.0,0.0,0.0,0.0,68.63095238095238,53.333333333333336,100.0,33.75,60.0,100.0,100.0,33.333333333333336,1,0.0,[0],100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,0.0,0.0,100.0,44.44444444444444,100.0,0.0,0.0,44.44444444444444,,100.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,0.0,0.0,100.0,0.0,100.0,0.0,0.0,100.0,100.0,,30.555555555555557,72.0,22.0
GMB_000113,Koina Health Centre,Upper River,Koina,SECONDARY,HEALTH CENTRE,,MINISTRY OF HEALTH (GOVERNMENT),,RURAL,BOTH OUT AND INPATIENT,SECONDARY,16018,100,100,100,100,100,48.0,29.333333333333332,"[90.0, 70.0, 80.0, 70.0, 80.0, 0.0, 0.0, 0.0, 0.0, 0.0, 50.0, 0.0, 0.0, 0.0, 0.0]",78.0,0.0,10.0,66.66666666666667,"[63.888888888888886, 63.888888888888886, 66.66666666666667, 63.888888888888886, 75.0]","[75, 100, 50, 100, 50, 100, 0, 100, 0, 100, 100, 50, 75, 50, 100, 0, 100, 0, 100, 100, 50, 100, 50, 100, 0, 100, 0, 100, 100, 25, 100, 50, 100, 0, 100, 0, 100, 75, 50, 100, 50, 100, 100, 100, 0]",95.0,95.0,45.0,95.0,50.0,100.0,20.0,100.0,0.0,0.0,[],0,,,,,60.0,80.0,,100.0,0.0,0.0,1,[0.0],0.0,0.0,0.0,0.0,0.0,88.18540931248951,60.0,100.0,83.33333333333334,100.0,85.77912254160363,100.0,,1,0.0,[0],50.0,100.0,100.0,0.0,0.0,0.0,100.0,85.71428571428571,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,100.0,100.0,0.0,100.0,100.0,100.0,50.0,100.0,100.0,33.333333333333336,100.0,0.0,0.0,33.333333333333336,,100.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,,68.75,80.0,55.0
GMB_000109,Fatoto Health Centre,Upper River,Fatoto,SECONDARY,HEALTH CENTRE,,MINISTRY OF HEALTH (GOVERNMENT),,RURAL,BOTH OUT AND INPATIENT,SECONDARY,42671,100,100,100,100,100,79.04040404040404,80.3030303030303,"[90.9090909090909, 90.9090909090909, 90.9090909090909, 90.9090909090909, 90.9090909090909, 100.0, 100.0, 100.0, 100.0, 100.0, 50.0, 50.0, 50.0, 50.0, 50.0]",90.9090909090909,100.0,50.0,77.77777777777777,"[77.77777777777777, 77.77777777777777, 77.77777777777777, 77.77777777777777, 77.77777777777777]","[100, 100, 100, 100, 0, 100, 100, 100, 0, 100, 100, 100, 100, 0, 100, 100, 100, 0, 100, 100, 100, 100, 0, 100, 100, 100, 0, 100, 100, 100, 100, 0, 100, 100, 100, 0, 100, 100, 100, 100, 0, 100, 100, 100, 0]",100.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,0.0,100.0,"[100, 100, 100, 100]",100,100.0,100.0,100.0,100.0,75.0,100.0,100.0,100.0,0.0,25.0,1,[25.0],100.0,0.0,0.0,0.0,0.0,88.33992876929165,75.0,100.0,100.0,60.0,83.37950138504155,100.0,100.0,1,0.0,[0],16.666666666666664,0.0,0.0,0.0,0.0,0.0,100.0,57.142857142857146,0.0,0.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,25.925925925925927,100.0,0.0,0.0,25.925925925925927,,100.0,0.0,0.0,100.0,0.0,100.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,,60.0,80.0,48.0
GMB_000107,Demba Kunda Kuta Health Post,Upper River,Demba Kunda Kuta,PRIMARY,HEALTH POST,,MINISTRY OF HEALTH (GOVERNMENT),,RURAL,OUTPATIENT ONLY,PRIMARY,5217,0,0,100,0,0,77.77777777777779,,[],,,,77.77777777777779,"[72.22222222222223, 83.33333333333333, 72.22222222222223, 75.0, 86.11111111111111]","[50, 100, 50, 100, 50, 100, 100, 100, 0, 75, 100, 50, 100, 25, 100, 100, 100, 100, 75, 100, 50, 100, 25, 100, 0, 100, 100, 75, 100, 50, 100, 50, 100, 100, 100, 0, 100, 100, 50, 100, 25, 100, 100, 100, 100]",75.0,100.0,50.0,100.0,35.0,100.0,80.0,100.0,60.0,50.0,"[nan, 0, 100, nan]",100,,0.0,100.0,,,,,,,,0,[],,,,,,66.66666666666666,,33.33333333333333,100.0,,,,,0,,[],16.666666666666664,0.0,0.0,0.0,0.0,0.0,100.0,100.0,,,,100.0,,,100.0,100.0,100.0,0.0,0.0,100.0,100.0,0.0,100.0,100.0,100.0,50.0,100.0,100.0,9.090909090909092,0.0,100.0,0.0,,9.090909090909092,0.0,0.0,0.0,0.0,0.0,,,,100.0,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,0.0,27.27272727272727,11.0,3.0
GMB_000106,Demba Kunda Koto Health Centre,Upper River,Demba Kunda Koto,SECONDARY,HEALTH CENTRE,,MINISTRY OF HEALTH (GOVERNMENT),,RURAL,BOTH OUT AND INPATIENT,PRIMARY,17642,100,0,100,100,100,63.35119047619048,62.0,"[50.0, 70.0, 60.0, 70.0, 60.0]",62.0,,,64.70238095238096,"[68.75, 71.42857142857143, 61.111111111111114, 77.77777777777777, 44.44444444444444]","[100, 100, 50, 100, 0, 100, 0, 100, nan, 100, 100, nan, 100, 0, 100, 0, 100, nan, 100, 100, 25, 100, 25, 0, 0, 100, 100, 100, 100, 50, 100, 50, 100, 0, 100, 100, 25, 25, 0, 25, 25, 100, 0, 100, 100]",85.0,85.0,31.25,85.0,20.0,80.0,0.0,100.0,100.0,75.0,"[0, 100, 100, 100]",100,0.0,100.0,100.0,100.0,66.66666666666667,100.0,,100.0,0.0,75.0,1,[75.0],100.0,0.0,100.0,100.0,100.0,55.939510939510946,66.66666666666667,50.0,75.0,0.0,88.03088803088804,,,1,100.0,[100],16.666666666666664,0.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,100.0,,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,100.0,100.0,0.0,100.0,100.0,100.0,50.0,100.0,100.0,14.814814814814815,100.0,0.0,0.0,14.814814814814815,,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,,17.5,80.0,14.0
GMB_000119,Yoro Bawol Health Centre,Upper River,Yorro Bawol,SECONDARY,HEALTH CENTRE,,MINISTRY OF HEALTH (GOVERNMENT),,RURAL,BOTH OUT AND INPATIENT,SECONDARY,25418,100,100,100,100,100,64.3560606060606,64.54545454545455,"[72.72727272727273, 80.0, 80.0, 72.72727272727273, 90.0, 50.0, 50.0, 50.0, 50.0, 50.0]",79.0909090909091,,50.0,64.16666666666666,"[75.0, 71.875, 65.625, 55.55555555555556, 52.77777777777778]","[100, 75, 75, 75, 50, 100, 100, 100, 0, 75, 75, 75, 75, 75, 100, 100, nan, 0, 75, 75, 50, 75, 50, 100, nan, 100, 0, 75, 75, 50, 50, 50, 100, 100, 0, 0, 50, 75, 50, 50, 50, 0, 100, 100, 0]",75.0,75.0,60.0,65.0,55.0,80.0,100.0,75.0,0.0,75.0,"[100, 100, 0, 100]",100,100.0,100.0,0.0,100.0,70.00000000000001,100.0,100.0,100.0,0.0,25.0,1,[25.0],100.0,0.0,0.0,0.0,0.0,60.09163127261287,70.00000000000001,,6.153846153846154,66.66666666666667,97.54601226993866,,,1,0.0,[0],33.33333333333333,0.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,40.74074074074074,100.0,0.0,0.0,40.74074074074074,,100.0,100.0,100.0,100.0,0.0,100.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,,34.21052631578947,38.0,13.0
