Q100,FI_2,FI_3,Q102,Q100a,Q105,Q106,Q105_a,Q106_a,Q109-Latitude,Q109-Longitude,Q109-Altitude,Q109-Accuracy,Q113,Q113_A,Q116,Q116_A,Q117,Q118,tHFA_A001,tHFA_A002
IDN_000335,Saepul Hidayat,Indonesia,PUSKESMAS SIDAREJA,Random,Central Java,Kabupaten Cilacap,PRIMARY,IDN,-7.4871019,108.7926966,0,2000,HEALTH CENTRE,,LOCAL GOVERNMENT,,RURAL,BOTH OUT AND INPATIENT,PRIMARY,70000
IDN_000367,Saepul Hidayat,Indonesia,RS Umum Daerah Cilacap,Panel,Central Java,Kabupaten Cilacap,SECONDARY,IDN,-7.7175003,109.0152395,37.2,4.7,DISTRICT HOSPITAL,,LOCAL GOVERNMENT,,URBAN,BOTH OUT AND INPATIENT,SECONDARY,2000000
IDN_000010,Rahmanurraudhotul Amin,Indonesia,PUSKESMAS MUMBULSARI,Random,East Java,Kabupaten Jember,PRIMARY,IDN,-8.2573188,113.7459662,144.7,5,HEALTH CENTRE,,LOCAL GOVERNMENT,,RURAL,BOTH OUT AND INPATIENT,PRIMARY,66831
IDN_000348,Saepul Hidayat,Indonesia,PUSKESMAS NUSAWUNGU II,Random,Central Java,Kabupaten Cilacap,PRIMARY,IDN,-7.6724561,109.3434366,32.6,19,HEALTH CENTRE,,LOCAL GOVERNMENT,,RURAL,BOTH OUT AND INPATIENT,PRIMARY,48000
IDN_000168,Nur wahyu,Indonesia,RS Umum Daerah Cibinong,Panel,West Java,Kabupaten Bogor,SECONDARY,IDN,-6.4740193,106.8312472,151,4.7,REGIONAL/PROVINCIAL REFERRAL HOSPITAL,,LOCAL GOVERNMENT,,PERIURBAN,BOTH OUT AND INPATIENT,SECONDARY,1000000
IDN_000289,Kartini,Indonesia,PUSKESMAS LARANGAN UTARA,Random,Banten,Kota Tangerang,PRIMARY,IDN,-6.2374353,106.724994,46,4.9,HEALTH CENTRE,,LOCAL GOVERNMENT,,URBAN,OUTPATIENT ONLY,PRIMARY,850
IDN_000165,Anita maisuri,Indonesia,RS Umum Daerah Dr. Pirngadi,Panel,North Sumatra,Kota Medan,SECONDARY,IDN,3.5975676,98.6876559,7.4,20.4,DISTRICT HOSPITAL,,LOCAL GOVERNMENT,,URBAN,BOTH OUT AND INPATIENT,SECONDARY,1538600
IDN_000246,Iis dahlia,Indonesia,RS Umum Daerah Jampang Kulon,Random,West Java,Kabupaten Sukabumi,SECONDARY,IDN,-7.2528521,106.6254211,344.1,11.5,DISTRICT HOSPITAL,,MINISTRY OF HEALTH,,RURAL,BOTH OUT AND INPATIENT,SECONDARY,9
IDN_000158,Kartini,Indonesia,PUSKESMAS WAGIR,Random,East Java,Kabupaten Malang,PRIMARY,IDN,-8.0085451,112.5644045,610,11.1,HEALTH CENTRE,,LOCAL GOVERNMENT,,RURAL,BOTH OUT AND INPATIENT,PRIMARY,89989
IDN_000396,Rahmanurraudhotul Amin,Indonesia,PUSKESMAS SUMBERJAMBE,Random,East Java,Kabupaten Jember,PRIMARY,IDN,-8.1007617,113.89469,477.9,3.9,HEALTH CENTRE,,LOCAL GOVERNMENT,,RURAL,BOTH OUT AND INPATIENT,PRIMARY,63000
IDN_000336,Saepul Hidayat,Indonesia,PUSKESMAS SAMPANG,Random,Central Java,Kabupaten Cilacap,PRIMARY,IDN,-7.5585997,109.2019412,44.3,2500,HEALTH CENTRE,,LOCAL GOVERNMENT,,RURAL,BOTH OUT AND INPATIENT,PRIMARY,47216
IDN_000079,Joko porwanto,Indonesia,PUSKESMAS ANTANG PERUMNAS,Random,South Sulawesi,Kota Makassar,PRIMARY,IDN,-5.1691506,119.4848808,63.4,24.1,HEALTH CENTRE,,MINISTRY OF HEALTH,,URBAN,OUTPATIENT ONLY,PRIMARY,17600
IDN_000380,Kartini,Indonesia,PUSKESMAS BULULAWANG,Random,East Java,Kabupaten Malang,PRIMARY,IDN,-8.0766379,112.6415764,447,9.2,HEALTH CENTRE,,LOCAL GOVERNMENT,,URBAN,BOTH OUT AND INPATIENT,PRIMARY,73452
IDN_000376,Sugeng Suharyanto (Supervisor),Indonesia,RS Umum Daerah Cileungsi,Random,West Java,Kabupaten Bogor,SECONDARY,IDN,-6.4333798,107.0484671,85.7,42.5,DISTRICT HOSPITAL,,LOCAL GOVERNMENT,,PERIURBAN,BOTH OUT AND INPATIENT,SECONDARY,1500000
IDN_000433,Rosefida,Indonesia,RS Angkatan Udara dr. Mohammad Moenir,Panel,East Java,Kabupaten Malang,SECONDARY,IDN,-7.9339067,112.7025141,547.6,3.9,OTHER GENERAL HOSPITAL,,MILITARY/POLICE/NATIONAL GUARD,,RURAL,BOTH OUT AND INPATIENT,SECONDARY,9
IDN_000064,Ani noviyah (Supervisor),Indonesia,PUSKESMAS BAGENDIT,Random,,Kabupaten Garut,PRIMARY,IDN,-7.1581459,107.9509652,720.7,9.9,HEALTH CENTRE,,LOCAL GOVERNMENT,,RURAL,BOTH OUT AND INPATIENT,PRIMARY,9
IDN_000364,Ani noviyah (Supervisor),Indonesia,RS Umum Tk. IV Guntur,Random,,Kabupaten Garut,SECONDARY,IDN,-7.2254546,107.9117439,754.6,63.4,DISTRICT HOSPITAL,,MILITARY/POLICE/NATIONAL GUARD,,URBAN,BOTH OUT AND INPATIENT,SECONDARY,9
IDN_000298,Endang saputra,Indonesia,PUSKESMAS PETIR,Random,Banten,Kota Tangerang,PRIMARY,IDN,-6.1882032,106.7084284,34,3.9,HEALTH CENTRE,,LOCAL GOVERNMENT,,PERIURBAN,OUTPATIENT ONLY,PRIMARY,40000
IDN_000167,Endang saputra,Indonesia,RS Umum Daerah Leuwiliang,Panel,West Java,Kabupaten Bogor,SECONDARY,IDN,-6.574419,106.6274992,226.2,11.5,DISTRICT HOSPITAL,,LOCAL GOVERNMENT,,PERIURBAN,BOTH OUT AND INPATIENT,SECONDARY,1200000
