,,Facility count,HIV,TB,Malaria,ANC,Immu,Quality_Score,HW_Competence_Score,ANC_score,ANC_score,ART_score,TB_score,Patient_Centeredness_Score,PC_avg_Communication,PC_avg_Respect,PC_avg_Autonomy,PC_avg_Confidentiality,PC_avg_Social support,PC_avg_HW told,PC_avg_Danger signs,PC_avg_Rudeness,PC_avg_Challenges,iss_score,fac_iss,fac_tech,fac_stats,fac_group_PS,fac_comms_data,HTM-ANC,HTM-ANC,hiv testing,ART access,iptp scores,TB screening,system_CHW_score,chw_count,chw_iss,chw_contract,chw_contract_any,chw_paid,chw_tools,facility_composite,HTM-ANC,HTM-ANC,presence_score,caseload,ANC_score,ANC_score,DPT_score,TB_treatment_completion,ART_retention,CHW_count,CHW_paid_full,CLM_score,comm_data_collectors,quarterly_feedback,comm_data_analysis,CLM_aware,CLM_promotion,client_feedback,guideline_score,guide_HIV_test,guide_ART,guide_TB,guide_malaria,guide_anc,guide_immu,guide_imci,flowmeter_avl,flowmeter_func,humidifier_avl,humidifier_func,oxy_available,oxy_deliverable,oxygen_avl,oxygen_avo,oxygen_delivery_avl,oxygen_delivery_func,oxygen_score,pulse_oximeter_avl,pulse_oximeter_func,test-capac,fac_has_lab,fac_test_no_lab,fac_no_test,score with lab,score without lab,Antibodies to HIV 1/2 (anti HIV Ab),Qualitative (EID) or quantitative (viral load) HIV nucleic acid test (NAT),CD4 cell enumeration,Antibodies to Treponema pallidum OR Combined antibodies to T. pallidum and HIV 1/2,Lipoarabinomannan (LAM) antigen,Mycobacterium tuberculosis bacteria,M. tuberculosis DNA,Drug susceptibility testing of M. tuberculosis culture,Plasmodium spp. antigens; species-specific (e.g. HRP2) and/or pan species-specific (e.g. pan-pLDH),Staining procedures,Culture OR Culture and Genus and species identification of bacteria and fungi,Antimicrobial susceptibility testing (AST),C-reactive protein (CRP),"Complete blood count (CBC), automated",Prothrombin time and international normalized ratio (PT/INR),Blood culture,Blood gas,Glucose,Liver profile/Liver Function test,Renal function test,SARS-CoV-2 test,Hepatitis B surface antigen (HBsAg),Influenza A and B antigen,Influenza A and B diagnostic,"Qualitative dengue virus nucleic acid test, Dengue virus IgM antibody or Dengue virus antigen (NS1)",Qualitative nucleic acid test (NAT) for Chlamydia trachomatis (CT) and Neisseria gonorrhoeae (NG) infections,Measles nucleic acid test or Measle serology,Vibrio cholerae antigen,vacancy_score,all_funded_posts,all_unfilled_posts,doctor_posts,doctor_vacancies,nurses_posts,nurses_vacancies,lab-tech_posts,lab-tech_vacancies,pharmacists_posts,pharmacists_vacancies,CHW_posts,CHW_vacancies
COUNTRY,AVERAGE,120.0,100.0,100.0,71.66666666666667,100.0,80.0,88.97175569755227,84.82193407488393,72.08668503213957,76.12244897959184,87.31099656357388,96.27976190476191,92.70735377484326,95.54271708683473,95.92436974789916,89.25070028011206,94.21610169491525,92.04131652661064,99.11764705882354,94.66386554621849,95.92436974789916,65.57291666666667,69.02777777777777,75.0,81.11111111111111,96.66666666666667,94.44444444444444,100.0,52.782828282828284,52.782828282828284,83.0072463768116,70.625,29.727272727272727,48.060606060606055,37.86616161616162,1.4416666666666667,64.1919191919192,14.494949494949497,53.51010101010101,30.90909090909091,41.868686868686865,68.30328326457166,52.782828282828284,52.782828282828284,91.09031320862063,18.27354950763048,72.08668503213957,76.12244897959184,85.45589903749165,97.35416666666667,76.6849816849817,1.4416666666666667,30.90909090909091,92.22222222222223,90.83333333333333,90.0,90.83333333333333,90.83333333333333,90.83333333333333,100.0,95.7876984126984,99.16666666666667,99.06542056074767,97.5,93.02325581395348,100.0,93.75,86.53846153846153,95.7983193277311,95.7983193277311,68.90756302521008,69.74789915966386,100.0,98.31932773109244,66.38655462184875,95.7983193277311,96.63865546218487,98.31932773109244,81.09243697478992,95.7983193277311,97.47899159663865,57.24466891133558,94.16666666666667,4.166666666666667,1.6666666666666667,58.53818420190102,36.36363636363637,85.0,70.0,55.833333333333336,75.0,20.833333333333332,92.03539823008849,58.4070796460177,49.557522123893804,55.833333333333336,73.45132743362832,48.67256637168141,33.6283185840708,46.017699115044245,80.53097345132744,43.36283185840708,41.5929203539823,47.78761061946903,92.92035398230088,69.02654867256638,70.79646017699115,65.83333333333333,90.0,18.333333333333332,21.666666666666668,84.070796460177,42.47787610619469,37.16814159292036,14.285714285714286,12.10068882522985,340.6666666666667,186.48333333333332,84.45833333333333,170.075,196.91666666666666,176.33333333333334,76.825,167.31666666666666,74.35,159.2,217.975,219.43333333333334
General,PERIURBAN,6.0,100.0,100.0,50.0,100.0,66.66666666666667,91.74663299663298,87.47474747474747,74.09090909090908,100.0,88.33333333333333,100.0,96.01851851851852,97.5,99.16666666666667,87.70833333333333,96.66666666666667,96.66666666666667,100.0,93.33333333333333,100.0,91.66666666666667,73.61111111111111,83.33333333333333,80.0,100.0,80.0,100.0,50.555555555555564,50.555555555555564,92.5,100.0,3.3333333333333335,53.333333333333336,57.29166666666667,1.5,70.83333333333334,37.5,75.0,75.0,45.833333333333336,73.95695099842983,50.555555555555564,50.555555555555564,98.69185360094451,15.462365091804747,74.09090909090908,100.0,98.11320754716982,100.0,66.66666666666667,1.5,75.0,86.1111111111111,83.33333333333333,83.33333333333333,83.33333333333333,83.33333333333333,83.33333333333333,100.0,91.1111111111111,100.0,100.0,100.0,100.0,100.0,75.0,66.66666666666667,100.0,100.0,50.0,50.0,100.0,100.0,50.0,100.0,100.0,100.0,75.0,100.0,100.0,50.617283950617285,100.0,0.0,0.0,50.617283950617285,,100.0,50.0,50.0,66.66666666666667,16.666666666666668,83.33333333333333,33.333333333333336,33.333333333333336,33.333333333333336,66.66666666666667,66.66666666666667,33.333333333333336,50.0,66.66666666666667,33.333333333333336,33.333333333333336,33.333333333333336,83.33333333333333,50.0,50.0,66.66666666666667,83.33333333333333,16.666666666666668,16.666666666666668,66.66666666666667,50.0,33.333333333333336,,3.3482142857142856,421.0,174.5,194.33333333333334,166.5,259.1666666666667,167.5,175.83333333333334,166.66666666666666,172.16666666666666,166.66666666666666,197.33333333333334,170.33333333333334
General,RURAL,44.0,100.0,100.0,77.27272727272727,100.0,81.81818181818181,87.32076030643738,82.93139124728272,70.33597883597884,64.11764705882354,82.96875,95.23809523809524,91.42321654040404,93.06818181818181,93.63636363636364,86.9034090909091,90.68181818181819,87.5,99.54545454545455,97.1590909090909,96.25,56.96969696969697,61.93181818181818,72.72727272727273,65.625,93.75,87.5,100.0,49.72222222222223,49.72222222222223,80.85714285714286,71.66666666666667,27.857142857142858,46.19047619047619,27.239583333333332,2.1136363636363638,50.104166666666664,5.416666666666667,31.71875,14.270833333333334,39.166666666666664,64.37000139569768,49.72222222222223,49.72222222222223,90.81504488275459,14.799285902025856,70.33597883597884,64.11764705882354,84.48739435040129,94.50980392156863,64.88505747126437,2.1136363636363638,14.270833333333334,94.31818181818181,93.18181818181819,93.18181818181819,93.18181818181819,93.18181818181819,93.18181818181819,100.0,96.56385281385282,97.72727272727273,97.05882352941177,93.18181818181819,94.11764705882354,100.0,97.22222222222223,100.0,95.45454545454545,95.45454545454545,56.81818181818182,54.54545454545455,100.0,97.72727272727273,54.54545454545455,95.45454545454545,95.45454545454545,95.45454545454545,75.0,95.45454545454545,95.45454545454545,53.535353535353536,100.0,0.0,0.0,53.535353535353536,,88.63636363636364,63.63636363636363,47.72727272727273,75.0,25.0,90.9090909090909,52.27272727272727,43.18181818181818,63.63636363636363,70.45454545454545,47.72727272727273,29.545454545454547,34.09090909090909,81.81818181818181,31.818181818181817,29.545454545454547,31.818181818181817,95.45454545454545,52.27272727272727,54.54545454545455,45.45454545454545,93.18181818181819,18.181818181818183,20.454545454545453,81.81818181818181,47.72727272727273,29.545454545454547,,11.831561165943594,228.36363636363637,87.27272727272727,37.29545454545455,92.36363636363636,107.06818181818181,71.1590909090909,50.63636363636363,68.5909090909091,48.09090909090909,91.22727272727273,177.29545454545453,141.6590909090909
General,URBAN,70.0,100.0,100.0,70.0,100.0,80.0,89.78327067457502,85.84344128094128,73.07869012707722,80.6896551724138,89.56214689265538,96.61458333333333,93.23829652634001,96.95048309178743,97.10144927536231,90.88164251207729,96.28676470588235,94.53502415458938,98.76811594202898,93.18840579710145,95.3623188405797,67.80701754385964,73.0952380952381,75.71428571428571,90.56603773584905,98.11320754716981,100.0,100.0,55.07168458781363,55.07168458781363,83.36601307189544,68.52941176470588,33.54838709677419,48.817204301075265,46.61111111111111,1.0142857142857142,78.33333333333333,21.11111111111111,73.88888888888889,42.77777777777778,44.22222222222222,70.2910317763903,55.07168458781363,55.07168458781363,90.70139508692581,20.541676028049586,73.07869012707722,80.6896551724138,85.5218994876408,99.4047619047619,83.86904761904762,1.0142857142857142,42.77777777777778,91.42857142857143,90.0,88.57142857142857,90.0,90.0,90.0,100.0,95.70068027210884,100.0,100.0,100.0,91.83673469387755,100.0,92.85714285714286,80.32786885245902,95.65217391304348,95.65217391304348,78.26086956521739,81.15942028985508,100.0,98.55072463768116,75.3623188405797,95.65217391304348,97.10144927536231,100.0,85.5072463768116,95.65217391304348,98.55072463768116,60.14430014430014,90.0,7.142857142857143,2.857142857142857,62.786596119929456,36.36363636363637,81.42857142857143,75.71428571428571,61.42857142857143,75.71428571428571,18.571428571428573,93.65079365079364,65.07936507936508,55.55555555555556,52.857142857142854,76.19047619047619,47.61904761904762,36.507936507936506,53.96825396825397,80.95238095238095,52.38095238095238,50.79365079365079,60.317460317460316,92.06349206349206,82.53968253968254,84.12698412698413,78.57142857142857,88.57142857142857,18.571428571428573,22.857142857142858,87.3015873015873,38.095238095238095,42.857142857142854,14.285714285714286,12.998237933651662,404.37142857142857,249.87142857142857,104.68571428571428,219.22857142857143,248.05714285714285,243.2,84.8,229.42857142857142,82.47142857142858,201.28571428571428,245.31428571428572,272.5285714285714
PRIMARY,General,65.0,100.0,100.0,72.3076923076923,100.0,95.38461538461539,88.56946572368122,84.04288667326303,72.5769560006848,78.4,86.91176470588235,94.80874316939891,92.75363498263889,95.9375,95.625,87.87109375,93.59375,91.69921875,99.375,94.921875,96.171875,67.91666666666667,69.74358974358974,75.38461538461539,81.63265306122449,93.87755102040816,95.91836734693878,100.0,53.983050847457626,53.983050847457626,83.54166666666667,75.41666666666667,29.322033898305083,51.186440677966104,35.56944444444444,2.4307692307692306,63.11111111111111,9.61111111111111,52.52777777777778,27.666666666666668,41.88888888888889,70.400500607416,53.983050847457626,53.983050847457626,90.80370970403577,20.038898230125636,72.5769560006848,78.4,88.97256318900115,99.53488372093024,77.1875,2.4307692307692306,27.666666666666668,100.0,100.0,100.0,100.0,100.0,100.0,100.0,98.18681318681318,100.0,98.24561403508773,95.38461538461539,95.74468085106383,100.0,98.38709677419355,100.0,93.84615384615384,93.84615384615384,55.38461538461539,52.30769230769231,100.0,100.0,50.76923076923077,95.38461538461539,96.92307692307692,96.92307692307692,73.07692307692308,95.38461538461539,95.38461538461539,46.537166537166534,90.76923076923077,6.153846153846154,3.076923076923077,48.650345260514754,25.75757575757576,84.61538461538461,63.07692307692308,44.61538461538461,70.76923076923077,12.307692307692308,94.91525423728814,45.76271186440678,37.28813559322034,53.84615384615385,71.1864406779661,32.20338983050848,15.254237288135593,16.949152542372882,72.88135593220339,11.864406779661017,15.254237288135593,15.254237288135593,96.61016949152543,54.23728813559322,55.932203389830505,49.23076923076923,92.3076923076923,13.846153846153847,10.76923076923077,81.35593220338983,42.3728813559322,37.28813559322034,0.0,13.855503805946396,164.98461538461538,108.49230769230769,20.892307692307693,123.50769230769231,74.93846153846154,110.75384615384615,32.95384615384615,108.03076923076924,32.63076923076923,107.8923076923077,186.90769230769232,189.7076923076923
PRIMARY,PERIURBAN,3.0,100.0,100.0,66.66666666666667,100.0,100.0,93.42213804713805,88.46464646464646,72.06060606060606,100.0,93.33333333333333,100.0,98.37962962962963,100.0,100.0,85.41666666666667,100.0,100.0,100.0,100.0,100.0,100.0,66.66666666666667,66.66666666666667,100.0,100.0,100.0,100.0,47.22222222222223,47.22222222222223,100.0,100.0,6.666666666666667,33.333333333333336,43.055555555555564,2.0,61.111111111111114,16.666666666666668,66.66666666666667,66.66666666666667,27.777777777777782,68.76955744200377,47.22222222222223,47.22222222222223,100.0,20.72068965517241,72.06060606060606,100.0,98.11320754716982,100.0,33.333333333333336,2.0,66.66666666666667,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,100.0,100.0,0.0,100.0,100.0,100.0,50.0,100.0,100.0,41.97530864197531,100.0,0.0,0.0,41.97530864197531,,100.0,33.333333333333336,33.333333333333336,100.0,33.333333333333336,100.0,0.0,33.333333333333336,33.333333333333336,66.66666666666667,33.333333333333336,0.0,33.333333333333336,66.66666666666667,0.0,0.0,0.0,100.0,33.333333333333336,33.333333333333336,66.66666666666667,100.0,0.0,0.0,66.66666666666667,33.333333333333336,33.333333333333336,,6.696428571428571,93.66666666666667,16.0,2.6666666666666665,0.0,17.0,2.0,1.3333333333333333,0.3333333333333333,1.0,0.3333333333333333,61.666666666666664,7.666666666666667
PRIMARY,RURAL,33.0,100.0,100.0,81.81818181818181,100.0,93.93939393939394,87.31425448265726,82.97289027844583,69.5,66.92307692307692,83.01282051282053,95.3125,91.65561868686868,93.33333333333333,93.63636363636364,86.47727272727273,91.66666666666667,87.27272727272727,100.0,97.42424242424242,95.0,62.4,65.40404040404042,75.75757575757575,64.0,92.0,92.0,100.0,47.552083333333336,47.552083333333336,78.07692307692308,73.33333333333333,24.0625,45.0,26.021505376344084,2.6666666666666665,48.494623655913976,3.0107526881720434,30.161290322580644,12.150537634408602,40.43010752688172,65.7831551576757,47.552083333333336,47.552083333333336,89.00747069091206,14.217396143704935,69.5,66.92307692307692,84.48739435040129,99.23076923076923,70.90277777777779,2.6666666666666665,12.150537634408602,100.0,100.0,100.0,100.0,100.0,100.0,100.0,96.42857142857143,100.0,96.29629629629629,90.9090909090909,92.5925925925926,100.0,96.7741935483871,100.0,93.93939393939394,93.93939393939394,51.515151515151516,48.484848484848484,100.0,100.0,48.484848484848484,93.93939393939394,93.93939393939394,93.93939393939394,71.21212121212122,93.93939393939394,93.93939393939394,48.260381593714925,100.0,0.0,0.0,48.260381593714925,,90.9090909090909,66.66666666666667,54.54545454545455,72.72727272727273,15.151515151515152,90.9090909090909,42.42424242424242,36.36363636363637,63.63636363636363,69.6969696969697,39.39393939393939,18.181818181818183,18.181818181818183,78.78787878787878,15.151515151515152,18.181818181818183,18.181818181818183,96.96969696969697,42.42424242424242,45.45454545454545,39.39393939393939,93.93939393939394,15.151515151515152,12.121212121212121,78.78787878787878,45.45454545454545,24.242424242424242,,11.772047553259757,166.27272727272728,75.81818181818181,3.757575757575758,91.24242424242425,63.06060606060606,62.27272727272727,31.848484848484848,60.81818181818182,31.454545454545453,91.0,205.93939393939394,158.42424242424244
PRIMARY,URBAN,29.0,100.0,100.0,62.06896551724138,100.0,96.55172413793103,89.52889265166051,84.89075596767904,76.74410774410774,89.52380952380952,90.64393939393939,93.58974358974359,93.44494047619048,98.57142857142857,97.5,89.77678571428571,95.17857142857143,96.02678571428571,98.57142857142857,91.42857142857143,97.14285714285714,70.0,75.0,75.86206896551724,100.0,95.45454545454545,100.0,100.0,63.40277777777778,63.40277777777778,88.42105263157895,75.0,39.166666666666664,61.666666666666664,46.089743589743584,2.206896551724138,80.76923076923077,16.666666666666664,77.56410256410257,41.666666666666664,45.25641025641026,75.8234395500942,63.40277777777778,63.40277777777778,91.87123747303814,26.191353071639472,76.74410774410774,89.52380952380952,92.96501346053898,100.0,90.63492063492063,2.206896551724138,41.666666666666664,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,93.10344827586206,93.10344827586206,65.51724137931035,62.06896551724138,100.0,100.0,58.62068965517241,96.55172413793103,100.0,100.0,77.58620689655173,96.55172413793103,96.55172413793103,45.048182979217465,79.3103448275862,13.793103448275861,6.896551724137931,50.08051529790661,25.75757575757576,75.86206896551724,62.06896551724138,34.48275862068966,65.51724137931035,6.896551724137931,100.0,56.52173913043478,39.130434782608695,44.827586206896555,73.91304347826087,21.73913043478261,13.043478260869565,13.043478260869565,65.21739130434783,8.695652173913043,13.043478260869565,13.043478260869565,95.65217391304348,73.91304347826087,73.91304347826087,58.62068965517241,89.65517241379311,13.793103448275861,10.344827586206897,86.95652173913044,39.130434782608695,56.52173913043478,0.0,17.05641372468118,170.89655172413794,155.24137931034483,42.275862068965516,173.0,94.44827586206897,177.17241379310346,37.48275862068966,172.89655172413794,37.241379310344826,138.24137931034483,178.20689655172413,244.13793103448276
SECONDARY,General,52.0,100.0,100.0,69.23076923076923,100.0,59.61538461538461,89.53790191290192,85.83327821869489,71.97558922558922,72.0,87.5968992248062,97.91666666666667,92.76385073260074,95.3125,96.25,90.64903846153847,94.82026143790848,92.16346153846153,98.75,94.03846153846153,95.38461538461539,65.0,66.34615384615384,73.07692307692308,78.94736842105263,100.0,92.10526315789474,100.0,52.03703703703704,52.03703703703704,81.7479674796748,65.83333333333333,28.75,47.22222222222222,60.833333333333336,0.28846153846153844,75.0,63.333333333333336,63.333333333333336,63.333333333333336,41.666666666666664,65.33414470908043,52.03703703703704,52.03703703703704,91.15060170829791,15.875097953123957,71.97558922558922,72.0,70.63567154184445,94.52380952380953,75.83333333333334,0.28846153846153844,63.333333333333336,83.65384615384616,80.76923076923077,78.84615384615384,80.76923076923077,80.76923076923077,80.76923076923077,100.0,93.91941391941393,98.07692307692308,100.0,100.0,88.88888888888889,100.0,93.54838709677419,70.0,98.03921568627452,98.03921568627452,84.31372549019608,90.19607843137256,100.0,96.07843137254902,84.31372549019608,96.07843137254902,96.07843137254902,100.0,90.19607843137256,96.07843137254902,100.0,68.87464387464387,98.07692307692308,1.9230769230769231,0.0,68.2643427741467,100.0,84.61538461538461,76.92307692307692,67.3076923076923,78.84615384615384,28.846153846153847,88.23529411764706,70.58823529411765,60.78431372549019,55.76923076923077,74.50980392156863,64.70588235294117,50.98039215686274,76.47058823529412,88.23529411764706,76.47058823529412,68.62745098039215,82.3529411764706,88.23529411764706,84.31372549019608,86.27450980392157,84.61538461538461,86.53846153846153,23.076923076923077,34.61538461538461,86.27450980392157,43.13725490196079,39.21568627450981,100.0,8.74332058734348,469.9807692307692,243.32692307692307,149.65384615384616,196.5,299.0,223.8846153846154,112.42307692307692,193.44230769230768,108.34615384615384,193.59615384615384,250.17307692307693,250.03846153846155
SECONDARY,PERIURBAN,3.0,100.0,100.0,33.333333333333336,100.0,33.333333333333336,90.07112794612794,86.48484848484848,76.12121212121212,100.0,83.33333333333333,100.0,93.6574074074074,95.0,98.33333333333333,90.0,93.33333333333333,93.33333333333333,100.0,86.66666666666667,100.0,83.33333333333333,80.55555555555556,100.0,66.66666666666667,100.0,66.66666666666667,100.0,53.88888888888889,53.88888888888889,85.0,100.0,0.0,73.33333333333333,100.0,1.0,100.0,100.0,100.0,100.0,100.0,79.14434455485592,53.88888888888889,53.88888888888889,96.72963400236128,7.574878246753247,76.12121212121212,100.0,,100.0,100.0,1.0,100.0,72.22222222222223,66.66666666666667,66.66666666666667,66.66666666666667,66.66666666666667,66.66666666666667,100.0,82.22222222222223,100.0,100.0,100.0,100.0,100.0,0.0,33.333333333333336,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,59.25925925925926,100.0,0.0,0.0,59.25925925925926,,100.0,66.66666666666667,66.66666666666667,33.333333333333336,0.0,66.66666666666667,66.66666666666667,33.333333333333336,33.333333333333336,66.66666666666667,100.0,66.66666666666667,66.66666666666667,66.66666666666667,66.66666666666667,66.66666666666667,66.66666666666667,66.66666666666667,66.66666666666667,66.66666666666667,66.66666666666667,66.66666666666667,33.333333333333336,33.333333333333336,66.66666666666667,66.66666666666667,33.333333333333336,,0.0,748.3333333333334,333.0,386.0,333.0,501.3333333333333,333.0,350.3333333333333,333.0,343.3333333333333,333.0,333.0,333.0
