tHFA_A001,Q117,Facility count,HIV,TB,Malaria,ANC,Immu,Quality_Score,HW_Competence_Score,ANC_score,ART_score,TB_score,Patient_Centeredness_Score,PC_avg_Communication,PC_avg_Respect,PC_avg_Autonomy,PC_avg_Confidentiality,PC_avg_Social support,PC_avg_HW told,PC_avg_Danger signs,PC_avg_Rudeness,PC_avg_Challenges,iss_score,fac_iss,fac_tech,fac_stats,fac_group_PS,fac_comms_data,HTM-ANC,hiv testing,ART access,iptp scores,TB screening,system_CHW_score,chw_count,chw_iss,chw_contract,chw_paid,chw_tools,facility_composite,HTM-ANC,presence_score,caseload,ANC_score,DPT_score,TB_treatment_completion,ART_retention,CHW_paid,CLM_score,guideline_score,guide_HIV_test,guide_ART,guide_TB,guide_malaria,guide_anc,guide_immu,guide_imci,oxygen_score,oxygen_avl,oxygen_avo,test-capac,with lab,without lab,vacancy_score,all_funded_posts,all_unfilled_posts
COUNTRY,AVERAGE,120,100,100,71.66666667,100,80,88.9717557,84.82193407,72.08668503,87.31099656,96.2797619,92.70735377,95.54271709,95.92436975,89.25070028,94.21610169,92.04131653,99.11764706,94.66386555,95.92436975,65.57291667,69.02777778,75,81.11111111,96.66666667,94.44444444,100,52.78282828,83.00724638,70.625,29.72727273,48.06060606,36.41414141,1.441666667,62.92929293,13.23232323,28.13131313,41.36363636,68.30328326,52.78282828,91.09031321,18.27354951,76.12244898,85.45589904,97.35416667,76.68498168,28.13131313,92.22222222,95.78769841,99.16666667,99.06542056,97.5,93.02325581,100,93.75,86.53846154,81.09243697,66.38655462,95.79831933,58.21491754,58.5381842,50.90909091,17.32243008,340.6666667,186.4833333
PERIURBAN,General,6,100,100,50,100,67,91.746633,87.47474747,74.09090909,88.33333333,100,96.01851852,97.5,99.16666667,87.70833333,96.66666667,96.66666667,100,93.33333333,100,91.66666667,73.61111111,83.33333333,80,100,80,100,50.55555556,92.5,100,3.333333333,53.33333333,48.95833333,1.5,62.5,29.16666667,66.66666667,37.5,73.956951,50.55555556,98.6918536,15.46236509,100,98.11320755,100,66.66666667,66.66666667,86.11111111,91.11111111,100,100,100,100,100,75,66.66666667,75,50,100,50.61728395,50.61728395,,22.67857143,421,174.5
PRIMARY,General,65,100,100,72,100,95,88.56946572,84.04288667,72.576956,86.91176471,94.80874317,92.75363498,95.9375,95.625,87.87109375,93.59375,91.69921875,99.375,94.921875,96.171875,67.91666667,69.74358974,75.38461538,81.63265306,93.87755102,95.91836735,100,53.98305085,83.54166667,75.41666667,29.3220339,51.18644068,34.94444444,2.430769231,62.27777778,9.611111111,26,41.88888889,70.40050061,53.98305085,90.8037097,20.03889823,78.4,88.97256319,99.53488372,77.1875,26,100,98.18681319,100,98.24561404,95.38461538,95.74468085,100,98.38709677,100,73.07692308,50.76923077,95.38461538,48.0145369,48.65034526,38.63636364,16.82600367,164.9846154,108.4923077
PRIMARY,PERIURBAN,3,100,100,66.66666667,100,100,93.42213805,88.46464646,72.06060606,93.33333333,100,98.37962963,100,100,85.41666667,100,100,100,100,100,100,66.66666667,66.66666667,100,100,100,100,47.22222222,100,100,6.666666667,33.33333333,43.05555556,2,61.11111111,16.66666667,66.66666667,27.77777778,68.76955744,47.22222222,100,20.72068966,100,98.11320755,100,33.33333333,66.66666667,100,100,100,100,100,100,100,100,100,50,0,100,41.97530864,41.97530864,,37.79761905,93.66666667,16
PRIMARY,RURAL,33,100,100,81.81818182,100,93.93939394,87.31425448,82.97289028,69.5,83.01282051,95.3125,91.65561869,93.33333333,93.63636364,86.47727273,91.66666667,87.27272727,100,97.42424242,95,62.4,65.4040404,75.75757576,64,92,92,100,47.55208333,78.07692308,73.33333333,24.0625,45,25.61827957,2.666666667,48.49462366,3.010752688,10.53763441,40.43010753,65.78315516,47.55208333,89.00747069,14.21739614,66.92307692,84.48739435,99.23076923,70.90277778,10.53763441,100,96.42857143,100,96.2962963,90.90909091,92.59259259,100,96.77419355,100,71.21212121,48.48484848,93.93939394,48.26038159,48.26038159,,11.77204755,166.2727273,75.81818182
PRIMARY,URBAN,29,100,100,62.06896552,100,96.55172414,89.52889265,84.89075597,76.74410774,90.64393939,93.58974359,93.44494048,98.57142857,97.5,89.77678571,95.17857143,96.02678571,98.57142857,91.42857143,97.14285714,70,75,75.86206897,100,95.45454545,100,100,63.40277778,88.42105263,75,39.16666667,61.66666667,45.12820513,2.206896552,78.84615385,16.66666667,39.74358974,45.25641026,75.82343955,63.40277778,91.87123747,26.19135307,89.52380952,92.96501346,100,90.63492063,39.74358974,100,100,100,100,100,100,100,100,100,77.5862069,58.62068966,96.55172414,48.38508542,50.0805153,38.63636364,20.37415718,170.8965517,155.2413793
RURAL,General,44,100,100,77,100,82,87.32076031,82.93139125,70.33597884,82.96875,95.23809524,91.42321654,93.06818182,93.63636364,86.90340909,90.68181818,87.5,99.54545455,97.15909091,96.25,56.96969697,61.93181818,72.72727273,65.625,93.75,87.5,100,49.72222222,80.85714286,71.66666667,27.85714286,46.19047619,26.84895833,2.113636364,50.10416667,5.416666667,12.70833333,39.16666667,64.3700014,49.72222222,90.81504488,14.7992859,64.11764706,84.48739435,94.50980392,64.88505747,12.70833333,94.31818182,96.56385281,97.72727273,97.05882353,93.18181818,94.11764706,100,97.22222222,100,75,54.54545455,95.45454545,53.53535354,53.53535354,,11.83156117,228.3636364,87.27272727
SECONDARY,General,46,100,100,70,100,57,89.60165841,85.81395016,72.3982684,87.38738739,97.61904762,92.84657522,95.46195652,96.41304348,90.19021739,94.72222222,91.79347826,98.58695652,93.26086957,95.65217391,66.375,65.39855072,71.73913043,81.81818182,100,90.90909091,100,52.48677249,79.76851852,63.80952381,27.61904762,50.63492063,46.33333333,0.282608696,73.33333333,39.33333333,39.33333333,33.33333333,65.0449625,52.48677249,91.94387374,16.37989883,70.25641026,70.98686973,93.8172043,73.7745098,39.33333333,81.88405797,94.54451346,97.82608696,100,100,90.625,100,92.30769231,74.28571429,88.88888889,82.22222222,95.55555556,68.27697262,67.57201646,100,18.38957616,415.4782609,224.8043478
SECONDARY,PERIURBAN,2,100,100,50,100,50,90.00252525,84.72727273,79.18181818,75,100,95.27777778,97.5,100,92.5,95,92.5,100,80,100,100,70.83333333,100,50,100,50,100,64.16666667,87.5,100,0,100,66.66666667,1.5,66.66666667,66.66666667,66.66666667,66.66666667,81.95292208,64.16666667,94.28571429,6.493506494,100,,100,100,66.66666667,58.33333333,83.33333333,100,100,100,100,100,0,50,100,100,100,53.7037037,53.7037037,,0,671,499.5
SECONDARY,RURAL,11,100,100,63.63636364,100,45.45454545,87.34027778,82.79444444,73.01111111,82.77777778,95,90.7260101,92.27272727,93.63636364,88.18181818,87.72727273,88.18181818,98.18181818,96.36363636,100,40,51.51515152,63.63636364,71.42857143,100,71.42857143,,56.66666667,88.88888889,66.66666667,40,50,65,0.454545455,100,80,80,0,60.13054011,56.66666667,96.5992823,16.60314415,55,,79.16666667,36,80,77.27272727,96.96969697,90.90909091,100,100,100,100,100,100,86.36363636,72.72727273,100,69.36026936,69.36026936,,12.010102,414.6363636,121.6363636
SECONDARY,URBAN,33,100,100,72.72727273,100,60.60606061,90.33115699,86.89289723,71.74175084,89.1954023,98.33333333,93.40608466,96.40151515,97.12121212,90.71969697,97.109375,92.95454545,98.63636364,93.03030303,93.93939394,71.16666667,69.6969697,72.72727273,87.5,100,100,100,50.31481481,75.86666667,61.17647059,25.33333333,47.55555556,33.33333333,0.151515152,66.66666667,16.66666667,16.66666667,33.33333333,65.65837848,50.31481481,90.46217901,16.61183639,72.4137931,70.98686973,98.86363636,78.82716049,16.66666667,84.84848485,94.41558442,100,100,100,87.5,100,95,69.23076923,89.0625,84.375,93.75,68.79910213,67.82407407,100,21.43343978,400.2727273,242.5454545
TERTIARY,General,9,100,100,78,100,89,88.61298167,85.55929667,67.41863075,89.25925926,100,91.66666667,93.14814815,95.55555556,94.25925926,96.11111111,95.74074074,100,100,95.55555556,47.5,82.40740741,88.88888889,75,100,100,100,46.2962963,94.375,80,42.22222222,15.55555556,75,0.222222222,50,100,100,50,69.81035301,46.2962963,88.65273286,14.78650702,88.88888889,69.34794487,100,85,100,88.88888889,84.81481481,100,100,100,85.71428571,100,62.5,37.5,100,100,100,78.18930041,78.18930041,,14.97066625,1227.111111,553.8888889
TERTIARY,PERIURBAN,1,100,100,0,100,0,90.20833333,90,70,100,100,90.41666667,90,95,85,90,95,100,100,100,50,100,100,100,100,100,,33.33333333,80,,0,20,,0,,,,,73.52718951,33.33333333,99.17355372,8.65625,100,,100,100,,100,80,100,100,100,,100,,0,100,100,100,70.37037037,70.37037037,,0,903,0
TERTIARY,URBAN,8,100,100,87.5,100,100,88.41356271,85.00420875,67.0959596,87.91666667,100,91.82291667,93.54166667,95.625,95.41666667,96.875,95.83333333,100,100,95,47.14285714,80.20833333,87.5,71.42857143,100,100,100,47.91666667,96.42857143,80,47.5,15,75,0.25,50,100,100,50,69.34574845,47.91666667,87.14975845,15.66225802,87.5,69.34794487,100,83.125,100,87.5,85.41666667,100,100,100,85.71428571,100,62.5,42.85714286,100,100,100,79.16666667,79.16666667,,18.71333281,1267.625,623.125
