tHFA_A001,Q117,Facility count,HIV,TB,Malaria,ANC,Immu,Quality_Score,HW_Competence_Score,ANC_score,ART_score,TB_score,Patient_Centeredness_Score,PC_avg_Communication,PC_avg_Respect,PC_avg_Autonomy,PC_avg_Confidentiality,PC_avg_Social support,PC_avg_HW told,PC_avg_Danger signs,PC_avg_Rudeness,PC_avg_Challenges,iss_score,fac_iss,fac_tech,fac_stats,fac_group_PS,fac_comms_data,HTM-ANC,hiv testing,ART access,iptp scores,TB screening,system_CHW_score,chw_count,chw_iss,chw_contract,chw_paid,chw_tools,facility_composite,HTM-ANC,presence_score,caseload,ANC_score,DPT_score,TB_treatment_completion,ART_retention,CHW_count,CHW_paid,CLM_score,guideline_score,guide_HIV_test,guide_ART,guide_TB,guide_malaria,guide_anc,guide_immu,guide_imci,oxygen_score,oxygen_avl,oxygen_avo,test-capac,with lab,without lab,vacancy_score,all_funded_posts,all_unfilled_posts
COUNTRY,AVERAGE,120.0,100.0,100.0,71.66666666666667,100.0,80.0,85.21537033454926,77.72338689425524,72.08668503213957,75.35825545171339,96.27976190476191,92.70735377484326,95.54271708683473,95.92436974789916,89.25070028011206,94.21610169491525,92.04131652661064,99.11764705882354,94.66386554621849,95.92436974789916,65.57291666666667,69.02777777777777,75.0,81.11111111111111,96.66666666666667,94.44444444444444,100.0,45.611111111111114,83.0072463768116,70.625,29.727272727272727,41.0,37.86616161616162,1.4416666666666667,64.1919191919192,14.494949494949497,30.90909090909091,41.868686868686865,63.52681144224004,45.611111111111114,91.09031320862063,18.27354950763048,76.12244897959184,85.45589903749165,83.46153846153847,64.49838187702265,1.4416666666666667,30.90909090909091,92.22222222222221,95.7876984126984,99.16666666666667,99.06542056074767,97.5,93.02325581395348,100.0,93.75,86.53846153846153,81.09243697478992,66.38655462184875,95.7983193277311,58.21491753695144,58.53818420190102,50.909090909090914,17.32243008313699,340.6666666666667,186.48333333333332
PERIURBAN,General,6.0,100.0,100.0,50.0,100.0,66.66666666666667,91.74663299663298,87.47474747474747,74.09090909090908,88.33333333333333,100.0,96.01851851851852,97.5,99.16666666666667,87.70833333333333,96.66666666666667,96.66666666666667,100.0,93.33333333333333,100.0,91.66666666666667,73.61111111111111,83.33333333333333,80.0,100.0,80.0,100.0,50.555555555555564,92.5,100.0,3.3333333333333335,53.333333333333336,57.29166666666667,1.5,70.83333333333334,37.5,75.0,45.833333333333336,73.95695099842983,50.555555555555564,98.69185360094451,15.462365091804747,100.0,98.11320754716982,100.0,66.66666666666667,1.5,75.0,86.1111111111111,91.1111111111111,100.0,100.0,100.0,100.0,100.0,75.0,66.66666666666667,75.0,50.0,100.0,50.617283950617285,50.617283950617285,,22.678571428571427,421.0,174.5
PRIMARY,General,65.0,100.0,100.0,72.3076923076923,100.0,95.38461538461539,84.60539355453092,76.45715212642295,72.5769560006848,71.34502923976608,94.80874316939891,92.75363498263889,95.9375,95.625,87.87109375,93.59375,91.69921875,99.375,94.921875,96.171875,67.91666666666667,69.74358974358974,75.38461538461539,81.63265306122449,93.87755102040816,95.91836734693878,100.0,44.7948717948718,83.54166666666667,75.41666666666667,29.322033898305083,42.15384615384615,35.56944444444444,2.4307692307692306,63.11111111111111,9.61111111111111,27.666666666666668,41.88888888888889,64.56632377991664,44.7948717948718,90.80370970403577,20.038898230125636,78.4,88.97256318900115,81.73333333333333,60.535714285714285,2.4307692307692306,27.666666666666668,100.0,98.18681318681318,100.0,98.24561403508773,95.38461538461539,95.74468085106383,100.0,98.38709677419355,100.0,73.07692307692308,50.76923076923077,95.38461538461539,48.01453690342579,48.650345260514754,38.63636363636364,16.826003674706865,164.98461538461538,108.49230769230769
PRIMARY,PERIURBAN,3.0,100.0,100.0,66.66666666666667,100.0,100.0,93.42213804713805,88.46464646464646,72.06060606060606,93.33333333333333,100.0,98.37962962962963,100.0,100.0,85.41666666666667,100.0,100.0,100.0,100.0,100.0,100.0,66.66666666666667,66.66666666666667,100.0,100.0,100.0,100.0,47.22222222222223,100.0,100.0,6.666666666666667,33.333333333333336,43.055555555555564,2.0,61.111111111111114,16.666666666666668,66.66666666666667,27.777777777777782,68.76955744200377,47.22222222222223,100.0,20.72068965517241,100.0,98.11320754716982,100.0,33.333333333333336,2.0,66.66666666666667,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,50.0,0.0,100.0,41.97530864197531,41.97530864197531,,37.797619047619044,93.66666666666667,16.0
PRIMARY,RURAL,33.0,100.0,100.0,81.81818181818181,100.0,93.93939393939394,85.59930739271017,79.54299609855165,69.5,74.93827160493827,95.3125,91.65561868686868,93.33333333333333,93.63636363636364,86.47727272727273,91.66666666666667,87.27272727272727,100.0,97.42424242424242,95.0,62.4,65.40404040404042,75.75757575757575,64.0,92.0,92.0,100.0,40.65656565656566,78.07692307692308,73.33333333333333,24.0625,38.18181818181818,26.021505376344084,2.6666666666666665,48.494623655913976,3.0107526881720434,12.150537634408602,40.43010752688172,61.78640194662775,40.65656565656566,89.00747069091206,14.217396143704935,66.92307692307692,84.48739435040129,88.09523809523809,61.34615384615385,2.6666666666666665,12.150537634408602,100.0,96.42857142857143,100.0,96.29629629629629,90.9090909090909,92.5925925925926,100.0,96.7741935483871,100.0,71.21212121212122,48.484848484848484,93.93939393939394,48.260381593714925,48.260381593714925,,11.772047553259757,166.27272727272728,75.81818181818181
PRIMARY,URBAN,29.0,100.0,100.0,62.06896551724138,100.0,96.55172413793103,82.48934390675461,71.53374733731877,76.74410774410774,65.30864197530865,93.58974358974359,93.44494047619048,98.57142857142857,97.5,89.77678571428571,95.17857142857143,96.02678571428571,98.57142857142857,91.42857142857143,97.14285714285714,70.0,75.0,75.86206896551724,100.0,95.45454545454545,100.0,100.0,49.252873563218394,88.42105263157895,75.0,39.166666666666664,47.58620689655172,46.089743589743584,2.206896551724138,80.76923076923077,16.666666666666664,41.666666666666664,45.25641025641026,67.29486583206393,49.252873563218394,91.87123747303814,26.191353071639472,89.52380952380952,92.96501346053898,71.0,62.77777777777778,2.206896551724138,41.666666666666664,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,77.58620689655173,58.62068965517241,96.55172413793103,48.385085422122465,50.08051529790661,38.63636363636364,20.374157175693934,170.89655172413794,155.24137931034483
RURAL,General,44.0,100.0,100.0,77.27272727272727,100.0,81.81818181818181,84.94869140311849,78.47416626583293,70.33597883597884,74.11764705882354,95.23809523809524,91.42321654040404,93.06818181818181,93.63636363636364,86.9034090909091,90.68181818181819,87.5,99.54545454545455,97.1590909090909,96.25,56.96969696969697,61.93181818181818,72.72727272727273,65.625,93.75,87.5,100.0,43.371212121212125,80.85714285714286,71.66666666666667,27.857142857142858,40.0,27.239583333333332,2.1136363636363638,50.104166666666664,5.416666666666667,14.270833333333334,39.166666666666664,60.008800123775366,43.371212121212125,90.81504488275459,14.799285902025856,64.11764705882354,84.48739435040129,83.78378378378379,55.46875,2.1136363636363638,14.270833333333334,94.31818181818181,96.56385281385282,97.72727272727273,97.05882352941177,93.18181818181819,94.11764705882354,100.0,97.22222222222223,100.0,75.0,54.54545454545455,95.45454545454545,53.535353535353536,53.535353535353536,,11.831561165943594,228.36363636363637,87.27272727272727
SECONDARY,General,46.0,100.0,100.0,69.56521739130434,100.0,56.52173913043478,85.39928363705538,77.95199204981813,72.3982683982684,77.88617886178862,97.61904761904762,92.84657522429261,95.46195652173913,96.41304347826087,90.19021739130434,94.72222222222223,91.79347826086956,98.58695652173913,93.26086956521739,95.65217391304348,66.375,65.39855072463769,71.73913043478261,81.81818181818181,100.0,90.9090909090909,100.0,46.630434782608695,79.76851851851852,63.80952380952381,27.61904761904762,44.34782608695652,58.0,0.2826086956521739,80.0,56.0,56.0,40.0,60.828546745323926,46.630434782608695,91.9438737440765,16.379898834823237,70.25641025641026,70.98686972642727,83.0952380952381,65.48245614035088,0.2826086956521739,56.0,81.88405797101449,94.54451345755695,97.82608695652173,100.0,100.0,90.625,100.0,92.3076923076923,74.28571428571429,88.88888888888889,82.22222222222223,95.55555555555556,68.27697262479872,67.57201646090536,100.0,18.389576158834828,415.4782608695652,224.80434782608697
SECONDARY,PERIURBAN,2.0,100.0,100.0,50.0,100.0,50.0,90.00252525252526,84.72727272727272,79.18181818181819,75.0,100.0,95.27777777777777,97.5,100.0,92.5,95.0,92.5,100.0,80.0,100.0,100.0,70.83333333333334,100.0,50.0,100.0,50.0,100.0,64.16666666666667,87.5,100.0,0.0,100.0,100.0,1.5,100.0,100.0,100.0,100.0,81.95292207792208,64.16666666666667,94.28571428571428,6.4935064935064934,100.0,,100.0,100.0,1.5,100.0,58.33333333333333,83.33333333333334,100.0,100.0,100.0,100.0,100.0,0.0,50.0,100.0,100.0,100.0,53.7037037037037,53.7037037037037,,0.0,671.0,499.5
SECONDARY,RURAL,11.0,100.0,100.0,63.63636363636363,100.0,45.45454545454545,82.99684343434343,75.26767676767678,73.0111111111111,70.95238095238095,95.0,90.7260101010101,92.27272727272727,93.63636363636364,88.18181818181819,87.72727272727273,88.18181818181819,98.18181818181819,96.36363636363636,100.0,40.0,51.51515151515152,63.63636363636363,71.42857142857143,100.0,71.42857142857143,,51.51515151515152,88.88888888888889,66.66666666666667,40.0,45.45454545454545,65.0,0.45454545454545453,100.0,80.0,80.0,0.0,54.67599465521823,51.51515151515152,96.59928229665073,16.603144152820708,55.0,,70.37037037037038,30.0,0.45454545454545453,80.0,77.27272727272727,96.96969696969698,90.9090909090909,100.0,100.0,100.0,100.0,100.0,100.0,86.36363636363636,72.72727272727273,100.0,69.36026936026936,69.36026936026936,,12.010102003995105,414.6363636363636,121.63636363636364
