Q100,Q102,Q105,Q106,Q105_a,Q113,Q113_A,Q116,Q116_A,Q117,Q118,tHFA_A001,tHFA_A002,HIV,TB,Malaria,ANC,Immu,Quality_Score,HW_Competence_Score,HW_Check,ANC_score,ART_score,TB_score,Patient_Centeredness_Score,PC_Individuals,PC_attributes,PC_avg_Communication,PC_avg_Respect,PC_avg_Autonomy,PC_avg_Confidentiality,PC_avg_Social support,PC_avg_HW told,PC_avg_Danger signs,PC_avg_Rudeness,PC_avg_Challenges,iss_score,iss_check,fac_iss,fac_tech,fac_stats,fac_group_PS,fac_comms_data,HTM-ANC,hiv testing,ART access,iptp scores,TB screening,system_CHW_score,chw_count,chw_show,chw_iss,chw_contract,chw_paid,chw_tools,facility_composite,HTM-ANC,presence_score,caseload,ANC_score,DPT_score,TB_treatment_completion,ART_retention,CHW_count,CHW_paid,CHW_scores,CLM_score,comm_data_collectors,quarterly_feedback,comm_data_analysis,CLM_aware,CLM_promotion,client_feedback,guideline_score,guide_HIV_test,guide_ART,guide_TB,guide_malaria,guide_anc,guide_immu,guide_imci,oxygen_score,oxygen_avl,oxygen_avo,test-capac,with lab,without lab,Antibodies to HIV 1/2 (anti HIV Ab),Qualitative (EID) or quantitative (viral load) HIV nucleic acid test (NAT),CD4 cell enumeration,Antibodies to Treponema pallidum OR Combined antibodies to T. pallidum and HIV 1/2,Lipoarabinomannan (LAM) antigen,Mycobacterium tuberculosis bacteria,M. tuberculosis DNA,Drug susceptibility testing of M. tuberculosis culture,Plasmodium spp. antigens; species-specific (e.g. HRP2) and/or pan species-specific (e.g. pan-pLDH),Staining procedures,Culture OR Culture and Genus and species identification of bacteria and fungi,Antimicrobial susceptibility testing (AST),C-reactive protein (CRP),"Complete blood count (CBC), automated",Prothrombin time and international normalized ratio (PT/INR),Blood culture,Blood gas,Glucose,Liver profile/Liver Function test,Renal function test,SARS-CoV-2 test,Hepatitis B surface antigen (HBsAg),Influenza A and B antigen,Influenza A and B diagnostic,"Qualitative dengue virus nucleic acid test, Dengue virus IgM antibody or Dengue virus antigen (NS1)",Qualitative nucleic acid test (NAT) for Chlamydia trachomatis (CT) and Neisseria gonorrhoeae (NG) infections,Measles nucleic acid test or Measle serology,Vibrio cholerae antigen,vacancy_score,all_funded_posts,all_unfilled_posts
IDN_000335,PUSKESMAS SIDAREJA,Central Java,Kabupaten Cilacap,PRIMARY,HEALTH CENTRE,,LOCAL GOVERNMENT,,RURAL,BOTH OUT AND INPATIENT,PRIMARY,70000,100,100,100,100,100,87.86174242424242,88.84848484848484,"[80.0, 80.0, 80.0, 70.0, 72.72727272727273, 50.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0]",76.54545454545455,90.0,100.0,86.875,"[90.625, 87.5, 84.375, 84.375, 87.5]","[100, 100, 75, 75, 75, 100, 100, 100, nan, 100, 100, 50, 75, 75, 100, 100, 100, nan, 100, 100, 50, 75, 50, 100, 100, 100, nan, 100, 100, 50, 75, 50, 100, 100, 100, nan, 100, 100, 50, 75, 75, 100, 100, 100, nan]",100.0,100.0,55.0,75.0,65.0,100.0,100.0,100.0,,100.0,"[100, 100, 100, 100]",100,100.0,100.0,100.0,100.0,63.333333333333336,100.0,50.0,0.0,100.0,25.0,2,"[25.0, 25.0]",100.0,0.0,0.0,0.0,79.23508727334351,63.333333333333336,90.0,75.0,100.0,26.312277580071175,100.0,100.0,2,0.0,"[0, 0]",100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,33.333333333333336,33.333333333333336,,100.0,100.0,0.0,100.0,0.0,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,0.0,0.0,,0.0,16.0,0.0
IDN_000367,RS Umum Daerah Cilacap,Central Java,Kabupaten Cilacap,SECONDARY,DISTRICT HOSPITAL,,LOCAL GOVERNMENT,,URBAN,BOTH OUT AND INPATIENT,SECONDARY,2000000,100,100,100,100,100,84.68118686868686,84.84848484848484,"[72.72727272727273, 50.0, 50.0, 50.0, 50.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0]",54.54545454545455,100.0,100.0,84.51388888888889,"[93.75, 100.0, 84.375, 63.888888888888886, 80.55555555555556]","[100, 100, 75, 100, 75, 100, 100, 100, nan, 100, 100, 100, 100, 100, 100, 100, 100, nan, 100, 100, 100, 100, 75, 100, 0, 100, nan, 50, 100, 75, 75, 75, 0, 100, 100, 0, 100, 100, 75, 100, 50, 100, 100, 100, 0]",90.0,100.0,85.0,95.0,75.0,80.0,80.0,100.0,0.0,100.0,"[100, 100, 100, 100]",100,100.0,100.0,100.0,100.0,41.66666666666667,100.0,0.0,20.0,20.0,50.0,2,"[50.0, 50.0]",100.0,0.0,0.0,100.0,68.31065759637188,41.66666666666667,81.66666666666667,46.53061224489796,40.0,,100.0,100.0,2,0.0,"[0, 0]",100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,81.48148148148148,81.48148148148148,,100.0,100.0,100.0,100.0,0.0,100.0,100.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,100.0,100.0,0.0,,,999.0,999.0
IDN_000010,PUSKESMAS MUMBULSARI,East Java,Kabupaten Jember,PRIMARY,HEALTH CENTRE,,LOCAL GOVERNMENT,,RURAL,BOTH OUT AND INPATIENT,PRIMARY,66831,100,100,100,100,100,81.44444444444444,70.66666666666667,"[60.0, 60.0, 60.0, 60.0, 70.0, 50.0, 50.0, 50.0, 50.0, 50.0, 100.0, 100.0, 100.0, 100.0, 100.0]",62.0,50.0,100.0,92.22222222222221,"[97.22222222222223, 100.0, 80.55555555555556, 88.88888888888889, 94.44444444444444]","[100, 100, 75, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 75, 75, 75, 100, 100, 100, 0, 75, 75, 75, 75, 100, 100, 100, 100, 100, 100, 75, 100, 100, 75, 100, 100, 100, 100]",95.0,90.0,85.0,90.0,90.0,100.0,100.0,100.0,80.0,0.0,[],0,,,,,33.333333333333336,100.0,,0.0,0.0,0.0,2,"[0.0, 0.0]",0.0,0.0,0.0,0.0,63.54042354042354,33.333333333333336,100.0,15.909090909090908,0.0,95.54054054054055,100.0,100.0,2,0.0,"[0, 0]",100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,50.0,0.0,100.0,33.333333333333336,33.333333333333336,,100.0,0.0,0.0,100.0,0.0,100.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,100.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,,20.77922077922078,77.0,16.0
IDN_000348,PUSKESMAS NUSAWUNGU II,Central Java,Kabupaten Cilacap,PRIMARY,HEALTH CENTRE,,LOCAL GOVERNMENT,,RURAL,BOTH OUT AND INPATIENT,PRIMARY,48000,100,100,100,100,100,93.125,93.33333333333333,"[80.0, 80.0, 80.0, 80.0, 80.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0]",80.0,100.0,100.0,92.91666666666666,"[100.0, 83.33333333333333, 96.875, 90.625, 93.75]","[100, 100, 100, 100, 100, 100, 100, 100, nan, 100, 75, 75, 100, 100, 100, 100, 100, 0, 100, 100, 75, 100, 100, 100, 100, 100, nan, 100, 100, 75, 75, 75, 100, 100, 100, nan, 100, 100, 75, 100, 75, 100, 100, 100, nan]",100.0,95.0,80.0,95.0,90.0,100.0,100.0,100.0,0.0,100.0,"[100, 100, 100, 100]",100,100.0,100.0,100.0,100.0,66.66666666666667,100.0,,0.0,100.0,25.0,2,"[25.0, 25.0]",100.0,0.0,0.0,0.0,74.65677312972721,66.66666666666667,100.0,24.705882352941178,40.0,91.22486288848263,100.0,100.0,2,0.0,"[0, 0]",100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,25.925925925925927,25.925925925925927,,100.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,100.0,0.0,0.0,,3.225806451612903,62.0,2.0
IDN_000168,RS Umum Daerah Cibinong,West Java,Kabupaten Bogor,SECONDARY,REGIONAL/PROVINCIAL REFERRAL HOSPITAL,,LOCAL GOVERNMENT,,PERIURBAN,BOTH OUT AND INPATIENT,SECONDARY,1000000,100,100,100,100,0,86.39393939393939,76.12121212121211,"[70.0, 80.0, 80.0, 81.81818181818181, 80.0, 50.0, 50.0, 50.0, 50.0, 50.0, 100.0, 100.0, 100.0, 100.0, 100.0]",78.36363636363636,50.0,100.0,96.66666666666667,"[100.0, 97.22222222222223, 97.22222222222223, 91.66666666666667, 97.22222222222223]","[100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 75, 100, 100, 100, 100, 100, 100, 100, 100, 100, 75, 100, 100, 100, 100, 100, 75, 100, 75, 100, 75, 100, 100, 100, 100, 100, 100, 100, 75, 100, 100, 100, 100, 100]",95.0,100.0,90.0,90.0,95.0,100.0,100.0,100.0,100.0,75.0,"[0, 100, 100, 100]",100,0.0,100.0,100.0,100.0,61.66666666666667,75.0,100.0,0.0,100.0,100.0,3,"[100.0, 100.0]",100.0,100.0,100.0,100.0,90.41666666666667,61.66666666666667,,,100.0,,100.0,100.0,3,100.0,"[100, 100]",100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,100.0,100.0,100.0,100.0,81.48148148148148,81.48148148148148,,100.0,0.0,100.0,100.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,100.0,100.0,0.0,,,999.0,999.0
IDN_000289,PUSKESMAS LARANGAN UTARA,Banten,Kota Tangerang,PRIMARY,HEALTH CENTRE,,LOCAL GOVERNMENT,,URBAN,OUTPATIENT ONLY,PRIMARY,850,100,100,0,100,100,85.55555555555556,90.0,"[70.0, 70.0, 70.0, 70.0, 70.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0]",70.0,100.0,100.0,81.11111111111111,"[80.55555555555556, 80.55555555555556, 83.33333333333333, 72.22222222222223, 88.88888888888889]","[75, 100, 50, 0, 100, 100, 100, 100, 100, 100, 100, 25, 0, 100, 100, 100, 100, 100, 100, 100, 50, 0, 100, 100, 100, 100, 100, 100, 100, 50, 0, 100, 100, 100, 100, 0, 100, 100, 100, 100, 100, 100, 100, 100, 0]",95.0,100.0,55.0,20.0,100.0,100.0,100.0,100.0,60.0,100.0,"[100, 100, 100, 100]",100,100.0,100.0,100.0,100.0,33.333333333333336,100.0,,0.0,0.0,90.0,5,"[75.0, 75.0, 100.0, 100.0, 100.0]",100.0,100.0,100.0,60.0,79.5138888888889,33.333333333333336,100.0,43.75,,100.0,100.0,100.0,5,100.0,"[100, 100, 100, 100, 100]",100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,100.0,100.0,100.0,100.0,100.0,100.0,37.03703703703704,37.03703703703704,,0.0,0.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,100.0,0.0,0.0,,,999.0,999.0
IDN_000165,RS Umum Daerah Dr. Pirngadi,North Sumatra,Kota Medan,SECONDARY,DISTRICT HOSPITAL,,LOCAL GOVERNMENT,,URBAN,BOTH OUT AND INPATIENT,TERTIARY,1538600,100,100,100,100,100,79.88257575757575,74.62626262626263,"[72.72727272727273, 70.0, 70.0, 70.0, 70.0, 50.0, 50.0, 66.66666666666667, 50.0, 50.0, 100.0, 100.0, 100.0, 100.0, 100.0]",70.54545454545455,53.333333333333336,100.0,85.13888888888889,"[88.88888888888889, 80.55555555555556, 68.75, 100.0, 87.5]","[100, 100, 100, 100, 100, 100, 100, 100, 0, 100, 100, 50, 100, 75, 100, 100, 100, 0, 100, 50, 100, nan, 0, 100, 100, 100, 0, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, nan, 100, 100, 100, 100, 0]",100.0,90.0,90.0,100.0,75.0,100.0,100.0,100.0,20.0,75.0,"[0, 100, 100, 100]",100,0.0,100.0,100.0,100.0,36.66666666666667,100.0,100.0,0.0,0.0,75.0,2,"[50.0, 100.0]",50.0,100.0,100.0,50.0,41.61350345560872,36.66666666666667,100.0,6.196172248803827,0.0,81.81818181818181,,25.0,2,100.0,"[100, 100]",100.0,100.0,100.0,100.0,100.0,100.0,100.0,85.71428571428571,100.0,100.0,100.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,59.25925925925926,59.25925925925926,,0.0,100.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,0.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,100.0,0.0,0.0,,14.880952380952381,168.0,25.0
IDN_000246,RS Umum Daerah Jampang Kulon,West Java,Kabupaten Sukabumi,SECONDARY,DISTRICT HOSPITAL,,MINISTRY OF HEALTH,,RURAL,BOTH OUT AND INPATIENT,SECONDARY,9,100,100,100,100,100,92.77777777777779,100.0,"[100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0]",100.0,100.0,100.0,85.55555555555557,"[72.22222222222223, 88.88888888888889, 88.88888888888889, 88.88888888888889, 88.88888888888889]","[75, 75, 50, 75, 75, 100, 100, 100, 0, 100, 100, 100, 100, 100, 100, 100, 100, 0, 100, 100, 100, 100, 100, 100, 100, 100, 0, 100, 100, 100, 100, 100, 100, 100, 100, 0, 100, 100, 100, 100, 100, 100, 100, 100, 0]",95.0,95.0,90.0,95.0,95.0,100.0,100.0,100.0,0.0,0.0,[],0,,,,,100.0,100.0,100.0,100.0,100.0,65.0,5,"[75.0, 75.0, 25.0, 75.0, 75.0]",100.0,80.0,80.0,0.0,62.48717948717949,100.0,100.0,12.435897435897436,,,100.0,0.0,5,80.0,"[100, 100, 0, 100, 100]",100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,74.07407407407408,74.07407407407408,,100.0,0.0,0.0,100.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,100.0,0.0,0.0,,30.76923076923077,143.0,44.0
IDN_000158,PUSKESMAS WAGIR,East Java,Kabupaten Malang,PRIMARY,HEALTH CENTRE,,LOCAL GOVERNMENT,,RURAL,BOTH OUT AND INPATIENT,PRIMARY,89989,100,100,100,100,100,94.22222222222223,90.66666666666667,"[70.0, 80.0, 70.0, 70.0, 70.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0]",72.0,100.0,100.0,97.77777777777779,"[100.0, 100.0, 100.0, 100.0, 88.88888888888889]","[100, 100, 100, 100, 100, 100, 100, 100, nan, 100, 100, 100, 100, 100, 100, 100, 100, nan, 100, 100, 100, 100, 100, 100, 100, 100, nan, 100, 100, 100, 100, 100, 100, 100, 100, nan, 100, 100, 100, 100, 100, 100, 100, 100, 0]",100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,"[100, 100, 100, 100]",100,100.0,100.0,100.0,100.0,40.00000000000001,100.0,,0.0,20.0,35.0,5,"[25.0, 25.0, 50.0, 25.0, 50.0]",40.0,0.0,0.0,100.0,63.174289697291556,40.00000000000001,100.0,5.9375,0.0,96.28252788104089,100.0,100.0,5,0.0,"[0, 0, 0, 0, 0]",100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,62.96296296296296,62.96296296296296,,100.0,100.0,100.0,100.0,0.0,100.0,0.0,100.0,100.0,0.0,100.0,0.0,0.0,100.0,100.0,0.0,0.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,100.0,100.0,0.0,,6.451612903225806,62.0,4.0
IDN_000396,PUSKESMAS SUMBERJAMBE,East Java,Kabupaten Jember,PRIMARY,HEALTH CENTRE,,LOCAL GOVERNMENT,,RURAL,BOTH OUT AND INPATIENT,PRIMARY,63000,100,100,100,100,100,87.22222222222221,90.0,"[70.0, 70.0, 70.0, 70.0, 70.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0]",70.0,100.0,100.0,84.44444444444443,"[94.44444444444444, 75.0, 83.33333333333333, 80.55555555555556, 88.88888888888889]","[100, 100, 75, 100, 75, 100, 100, 100, 100, 50, 100, 75, 75, 75, 100, 100, 100, 0, 75, 100, 100, 100, 75, 100, 100, 100, 0, 100, 100, 75, 75, 75, 100, 100, 100, 0, 100, 75, 50, 100, 75, 100, 100, 100, 100]",85.0,95.0,75.0,90.0,75.0,100.0,100.0,100.0,40.0,100.0,"[100, 100, 100, 100]",100,100.0,100.0,100.0,100.0,33.333333333333336,100.0,,0.0,0.0,12.5,2,"[0.0, 25.0]",50.0,0.0,0.0,0.0,63.68775510204082,33.333333333333336,100.0,18.214285714285715,0.0,94.26666666666667,100.0,100.0,2,0.0,"[0, 0]",100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,18.51851851851852,18.51851851851852,,100.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,,8.16326530612245,49.0,4.0
