Q100,FI_2,FI_3,Q102,Q100a,Q105,Q106,Q105_a,Q106_a,Q109-Latitude,Q109-Longitude,Q109-Altitude,Q109-Accuracy,Q113,Q113_A,Q116,Q116_A,Q117,Q118,tHFA_A001,tHFA_A002
LBR_000492,Jenninah N. Okiror,Liberia,God's Will Health Clinic,Random,Montserrado,Central Monrovia district,PRIMARY,LBR,6.2928567,-10.77216,48.8,2.6,HEALTH CENTRE,,PRIVATE-FOR-PROFIT,,URBAN,OUTPATIENT ONLY,PRIMARY,9
LBR_000457,Jenninah N. Okiror,Liberia,Zobo Medical Clinic,Random,Montserrado,Bushrod District,PRIMARY,LBR,6.3752521,-10.7434827,31.4,4.7,CLINIC/DISPENSARY,,PRIVATE-FOR-PROFIT,,RURAL,BOTH OUT AND INPATIENT,PRIMARY,2500
LBR_000871,Larry Martin Tuah,Liberia,St Francis Hospital,Random,Rivercess,Timbo District,TERTIARY,LBR,5.4701862,-9.5802871,32.3,12.3,OTHER GENERAL HOSPITAL,,MINISTRY OF HEALTH,,URBAN,BOTH OUT AND INPATIENT,TERTIARY,5890
LBR_000653,Irene Y. GAYE,Liberia,City View Comm. Clinic,Random,Montserrado,Somalia Drive District,PRIMARY,LBR,6.3233946,-10.7082015,0,2500,MATERNAL/CHILD HEALTH CLINIC,,MINISTRY OF HEALTH,,PERIURBAN,BOTH OUT AND INPATIENT,PRIMARY,100
LBR_000718,Irene Y. GAYE,Liberia,Sister Barbara Ann Health Center,Random,Montserrado,Somalia Drive District,PRIMARY,LBR,6.3261729,-10.735467,29.1,10.5,HEALTH CENTRE,,MINISTRY OF HEALTH,,PERIURBAN,BOTH OUT AND INPATIENT,PRIMARY,9
LBR_000596,Irene Y. GAYE,Liberia,Ma V Maternity Clinic,Random,Montserrado,Commonwealth District,PRIMARY,LBR,6.2907575,-10.6884782,0,800,MATERNAL/CHILD HEALTH CLINIC,,MINISTRY OF HEALTH,,PERIURBAN,BOTH OUT AND INPATIENT,PRIMARY,9
LBR_000870,Larry Martin Tuah,Liberia,Open Bible Society Mission Clinic,Random,Rivercess,Timbo District,PRIMARY,LBR,5.520129,-9.6184909,68.7,4.6,CLINIC/DISPENSARY,,MINISTRY OF HEALTH,,PERIURBAN,OUTPATIENT ONLY,PRIMARY,5115
LBR_000500,Jenninah N. Okiror,Liberia,Joelu Maternity Clinic,Random,Montserrado,Central Monrovia district,PRIMARY,LBR,6.307618,-10.8058782,39,4.9,MATERNAL/CHILD HEALTH CLINIC,,PRIVATE-FOR-PROFIT,,URBAN,OUTPATIENT ONLY,PRIMARY,1200
LBR_000489,Jenninah N. Okiror,Liberia,Few Diagnosistic,Random,Montserrado,Central Monrovia district,PRIMARY,LBR,6.294376109236341,-10.789354704561232,10.6,40,CLINIC/DISPENSARY,,PRIVATE-FOR-PROFIT,,URBAN,OUTPATIENT ONLY,PRIMARY,9
LBR_000786,Prince Dehnue,Liberia,Slangonplay Clinic,Random,Nimba,Gbehlay-Geh District,PRIMARY,LBR,7.2152801,-8.5830389,420.7,5,CLINIC/DISPENSARY,,MINISTRY OF HEALTH,,RURAL,OUTPATIENT ONLY,PRIMARY,5321
LBR_000865,Larry Martin Tuah,Liberia,Bodowhea Clinic,Random,Rivercess,Jowein District,PRIMARY,LBR,6.0036507,-9.4013879,183.7,4.8,CLINIC/DISPENSARY,,MINISTRY OF HEALTH,,RURAL,OUTPATIENT ONLY,PRIMARY,7808
LBR_000855,Larry Martin Tuah,Liberia,Kploh Community Clinic,Random,Rivercess,Central C District,PRIMARY,LBR,5.8536153,-9.2285536,176.3,5.8,CLINIC/DISPENSARY,,MINISTRY OF HEALTH,,RURAL,OUTPATIENT ONLY,PRIMARY,7011
LBR_000181,Johnson Bernard,Liberia,Duogee Clinic,Random,Grand Gedeh,B'Hai District,PRIMARY,LBR,6.2668571,-8.521101,330.1,3.9,CLINIC/DISPENSARY,,MINISTRY OF HEALTH,,RURAL,OUTPATIENT ONLY,PRIMARY,6993
LBR_000190,Johnson Bernard,Liberia,Gbarzon Health Center,Panel,Grand Gedeh,Gbao District,SECONDARY,LBR,6.2268217,-8.4402,284.2,3.9,HEALTH CENTRE,,MINISTRY OF HEALTH,,RURAL,BOTH OUT AND INPATIENT,SECONDARY,10925
LBR_000195,Johnson Bernard,Liberia,Konobo Health Center,Panel,Grand Gedeh,Konobo District,SECONDARY,LBR,5.7703885,-7.8628098,244.9,4.9,COMPREHENSIVE HEALTH CENTRE/ POLY CLINIC,,MINISTRY OF HEALTH,,RURAL,BOTH OUT AND INPATIENT,SECONDARY,40639
LBR_000204,Johnson Bernard,Liberia,Kumah Town Clinic,Random,Grand Gedeh,Tchien District,PRIMARY,LBR,5.9345018,-8.2459588,241.1,4.9,CLINIC/DISPENSARY,,MINISTRY OF HEALTH,,RURAL,OUTPATIENT ONLY,PRIMARY,5432
LBR_000205,Johnson Bernard,Liberia,Martha Tubman Memorial Hospital,Panel,Grand Gedeh,Tchien District,SECONDARY,LBR,6.0779227,-8.1249305,249.5,4.3,NATIONAL REFERRAL HOSPITAL,,MINISTRY OF HEALTH,,PERIURBAN,BOTH OUT AND INPATIENT,TERTIARY,17774
LBR_000182,Johnson Bernard,Liberia,Toe Town Clinic,Random,Grand Gedeh,B'Hai District,PRIMARY,LBR,6.4090119,-8.5557579,295.8,4.5,CLINIC/DISPENSARY,,MINISTRY OF HEALTH,,RURAL,OUTPATIENT ONLY,PRIMARY,3698
