tHFA_A001,Q117,Facility count,HIV,TB,Malaria,ANC,Immu,Quality_Score,HW_Competence_Score,ANC_score,ART_score,TB_score,Patient_Centeredness_Score,PC_avg_Communication,PC_avg_Respect,PC_avg_Autonomy,PC_avg_Confidentiality,PC_avg_Social support,PC_avg_HW told,PC_avg_Danger signs,PC_avg_Rudeness,PC_avg_Challenges,iss_score,fac_iss,fac_tech,fac_stats,fac_group_PS,fac_comms_data,HTM-ANC,hiv testing,ART access,iptp scores,TB screening,system_CHW_score,chw_count,chw_iss,chw_contract,chw_paid,chw_tools,facility_composite,HTM-ANC,presence_score,caseload,ANC_score,DPT_score,TB_treatment_completion,ART_retention,CHW_paid,CLM_score,guideline_score,guide_HIV_test,guide_ART,guide_TB,guide_malaria,guide_anc,guide_immu,guide_imci,oxygen_score,oxygen_avl,oxygen_avo,test-capac,with lab,without lab,vacancy_score,all_funded_posts,all_unfilled_posts
COUNTRY,AVERAGE,120.0,85.0,53.333333333333336,99.16666666666667,94.16666666666667,91.66666666666667,83.21737140854788,84.3991741085758,83.62925717350495,79.45906432748538,97.36842105263158,81.80936347603014,85.02104377104376,94.45286195286197,85.45875420875421,91.48569023569023,75.30723905723904,97.32323232323232,93.18181818181819,97.12121212121212,11.529209621993129,84.93055555555556,94.16666666666667,98.1981981981982,85.3211009174312,86.66666666666667,98.52941176470588,65.19665683382497,92.05761316872429,76.47058823529412,94.12979351032449,26.106194690265486,47.89713541666667,1.3916666666666666,93.4375,18.28125,33.75,46.11979166666667,56.66239173631494,65.19665683382497,84.51418363158574,15.43578547259264,32.418879056047196,84.58358688525252,29.883040935672515,88.71621621621621,33.75,67.22222222222221,90.76984126984127,90.19607843137256,93.67088607594937,93.75,96.63865546218487,86.72566371681415,93.63636363636364,91.89189189189189,70.0,46.666666666666664,93.33333333333333,29.501197542434657,34.010840108401084,4.848484848484849,30.642347973013738,83.60833333333333,50.791666666666664
PRIMARY,General,73.0,78.08219178082192,38.35616438356164,100.0,94.52054794520548,89.04109589041096,82.67613488268454,82.1482549792409,82.21380471380472,74.96527777777777,95.71428571428571,82.78876744663381,83.25431034482759,95.47413793103448,88.05316091954022,92.25574712643677,73.30459770114943,99.56896551724138,97.15517241379311,98.62068965517241,9.791666666666668,81.5068493150685,91.78082191780823,96.96969696969697,83.07692307692308,85.48387096774194,100.0,64.28341384863124,91.63265306122449,70.58823529411765,94.73429951690822,23.043478260869566,47.67094017094017,1.4383561643835616,96.58119658119658,12.051282051282051,37.008547008547005,45.042735042735046,55.31669066946946,64.28341384863124,85.30989938524186,16.986057941897887,29.613526570048307,82.70929581710267,23.095238095238095,87.90322580645162,37.008547008547005,64.15525114155251,87.41682974559687,85.96491228070175,91.42857142857143,85.71428571428571,94.52054794520548,82.6086956521739,92.3076923076923,89.39393939393939,50.0,12.5,87.5,18.013468013468014,23.076923076923077,4.848484848484849,32.34681024790408,42.80821917808219,31.315068493150687
PRIMARY,PERIURBAN,18.0,77.77777777777777,27.77777777777778,100.0,94.44444444444444,83.33333333333333,86.91183019655243,87.0455552677775,86.94751435927907,81.25,98.0,83.52314814814815,92.33333333333334,97.0,87.83333333333334,92.83333333333334,75.83333333333334,100.0,97.5,100.0,4.0,69.90740740740742,88.88888888888889,100.0,66.66666666666667,64.28571428571429,100.0,71.47058823529412,100.0,66.66666666666667,92.15686274509804,38.8235294117647,32.333333333333336,0.8333333333333334,89.33333333333334,0.0,6.666666666666667,33.333333333333336,54.75712457253529,71.47058823529412,89.25685425685425,15.479368828053039,15.294117647058824,84.49794396639254,48.0,87.5,6.666666666666667,56.48148148148148,85.9126984126984,92.85714285714286,87.5,80.0,94.44444444444444,94.11764705882354,80.0,80.0,50.0,20.0,80.0,23.84259259259259,29.344729344729345,0.0,48.61438994202332,78.27777777777777,63.666666666666664
PRIMARY,RURAL,39.0,92.3076923076923,51.282051282051285,100.0,100.0,97.43589743589743,81.05233038566371,80.30443013776348,79.4353362686696,76.3157894736842,98.46153846153847,82.5922251616696,92.23379629629629,94.58333333333333,85.79861111111111,89.6875,64.39814814814815,100.0,99.30555555555556,97.77777777777777,14.12037037037037,95.94017094017093,97.43589743589743,100.0,97.29729729729729,97.22222222222223,100.0,65.12820512820512,96.5625,85.71428571428571,96.41025641025641,19.487179487179485,49.921875,2.230769230769231,97.5,11.5625,40.9375,49.6875,57.84764389351616,65.12820512820512,80.8090983090983,21.077228327228326,37.43589743589744,83.90363178917698,12.692307692307692,91.05263157894737,40.9375,76.06837606837607,91.3064713064713,88.88888888888889,95.45454545454545,85.0,97.43589743589743,79.48717948717949,97.36842105263158,97.43589743589743,50.0,0.0,100.0,10.942760942760943,15.50925925925926,3.6363636363636367,34.48943562809959,10.179487179487179,3.051282051282051
PRIMARY,URBAN,16.0,43.75,18.75,100.0,81.25,75.0,81.86900111607143,80.98809523809523,84.35897435897436,59.777777777777786,80.0,82.76641038359789,48.75,96.875,95.0,99.47916666666667,97.91666666666667,97.91666666666667,90.41666666666667,100.0,0.0,59.375,81.25,83.33333333333333,61.53846153846154,75.0,100.0,52.35042735042735,40.0,50.0,93.07692307692308,13.076923076923077,50.0,0.1875,100.0,50.0,50.0,0.0,49.77700404490657,52.35042735042735,91.84027777777777,8.70885538073038,24.87179487179487,76.7947597642834,26.666666666666668,73.75,50.0,43.75,79.62797619047619,57.142857142857146,80.0,100.0,87.5,76.92307692307692,91.66666666666667,75.0,50.0,0.0,100.0,25.561167227833895,27.037037037037038,18.181818181818183,8.33939393939394,82.4375,63.8125
SECONDARY,General,16.0,100.0,81.25,100.0,100.0,100.0,88.88595027657527,93.49990981240981,90.39772727272727,93.95833333333333,99.23076923076923,83.34656084656083,84.88095238095238,94.64285714285714,85.83333333333334,86.01190476190477,91.51785714285714,84.28571428571429,89.28571428571429,98.57142857142857,28.928571428571427,92.1875,100.0,100.0,93.33333333333333,80.0,100.0,77.1875,94.23076923076923,85.71428571428571,95.0,50.0,60.0,1.125,90.0,50.0,35.0,65.0,61.47394109635848,77.1875,83.22916666666667,17.087792642140467,31.25,87.29163869768057,38.33333333333333,92.5,35.0,77.08333333333333,96.42857142857143,100.0,93.75,100.0,100.0,87.5,100.0,93.33333333333333,58.333333333333336,16.666666666666668,100.0,39.94708994708994,39.94708994708994,,32.88413584956733,43.0625,74.375
SECONDARY,PERIURBAN,6.0,100.0,50.0,100.0,100.0,100.0,87.7982603815937,93.37121212121212,92.72727272727273,93.33333333333333,100.0,77.96296296296296,75.0,97.91666666666667,70.83333333333333,72.91666666666667,100.0,70.0,75.0,100.0,25.0,79.16666666666667,100.0,100.0,80.0,50.0,100.0,86.3888888888889,100.0,100.0,90.0,73.33333333333333,56.25,0.8333333333333334,75.0,75.0,25.0,50.0,59.38125152625369,86.3888888888889,64.16666666666667,22.555555555555554,26.666666666666668,83.38923268016251,41.666666666666664,83.33333333333333,25.0,86.1111111111111,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,,,46.2962962962963,46.2962962962963,,51.92528735632184,25.5,15.166666666666666
SECONDARY,RURAL,6.0,100.0,100.0,100.0,100.0,100.0,93.44390331890332,93.92484367484367,84.44444444444444,100.0,100.0,92.96296296296298,96.66666666666667,100.0,98.33333333333333,100.0,93.33333333333333,100.0,100.0,96.66666666666667,43.333333333333336,100.0,100.0,100.0,100.0,100.0,100.0,61.666666666666664,87.5,0.0,100.0,10.0,57.5,1.8333333333333333,100.0,20.0,40.0,70.0,59.76120106499024,61.666666666666664,96.66666666666667,15.094017094017095,30.0,86.01216813869235,28.888888888888886,100.0,40.0,86.1111111111111,97.6190476190476,100.0,83.33333333333333,100.0,100.0,100.0,100.0,100.0,50.0,0.0,100.0,33.95061728395061,33.95061728395061,,16.361656822461907,35.166666666666664,6.833333333333333
SECONDARY,URBAN,4.0,100.0,100.0,100.0,100.0,100.0,83.68055555555556,93.05555555555556,95.83333333333334,85.83333333333334,97.5,74.30555555555556,77.08333333333334,83.33333333333333,82.08333333333333,78.125,80.3125,75.0,87.5,100.0,11.25,100.0,100.0,100.0,100.0,100.0,100.0,86.66666666666667,93.75,100.0,95.0,75.0,87.5,0.5,100.0,100.0,50.0,100.0,67.18208549856803,86.66666666666667,91.66666666666666,11.876811594202898,40.0,95.06445356243998,50.0,95.0,50.0,49.99999999999999,89.28571428571428,100.0,100.0,100.0,100.0,50.0,100.0,75.0,66.66666666666667,33.333333333333336,100.0,42.592592592592595,42.592592592592595,,27.84679089026915,81.25,264.5
TERTIARY,General,31.0,93.54838709677419,74.19354838709677,96.7741935483871,90.3225806451613,93.54838709677419,81.51113822520072,84.87262367262366,83.24963924963924,76.30952380952381,97.82608695652173,78.90839334705076,88.88888888888889,92.1604938271605,79.69135802469135,92.66975308641976,71.20370370370371,99.25925925925925,86.66666666666667,93.14814814814815,6.111111111111111,89.24731182795698,96.7741935483871,100.0,86.20689655172414,92.85714285714286,93.75,60.595238095238095,91.66666666666667,80.0,92.14285714285714,20.0,40.416666666666664,1.4193548387096775,87.55555555555556,13.333333333333334,24.444444444444446,36.333333333333336,57.347920385315675,60.595238095238095,83.22014988751019,10.621923232177185,40.0,87.14390670340589,31.304347826086957,87.4074074074074,24.444444444444446,69.35483870967742,95.74500768049155,93.10344827586206,96.42857142857143,100.0,100.0,96.42857142857143,93.10344827586206,96.66666666666667,77.41935483870968,61.29032258064516,93.54838709677419,45.8492975734355,45.8492975734355,,25.119360842102363,200.61290322580646,84.48387096774194
TERTIARY,PERIURBAN,15.0,100.0,66.66666666666667,100.0,100.0,100.0,81.79440836940836,85.27003367003367,84.96969696969697,75.71428571428571,100.0,78.31878306878306,86.44444444444444,92.11111111111111,79.55555555555556,92.75,64.88888888888889,98.66666666666667,91.33333333333333,92.0,5.333333333333333,93.33333333333333,100.0,100.0,93.33333333333333,92.3076923076923,85.71428571428571,61.111111111111114,93.33333333333334,62.5,97.33333333333333,16.0,28.571428571428573,1.6666666666666667,73.33333333333334,0.0,23.809523809523814,17.142857142857142,58.205815631076526,61.111111111111114,78.27027035396111,13.627158776712347,40.0,84.75612265700939,30.0,94.35897435897436,23.809523809523814,77.77777777777777,98.88888888888889,100.0,100.0,100.0,100.0,100.0,93.33333333333333,100.0,70.0,53.333333333333336,86.66666666666667,45.18518518518519,45.18518518518519,,25.079378476503365,125.2,81.6
