tHFA_A001,Q117,Facility count,HIV,TB,Malaria,ANC,Immu,Quality_Score,HW_Competence_Score,ANC_score,ART_score,TB_score,Patient_Centeredness_Score,PC_avg_Communication,PC_avg_Respect,PC_avg_Autonomy,PC_avg_Confidentiality,PC_avg_Social support,PC_avg_HW told,PC_avg_Danger signs,PC_avg_Rudeness,PC_avg_Challenges,iss_score,fac_iss,fac_tech,fac_stats,fac_group_PS,fac_comms_data,HTM-ANC,hiv testing,ART access,iptp scores,TB screening,system_CHW_score,chw_count,chw_iss,chw_contract,chw_paid,chw_tools,facility_composite,HTM-ANC,presence_score,caseload,ANC_score,DPT_score,TB_treatment_completion,ART_retention,CHW_count,CHW_paid,CLM_score,guideline_score,guide_HIV_test,guide_ART,guide_TB,guide_malaria,guide_anc,guide_immu,guide_imci,oxygen_score,oxygen_avl,oxygen_avo,test-capac,with lab,without lab,vacancy_score,all_funded_posts,all_unfilled_posts
COUNTRY,AVERAGE,120.0,85.83333333333333,53.333333333333336,99.16666666666667,94.16666666666667,91.66666666666667,81.37518686573308,80.97661067960213,83.45029945472423,69.66666666666667,97.36842105263158,81.80936347603014,85.02104377104376,94.45286195286197,85.45875420875421,91.48569023569023,75.30723905723904,97.32323232323232,93.18181818181819,97.12121212121212,11.529209621993129,82.28291316526612,89.91596638655462,99.04761904761905,88.46153846153847,87.12871287128714,98.50746268656717,64.08554572271386,92.05761316872429,76.47058823529412,94.12979351032449,25.486725663716815,48.09244791666667,1.3916666666666666,93.69791666666667,18.28125,34.27083333333333,46.11979166666667,56.41163074454404,64.08554572271386,84.51418363158574,15.43578547259264,31.843657817109147,83.6368256233166,42.80701754385965,77.27848101265823,1.3916666666666666,34.27083333333333,67.22222222222221,90.76984126984127,90.29126213592232,93.75,93.75,96.63865546218487,86.72566371681415,93.63636363636364,91.89189189189189,70.0,46.666666666666664,93.33333333333333,29.501197542434657,34.010840108401084,4.848484848484849,30.642347973013738,83.60833333333333,50.791666666666664
PERIURBAN,General,39.0,89.74358974358974,46.15384615384615,100.0,97.43589743589743,92.3076923076923,84.15236306902973,85.48063664730331,87.07939039517987,74.64285714285714,99.44444444444444,80.06431308155446,86.89655172413794,94.59770114942529,81.20689655172414,90.04310344827586,73.50574712643677,95.17241379310344,91.20689655172414,95.86206896551724,7.586206896551724,78.50877192982456,92.10526315789474,100.0,82.3529411764706,72.72727272727273,94.11764705882354,69.38596491228071,97.53086419753087,75.0,93.85964912280701,35.26315789473684,37.447916666666664,1.1538461538461537,79.79166666666667,18.75,20.833333333333336,30.416666666666668,57.424775298652726,69.38596491228071,81.24755688365347,15.914268292427918,26.842105263157894,84.0876796942287,53.55555555555556,84.50617283950616,1.1538461538461537,20.833333333333336,69.23076923076923,93.07081807081806,97.14285714285714,96.42857142857143,94.44444444444444,97.43589743589743,97.36842105263158,88.88888888888889,91.42857142857143,65.0,45.0,85.0,35.55555555555555,38.888888888888886,0.0,40.2461527519831,88.2051282051282,63.1025641025641
PRIMARY,General,73.0,79.45205479452055,38.35616438356164,100.0,94.52054794520548,89.04109589041096,80.22551808446501,77.6253903894749,82.03989167032645,59.25925925925927,95.71428571428571,82.78876744663381,83.25431034482759,95.47413793103448,88.05316091954022,92.25574712643677,73.30459770114943,99.56896551724138,97.15517241379311,98.62068965517241,9.791666666666668,79.16666666666667,87.5,98.38709677419355,87.09677419354838,85.0,100.0,62.46376811594203,91.63265306122449,70.58823529411765,94.73429951690822,22.028985507246375,47.67094017094017,1.4383561643835616,96.58119658119658,12.051282051282051,37.008547008547005,45.042735042735046,53.153008382642106,62.46376811594203,85.30989938524186,16.986057941897887,29.033816425120772,81.75987078772805,21.333333333333336,67.36111111111111,1.4383561643835616,37.008547008547005,64.15525114155251,87.41682974559687,86.20689655172414,91.66666666666667,85.71428571428571,94.52054794520548,82.6086956521739,92.3076923076923,89.39393939393939,50.0,12.5,87.5,18.013468013468014,23.076923076923077,4.848484848484849,32.34681024790408,42.80821917808219,31.315068493150687
PRIMARY,PERIURBAN,18.0,77.77777777777777,27.77777777777778,100.0,94.44444444444444,83.33333333333333,86.04019360269359,85.30228208005985,86.94751435927907,71.25,98.0,83.52314814814815,92.33333333333334,97.0,87.83333333333334,92.83333333333334,75.83333333333334,100.0,97.5,100.0,4.0,65.19607843137256,82.3529411764706,100.0,71.42857142857143,64.28571428571429,100.0,70.68627450980392,100.0,66.66666666666667,92.15686274509804,38.8235294117647,32.333333333333336,0.8333333333333334,89.33333333333334,0.0,6.666666666666667,33.333333333333336,54.756825075033056,70.68627450980392,89.25685425685425,15.479368828053039,15.294117647058824,84.4653600628409,70.0,76.875,0.8333333333333334,6.666666666666667,56.48148148148148,85.9126984126984,92.85714285714286,87.5,80.0,94.44444444444444,94.11764705882354,80.0,80.0,50.0,20.0,80.0,23.84259259259259,29.344729344729345,0.0,48.61438994202332,78.27777777777777,63.666666666666664
PRIMARY,RURAL,39.0,92.3076923076923,51.282051282051285,100.0,100.0,97.43589743589743,77.98616198616199,75.11226427893095,79.1276439609773,60.90909090909091,98.46153846153847,82.5922251616696,92.23379629629629,94.58333333333333,85.79861111111111,89.6875,64.39814814814815,100.0,99.30555555555556,97.77777777777777,14.12037037037037,95.94017094017093,97.43589743589743,100.0,97.29729729729729,97.22222222222223,100.0,64.31623931623932,96.5625,85.71428571428571,96.41025641025641,19.487179487179485,49.921875,2.230769230769231,97.5,11.5625,40.9375,49.6875,54.60324928803746,64.31623931623932,80.8090983090983,21.077228327228326,36.794871794871796,82.49886146360338,8.070175438596491,70.68181818181819,2.230769230769231,40.9375,76.06837606837607,91.3064713064713,88.88888888888889,95.45454545454545,85.0,97.43589743589743,79.48717948717949,97.36842105263158,97.43589743589743,50.0,0.0,100.0,10.942760942760943,15.50925925925926,3.6363636363636367,34.48943562809959,10.179487179487179,3.051282051282051
PRIMARY,URBAN,16.0,50.0,18.75,100.0,81.25,75.0,79.14243861607143,74.75595238095238,84.35897435897436,37.22222222222222,80.0,82.76641038359789,48.75,96.875,95.0,99.47916666666667,97.91666666666667,97.91666666666667,90.41666666666667,100.0,0.0,53.125,68.75,90.0,72.72727272727273,70.0,100.0,46.15384615384615,40.0,50.0,93.07692307692308,7.6923076923076925,50.0,0.1875,100.0,50.0,50.0,0.0,47.81375239680109,46.15384615384615,91.84027777777777,8.70885538073038,23.717948717948715,76.50150463231859,50.0,42.5,0.1875,50.0,43.75,79.62797619047619,62.5,83.33333333333333,100.0,87.5,76.92307692307692,91.66666666666667,75.0,50.0,0.0,100.0,25.561167227833895,27.037037037037038,18.181818181818183,8.33939393939394,82.4375,63.8125
RURAL,General,50.0,92.0,62.0,98.0,98.0,98.0,80.23128345034594,78.13095645095646,79.40998419569848,68.22916666666667,99.16666666666667,84.02711280768347,93.35144927536233,95.54347826086956,87.69021739130434,91.16847826086956,68.93115942028986,100.0,99.45652173913044,97.28260869565217,17.57246376811594,92.83333333333334,94.0,100.0,97.82608695652173,97.77777777777777,100.0,62.755102040816325,93.37719298245615,77.77777777777777,95.91836734693878,17.551020408163264,49.78125,2.16,98.0,11.75,40.25,49.125,56.20806213605162,62.755102040816325,82.49937293961685,19.24363553113553,35.61224489795919,83.14729005152977,29.285714285714285,77.96875,2.16,40.25,75.0,92.26666666666667,91.30434782608695,93.75,90.3225806451613,97.95918367346938,83.6734693877551,95.91836734693878,98.0,72.22222222222223,44.44444444444444,100.0,15.619154508043396,20.22792022792023,3.6363636363636367,31.713673566001248,40.0,4.32
SECONDARY,General,16.0,100.0,81.25,100.0,100.0,100.0,86.92698447385948,89.5819782069782,90.13383838383838,83.95833333333333,99.23076923076923,83.34656084656083,84.88095238095238,94.64285714285714,85.83333333333334,86.01190476190477,91.51785714285714,84.28571428571429,89.28571428571429,98.57142857142857,28.928571428571427,92.1875,100.0,100.0,93.33333333333333,80.0,100.0,77.1875,94.23076923076923,85.71428571428571,95.0,50.0,60.0,1.125,90.0,50.0,35.0,65.0,62.22113613100639,77.1875,83.22916666666667,17.087792642140467,31.25,86.13453228488711,54.02777777777778,85.0,1.125,35.0,77.08333333333333,96.42857142857143,100.0,93.75,100.0,100.0,87.5,100.0,93.33333333333333,58.333333333333336,16.666666666666668,100.0,39.94708994708994,39.94708994708994,,32.88413584956733,43.0625,74.375
SECONDARY,PERIURBAN,6.0,100.0,50.0,100.0,100.0,100.0,84.38375821709154,86.54220779220778,92.72727272727273,76.66666666666667,100.0,77.96296296296296,75.0,97.91666666666667,70.83333333333333,72.91666666666667,100.0,70.0,75.0,100.0,25.0,79.16666666666667,100.0,100.0,80.0,50.0,100.0,86.3888888888889,100.0,100.0,90.0,73.33333333333333,56.25,0.8333333333333334,75.0,75.0,25.0,50.0,56.65545228636995,86.3888888888889,64.16666666666667,22.555555555555554,26.666666666666668,82.91974911208739,24.444444444444446,73.33333333333333,0.8333333333333334,25.0,86.1111111111111,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,,,46.2962962962963,46.2962962962963,,51.92528735632184,25.5,15.166666666666666
SECONDARY,RURAL,6.0,100.0,100.0,100.0,100.0,100.0,91.75178062678062,90.54059829059828,84.44444444444444,90.0,100.0,92.96296296296298,96.66666666666667,100.0,98.33333333333333,100.0,93.33333333333333,100.0,100.0,96.66666666666667,43.333333333333336,100.0,100.0,100.0,100.0,100.0,100.0,61.666666666666664,87.5,0.0,100.0,10.0,57.5,1.8333333333333333,100.0,20.0,40.0,70.0,63.666668013674474,61.666666666666664,96.66666666666667,15.094017094017095,30.0,84.65051236527187,66.66666666666666,90.0,1.8333333333333333,40.0,86.1111111111111,97.6190476190476,100.0,83.33333333333333,100.0,100.0,100.0,100.0,100.0,50.0,0.0,100.0,33.95061728395061,33.95061728395061,,16.361656822461907,35.166666666666664,6.833333333333333
SECONDARY,URBAN,4.0,100.0,100.0,100.0,100.0,100.0,83.50462962962963,92.7037037037037,94.77777777777777,85.83333333333334,97.5,74.30555555555556,77.08333333333334,83.33333333333333,82.08333333333333,78.125,80.3125,75.0,87.5,100.0,11.25,100.0,100.0,100.0,100.0,100.0,100.0,86.66666666666667,93.75,100.0,95.0,75.0,87.5,0.5,100.0,100.0,50.0,100.0,68.40136407395892,86.66666666666667,91.66666666666666,11.876811594202898,40.0,93.18273692350957,60.41666666666667,95.0,0.5,50.0,49.99999999999999,89.28571428571428,100.0,100.0,100.0,100.0,50.0,100.0,75.0,66.66666666666667,33.333333333333336,100.0,42.592592592592595,42.592592592592595,,27.84679089026915,81.25,264.5
TERTIARY,General,31.0,93.54838709677419,74.19354838709677,96.7741935483871,90.3225806451613,93.54838709677419,81.21175550915135,84.31830268496934,83.1067821067821,74.88095238095238,97.82608695652173,78.90839334705076,88.88888888888889,92.1604938271605,79.69135802469135,92.66975308641976,71.20370370370371,99.25925925925925,86.66666666666667,93.14814814814815,6.111111111111111,84.40860215053763,90.3225806451613,100.0,88.88888888888889,96.15384615384616,93.33333333333333,60.595238095238095,91.66666666666667,80.0,92.14285714285714,20.0,41.25,1.4193548387096775,88.66666666666667,13.333333333333334,26.666666666666668,36.333333333333336,61.08670642955835,60.595238095238095,83.22014988751019,10.621923232177185,39.107142857142854,86.32771390295302,62.916666666666664,85.92592592592592,1.4193548387096775,26.666666666666668,69.35483870967742,95.74500768049155,93.10344827586206,96.42857142857143,100.0,100.0,96.42857142857143,93.10344827586206,96.66666666666667,77.41935483870968,61.29032258064516,93.54838709677419,45.8492975734355,45.8492975734355,,25.119360842102363,200.61290322580646,84.48387096774194
