Q100,Q102,Q105,Q106,Q105_a,Q113,Q113_A,Q116,Q116_A,Q117,Q118,tHFA_A001,tHFA_A002,HIV,TB,Malaria,ANC,Immu,Quality_Score,HW_Competence_Score,HW_Check,ANC_score,ART_score,TB_score,Patient_Centeredness_Score,PC_Individuals,PC_attributes,PC_avg_Communication,PC_avg_Respect,PC_avg_Autonomy,PC_avg_Confidentiality,PC_avg_Social support,PC_avg_HW told,PC_avg_Danger signs,PC_avg_Rudeness,PC_avg_Challenges,iss_score,iss_check,fac_iss,fac_tech,fac_stats,fac_group_PS,fac_comms_data,HTM-ANC,hiv testing,ART access,iptp scores,TB screening,system_CHW_score,chw_count,chw_show,chw_iss,chw_contract,chw_paid,chw_tools,facility_composite,HTM-ANC,presence_score,caseload,ANC_score,DPT_score,TB_treatment_completion,ART_retention,CHW_count,CHW_paid,CHW_scores,CLM_score,guideline_score,guide_HIV_test,guide_ART,guide_TB,guide_malaria,guide_anc,guide_immu,guide_imci,oxygen_score,oxygen_avl,oxygen_avo,test-capac,test-capac_check,with lab,without lab,vacancy_score,all_funded_posts,all_unfilled_posts
LBR_000492,God's Will Health Clinic,Montserrado,Central Monrovia district,PRIMARY,HEALTH CENTRE,,PRIVATE-FOR-PROFIT,,URBAN,OUTPATIENT ONLY,PRIMARY,9,100,0,100,100,100,65.61111111111111,42.333333333333336,"[88.88888888888889, 55.55555555555556, 60.0, 80.0, 88.88888888888889, 50.0, 0.0, 0.0, 0.0, 0.0]",74.66666666666667,10.0,,88.88888888888889,"[88.88888888888889, 88.88888888888889, 88.88888888888889, 88.88888888888889, nan]","[100, 100, 100, 100, 100, 100, 100, 100, 0, 100, 100, 100, 100, 100, 100, 100, 100, 0, 100, 100, 100, 100, 100, 100, 100, 100, 0, 100, 100, 100, 100, 100, 100, 100, 100, 0, nan, nan, nan, nan, nan, nan, nan, nan, nan]",100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,"[100, 100, 100, nan]",100.0,100.0,100.0,100.0,,43.333333333333336,0.0,0.0,80.0,20.0,,0,[],,,,,45.173611111111114,43.333333333333336,100.0,8.333333333333334,60.0,59.375,,0.0,0,,[],0.0,50.0,100.0,0.0,,100.0,0.0,100.0,0.0,,,,22.22222222222222,"[100, 0, 0, 0, 100, 100, 0, 100, 0, 0, 0, 0, 0, 0, 0, 100, 0, 0, 0, 100, 0, 0, 0, 0, 0, 0, 0]",22.22222222222222,,0.0,30.0,0.0
LBR_000457,Zobo Medical Clinic,Montserrado,Bushrod District,PRIMARY,CLINIC/DISPENSARY,,PRIVATE-FOR-PROFIT,,RURAL,BOTH OUT AND INPATIENT,PRIMARY,2500,100,0,100,100,100,84.25925925925925,85.18518518518518,"[88.88888888888889, 88.88888888888889, 77.77777777777777]",85.18518518518518,,,83.33333333333333,"[88.88888888888889, 77.77777777777777, nan, nan, nan]","[100, 100, 100, 100, 100, 100, 100, 100, 0, 100, 50, 50, 100, 100, 100, 100, 100, 0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",100.0,75.0,75.0,100.0,100.0,100.0,100.0,100.0,0.0,66.66666666666667,"[100, 0, 100, nan]",100.0,100.0,0.0,100.0,,30.0,,,100.0,0.0,,0,[],,,,,56.666666666666664,30.0,50.0,3.333333333333333,100.0,100.0,,,0,,[],0.0,20.0,0.0,,,100.0,0.0,0.0,0.0,50.0,0.0,100.0,11.11111111111111,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 100, 0, 0, 100, 100, 0, 0, 0, 0, 0, 0, 0]",11.11111111111111,,0.0,12.0,0.0
LBR_000871,St Francis Hospital,Rivercess,Timbo District,TERTIARY,OTHER GENERAL HOSPITAL,,MINISTRY OF HEALTH,,URBAN,BOTH OUT AND INPATIENT,TERTIARY,5890,100,100,100,100,100,83.75,96.66666666666667,"[90.0, 90.0, 100.0, 70.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0]",90.0,100.0,100.0,70.83333333333333,"[77.77777777777777, nan, 63.888888888888886, 75.0, 66.66666666666667]","[100, 75, 75, 75, 75, 100, 100, 100, 0, nan, nan, nan, nan, nan, nan, nan, nan, nan, 75, 75, 75, 75, 75, 100, 0, 100, 0, 75, 75, 75, 75, 75, 100, 100, 100, 0, 75, 75, 0, 75, 75, 100, 0, 100, 100]",81.25,75.0,56.25,75.0,75.0,100.0,50.0,100.0,25.0,100.0,"[100, 100, 100, nan]",100.0,100.0,100.0,100.0,,86.66666666666667,100.0,,80.0,80.0,,0,[],,,,,75.21097949669378,86.66666666666667,100.0,5.909090909090909,60.0,98.9010989010989,75.0,100.0,0,,[],16.666666666666664,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,50.0,0.0,100.0,25.925925925925927,"[100, 0, 0, 0, 0, 100, 0, 100, 0, 0, 0, 0, 0, 0, 0, 100, 0, 0, 0, 100, 0, 0, 100, 100, 0, 0, 0]",25.925925925925927,,50.0,70.0,35.0
LBR_000653,City View Comm. Clinic,Montserrado,Somalia Drive District,PRIMARY,MATERNAL/CHILD HEALTH CLINIC,,MINISTRY OF HEALTH,,PERIURBAN,BOTH OUT AND INPATIENT,PRIMARY,100,0,0,100,100,100,59.25925925925926,59.25925925925926,"[44.44444444444444, 55.55555555555556, 77.77777777777777]",59.25925925925926,,,,"[nan, nan, nan, nan, nan]","[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",,,,,,,,,,66.66666666666667,"[100, 100, 0, nan]",100.0,100.0,100.0,0.0,,20.0,,,66.66666666666667,0.0,,0,[],,,,,45.0,20.0,100.0,5.0,0.0,100.0,,,0,,[],0.0,100.0,,,,100.0,100.0,100.0,100.0,,,,,[nan],,,75.0,8.0,6.0
LBR_000718,Sister Barbara Ann Health Center,Montserrado,Somalia Drive District,PRIMARY,HEALTH CENTRE,,MINISTRY OF HEALTH,,PERIURBAN,BOTH OUT AND INPATIENT,PRIMARY,9,100,100,100,0,100,100.0,100.0,"[100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0]",,100.0,100.0,,"[nan, nan, nan, nan, nan]","[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",,,,,,,,,,66.66666666666667,"[100, 100, 0, nan]",100.0,100.0,100.0,0.0,,,,,,,,0,[],,,,,80.67307692307692,,100.0,22.692307692307693,,,100.0,100.0,0,,[],16.666666666666664,80.0,100.0,100.0,100.0,100.0,,0.0,,100.0,100.0,100.0,92.5925925925926,"[100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 0, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 0, 100, 100]",92.5925925925926,,94.0,50.0,47.0
LBR_000596,Ma V Maternity Clinic,Montserrado,Commonwealth District,PRIMARY,MATERNAL/CHILD HEALTH CLINIC,,MINISTRY OF HEALTH,,PERIURBAN,BOTH OUT AND INPATIENT,PRIMARY,9,100,0,100,100,100,87.33333333333333,87.33333333333333,"[77.77777777777777, 90.0, 90.0, 90.0, 88.88888888888889]",87.33333333333333,,,,"[nan, nan, nan, nan, nan]","[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",,,,,,,,,,33.333333333333336,"[100, 0, 0, nan]",100.0,100.0,0.0,0.0,,50.0,,0.0,80.0,60.0,,0,[],,,,,38.035714285714285,50.0,100.0,2.142857142857143,0.0,,,,0,,[],100.0,100.0,100.0,,,100.0,100.0,100.0,100.0,,,,14.814814814814815,"[100, 0, 0, 0, 0, 0, 0, 100, 100, 0, 0, 100, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",14.814814814814815,,100.0,13.0,13.0
LBR_000870,Open Bible Society Mission Clinic,Rivercess,Timbo District,PRIMARY,CLINIC/DISPENSARY,,MINISTRY OF HEALTH,,PERIURBAN,OUTPATIENT ONLY,PRIMARY,5115,100,100,100,100,100,78.0,86.0,"[90.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 0.0, 0.0, 100.0, 100.0, 100.0, 100.0, 100.0]",98.0,60.0,100.0,70.0,"[75.0, 69.44444444444444, 58.333333333333336, 72.22222222222223, 75.0]","[75, 75, 75, 100, 50, 100, 100, 100, 0, 75, 75, 75, 50, 50, 100, 100, 100, 0, 75, 75, 75, 0, 0, 100, 100, 100, 0, 75, 75, 75, 75, 50, 100, 100, 100, 0, 75, 75, 75, 75, 75, 100, 100, 100, 0]",75.0,75.0,75.0,60.0,45.0,100.0,100.0,100.0,0.0,100.0,"[100, 100, 100, 100]",100.0,100.0,100.0,100.0,100.0,93.33333333333334,100.0,,100.0,80.0,41.666666666666664,3,"[25.0, 50.0, 50.0]",100.0,0.0,0.0,66.66666666666667,67.26190476190477,93.33333333333334,100.0,17.5,20.0,100.0,80.0,60.0,3,0.0,"[0, 0, 0]",16.666666666666664,71.42857142857143,100.0,0.0,0.0,100.0,100.0,100.0,100.0,,,,0.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,0.0,14.285714285714285,14.0,2.0
LBR_000500,Joelu Maternity Clinic,Montserrado,Central Monrovia district,PRIMARY,MATERNAL/CHILD HEALTH CLINIC,,PRIVATE-FOR-PROFIT,,URBAN,OUTPATIENT ONLY,PRIMARY,1200,0,0,100,100,100,86.11111111111111,86.11111111111111,"[77.77777777777777, 88.88888888888889, 88.88888888888889, 88.88888888888889]",86.11111111111111,,,,"[nan, nan, nan, nan, nan]","[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",,,,,,,,,,0.0,[],0.0,,,,,40.0,,,100.0,0.0,,0,[],,,,,24.583333333333332,40.0,33.33333333333333,25.0,0.0,,,,0,,[],16.666666666666664,75.0,,,,100.0,100.0,0.0,100.0,,,,,[nan],,,0.0,12.0,0.0
LBR_000489,Few Diagnosistic,Montserrado,Central Monrovia district,PRIMARY,CLINIC/DISPENSARY,,PRIVATE-FOR-PROFIT,,URBAN,OUTPATIENT ONLY,PRIMARY,9,0,0,100,100,100,89.16666666666666,89.44444444444444,"[90.0, 88.88888888888889]",89.44444444444444,,,88.88888888888889,"[88.88888888888889, nan, nan, nan, nan]","[100, 100, 100, 100, 100, 100, 100, 100, 0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,[],0.0,,,,,23.333333333333336,100.0,,50.0,20.0,,0,[],,,,,54.26666666666667,23.333333333333336,100.0,6.0,50.0,92.0,,,0,,[],16.666666666666664,33.333333333333336,,,,0.0,0.0,100.0,,,,,29.62962962962963,"[0, 0, 0, 0, 100, 0, 0, 100, 0, 0, 0, 100, 100, 0, 100, 100, 0, 0, 0, 100, 0, 0, 100, 0, 0, 0, 0]",29.62962962962963,,0.0,13.0,0.0
LBR_000786,Slangonplay Clinic,Nimba,Gbehlay-Geh District,PRIMARY,CLINIC/DISPENSARY,,MINISTRY OF HEALTH,,RURAL,OUTPATIENT ONLY,PRIMARY,5321,100,100,100,100,100,77.61111111111111,71.33333333333334,"[55.55555555555556, 88.88888888888889, 55.55555555555556, 66.66666666666667, 90.0, nan, nan, nan, nan, nan]",71.33333333333334,,,83.88888888888889,"[88.88888888888889, 88.88888888888889, 83.33333333333333, 83.33333333333333, 75.0]","[100, 100, 100, 100, 100, 100, 100, 100, 0, 100, 100, 100, 100, 100, 100, 100, 100, 0, 100, 100, 50, 100, 100, 100, 100, 100, 0, 100, 100, 50, 100, 100, 100, 100, 100, 0, 50, 50, 75, 100, 100, 100, 100, 100, 0]",90.0,90.0,75.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,"[100, 100, 100, 100]",100.0,100.0,100.0,100.0,100.0,53.333333333333336,100.0,,100.0,0.0,100.0,5,"[100.0, 100.0, 100.0, 100.0, 100.0]",100.0,100.0,100.0,100.0,54.72222222222223,53.333333333333336,50.0,65.0,60.0,100.0,0.0,,5,100.0,"[100, 100, 100, 100, 100]",83.33333333333334,83.33333333333333,100.0,,0.0,100.0,100.0,100.0,100.0,,,,,[nan],,,28.57142857142857,7.0,2.0
