tHFA_A001,Q117,Facility count,HIV,TB,Malaria,ANC,Immu,Quality_Score,HW_Competence_Score,Patient_Centeredness_Score,iss_score,fac_iss,fac_stats,fac_group_PS,fac_comms_data,HTM-ANC,hiv testing,ART access,iptp scores,TB screening,system_CHW_score,chw_iss,chw_contract,chw_paid,chw_tools,facility_composite,HTM-ANC,presence_score,caseload,ANC_score,DPT_score,TB_treatment_completion,ART_retention,CHW_paid,CLM_score,guideline_score,guide_HIV,guide_TB,guide_malaria,guide_anc,guide_immu,guide_imci,oxygen_score,oxygen_avl,oxygen_avo,test-capac,with lab,without lab,vacancy_score,all_funded_posts,all_unfilled_posts
COUNTRY,AVERAGE,120.0,85.0,53.333333333333336,99.16666666666667,94.16666666666667,91.66666666666667,81.38148399133907,84.3991741085758,77.7185969602196,79.5138888888889,82.88288288288288,82.30088495575221,86.66666666666667,98.52941176470588,65.19665683382497,92.05761316872429,76.47058823529412,94.12979351032449,26.106194690265486,48.52213541666667,93.54166666666667,20.364583333333336,33.75,46.43229166666667,56.66239173631494,65.19665683382497,84.51418363158574,15.43578547259264,32.418879056047196,84.58358688525252,29.883040935672515,88.71621621621621,33.75,67.22222222222221,90.76984126984127,78.33333333333333,93.75,96.63865546218487,86.72566371681415,93.63636363636364,91.89189189189189,73.33333333333333,48.888888888888886,97.77777777777777,29.943233551480976,34.53373636300466,4.848484848484849,30.889556904433192,83.60833333333333,50.791666666666664
PRIMARY,General,73.0,78.08219178082192,38.35616438356164,100.0,94.52054794520548,89.04109589041096,80.37764168984849,82.1482549792409,77.56196093216082,77.05479452054794,84.84848484848484,80.59701492537313,85.48387096774194,100.0,64.28341384863124,91.63265306122449,70.58823529411765,94.73429951690822,23.043478260869566,48.48290598290598,95.8974358974359,15.47008547008547,37.008547008547005,45.55555555555556,55.31669066946946,64.28341384863124,85.30989938524186,16.986057941897887,29.613526570048307,82.70929581710267,23.095238095238095,87.90322580645162,37.008547008547005,64.15525114155251,87.41682974559687,68.4931506849315,85.71428571428571,94.52054794520548,82.6086956521739,92.3076923076923,89.39393939393939,62.5,25.0,100.0,18.504129615240725,23.756300679377603,4.848484848484849,32.74373726454941,42.80821917808219,31.315068493150687
PRIMARY,PERIURBAN,18.0,77.77777777777777,27.77777777777778,100.0,94.44444444444444,83.33333333333333,82.70775058275058,87.0455552677775,73.15705128205128,62.5,81.25,62.5,64.28571428571429,100.0,71.47058823529412,100.0,66.66666666666667,92.15686274509804,38.8235294117647,36.66666666666667,82.66666666666667,20.0,6.666666666666667,37.333333333333336,54.75712457253529,71.47058823529412,89.25685425685425,15.479368828053039,15.294117647058824,84.49794396639254,48.0,87.5,6.666666666666667,56.48148148148148,85.9126984126984,72.22222222222223,80.0,94.44444444444444,94.11764705882354,80.0,80.0,70.0,40.0,100.0,24.537037037037038,30.1994301994302,0.0,50.272143952718515,78.27777777777777,63.666666666666664
PRIMARY,RURAL,39.0,92.3076923076923,51.282051282051285,100.0,100.0,97.43589743589743,79.4950807228973,80.30443013776348,78.99907414149827,92.52136752136752,92.10526315789474,94.73684210526316,97.22222222222223,100.0,65.12820512820512,96.5625,85.71428571428571,96.41025641025641,19.487179487179485,50.234375,97.70833333333333,12.604166666666668,40.9375,49.6875,57.84764389351616,65.12820512820512,80.8090983090983,21.077228327228326,37.43589743589744,83.90363178917698,12.692307692307692,91.05263157894737,40.9375,76.06837606837607,91.3064713064713,82.05128205128206,85.0,97.43589743589743,79.48717948717949,97.36842105263158,97.43589743589743,50.0,0.0,100.0,10.964676349291734,15.544871794871794,3.6363636363636367,34.48943562809959,10.179487179487179,3.051282051282051
PRIMARY,URBAN,16.0,43.75,18.75,100.0,81.25,75.0,79.90751154227716,80.98809523809523,77.53577152014653,55.72916666666667,66.66666666666667,61.53846153846154,75.0,100.0,52.35042735042735,40.0,50.0,93.07692307692308,13.076923076923077,50.0,100.0,50.0,50.0,0.0,49.77700404490657,52.35042735042735,91.84027777777777,8.70885538073038,24.87179487179487,76.7947597642834,26.666666666666668,73.75,50.0,43.75,79.62797619047619,31.25,100.0,87.5,76.92307692307692,91.66666666666667,75.0,50.0,0.0,100.0,26.79573512906846,28.518518518518515,18.181818181818183,8.33939393939394,82.4375,63.8125
SECONDARY,General,16.0,100.0,81.25,100.0,100.0,100.0,86.97273466004411,93.49990981240981,78.9734965802039,85.9375,81.25,87.5,80.0,100.0,77.1875,94.23076923076923,85.71428571428571,95.0,50.0,60.0,90.0,50.0,35.0,65.0,61.47394109635848,77.1875,83.22916666666667,17.087792642140467,31.25,87.29163869768057,38.33333333333333,92.5,35.0,77.08333333333333,96.42857142857143,100.0,100.0,100.0,87.5,100.0,93.33333333333333,58.333333333333336,16.666666666666668,100.0,39.94708994708994,39.94708994708994,,32.88413584956733,43.0625,74.375
SECONDARY,PERIURBAN,6.0,100.0,50.0,100.0,100.0,100.0,86.31677890011224,93.37121212121212,73.51851851851852,62.5,50.0,66.66666666666667,50.0,100.0,86.3888888888889,100.0,100.0,90.0,73.33333333333333,56.25,75.0,75.0,25.0,50.0,59.38125152625369,86.3888888888889,64.16666666666667,22.555555555555554,26.666666666666668,83.38923268016251,41.666666666666664,83.33333333333333,25.0,86.1111111111111,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,,,46.2962962962963,46.2962962962963,,51.92528735632184,25.5,15.166666666666666
SECONDARY,RURAL,6.0,100.0,100.0,100.0,100.0,100.0,90.57353294853294,93.92484367484367,87.22222222222223,100.0,100.0,100.0,100.0,100.0,61.666666666666664,87.5,0.0,100.0,10.0,57.5,100.0,20.0,40.0,70.0,59.76120106499024,61.666666666666664,96.66666666666667,15.094017094017095,30.0,86.01216813869235,28.888888888888886,100.0,40.0,86.1111111111111,97.6190476190476,100.0,100.0,100.0,100.0,100.0,100.0,50.0,0.0,100.0,33.95061728395061,33.95061728395061,,16.361656822461907,35.166666666666664,6.833333333333333
SECONDARY,URBAN,4.0,100.0,100.0,100.0,100.0,100.0,82.55547086720867,93.05555555555556,72.0553861788618,100.0,100.0,100.0,100.0,100.0,86.66666666666667,93.75,100.0,95.0,75.0,87.5,100.0,100.0,50.0,100.0,67.18208549856803,86.66666666666667,91.66666666666666,11.876811594202898,40.0,95.06445356243998,50.0,95.0,50.0,49.99999999999999,89.28571428571428,100.0,100.0,100.0,50.0,100.0,75.0,66.66666666666667,33.333333333333336,100.0,42.592592592592595,42.592592592592595,,27.84679089026915,81.25,264.5
TERTIARY,General,31.0,93.54838709677419,74.19354838709677,96.7741935483871,90.3225806451613,93.54838709677419,80.84216656832345,84.87262367262366,77.42178966510126,81.98924731182795,79.3103448275862,83.33333333333333,92.85714285714286,93.75,60.595238095238095,91.66666666666667,80.0,92.14285714285714,20.0,40.97222222222222,89.77777777777779,13.333333333333334,24.444444444444446,36.333333333333336,57.347920385315675,60.595238095238095,83.22014988751019,10.621923232177185,40.0,87.14390670340589,31.304347826086957,87.4074074074074,24.444444444444446,69.35483870967742,95.74500768049155,90.3225806451613,100.0,100.0,96.42857142857143,93.10344827586206,96.66666666666667,79.03225806451613,61.29032258064516,96.7741935483871,46.414186069358486,46.414186069358486,,25.119360842102363,200.61290322580646,84.48387096774194
