Q100,FI_2,FI_3,Q102,Q100a,Q105,Q106,Q105_a,Q106_a,Q109-Latitude,Q109-Longitude,Q109-Altitude,Q109-Accuracy,Q113,Q113_A,Q116,Q116_A,Q117,Q118,tHFA_A001,tHFA_A002
MDG_002906,RABENJANIRINA Nantenaina (Supervisor),Madagascar,CHU AM,Panel,Analamanga,Antananarivo Renivohitra,TERTIARY,MDG,-18.9189979,47.5223836,1252.8,92.9,NATIONAL REFERRAL HOSPITAL,,MINISTRY OF HEALTH,,URBAN,OUTPATIENT ONLY,TERTIARY,3000000
MDG_002733,TSIAVALA Heindro,Madagascar,CHRR Sava,Panel,Sava,Sambava,SECONDARY,MDG,-14.2620096,50.1351767,0,2800,REGIONAL/PROVINCIAL REFERRAL HOSPITAL,,MINISTRY OF HEALTH,,URBAN,BOTH OUT AND INPATIENT,SECONDARY,9
MDG_002904,AGHOAGNI DEMANOU Arlette Periclece,Madagascar,CHU MEA,Random,Analamanga,Antananarivo Renivohitra,TERTIARY,MDG,-18.9297193,47.5442698,1305,500,NATIONAL REFERRAL HOSPITAL,,MINISTRY OF HEALTH,,URBAN,BOTH OUT AND INPATIENT,TERTIARY,300000
MDG_000787,Phil-Cédric MBE SAH,Madagascar,CSB2 Camp Robin,Random,Haute Matsiatra,Ambohimahasoa,PRIMARY,MDG,-20.9295655,47.1406467,1373.2,4.8,HEALTH CENTRE,,MINISTRY OF HEALTH,,RURAL,OUTPATIENT ONLY,SECONDARY,14926
MDG_002764,RAMANEHOARIMALALA Fanjanirina Valisoa,Madagascar,CHRD1 Ambohidroa,Panel,Analamanga,Antananarivo Renivohitra,SECONDARY,MDG,-18.8556107,47.4864097,1318.7,5,DISTRICT HOSPITAL,,MINISTRY OF HEALTH,,URBAN,BOTH OUT AND INPATIENT,SECONDARY,58205
MDG_002805,Phil-Cédric MBE SAH,Madagascar,CHRD1 Ambohimahasoa,Random,Haute Matsiatra,Ambohimahasoa,SECONDARY,MDG,-21.1028183,47.2216698,1253.2,4.7,DISTRICT HOSPITAL,,MINISTRY OF HEALTH,,URBAN,BOTH OUT AND INPATIENT,SECONDARY,316198
MDG_002908,RABENJANIRINA Nantenaina (Supervisor),Madagascar,CHU JDR,Panel,Analamanga,Antananarivo Renivohitra,TERTIARY,MDG,-18.9190812,47.5224588,1253.3,28.1,NATIONAL REFERRAL HOSPITAL,,MINISTRY OF HEALTH,,URBAN,BOTH OUT AND INPATIENT,TERTIARY,3000000
MDG_002754,RAKOTONOMENJANAHARY Tovohandry Jean,Madagascar,CHRD1 Manandriana,Panel,Amoron'i Mania,Manandriana,SECONDARY,MDG,-20.7770391,47.0769246,1439.4,4.2,DISTRICT HOSPITAL,,MINISTRY OF HEALTH,,URBAN,BOTH OUT AND INPATIENT,SECONDARY,116867
MDG_000918,RAKOTONOMENJANAHARY Tovohandry Jean,Madagascar,CSB2 Ambohiperivoana,Random,Amoron'i Mania,Ambositra,PRIMARY,MDG,-20.5325196,47.2427969,1345.8,5,HEALTH CENTRE,,MINISTRY OF HEALTH,,RURAL,BOTH OUT AND INPATIENT,PRIMARY,5551
MDG_000672,TSIAVALA Heindro,Madagascar,CSB2 Maroambihy,Random,Sava,Sambava,PRIMARY,MDG,-14.5135167,49.8404905,0,3300,HEALTH CENTRE,,MINISTRY OF HEALTH,,RURAL,BOTH OUT AND INPATIENT,PRIMARY,9
MDG_002903,AGHOAGNI DEMANOU Arlette Periclece,Madagascar,CHU MET,Random,Analamanga,Antananarivo Renivohitra,TERTIARY,MDG,-18.9066822,47.5227497,1255.9,17.9,REGIONAL/PROVINCIAL REFERRAL HOSPITAL,,MINISTRY OF HEALTH,,URBAN,BOTH OUT AND INPATIENT,TERTIARY,9
MDG_002825,TSIAVALA Heindro,Madagascar,CHRD2 Antalaha,Random,Sava,Antalaha,SECONDARY,MDG,-14.8950504,50.2777431,0,1800,DISTRICT HOSPITAL,,MINISTRY OF HEALTH,,URBAN,BOTH OUT AND INPATIENT,SECONDARY,9
MDG_002752,RAKOTONOMENJANAHARY Tovohandry Jean,Madagascar,CHRD2 Ambatofinandrahana,Random,Amoron'i Mania,Ambatofinandrahana,SECONDARY,MDG,-20.5529123,46.8015725,1397.9,5,DISTRICT HOSPITAL,,MINISTRY OF HEALTH,,URBAN,BOTH OUT AND INPATIENT,SECONDARY,261412
