tHFA_A001,Q117,Facility count,HIV,TB,Malaria,ANC,Immu,Quality_Score,HW_Competence_Score,ANC_score,ART_score,TB_score,Patient_Centeredness_Score,PC_avg_Communication,PC_avg_Respect,PC_avg_Autonomy,PC_avg_Confidentiality,PC_avg_Social support,PC_avg_HW told,PC_avg_Danger signs,PC_avg_Rudeness,PC_avg_Challenges,iss_score,fac_iss,fac_tech,fac_stats,fac_group_PS,fac_comms_data,HTM-ANC,hiv testing,ART access,iptp scores,TB screening,system_CHW_score,chw_count,chw_iss,chw_contract,chw_paid,chw_tools,facility_composite,HTM-ANC,presence_score,caseload,ANC_score,DPT_score,TB_treatment_completion,ART_retention,CHW_count,CHW_paid,CLM_score,guideline_score,guide_HIV_test,guide_ART,guide_TB,guide_malaria,guide_anc,guide_immu,guide_imci,oxygen_score,oxygen_avl,oxygen_avo,test-capac,with lab,without lab,vacancy_score,all_funded_posts,all_unfilled_posts
COUNTRY,AVERAGE,120.0,82.5,63.333333333333336,94.16666666666667,60.0,43.333333333333336,66.52281855179265,60.99954983288317,64.27438672438673,37.83625730994152,78.5730593607306,72.31471342467805,86.95361635220125,92.59827044025158,68.37301587301587,75.91579861111111,58.75,84.65408805031447,72.59433962264151,95.53968253968254,15.412698412698415,38.48870056497175,59.66386554621849,53.03030303030303,68.1159420289855,68.18181818181819,86.66666666666667,37.56944444444444,52.40196078431372,73.33333333333333,71.88095238095238,9.444444444444445,15.583333333333334,1.0916666666666666,47.666666666666664,0.0,4.0,10.666666666666666,51.342996201010884,37.56944444444444,85.22376326432995,12.0609068169798,59.114583333333336,86.28790937680547,63.333333333333336,31.174242424242426,1.0916666666666666,4.0,56.25,76.5852665852666,68.68686868686869,87.71929824561404,78.94736842105263,92.03539823008849,56.94444444444444,80.76923076923077,72.91666666666667,64.1025641025641,44.87179487179487,83.33333333333333,34.21623643845866,34.539190353143844,27.272727272727273,22.107865112461877,180.18333333333334,226.76666666666668
PERIURBAN,General,15.0,86.66666666666667,53.333333333333336,93.33333333333333,53.333333333333336,40.0,66.78034812409813,57.72474747474748,65.26704545454545,19.047619047619047,82.5,71.97916666666667,89.28571428571429,97.5,68.57142857142857,62.857142857142854,58.92857142857143,91.07142857142857,67.85714285714286,100.0,13.214285714285714,48.88888888888889,73.33333333333333,81.81818181818181,45.45454545454545,70.0,100.0,34.375,46.25,66.66666666666667,77.5,2.5,23.0,1.3333333333333333,56.0,0.0,12.0,24.0,50.117165245511394,34.375,86.87950618844029,8.277495372125937,65.23809523809524,84.81688087297441,50.0,40.952380952380956,1.3333333333333333,12.0,61.11111111111111,75.05102040816327,61.53846153846154,85.71428571428571,100.0,85.71428571428571,37.5,100.0,69.23076923076923,66.66666666666667,55.55555555555556,77.77777777777777,32.108968472604836,32.592592592592595,27.272727272727273,25.438640132669985,171.86666666666667,335.06666666666666
PRIMARY,General,33.0,57.57575757575758,15.151515151515152,93.93939393939394,81.81818181818181,78.78787878787878,64.91484976250601,58.95214904143476,61.35690235690235,11.666666666666668,64.0,71.14417989417989,84.49404761904762,95.0,66.88271604938271,68.33333333333334,53.407738095238095,86.01190476190477,75.17857142857143,96.42857142857143,14.444444444444445,49.74747474747475,66.66666666666667,52.38095238095238,77.27272727272727,72.72727272727273,100.0,32.098765432098766,34.074074074074076,40.0,70.74074074074075,8.88888888888889,15.131578947368421,2.515151515151515,50.0,0.0,3.1578947368421053,7.368421052631579,54.48465079050993,32.098765432098766,86.19268914187245,19.10225216980732,55.6,88.46608591831092,60.0,12.5,2.515151515151515,3.1578947368421053,65.15151515151516,67.88690476190476,42.10526315789474,100.0,80.0,77.41935483870968,40.74074074074074,80.76923076923077,73.33333333333333,50.0,33.333333333333336,66.66666666666667,27.160493827160494,27.160493827160494,,40.43997668997669,42.60606060606061,183.0909090909091
PRIMARY,PERIURBAN,4.0,75.0,0.0,100.0,75.0,75.0,66.98806517556517,56.499278499278496,71.18181818181819,23.333333333333336,,77.47685185185185,68.33333333333333,100.0,71.66666666666667,66.66666666666667,65.0,100.0,93.33333333333333,100.0,33.333333333333336,43.75,50.0,100.0,100.0,50.0,100.0,43.333333333333336,40.0,0.0,100.0,6.666666666666667,18.333333333333332,3.25,60.0,0.0,0.0,13.333333333333334,56.000786223764344,43.333333333333336,97.36842105263158,10.752450980392158,50.0,95.02000470698988,,0.0,3.25,0.0,91.66666666666667,62.5,33.333333333333336,100.0,,50.0,0.0,100.0,75.0,,,,,,,33.333333333333336,254.25,251.0
PRIMARY,RURAL,22.0,50.0,13.636363636363637,95.45454545454545,86.36363636363636,90.9090909090909,61.93429150815514,57.04902597402597,57.83732057416268,,50.0,67.55033803644915,83.37962962962962,94.16666666666667,65.04901960784314,58.33333333333333,48.35648148148149,84.07407407407408,65.0,96.66666666666667,12.352941176470589,55.68181818181818,77.27272727272727,47.05882352941177,70.58823529411765,76.47058823529412,100.0,26.140350877192983,30.0,33.333333333333336,64.73684210526316,6.315789473684211,14.833333333333334,2.9545454545454546,48.666666666666664,0.0,4.0,6.666666666666667,53.9621824913409,26.140350877192983,82.95454545454545,24.674603174603174,58.8235294117647,86.05669008244189,20.0,,2.9545454545454546,4.0,65.9090909090909,62.46031746031746,27.272727272727273,,66.66666666666667,76.19047619047619,36.8421052631579,75.0,75.0,,,,17.283950617283953,17.283950617283953,,43.37719298245614,4.0,92.22727272727273
PRIMARY,URBAN,7.0,71.42857142857143,28.571428571428573,85.71428571428571,71.42857142857143,42.857142857142854,73.39379767058338,68.03636363636363,68.83636363636364,0.0,85.0,77.67148526077098,94.28571428571429,95.0,69.28571428571429,97.5,61.42857142857143,85.0,93.57142857142857,94.28571428571429,11.428571428571429,34.523809523809526,42.857142857142854,50.0,100.0,66.66666666666667,100.0,48.0,46.0,100.0,76.0,20.0,10.0,0.7142857142857143,40.0,0.0,0.0,0.0,55.260330911752966,48.0,89.98357963875206,7.156514120799835,48.0,95.56541019955654,100.0,25.0,0.7142857142857143,0.0,47.61904761904761,87.24489795918366,80.0,100.0,100.0,100.0,80.0,100.0,66.66666666666667,50.0,33.333333333333336,66.66666666666667,37.03703703703704,37.03703703703704,,31.818181818181817,43.0,429.85714285714283
RURAL,General,34.0,67.6470588235294,44.11764705882353,97.05882352941177,76.47058823529412,67.6470588235294,63.08719990521461,57.58421266233766,58.675990675990676,19.444444444444446,71.0,69.75044879062736,85.86309523809523,94.28571428571429,65.61728395061729,68.58974358974359,52.00892857142857,78.45238095238095,68.45238095238095,95.35714285714286,20.37037037037037,41.1764705882353,64.70588235294117,40.90909090909091,63.63636363636363,71.42857142857143,100.0,30.384615384615383,36.15384615384615,50.0,65.83333333333334,8.461538461538462,14.833333333333334,1.911764705882353,48.666666666666664,0.0,4.0,6.666666666666667,54.654965141269315,30.384615384615383,84.26702085792995,21.88311167998668,63.19444444444445,86.56844558396789,64.24242424242424,33.75,1.911764705882353,4.0,63.725490196078425,68.83838383838383,56.52173913043478,83.33333333333333,80.0,84.84848484848484,38.46153846153846,78.26086956521739,74.19354838709677,62.5,25.0,100.0,22.962962962962965,22.962962962962965,,32.729885057471265,66.70588235294117,119.02941176470588
SECONDARY,General,60.0,100.0,90.0,100.0,55.0,25.0,66.00281889856542,61.406707868696174,65.38791137178234,40.3968253968254,78.74213836477986,72.20980583008885,86.98899371069183,91.17924528301887,67.75943396226415,76.14583333333333,59.89779874213837,81.22641509433963,75.22012578616352,93.67924528301887,15.943396226415095,40.69444444444444,65.0,54.054054054054056,63.1578947368421,72.22222222222223,63.63636363636363,38.98989898989899,58.04597701149425,83.33333333333333,73.27956989247312,12.121212121212121,17.22222222222222,0.6833333333333333,42.22222222222222,0.0,6.666666666666667,20.0,47.9806867107296,38.98989898989899,83.7645503326936,8.946893509920628,60.864197530864196,92.16783115474524,62.93650793650794,32.204301075268816,0.6833333333333333,6.666666666666667,59.44444444444444,80.48412698412699,78.33333333333333,88.0952380952381,79.62962962962963,96.66666666666667,63.63636363636363,86.66666666666667,70.0,60.37735849056604,41.509433962264154,79.24528301886792,30.337271015237118,30.604288499025344,22.727272727272727,16.55459238732024,187.46666666666667,201.76666666666668
SECONDARY,PERIURBAN,8.0,100.0,87.5,100.0,50.0,25.0,64.31768578643579,57.92455163883735,58.96590909090909,22.0,81.42857142857143,67.1875,95.0,96.875,60.625,47.5,49.375,86.875,60.0,100.0,10.625,57.29166666666667,87.5,85.71428571428571,28.571428571428573,83.33333333333333,100.0,19.16666666666667,37.5,100.0,55.0,0.0,30.0,0.875,50.0,0.0,30.0,40.0,47.41601176261103,19.16666666666667,79.33531746031746,8.962603358651153,88.8888888888889,100.0,33.333333333333336,57.333333333333336,0.875,30.0,62.5,75.08928571428571,62.5,80.0,100.0,100.0,50.0,100.0,57.142857142857146,57.142857142857146,42.857142857142854,71.42857142857143,27.314814814814817,27.314814814814817,,30.77777777777778,141.625,377.75
SECONDARY,RURAL,11.0,100.0,100.0,100.0,63.63636363636363,27.272727272727273,66.58276214526215,59.24675324675325,60.952380952380956,23.333333333333336,74.0909090909091,73.71064814814815,90.33333333333334,94.5,66.58333333333334,87.96296296296296,58.583333333333336,68.33333333333334,74.66666666666666,93.0,34.0,15.909090909090908,45.45454545454545,20.0,40.0,50.0,100.0,41.90476190476191,52.857142857142854,100.0,68.80952380952381,14.285714285714286,,0.0,,,,,55.33816796479134,41.90476190476191,85.58116883116882,16.995004995004997,73.80952380952381,90.91836734693878,74.07407407407408,20.0,0.0,,65.15151515151514,83.63636363636364,90.9090909090909,100.0,81.81818181818181,100.0,42.857142857142854,100.0,80.0,62.5,25.0,100.0,25.925925925925924,25.925925925925924,,7.828282828282828,197.1818181818182,182.9090909090909
