Q100,Q102,Q105,Q106,Q105_a,Q113,Q113_A,Q116,Q116_A,Q117,Q118,tHFA_A001,tHFA_A002,HIV,TB,Malaria,ANC,Immu,Quality_Score,HW_Competence_Score,HW_Check,ANC_score,ART_score,TB_score,Patient_Centeredness_Score,PC_Individuals,PC_attributes,PC_avg_Communication,PC_avg_Respect,PC_avg_Autonomy,PC_avg_Confidentiality,PC_avg_Social support,PC_avg_HW told,PC_avg_Danger signs,PC_avg_Rudeness,PC_avg_Challenges,iss_score,iss_check,fac_iss,fac_tech,fac_stats,fac_group_PS,fac_comms_data,HTM-ANC,hiv testing,ART access,iptp scores,TB screening,system_CHW_score,chw_count,chw_show,chw_iss,chw_contract,chw_contract_any,chw_paid,chw_tools,facility_composite,HTM_ANC,presence_score,caseload,ANC_dropout,DPT_score,TB_treatment_completion,ART_retention,CHW_count,CHW_paid_full,CHW_scores,CLM_score,comm_data_collectors,quarterly_feedback,comm_data_analysis,CLM_aware,CLM_promotion,client_feedback,guideline_score,guide_HIV_test,guide_ART,guide_TB,guide_malaria,guide_anc,guide_immu,guide_imci,flowmeter_avl,flowmeter_func,humidifier_avl,humidifier_func,oxy_available,oxy_deliverable,oxygen_avl,oxygen_avo,oxygen_delivery_avl,oxygen_delivery_func,oxygen_score,pulse_oximeter_avl,pulse_oximeter_func,test-capac,fac_has_lab,fac_test_no_lab,fac_no_test,score with lab,score without lab,Antibodies to HIV 1/2 (anti HIV Ab),Qualitative (EID) or quantitative (viral load) HIV nucleic acid test (NAT),CD4 cell enumeration,Antibodies to Treponema pallidum OR Combined antibodies to T. pallidum and HIV 1/2,Lipoarabinomannan (LAM) antigen,Mycobacterium tuberculosis bacteria,M. tuberculosis DNA,Drug susceptibility testing of M. tuberculosis culture,Plasmodium spp. antigens; species-specific (e.g. HRP2) and/or pan species-specific (e.g. pan-pLDH),Staining procedures,Culture OR Culture and Genus and species identification of bacteria and fungi,Antimicrobial susceptibility testing (AST),C-reactive protein (CRP),"Complete blood count (CBC), automated",Prothrombin time and international normalized ratio (PT/INR),Blood culture,Blood gas,Glucose,Liver profile/Liver Function test,Renal function test,SARS-CoV-2 test,Hepatitis B surface antigen (HBsAg),Influenza A and B antigen,Influenza A and B diagnostic,"Qualitative dengue virus nucleic acid test, Dengue virus IgM antibody or Dengue virus antigen (NS1)",Qualitative nucleic acid test (NAT) for Chlamydia trachomatis (CT) and Neisseria gonorrhoeae (NG) infections,Measles nucleic acid test or Measle serology,Vibrio cholerae antigen,vacancy_score,all_funded_posts,all_unfilled_posts,doctor_posts,doctor_vacancies,nurses_posts,nurses_vacancies,lab-tech_posts,lab-tech_vacancies,pharmacists_posts,pharmacists_vacancies,CHW_posts,CHW_vacancies
MDG_002906,CHU AM,Analamanga,Antananarivo Renivohitra,TERTIARY,NATIONAL REFERRAL HOSPITAL,,MINISTRY OF HEALTH,,URBAN,OUTPATIENT ONLY,TERTIARY,3000000,0,0,0,0,0,80.29100529,,[],,,,80.29100529,"[np.float64(96.42857142857143), np.float64(80.55555555555556), np.float64(63.888888888888886), np.float64(nan), np.float64(nan)]","[100, 100, 75, nan, 100, 100, 100, 100, nan, 75, 100, 75, 100, 75, 100, 100, 100, 0, 75, 100, 50, 50, 100, 100, 0, 100, 0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",83.33333333,100,66.66666667,75,91.66666667,100,66.66666667,100,0,0,[],0,,,,,,,,,,,0,[],,,,,,46.2962963,,92.59259259,0,,,,,0,,[],16.66666667,0,0,0,0,0,100,,,,,,,,,,,,,,,,,,,,,,0,0,0,100,,0,0,0,0,0,0,,,,0,,,,,,,,,,,,0,0,0,0,,,,0,0,66,0,6,0,999,999,0,0,0,0,0,0
MDG_002733,CHRR Sava,Sava,Sambava,SECONDARY,REGIONAL/PROVINCIAL REFERRAL HOSPITAL,,MINISTRY OF HEALTH,,URBAN,BOTH OUT AND INPATIENT,SECONDARY,9,100,100,100,0,0,71.03174603,80.95238095,"[np.float64(33.333333333333336), np.float64(33.333333333333336), np.float64(100.0), np.float64(100.0), np.float64(100.0), np.float64(100.0), np.float64(100.0)]",,33.33333333,100,61.11111111,"[np.float64(nan), np.float64(nan), np.float64(nan), np.float64(nan), np.float64(61.111111111111114)]","[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 50, 100, 50, 75, 75, 100, 0, 100, 0]",50,100,50,75,75,100,0,100,0,100,"[100, 100, nan, nan]",100,100,100,,,,,,,,,0,[],,,,,,55.58400719,,66.03773585,0.714285714,,,100,,0,,[],100,100,100,100,100,100,100,80,100,100,100,100,,,0,100,0,0,0,0,100,0,100,0,0,50,100,100,44.44444444,100,0,0,44.44444444,,100,0,0,100,0,100,0,0,100,100,0,0,100,100,100,0,0,100,100,100,0,100,0,0,0,0,0,,0,126,0,0,0,2,0,0,0,0,0,0,0
MDG_002904,CHU MEA,Analamanga,Antananarivo Renivohitra,TERTIARY,NATIONAL REFERRAL HOSPITAL,,MINISTRY OF HEALTH,,URBAN,BOTH OUT AND INPATIENT,TERTIARY,300000,100,100,100,100,100,65.625,75,"[np.float64(80.0), np.float64(80.0), np.float64(80.0), np.float64(80.0), np.float64(80.0), np.float64(0.0), np.float64(0.0), np.float64(100.0), np.float64(100.0), np.float64(100.0), np.float64(100.0), np.float64(100.0)]",80,0,100,56.25,"[np.float64(50.0), np.float64(nan), np.float64(62.5), np.float64(nan), np.float64(nan)]","[100, 100, 100, nan, 0, 0, 0, 100, 0, nan, nan, nan, nan, nan, nan, nan, nan, nan, 100, 100, 75, nan, 25, 100, 0, 100, 0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",100,100,87.5,,12.5,50,0,100,0,0,[],0,,,,,66.66666667,100,,100,0,,0,[],,,,,,65.88235294,66.66666667,68.62745098,0,60,100,100,,0,,[],16.66666667,0,0,0,0,0,100,85.71428571,100,100,100,100,0,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,51.85185185,100,0,0,51.85185185,,100,0,0,100,0,100,0,0,100,100,100,100,100,0,100,100,0,100,100,100,0,100,0,0,0,0,0,,6.666666667,15,1,5,1,6,0,4,0,0,0,0,0
MDG_000787,CSB2 Camp Robin,Haute Matsiatra,Ambohimahasoa,PRIMARY,HEALTH CENTRE,,MINISTRY OF HEALTH,,RURAL,OUTPATIENT ONLY,SECONDARY,14926,100,100,100,100,100,76,76,"[np.float64(80.0), np.float64(70.0), np.float64(80.0), np.float64(100.0), np.float64(50.0)]",76.66666667,,75,,"[np.float64(nan), np.float64(nan), np.float64(nan), np.float64(nan), np.float64(nan)]","[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",,,,,,,,,,75,"[100, 0, 100, 100]",100,100,0,100,100,55.55555556,100,,66.66666667,0,,0,[],,,,,,69.42063492,55.55555556,85.71428571,39.16666667,66.66666667,100,,,0,,[],100,100,100,100,100,100,100,100,100,,100,100,100,100,100,,,,,,,,,,,,,,11.11111111,100,0,0,11.11111111,,0,0,0,0,0,100,0,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,50,10,5,1,0,2,0,0,0,0,0,5,4
MDG_002764,CHRD1 Ambohidroa,Analamanga,Antananarivo Renivohitra,SECONDARY,DISTRICT HOSPITAL,,MINISTRY OF HEALTH,,URBAN,BOTH OUT AND INPATIENT,SECONDARY,58205,100,100,100,100,0,70.66666667,58,"[np.float64(80.0), np.float64(70.0), np.float64(60.0), np.float64(50.0), np.float64(70.0), np.float64(50.0), np.float64(50.0), np.float64(50.0), np.float64(50.0), np.float64(50.0)]",66,,50,83.33333333,"[np.float64(77.77777777777777), np.float64(88.88888888888889), np.float64(nan), np.float64(nan), np.float64(nan)]","[100, 100, 100, 100, 100, 100, 0, 100, 0, 100, 100, 100, 100, 100, 100, 100, 100, 0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",100,100,100,100,100,100,50,100,0,66.66666667,"[0, 100, 100, nan]",100,0,100,100,,26.66666667,80,,0,0,,0,[],,,,,,63.55555556,26.66666667,100,11.11111111,80,,100,,0,,[],16.66666667,0,0,0,0,0,100,60,0,,100,100,0,,100,100,100,0,0,100,100,0,100,100,100,50,100,100,51.85185185,100,0,0,51.85185185,,100,0,0,100,0,100,0,0,100,100,0,0,100,100,100,0,0,100,100,100,100,100,0,0,0,100,0,,0,19,0,3,0,5,0,1,0,1,0,0,0
MDG_002805,CHRD1 Ambohimahasoa,Haute Matsiatra,Ambohimahasoa,SECONDARY,DISTRICT HOSPITAL,,MINISTRY OF HEALTH,,URBAN,BOTH OUT AND INPATIENT,SECONDARY,316198,100,100,100,100,0,,,[],,,,,"[np.float64(nan), np.float64(nan), np.float64(nan), np.float64(nan), np.float64(nan)]","[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",,,,,,,,,,33.33333333,"[100, 0, 0, nan]",100,100,0,0,,,,,,,,0,[],,,,,,66.66666667,,83.33333333,50,,,,,0,,[],16.66666667,0,0,0,0,0,100,100,100,100,100,100,100,,100,0,0,0,0,100,0,0,0,0,0,0,0,0,22.22222222,100,0,0,22.22222222,,0,0,0,100,0,100,100,0,100,0,0,0,0,0,0,0,0,100,0,0,100,0,0,0,0,0,0,,0,13,0,3,0,7,0,1,0,0,0,0,0
MDG_002908,CHU JDR,Analamanga,Antananarivo Renivohitra,TERTIARY,NATIONAL REFERRAL HOSPITAL,,MINISTRY OF HEALTH,,URBAN,BOTH OUT AND INPATIENT,TERTIARY,3000000,100,0,0,0,0,90.625,,[],,,,90.625,"[np.float64(93.75), np.float64(97.22222222222223), np.float64(88.88888888888889), np.float64(84.375), np.float64(88.88888888888889)]","[100, 100, 75, 100, 75, 100, 100, 100, nan, 100, 100, 100, 100, 75, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 0, 100, 100, 50, 75, 50, 100, 100, 100, nan, 100, 100, 100, 100, 100, 100, 100, 100, 0]",100,100,85,95,80,100,100,100,33.33333333,0,[],0,,,,,,,,,,,0,[],,,,,,71.59090909,,100,43.18181818,,,,,0,,[],16.66666667,0,0,0,0,0,100,0,0,,,,,,,100,100,0,0,100,100,0,100,0,0,50,100,100,36.36363636,0,100,0,,36.36363636,0,0,0,100,0,,,,100,,,,,,,,,,,,0,100,0,100,,,,0,0,56,0,9,0,9,0,0,0,0,0,0,0
MDG_002754,CHRD1 Manandriana,Amoron'i Mania,Manandriana,SECONDARY,DISTRICT HOSPITAL,,MINISTRY OF HEALTH,,URBAN,BOTH OUT AND INPATIENT,SECONDARY,116867,100,100,100,100,100,92.44444444,96,"[np.float64(80.0), np.float64(100.0), np.float64(100.0), np.float64(100.0), np.float64(100.0)]",80,,100,88.88888889,"[np.float64(88.88888888888889), np.float64(88.88888888888889), np.float64(nan), np.float64(nan), np.float64(nan)]","[100, 100, 100, 100, 100, 100, 100, 100, 0, 100, 100, 100, 100, 100, 100, 100, 100, 0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",100,100,100,100,100,100,100,100,0,0,[],0,,,,,100,100,,100,100,,0,[],,,,,,51.29856851,100,58.33333333,0,0,98.1595092,,,0,,[],16.66666667,0,0,0,0,0,100,66.66666667,0,,100,100,100,100,0,100,100,100,100,0,100,0,0,0,0,0,0,0,18.18181818,0,100,0,,18.18181818,0,0,0,0,0,,,,100,,,,,,,,,,,,100,0,0,0,,,,0,,999,999,999,999,999,999,999,999,999,999,999,999
MDG_000918,CSB2 Ambohiperivoana,Amoron'i Mania,Ambositra,PRIMARY,HEALTH CENTRE,,MINISTRY OF HEALTH,,RURAL,BOTH OUT AND INPATIENT,PRIMARY,5551,100,0,100,100,100,78.96464646,71.81818182,"[np.float64(63.63636363636363), np.float64(80.0)]",71.81818182,,,86.11111111,"[np.float64(86.11111111111111), np.float64(nan), np.float64(nan), np.float64(nan), np.float64(nan)]","[100, 100, 100, 100, 75, 100, 100, 100, 0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",100,100,100,100,75,100,100,100,0,0,[],0,,,,,29.16666667,0,0,50,50,,0,[],,,,,,57.27777778,29.16666667,100,10,50,97.22222222,,,0,,[],100,100,100,100,100,100,100,60,0,,,100,100,0,100,,,,,,,,,,,,,,0,0,0,100,,0,0,0,0,0,0,,,,0,,,,,,,,,,,,0,0,0,0,,,,0,50,2,1,1,1,1,0,0,0,0,0,0,0
MDG_000672,CSB2 Maroambihy,Sava,Sambava,PRIMARY,HEALTH CENTRE,,MINISTRY OF HEALTH,,RURAL,BOTH OUT AND INPATIENT,PRIMARY,9,0,0,100,100,100,45.625,60,[np.float64(60.0)],60,,,31.25,"[np.float64(31.25), np.float64(nan), np.float64(nan), np.float64(nan), np.float64(nan)]","[0, 25, nan, 75, 50, 0, 0, 100, 0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",0,25,,75,50,0,0,100,0,0,[],0,,,,,66.66666667,0,,100,100,,0,[],,,,,,46.66666667,66.66666667,100,20,0,,,,0,,[],16.66666667,0,0,0,0,0,100,100,,,,100,100,100,,,,,,,,,,,,,,,0,0,0,100,,0,0,0,0,0,0,,,,0,,,,,,,,,,,,0,0,0,0,,,,0,0,4,0,0,0,1,0,0,0,1,0,0,0
