Q100,Q102,Q105,Q106,Q105_a,Q113,Q113_A,Q116,Q116_A,Q117,Q118,tHFA_A001,tHFA_A002,HIV,TB,Malaria,ANC,Immu,Quality_Score,HW_Competence_Score,HW_Check,ANC_score,ART_score,TB_score,Patient_Centeredness_Score,PC_Individuals,PC_attributes,PC_avg_Communication,PC_avg_Respect,PC_avg_Autonomy,PC_avg_Confidentiality,PC_avg_Social support,PC_avg_HW told,PC_avg_Danger signs,PC_avg_Rudeness,PC_avg_Challenges,iss_score,iss_check,fac_iss,fac_tech,fac_stats,fac_group_PS,fac_comms_data,HTM-ANC,hiv testing,ART access,iptp scores,TB screening,system_CHW_score,chw_count,chw_show,chw_iss,chw_contract,chw_paid,chw_tools,facility_composite,HTM-ANC,presence_score,caseload,ANC_score,DPT_score,TB_treatment_completion,ART_retention,CHW_count,CHW_paid,CHW_scores,CLM_score,guideline_score,guide_HIV_test,guide_ART,guide_TB,guide_malaria,guide_anc,guide_immu,guide_imci,oxygen_score,oxygen_avl,oxygen_avo,test-capac,test-capac_check,with lab,without lab,vacancy_score,all_funded_posts,all_unfilled_posts
MDG_002906,CHU AM,Analamanga,Antananarivo Renivohitra,TERTIARY,NATIONAL REFERRAL HOSPITAL,,MINISTRY OF HEALTH,,URBAN,OUTPATIENT ONLY,TERTIARY,3000000,0,0,0,0,0,80.29100529100529,,[],,,,80.29100529100529,"[96.42857142857143, 80.55555555555556, 63.888888888888886, nan, nan]","[100, 100, 75, nan, 100, 100, 100, 100, nan, 75, 100, 75, 100, 75, 100, 100, 100, 0, 75, 100, 50, 50, 100, 100, 0, 100, 0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",83.33333333333333,100.0,66.66666666666667,75.0,91.66666666666667,100.0,66.66666666666667,100.0,0.0,0.0,[],0.0,,,,,,,,,,,0,[],,,,,46.2962962962963,,92.5925925925926,0.0,,,,,0,,[],16.666666666666664,,,,,,,,,,,,,[nan],,,0.0,66.0,0.0
MDG_002733,CHRR Sava,Sava,Sambava,SECONDARY,REGIONAL/PROVINCIAL REFERRAL HOSPITAL,,MINISTRY OF HEALTH,,URBAN,BOTH OUT AND INPATIENT,SECONDARY,9,100,100,100,0,0,71.03174603174604,80.95238095238096,"[33.333333333333336, 33.333333333333336, 100.0, 100.0, 100.0, 100.0, 100.0]",,33.333333333333336,100.0,61.111111111111114,"[nan, nan, nan, nan, 61.111111111111114]","[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 50, 100, 50, 75, 75, 100, 0, 100, 0]",50.0,100.0,50.0,75.0,75.0,100.0,0.0,100.0,0.0,100.0,"[100, 100, nan, nan]",100.0,100.0,100.0,,,,,,,,,0,[],,,,,55.58400718778077,,66.0377358490566,0.7142857142857142,,,100.0,,0,,[],100.0,80.0,100.0,100.0,100.0,100.0,,,0.0,50.0,0.0,100.0,44.44444444444444,"[100, 0, 0, 0, 100, 100, 0, 100, 0, 0, 0, 100, 100, 0, 100, 100, 100, 100, 0, 100, 0, 0, 0, 100, 0, 0, 0]",44.44444444444444,,0.0,126.0,0.0
MDG_002904,CHU MEA,Analamanga,Antananarivo Renivohitra,TERTIARY,NATIONAL REFERRAL HOSPITAL,,MINISTRY OF HEALTH,,URBAN,BOTH OUT AND INPATIENT,TERTIARY,300000,100,100,100,100,100,65.625,75.0,"[80.0, 80.0, 80.0, 80.0, 80.0, 0.0, 0.0, 100.0, 100.0, 100.0, 100.0, 100.0]",80.0,0.0,100.0,56.25,"[50.0, nan, 62.5, nan, nan]","[100, 100, 100, nan, 0, 0, 0, 100, 0, nan, nan, nan, nan, nan, nan, nan, nan, nan, 100, 100, 75, nan, 25, 100, 0, 100, 0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",100.0,100.0,87.5,,12.5,50.0,0.0,100.0,0.0,0.0,[],0.0,,,,,66.66666666666667,100.0,,100.0,0.0,,0,[],,,,,65.88235294117648,66.66666666666667,68.62745098039215,0.0,60.0,100.0,100.0,,0,,[],16.666666666666664,85.71428571428571,100.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,100.0,100.0,51.851851851851855,"[100, 0, 0, 0, 100, 100, 0, 100, 100, 100, 100, 100, 100, 0, 100, 100, 0, 100, 0, 100, 0, 0, 0, 100, 0, 0, 0]",51.851851851851855,,6.666666666666667,15.0,1.0
MDG_000787,CSB2 Camp Robin,Haute Matsiatra,Ambohimahasoa,PRIMARY,HEALTH CENTRE,,MINISTRY OF HEALTH,,RURAL,OUTPATIENT ONLY,SECONDARY,14926,100,100,100,100,100,76.0,76.0,"[80.0, 70.0, 80.0, 100.0, 50.0]",76.66666666666667,,75.0,,"[nan, nan, nan, nan, nan]","[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",,,,,,,,,,75.0,"[100, 0, 100, 100]",100.0,100.0,0.0,100.0,100.0,55.555555555555564,100.0,,66.66666666666667,0.0,,0,[],,,,,69.42063492063491,55.555555555555564,85.71428571428571,39.166666666666664,66.66666666666667,100.0,,,0,,[],100.0,100.0,100.0,,100.0,100.0,100.0,100.0,100.0,,,,11.11111111111111,"[0, 0, 0, 0, 100, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 100, 0, 100, 0]",11.11111111111111,,50.0,10.0,5.0
MDG_002764,CHRD1 Ambohidroa,Analamanga,Antananarivo Renivohitra,SECONDARY,DISTRICT HOSPITAL,,MINISTRY OF HEALTH,,URBAN,BOTH OUT AND INPATIENT,SECONDARY,58205,100,100,100,100,0,70.66666666666666,58.0,"[80.0, 70.0, 60.0, 50.0, 70.0, 50.0, 50.0, 50.0, 50.0, 50.0]",66.0,,50.0,83.33333333333333,"[77.77777777777777, 88.88888888888889, nan, nan, nan]","[100, 100, 100, 100, 100, 100, 0, 100, 0, 100, 100, 100, 100, 100, 100, 100, 100, 0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",100.0,100.0,100.0,100.0,100.0,100.0,50.0,100.0,0.0,66.66666666666667,"[0, 100, 100, nan]",100.0,0.0,100.0,100.0,,26.666666666666668,80.0,,0.0,0.0,,0,[],,,,,63.55555555555556,26.666666666666668,100.0,11.11111111111111,80.0,,100.0,,0,,[],16.666666666666664,60.0,0.0,,100.0,100.0,0.0,,100.0,50.0,0.0,100.0,51.851851851851855,"[100, 0, 0, 0, 100, 100, 0, 100, 0, 0, 0, 100, 100, 0, 100, 100, 100, 100, 100, 100, 0, 0, 100, 100, 0, 0, 0]",51.851851851851855,,0.0,19.0,0.0
MDG_002805,CHRD1 Ambohimahasoa,Haute Matsiatra,Ambohimahasoa,SECONDARY,DISTRICT HOSPITAL,,MINISTRY OF HEALTH,,URBAN,BOTH OUT AND INPATIENT,SECONDARY,316198,100,100,100,100,0,,,[],,,,,"[nan, nan, nan, nan, nan]","[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",,,,,,,,,,33.333333333333336,"[100, 0, 0, nan]",100.0,100.0,0.0,0.0,,,,,,,,0,[],,,,,66.66666666666667,,83.33333333333334,50.0,,,,,0,,[],16.666666666666664,100.0,100.0,100.0,100.0,100.0,100.0,,100.0,0.0,0.0,0.0,22.22222222222222,"[0, 0, 0, 0, 100, 100, 0, 0, 0, 0, 0, 0, 0, 0, 0, 100, 0, 0, 100, 0, 0, 0, 0, 100, 100, 0, 0]",22.22222222222222,,0.0,13.0,0.0
MDG_002908,CHU JDR,Analamanga,Antananarivo Renivohitra,TERTIARY,NATIONAL REFERRAL HOSPITAL,,MINISTRY OF HEALTH,,URBAN,BOTH OUT AND INPATIENT,TERTIARY,3000000,100,0,0,0,0,90.625,,[],,,,90.625,"[93.75, 97.22222222222223, 88.88888888888889, 84.375, 88.88888888888889]","[100, 100, 75, 100, 75, 100, 100, 100, nan, 100, 100, 100, 100, 75, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 0, 100, 100, 50, 75, 50, 100, 100, 100, nan, 100, 100, 100, 100, 100, 100, 100, 100, 0]",100.0,100.0,85.0,95.0,80.0,100.0,100.0,100.0,33.333333333333336,0.0,[],0.0,,,,,,,,,,,0,[],,,,,71.5909090909091,,100.0,43.18181818181819,,,,,0,,[],16.666666666666664,0.0,0.0,,,,,,,50.0,0.0,100.0,36.36363636363637,"[0, 0, 0, 0, 100, 100, 0, 0, 100, 100, 0]",,36.36363636363637,0.0,56.0,0.0
MDG_002754,CHRD1 Manandriana,Amoron'i Mania,Manandriana,SECONDARY,DISTRICT HOSPITAL,,MINISTRY OF HEALTH,,URBAN,BOTH OUT AND INPATIENT,SECONDARY,116867,100,100,100,100,100,92.44444444444444,96.0,"[80.0, 100.0, 100.0, 100.0, 100.0]",80.0,,100.0,88.88888888888889,"[88.88888888888889, 88.88888888888889, nan, nan, nan]","[100, 100, 100, 100, 100, 100, 100, 100, 0, 100, 100, 100, 100, 100, 100, 100, 100, 0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,[],0.0,,,,,100.0,100.0,,100.0,100.0,,0,[],,,,,51.29856850715746,100.0,58.333333333333336,0.0,0.0,98.15950920245399,,,0,,[],16.666666666666664,66.66666666666667,0.0,,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,18.181818181818183,"[0, 0, 0, 0, 100, 0, 0, 100, 0, 0, 0]",,18.181818181818183,,999.0,999.0
MDG_000918,CSB2 Ambohiperivoana,Amoron'i Mania,Ambositra,PRIMARY,HEALTH CENTRE,,MINISTRY OF HEALTH,,RURAL,BOTH OUT AND INPATIENT,PRIMARY,5551,100,0,100,100,100,78.96464646464646,71.81818181818181,"[63.63636363636363, 80.0]",71.81818181818181,,,86.11111111111111,"[86.11111111111111, nan, nan, nan, nan]","[100, 100, 100, 100, 75, 100, 100, 100, 0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",100.0,100.0,100.0,100.0,75.0,100.0,100.0,100.0,0.0,0.0,[],0.0,,,,,29.166666666666668,0.0,0.0,50.0,50.0,,0,[],,,,,57.27777777777777,29.166666666666668,100.0,10.0,50.0,97.22222222222221,,,0,,[],100.0,60.0,0.0,,,100.0,100.0,0.0,100.0,,,,,[nan],,,50.0,2.0,1.0
MDG_000672,CSB2 Maroambihy,Sava,Sambava,PRIMARY,HEALTH CENTRE,,MINISTRY OF HEALTH,,RURAL,BOTH OUT AND INPATIENT,PRIMARY,9,0,0,100,100,100,45.625,60.0,[60.0],60.0,,,31.25,"[31.25, nan, nan, nan, nan]","[0, 25, nan, 75, 50, 0, 0, 100, 0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",0.0,25.0,,75.0,50.0,0.0,0.0,100.0,0.0,0.0,[],0.0,,,,,66.66666666666667,0.0,,100.0,100.0,,0,[],,,,,46.66666666666667,66.66666666666667,100.0,20.0,0.0,,,,0,,[],50.0,100.0,,,,100.0,100.0,100.0,,,,,,[nan],,,0.0,4.0,0.0
