Q100,FI_2,FI_3,Q102,Q100a,Q105,Q106,Q105_a,Q106_a,Q109-Latitude,Q109-Longitude,Q109-Altitude,Q109-Accuracy,Q113,Q113_A,Q116,Q116_A,Q117,Q118,tHFA_A001,tHFA_A002
MOZ_001723,Ilisio Vilanculos,Mozambique,HG Polana Caniço,Panel,Maputo Cidade,Kamaxaquene,SECONDARY,MOZ,-25.9348894,32.604914,74.2,4.4,OTHER GENERAL HOSPITAL,,MINISTRY OF HEALTH,,URBAN,BOTH OUT AND INPATIENT,SECONDARY,9
MOZ_000528,Ilisio Vilanculos,Mozambique,HG Chamanculo,Random,Maputo Cidade,Nlhamankulo,SECONDARY,MOZ,-25.9509205,32.5557953,51.1,4.8,OTHER GENERAL HOSPITAL,,MINISTRY OF HEALTH,,URBAN,BOTH OUT AND INPATIENT,SECONDARY,169209
MOZ_001221,Ivania Renato,Mozambique,CS Machanga,Random,Sofala,Machanga,PRIMARY,MOZ,-20.975061,35.0052157,1.2,3.7,HEALTH CENTRE,,MINISTRY OF HEALTH,,URBAN,BOTH OUT AND INPATIENT,PRIMARY,154
MOZ_001122,Ivania Renato,Mozambique,HR Nhamatanda,Panel,Sofala,Nhamatanda,SECONDARY,MOZ,-19.2707377,34.203413,73.7,4.7,DISTRICT HOSPITAL,,MINISTRY OF HEALTH,,RURAL,BOTH OUT AND INPATIENT,SECONDARY,8000
MOZ_001468,Irene Boaze,Mozambique,CS Maganja da Costa,Random,Zambezia,Maganja da Costa,SECONDARY,MOZ,-17.3093313,37.5089829,28,4.3,COMPREHENSIVE HEALTH CENTRE/ POLY CLINIC,,MINISTRY OF HEALTH,,URBAN,INPATIENT ONLY,SECONDARY,300000
MOZ_000542,Ilisio Vilanculos,Mozambique,HG José Macamo,Random,Maputo Cidade,Nlhamankulo,SECONDARY,MOZ,-25.9478191,32.54381,66,4.6,OTHER GENERAL HOSPITAL,,MINISTRY OF HEALTH,,URBAN,BOTH OUT AND INPATIENT,SECONDARY,409835
MOZ_001675,Cheila Valoi,Mozambique,HD Jangamo,Panel,Inhambane,Jangamo,SECONDARY,MOZ,-24.1104983,35.3040283,31.8,8.1,DISTRICT HOSPITAL,,MINISTRY OF HEALTH,,URBAN,BOTH OUT AND INPATIENT,SECONDARY,110417
MOZ_001504,Alice Gusmão,Mozambique,CS Caiave,Random,Zambezia,Mocuba,PRIMARY,MOZ,-17.0023466,36.770725,207.5,5,HEALTH CENTRE,,MINISTRY OF HEALTH,,RURAL,OUTPATIENT ONLY,PRIMARY,9
MOZ_000544,Ilisio Vilanculos,Mozambique,HG Mavalane,Panel,Maputo Cidade,Kamavota,SECONDARY,MOZ,-25.9312818,32.5857261,65.8,4.7,OTHER GENERAL HOSPITAL,,MINISTRY OF HEALTH,,URBAN,BOTH OUT AND INPATIENT,SECONDARY,9
MOZ_001210,Ivania Renato,Mozambique,HR Muxungue,Random,Sofala,Chibabava,SECONDARY,MOZ,-20.3908299,33.9347086,225.7,4,DISTRICT HOSPITAL,,MINISTRY OF HEALTH,,RURAL,BOTH OUT AND INPATIENT,SECONDARY,5000
