Q100,Q102,Q105,Q106,Q105_a,Q113,Q113_A,Q116,Q116_A,Q117,Q118,tHFA_A001,tHFA_A002,HIV,TB,Malaria,ANC,Immu,Quality_Score,HW_Competence_Score,HW_Check,ANC_score,ART_score,TB_score,Patient_Centeredness_Score,PC_Individuals,PC_attributes,PC_avg_Communication,PC_avg_Respect,PC_avg_Autonomy,PC_avg_Confidentiality,PC_avg_Social support,PC_avg_HW told,PC_avg_Danger signs,PC_avg_Rudeness,PC_avg_Challenges,iss_score,iss_check,fac_iss,fac_tech,fac_stats,fac_group_PS,fac_comms_data,HTM-ANC,hiv testing,ART access,iptp scores,TB screening,system_CHW_score,chw_count,chw_show,chw_iss,chw_contract,chw_contract_any,chw_paid,chw_tools,facility_composite,HTM-ANC,presence_score,caseload,ANC_score,DPT_score,TB_treatment_completion,ART_retention,CHW_count,CHW_paid_full,CHW_scores,CLM_score,comm_data_collectors,quarterly_feedback,comm_data_analysis,CLM_aware,CLM_promotion,client_feedback,guideline_score,guide_HIV_test,guide_ART,guide_TB,guide_malaria,guide_anc,guide_immu,guide_imci,flowmeter_avl,flowmeter_func,humidifier_avl,humidifier_func,oxy_available,oxy_deliverable,oxygen_avl,oxygen_avo,oxygen_delivery_avl,oxygen_delivery_func,oxygen_score,pulse_oximeter_avl,pulse_oximeter_func,test-capac,fac_has_lab,fac_test_no_lab,fac_no_test,score with lab,score without lab,Antibodies to HIV 1/2 (anti HIV Ab),Qualitative (EID) or quantitative (viral load) HIV nucleic acid test (NAT),CD4 cell enumeration,Antibodies to Treponema pallidum OR Combined antibodies to T. pallidum and HIV 1/2,Lipoarabinomannan (LAM) antigen,Mycobacterium tuberculosis bacteria,M. tuberculosis DNA,Drug susceptibility testing of M. tuberculosis culture,Plasmodium spp. antigens; species-specific (e.g. HRP2) and/or pan species-specific (e.g. pan-pLDH),Staining procedures,Culture OR Culture and Genus and species identification of bacteria and fungi,Antimicrobial susceptibility testing (AST),C-reactive protein (CRP),"Complete blood count (CBC), automated",Prothrombin time and international normalized ratio (PT/INR),Blood culture,Blood gas,Glucose,Liver profile/Liver Function test,Renal function test,SARS-CoV-2 test,Hepatitis B surface antigen (HBsAg),Influenza A and B antigen,Influenza A and B diagnostic,"Qualitative dengue virus nucleic acid test, Dengue virus IgM antibody or Dengue virus antigen (NS1)",Qualitative nucleic acid test (NAT) for Chlamydia trachomatis (CT) and Neisseria gonorrhoeae (NG) infections,Measles nucleic acid test or Measle serology,Vibrio cholerae antigen,vacancy_score,all_funded_posts,all_unfilled_posts
MOZ_001723,HG Polana Caniço,Maputo Cidade,Kamaxaquene,SECONDARY,OTHER GENERAL HOSPITAL,,MINISTRY OF HEALTH,,URBAN,BOTH OUT AND INPATIENT,SECONDARY,9,100,0,100,0,0,72.35119047619048,,[],,,,72.35119047619048,"[np.float64(89.28571428571429), np.float64(66.66666666666667), np.float64(46.875), np.float64(87.5), np.float64(71.42857142857143)]","[100, 100, 100, 100, 25, 100, nan, 100, nan, 100, 100, 100, 100, 0, 100, 0, 100, 0, 100, 75, 0, 100, 0, nan, 0, 100, 0, 100, 100, 100, 100, 100, 100, 0, 100, nan, 100, 100, nan, 100, 0, 100, 0, 100, nan]",100.0,95.0,75.0,100.0,25.0,100.0,0.0,100.0,0.0,100.0,"[nan, 100, 100, nan]",100.0,,100.0,100.0,,,,,,,,0,[],,,,,,100.0,,100.0,100.0,,,,,0,,[],16.666666666666668,0.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,,,100.0,,,,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,51.851851851851855,100.0,0.0,0.0,51.851851851851855,,100.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,,0.0,10.0,0.0
MOZ_000528,HG Chamanculo,Maputo Cidade,Nlhamankulo,SECONDARY,OTHER GENERAL HOSPITAL,,MINISTRY OF HEALTH,,URBAN,BOTH OUT AND INPATIENT,SECONDARY,169209,100,0,100,100,0,75.32837301587301,84.0,"[np.float64(90.0), np.float64(90.0), np.float64(80.0), np.float64(80.0), np.float64(80.0)]",84.0,,,66.65674603174602,"[np.float64(85.71428571428571), np.float64(44.44444444444444), np.float64(75.0), np.float64(78.125), np.float64(50.0)]","[100, 100, 100, 100, 100, nan, 0, 100, nan, 50, 50, 0, 100, 0, 100, 0, 100, 0, 100, 100, 100, 100, 0, 100, 0, 100, nan, 100, 100, 75, 100, 50, 100, 0, 100, nan, 100, 100, 0, 100, 0, 0, 0, 100, nan]",90.0,90.0,55.0,100.0,30.0,75.0,0.0,100.0,0.0,100.0,"[100, 100, 100, nan]",100.0,100.0,100.0,100.0,,66.66666666666667,100.0,,100.0,0.0,,0,[],,,,,,60.41666666666667,66.66666666666667,100.0,75.0,0.0,,,,0,,[],100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,,100.0,100.0,,,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,55.55555555555556,100.0,0.0,0.0,55.55555555555556,,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,100.0,0.0,100.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,12.0,0.0
MOZ_001221,CS Machanga,Sofala,Machanga,PRIMARY,HEALTH CENTRE,,MINISTRY OF HEALTH,,URBAN,BOTH OUT AND INPATIENT,PRIMARY,154,100,100,100,100,100,94.5909090909091,89.18181818181817,"[np.float64(81.81818181818181), np.float64(90.0), np.float64(90.0), np.float64(90.0), np.float64(90.0), np.float64(50.0), np.float64(100.0), np.float64(100.0), np.float64(100.0), np.float64(100.0)]",88.36363636363636,90.0,,100.0,"[np.float64(100.0), np.float64(100.0), np.float64(100.0), np.float64(100.0), np.float64(100.0)]","[100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100]",100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,"[100, 100, 100, 100]",100.0,100.0,100.0,100.0,100.0,63.333333333333336,100.0,0.0,100.0,0.0,37.5,2,"[np.float64(25.0), np.float64(50.0)]",50.0,0.0,100.0,100.0,0.0,86.97296997895205,63.333333333333336,100.0,60.0,100.0,98.50448654037886,,100.0,2,100.0,"[100, 100]",100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,44.44444444444444,100.0,0.0,0.0,44.44444444444444,,100.0,100.0,0.0,100.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,,1.8518518518518516,54.0,1.0
MOZ_001122,HR Nhamatanda,Sofala,Nhamatanda,SECONDARY,DISTRICT HOSPITAL,,MINISTRY OF HEALTH,,RURAL,BOTH OUT AND INPATIENT,SECONDARY,8000,100,100,100,100,100,97.22222222222223,96.66666666666667,"[np.float64(90.0), np.float64(90.0), np.float64(90.0), np.float64(90.0), np.float64(90.0), np.float64(100.0), np.float64(100.0), np.float64(100.0), np.float64(100.0), np.float64(100.0), np.float64(100.0), np.float64(100.0), np.float64(100.0), np.float64(100.0), np.float64(100.0)]",90.0,100.0,100.0,97.77777777777779,"[np.float64(100.0), np.float64(88.88888888888889), np.float64(100.0), np.float64(100.0), np.float64(100.0)]","[100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 0, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100]",100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,80.0,100.0,"[100, 100, 100, 100]",100.0,100.0,100.0,100.0,100.0,66.66666666666667,100.0,,100.0,0.0,75.0,1,[np.float64(75.0)],100.0,0.0,100.0,100.0,100.0,82.03327374380008,66.66666666666667,100.0,13.846153846153847,100.0,93.72009569377991,100.0,100.0,1,100.0,[100],100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,74.07407407407408,100.0,0.0,0.0,74.07407407407408,,100.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,,0.0,73.0,0.0
MOZ_001468,CS Maganja da Costa,Zambezia,Maganja da Costa,SECONDARY,COMPREHENSIVE HEALTH CENTRE/ POLY CLINIC,,MINISTRY OF HEALTH,,URBAN,INPATIENT ONLY,SECONDARY,300000,100,100,100,100,100,72.93055555555556,79.33333333333333,"[np.float64(60.0), np.float64(70.0), np.float64(70.0), np.float64(70.0), np.float64(70.0), np.float64(50.0), np.float64(50.0), np.float64(100.0), np.float64(100.0), np.float64(50.0), np.float64(100.0), np.float64(100.0), np.float64(100.0), np.float64(100.0), np.float64(100.0)]",68.0,70.0,100.0,66.52777777777779,"[np.float64(87.5), np.float64(81.25), np.float64(33.333333333333336), np.float64(63.888888888888886), np.float64(66.66666666666667)]","[100, 100, 100, 100, 100, 100, 0, 100, nan, 100, 100, 50, 100, 0, 100, 100, 100, nan, 75, 75, 0, 50, 0, 0, 0, 100, 0, 75, 100, 0, 100, 0, 100, 100, 100, 0, 100, 75, 75, 75, 75, 100, 0, 100, 0]",90.0,90.0,45.0,85.0,35.0,80.0,40.0,100.0,0.0,50.0,"[100, 0, 0, 100]",100.0,100.0,0.0,0.0,100.0,33.333333333333336,100.0,100.0,0.0,0.0,0.0,5,"[np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0)]",0.0,0.0,100.0,0.0,0.0,58.538984824699114,33.333333333333336,100.0,100.0,0.0,76.43956043956044,100.0,0.0,5,0.0,"[0, 0, 0, 0, 0]",100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,,,,,,,,,,,,,51.851851851851855,100.0,0.0,0.0,51.851851851851855,,100.0,0.0,100.0,100.0,0.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,,29.166666666666668,120.0,35.0
MOZ_000542,HG José Macamo,Maputo Cidade,Nlhamankulo,SECONDARY,OTHER GENERAL HOSPITAL,,MINISTRY OF HEALTH,,URBAN,BOTH OUT AND INPATIENT,SECONDARY,409835,100,0,100,100,0,65.13888888888889,55.0,"[np.float64(10.0), np.float64(10.0), np.float64(10.0), np.float64(10.0), np.float64(10.0), np.float64(100.0), np.float64(100.0), np.float64(100.0), np.float64(100.0), np.float64(100.0)]",10.0,100.0,,75.27777777777779,"[np.float64(75.0), np.float64(88.88888888888889), np.float64(87.5), np.float64(62.5), np.float64(62.5)]","[100, 100, 100, 100, 0, 100, 0, 100, nan, 100, 100, 100, 100, 100, 100, 100, 100, 0, 100, 100, 100, 100, 100, 100, 0, 100, nan, 100, 100, 100, 100, 0, 0, 0, 100, nan, 100, 100, 100, 100, 0, 0, 0, 100, nan]",100.0,100.0,100.0,100.0,40.0,60.0,20.0,100.0,0.0,100.0,"[100, 100, 100, 100]",100.0,100.0,100.0,100.0,100.0,0.0,0.0,,0.0,0.0,43.75,4,"[np.float64(50.0), np.float64(25.0), np.float64(50.0), np.float64(50.0)]",0.0,0.0,100.0,100.0,75.0,0.0,0.0,,,0.0,,,0.0,4,100.0,"[100, 100, 100, 100]",100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,100.0,100.0,,,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,50.0,100.0,0.0,59.25925925925926,100.0,0.0,0.0,59.25925925925926,,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,100.0,0.0,,,999.0,999.0
MOZ_001675,HD Jangamo,Inhambane,Jangamo,SECONDARY,DISTRICT HOSPITAL,,MINISTRY OF HEALTH,,URBAN,BOTH OUT AND INPATIENT,SECONDARY,110417,100,0,100,0,0,92.22222222222221,100.0,"[np.float64(100.0), np.float64(100.0), np.float64(100.0), np.float64(100.0), np.float64(100.0)]",,100.0,,84.44444444444443,"[np.float64(77.77777777777777), np.float64(88.88888888888889), np.float64(77.77777777777777), np.float64(88.88888888888889), np.float64(88.88888888888889)]","[100, 100, 100, 100, 100, 100, 0, 100, 0, 100, 100, 100, 100, 100, 100, 100, 100, 0, 100, 100, 100, 100, 100, 100, 0, 100, 0, 100, 100, 100, 100, 100, 100, 100, 100, 0, 100, 100, 100, 100, 100, 100, 100, 100, 0]",100.0,100.0,100.0,100.0,100.0,100.0,60.0,100.0,0.0,0.0,"[nan, 0, 0, nan]",100.0,,0.0,0.0,,,,,,,,0,[],,,,,,53.833333333333336,,,7.666666666666667,,,,100.0,0,,[],16.666666666666668,0.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,100.0,,100.0,,,,0.0,0.0,100.0,100.0,100.0,0.0,0.0,100.0,100.0,100.0,50.0,100.0,100.0,22.22222222222222,100.0,0.0,0.0,22.22222222222222,,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,,,168.0,999.0
MOZ_001504,CS Caiave,Zambezia,Mocuba,PRIMARY,HEALTH CENTRE,,MINISTRY OF HEALTH,,RURAL,OUTPATIENT ONLY,PRIMARY,9,100,100,100,100,100,72.0,67.33333333333333,"[np.float64(80.0), np.float64(20.0), np.float64(40.0), np.float64(60.0), np.float64(60.0), np.float64(50.0), np.float64(50.0), np.float64(50.0), np.float64(50.0), np.float64(50.0), np.float64(100.0), np.float64(100.0), np.float64(100.0), np.float64(100.0), np.float64(100.0)]",52.0,50.0,100.0,76.66666666666666,"[np.float64(88.88888888888889), np.float64(80.55555555555556), np.float64(63.888888888888886), np.float64(77.77777777777777), np.float64(72.22222222222223)]","[100, 100, 100, 100, 100, 100, 100, 100, 0, 100, 100, 100, 100, 25, 100, 100, 100, 0, 100, 100, 75, 75, 25, 100, 0, 100, 0, 100, 100, 100, 100, 100, 100, 0, 100, 0, 100, 100, 100, 100, 50, 100, 0, 100, 0]",100.0,100.0,95.0,95.0,60.0,100.0,40.0,100.0,0.0,0.0,[],0.0,,,,,60.000000000000014,80.0,,100.0,0.0,25.0,3,"[np.float64(25.0), np.float64(25.0), np.float64(25.0)]",0.0,0.0,100.0,100.0,0.0,55.51921973608721,60.000000000000014,50.0,100.0,20.0,91.96787148594377,66.66666666666667,0.0,3,100.0,"[100, 100, 100]",100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,,,,,,,,,,,,,0.0,0.0,0.0,100.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,0.0,16.666666666666664,12.0,2.0
MOZ_000544,HG Mavalane,Maputo Cidade,Kamavota,SECONDARY,OTHER GENERAL HOSPITAL,,MINISTRY OF HEALTH,,URBAN,BOTH OUT AND INPATIENT,SECONDARY,9,100,0,100,100,0,57.32638888888889,50.0,"[np.float64(10.0), np.float64(10.0), np.float64(10.0), np.float64(10.0), np.float64(10.0), np.float64(100.0), np.float64(100.0), np.float64(50.0), np.float64(100.0), np.float64(100.0)]",10.0,90.0,,64.65277777777779,"[np.float64(41.666666666666664), np.float64(66.66666666666667), np.float64(84.375), np.float64(75.0), np.float64(55.55555555555556)]","[100, 100, 0, 75, 0, 0, 0, 100, 0, 100, 100, 100, 100, 0, 100, 0, 100, 0, 100, 100, 75, 100, 0, 100, 100, 100, nan, 100, 100, nan, 100, 100, 100, 0, 100, 0, 100, 100, 100, 100, 0, 0, 0, 100, 0]",100.0,100.0,68.75,95.0,20.0,60.0,20.0,100.0,0.0,100.0,"[100, 100, 100, 100]",100.0,100.0,100.0,100.0,100.0,0.0,0.0,,0.0,0.0,12.5,2,"[np.float64(0.0), np.float64(25.0)]",0.0,0.0,100.0,50.0,0.0,0.0,0.0,,,0.0,,,0.0,2,50.0,"[0, 100]",100.0,100.0,100.0,100.0,100.0,100.0,100.0,80.0,100.0,100.0,,100.0,100.0,,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,62.96296296296296,100.0,0.0,0.0,62.96296296296296,,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,100.0,0.0,100.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,0.0,,0.0,43.0,0.0
MOZ_001210,HR Muxungue,Sofala,Chibabava,SECONDARY,DISTRICT HOSPITAL,,MINISTRY OF HEALTH,,RURAL,BOTH OUT AND INPATIENT,SECONDARY,5000,100,100,100,100,100,87.55555555555556,84.0,"[np.float64(80.0), np.float64(80.0), np.float64(90.0), np.float64(80.0), np.float64(80.0), np.float64(50.0), np.float64(50.0), np.float64(50.0), np.float64(100.0), np.float64(100.0), np.float64(100.0), np.float64(100.0), np.float64(100.0), np.float64(100.0), np.float64(100.0)]",82.0,70.0,100.0,91.11111111111111,"[np.float64(88.88888888888889), np.float64(66.66666666666667), np.float64(100.0), np.float64(100.0), np.float64(100.0)]","[100, 100, 100, 100, 100, 100, 100, 100, 0, 100, 100, 100, 100, 100, 0, 0, 100, 0, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100]",100.0,100.0,100.0,100.0,100.0,80.0,80.0,100.0,60.0,100.0,"[100, 100, 100, 100]",100.0,100.0,100.0,100.0,100.0,66.66666666666667,100.0,,100.0,0.0,62.5,4,"[np.float64(50.0), np.float64(50.0), np.float64(75.0), np.float64(75.0)]",50.0,0.0,100.0,100.0,100.0,82.19021490626429,66.66666666666667,100.0,100.0,100.0,26.474622770919066,,100.0,4,100.0,"[100, 100, 100, 100]",100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,100.0,100.0,100.0,100.0,0.0,100.0,0.0,0.0,50.0,100.0,100.0,51.851851851851855,100.0,0.0,0.0,51.851851851851855,,0.0,0.0,100.0,0.0,100.0,100.0,100.0,0.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,0.0,,5.319148936170213,94.0,5.0
