Q100,FI_2,FI_3,Q102,Q100a,Q105,Q106,Q105_a,Q106_a,Q109-Latitude,Q109-Longitude,Q109-Altitude,Q109-Accuracy,Q113,Q113_A,Q116,Q116_A,Q117,Q118,tHFA_A001,tHFA_A002
MWI_001109,SNORRIA KUMPASA,Malawi,Namadidi Health Centre,Random,South East Zone,Zomba,PRIMARY,MWI,-15.4106255,35.2475876,1072.4,4.9,HEALTH CENTRE,,MINISTRY OF HEALTH,,RURAL,OUTPATIENT ONLY,PRIMARY,17100
MWI_000193,Anthony Billberth Nyirenda,Malawi,Chikwawa District Hospital,Panel,South West Zone,Chikwawa,SECONDARY,MWI,-16.0233601,34.7926885,106.1,4.9,DISTRICT HOSPITAL,,LOCAL GOVERNMENT,,PERIURBAN,BOTH OUT AND INPATIENT,SECONDARY,628282
MWI_001282,Juvensio A Galagade,Malawi,Pirimiti Rural Hospital,Random,South East Zone,Zomba,SECONDARY,MWI,-15.4825777,35.4507642,691.8,4.8,HEALTH CENTRE,,MINISTRY OF HEALTH,,RURAL,BOTH OUT AND INPATIENT,SECONDARY,40137
MWI_000166,Edna Kapindula,Malawi,Chezi Mission Hospital,Random,Central East Zone,Dowa,SECONDARY,MWI,-13.7253299,34.0373398,1245.1,5,HEALTH CENTRE,,CHRISTIAN HEALTH ASSOCIATION OF MALAWI (CHAM),,RURAL,BOTH OUT AND INPATIENT,PRIMARY,25177
MWI_001312,Austin Mathews Matola,Malawi,Salima District Hospital,Random,Central East Zone,Salima,SECONDARY,MWI,-13.7622848,34.4217178,517.1,4.2,DISTRICT HOSPITAL,,MINISTRY OF HEALTH,,URBAN,BOTH OUT AND INPATIENT,SECONDARY,85112
MWI_001356,Prince Kaude,Malawi,St Montfort Hospital,Random,South West Zone,Chikwawa,SECONDARY,MWI,-16.2571059,34.8688162,87.1,4.7,OTHER GENERAL HOSPITAL,,CHRISTIAN HEALTH ASSOCIATION OF MALAWI (CHAM),,PERIURBAN,BOTH OUT AND INPATIENT,SECONDARY,9
MWI_000240,Martin M'bawa,Malawi,Chinguluwe Health Centre,Random,Central East Zone,Salima,PRIMARY,MWI,-13.6644747,34.3852419,476.1,4.8,HEALTH CENTRE,,MINISTRY OF HEALTH,,RURAL,BOTH OUT AND INPATIENT,PRIMARY,17602
MWI_000221,KENNEDY KACHINGWE,Malawi,Chilumba Rural Hospital,Panel,North Zone,Karonga,SECONDARY,MWI,-10.4323856,34.2515951,458.6,4.9,OTHER (SPECIFY),Rural Community Hospital,MINISTRY OF HEALTH,,RURAL,BOTH OUT AND INPATIENT,PRIMARY,21115
MWI_000255,Vivian Kacheche,Malawi,Chipoka Health Centre,Random,Central East Zone,Salima,PRIMARY,MWI,-13.9893836,34.5154774,505.5,4.9,HEALTH CENTRE,,MINISTRY OF HEALTH,,URBAN,BOTH OUT AND INPATIENT,PRIMARY,37179
MWI_000570,Andrew Wavisanga Mvula,Malawi,Karonga District Hospital,Panel,North Zone,Karonga,SECONDARY,MWI,-9.9551941,33.9113393,526.8,4.9,DISTRICT HOSPITAL,,MINISTRY OF HEALTH,,PERIURBAN,BOTH OUT AND INPATIENT,SECONDARY,414100
MWI_001168,Lusubilo Musopole Mwakasugula,Malawi,Ngabu Sda Health Centre,Random,South West Zone,Chikwawa,PRIMARY,MWI,-16.465175,34.8787934,126.2,4.9,HEALTH CENTRE,,MISSION/FAITH-BASED,,URBAN,BOTH OUT AND INPATIENT,PRIMARY,36554
MWI_000339,Austin Mathews Matola,Malawi,Diamphwe Health Centre,Random,Central West Zone,Lilongwe,PRIMARY,MWI,-14.1338003,34.0814174,1163.4,4.9,HEALTH CENTRE,,MINISTRY OF HEALTH,,RURAL,OUTPATIENT ONLY,PRIMARY,21703
MWI_000914,KENNEDY KACHINGWE,Malawi,Mhuju Rural Hospital,Random,North Zone,Rumphi,SECONDARY,MWI,-10.8668512,33.9975847,1084.9,5,OTHER (SPECIFY),Community Hospital,MINISTRY OF HEALTH,,RURAL,BOTH OUT AND INPATIENT,PRIMARY,9
MWI_000795,Benson Kamanga,Malawi,Makwapala Health Centre,Random,South East Zone,Zomba,PRIMARY,MWI,-15.3693812,35.4507746,712.5,4.5,HEALTH CENTRE,,MINISTRY OF HEALTH,,RURAL,OUTPATIENT ONLY,PRIMARY,25000
MWI_001371,SNORRIA KUMPASA,Malawi,St. Lukes Mission Hospital,Panel,South East Zone,Zomba,SECONDARY,MWI,-15.2093545,35.3524084,775.9,4.9,OTHER GENERAL HOSPITAL,,CHRISTIAN HEALTH ASSOCIATION OF MALAWI (CHAM),,RURAL,BOTH OUT AND INPATIENT,SECONDARY,90000
MWI_000347,Juvensio A Galagade,Malawi,Domasi Rural Hospital,Panel,South East Zone,Zomba,SECONDARY,MWI,-15.2806086,35.3992184,774.8,4.9,HEALTH CENTRE,,MINISTRY OF HEALTH,,RURAL,BOTH OUT AND INPATIENT,SECONDARY,31215
MWI_000491,Austin Mathews Matola,Malawi,Kafere Health Centre,Random,Central West Zone,Dedza,PRIMARY,MWI,-14.4317103,33.7177001,1238.7,4.8,HEALTH CENTRE,,MINISTRY OF HEALTH,,RURAL,OUTPATIENT ONLY,PRIMARY,14322
MWI_000107,Wezzie chikoya,Malawi,Bolero Rural Hospital,Random,North Zone,Rumphi,SECONDARY,MWI,-10.9785661,33.7430851,1121.4,4.5,OTHER (SPECIFY),Rural hospital,MINISTRY OF HEALTH,,RURAL,BOTH OUT AND INPATIENT,PRIMARY,48335
MWI_001399,Lusubilo Musopole Mwakasugula,Malawi,Tengani Health Centre,Random,South West Zone,Nsanje,PRIMARY,MWI,-16.7329792,35.2705337,101,5,HEALTH CENTRE,,MINISTRY OF HEALTH,,RURAL,OUTPATIENT ONLY,PRIMARY,28135
MWI_001167,Prince Kaude,Malawi,Ngabu Rural Hospital,Random,South West Zone,Chikwawa,SECONDARY,MWI,-16.4591183,34.8925627,108,5,OTHER (SPECIFY),Rural Hospital,MINISTRY OF HEALTH,,RURAL,BOTH OUT AND INPATIENT,SECONDARY,89242
MWI_000600,Andrew Wavisanga Mvula,Malawi,Katowo Rural Hospital,Random,North Zone,Rumphi,SECONDARY,MWI,-10.812831,33.5225942,1230.3,4.6,OTHER (SPECIFY),RURAL HOSPITAL,MINISTRY OF HEALTH,,RURAL,BOTH OUT AND INPATIENT,PRIMARY,16604
MWI_001149,Juvensio A Galagade,Malawi,Nayuchi Health Centre,Random,South East Zone,Machinga,PRIMARY,MWI,-14.9756577,35.8672635,641.7,4.9,HEALTH CENTRE,,MINISTRY OF HEALTH,,RURAL,OUTPATIENT ONLY,PRIMARY,23893
MWI_000525,Martin M'bawa,Malawi,Kamsonga Health Centre,Random,Central East Zone,Ntchisi,PRIMARY,MWI,-13.2745131,33.7995823,1197.8,4.5,HEALTH CENTRE,,MINISTRY OF HEALTH,,RURAL,BOTH OUT AND INPATIENT,PRIMARY,24176
MWI_001302,KENNEDY KACHINGWE,Malawi,Rumphi District Hospital,Panel,North Zone,Rumphi,SECONDARY,MWI,-11.0192493,33.8537092,1079,5,DISTRICT HOSPITAL,,MINISTRY OF HEALTH,,URBAN,BOTH OUT AND INPATIENT,SECONDARY,39400
MWI_001197,Martin M'bawa,Malawi,Nkhoma Mission Hospital,Panel,Central West Zone,Lilongwe,SECONDARY,MWI,-14.0434655,34.1033859,1215.2,5,OTHER GENERAL HOSPITAL,,CHRISTIAN HEALTH ASSOCIATION OF MALAWI (CHAM),,RURAL,BOTH OUT AND INPATIENT,SECONDARY,75710
MWI_001366,KENNEDY KACHINGWE,Malawi,St. Johns Hospital,Random,North Zone,Mzimba,SECONDARY,MWI,-11.451786,34.0279653,1282.9,4.9,OTHER GENERAL HOSPITAL,,CHRISTIAN HEALTH ASSOCIATION OF MALAWI (CHAM),,URBAN,BOTH OUT AND INPATIENT,SECONDARY,24450
MWI_000818,Edna Kapindula,Malawi,Malomo Health Centre,Random,Central East Zone,Ntchisi,PRIMARY,MWI,-13.1482683,33.8394175,1135.5,5,HEALTH CENTRE,,MINISTRY OF HEALTH,,RURAL,BOTH OUT AND INPATIENT,PRIMARY,53042
MWI_000194,Benson Kamanga,Malawi,Chikweo Health Centre,Random,South East Zone,Machinga,PRIMARY,MWI,-14.7645981,35.6684289,726.6,4.2,HEALTH CENTRE,,MINISTRY OF HEALTH,,RURAL,OUTPATIENT ONLY,PRIMARY,110850
MWI_001509,Benson Kamanga,Malawi,Zomba Central Hospital,Panel,South East Zone,Zomba,TERTIARY,MWI,-15.4000286,35.3130057,922.2,4.9,CENTRAL HOSPITAL,,MINISTRY OF HEALTH,,URBAN,BOTH OUT AND INPATIENT,TERTIARY,5157
MWI_001522,Lusubilo Musopole Mwakasugula,Malawi,Osiyana,Random,South West Zone,Nsanje,PRIMARY,MWI,-16.4735912,35.2259097,126.5,4.9,HEALTH CENTRE,,MINISTRY OF HEALTH,,RURAL,BOTH OUT AND INPATIENT,PRIMARY,16371
MWI_001092,Andrew Wavisanga Mvula,Malawi,Mzambazi Community Hospital,Random,North Zone,Mzimba,SECONDARY,MWI,-11.4278867,33.4504183,1170.3,4.7,OTHER GENERAL HOSPITAL,,CHRISTIAN HEALTH ASSOCIATION OF MALAWI (CHAM),,RURAL,BOTH OUT AND INPATIENT,SECONDARY,27176
MWI_001216,Prince Kaude,Malawi,Nsanje District Hospital,Random,South West Zone,Nsanje,SECONDARY,MWI,-16.9173385,35.2594253,49.2,4.5,DISTRICT HOSPITAL,,MINISTRY OF HEALTH,,PERIURBAN,BOTH OUT AND INPATIENT,SECONDARY,9
MWI_001319,Prince Kaude,Malawi,Sankhulani Health Centre,Random,South West Zone,Nsanje,PRIMARY,MWI,-16.4568049,35.2588222,67,4.9,HEALTH CENTRE,,MINISTRY OF HEALTH,,RURAL,BOTH OUT AND INPATIENT,PRIMARY,21583
MWI_000383,Wezzie chikoya,Malawi,Ekwendeni Mission Hospital,Panel,North Zone,Mzimba,SECONDARY,MWI,-11.3713769,33.8832834,1206.8,4.8,OTHER (SPECIFY),Community Hospital,MISSION/FAITH-BASED,,PERIURBAN,BOTH OUT AND INPATIENT,PRIMARY,75000
MWI_001349,Benson Kamanga,Malawi,Sr. Tereza Rural Hospital,Random,Central West Zone,Ntcheu,SECONDARY,MWI,-14.9990403,34.8282079,722,4.8,COMPREHENSIVE HEALTH CENTRE/ POLY CLINIC,,CHRISTIAN HEALTH ASSOCIATION OF MALAWI (CHAM),,RURAL,BOTH OUT AND INPATIENT,SECONDARY,6234
MWI_000053,SNORRIA KUMPASA,Malawi,Balaka District Hospital,Panel,South East Zone,Balaka,SECONDARY,MWI,-14.9851478,34.9496843,641.4,5,DISTRICT HOSPITAL,,MINISTRY OF HEALTH,,RURAL,BOTH OUT AND INPATIENT,SECONDARY,580000
MWI_000752,SNORRIA KUMPASA,Malawi,Machinga District Hospital,Panel,South East Zone,Machinga,SECONDARY,MWI,-15.0620981,35.2264561,483.3,4.9,DISTRICT HOSPITAL,,MINISTRY OF HEALTH,,RURAL,BOTH OUT AND INPATIENT,SECONDARY,64428
MWI_000360,Andrew Wavisanga Mvula,Malawi,Dwambazi Rural Hospital,Random,Central East Zone,Nkhotakota,SECONDARY,MWI,-12.2340386,33.9919245,486,4.5,OTHER GENERAL HOSPITAL,,MINISTRY OF HEALTH,,RURAL,BOTH OUT AND INPATIENT,SECONDARY,21950
MWI_000898,Edna Kapindula,Malawi,Mchinji District Hospital,Panel,Central West Zone,Mchinji,SECONDARY,MWI,-13.8027028,32.8874177,1200.4,96,DISTRICT HOSPITAL,,MINISTRY OF HEALTH,,URBAN,BOTH OUT AND INPATIENT,SECONDARY,65973
MWI_000334,Edna Kapindula,Malawi,Dedza District Hospital,Panel,Central West Zone,Dedza,SECONDARY,MWI,-14.3863002,34.3352817,1580.4,96,DISTRICT HOSPITAL,,MINISTRY OF HEALTH,,URBAN,BOTH OUT AND INPATIENT,SECONDARY,31643
MWI_001030,Vivian Kacheche,Malawi,Mtendere Health Centre,Random,Central West Zone,Dedza,SECONDARY,MWI,-14.3220811,34.0944971,1312.3,4.7,OTHER (SPECIFY),Community Hospital,MINISTRY OF HEALTH,,RURAL,BOTH OUT AND INPATIENT,PRIMARY,82298
MWI_000770,Lusubilo Musopole Mwakasugula,Malawi,Madziabango Health Centre,Random,South West Zone,Blantyre,PRIMARY,MWI,-15.9677368,34.9085912,516.2,4.9,HEALTH CENTRE,,MINISTRY OF HEALTH,,RURAL,OUTPATIENT ONLY,PRIMARY,13006
MWI_000714,Benson Kamanga,Malawi,Lugola Health Centre,Random,South East Zone,Mangochi,PRIMARY,MWI,-13.9614639,35.142475,513.1,4.9,HEALTH CENTRE,,CHRISTIAN HEALTH ASSOCIATION OF MALAWI (CHAM),,RURAL,OUTPATIENT ONLY,PRIMARY,22152
MWI_000184,Wezzie chikoya,Malawi,Chikangawa Health Centre,Random,North Zone,Mzimba,PRIMARY,MWI,-11.8434051,33.8007453,1715,4.4,HEALTH CENTRE,,MINISTRY OF HEALTH,,RURAL,BOTH OUT AND INPATIENT,PRIMARY,9941
MWI_001193,Wezzie chikoya,Malawi,Nkhata Bay District Hospital,Panel,North Zone,Nkhata Bay,SECONDARY,MWI,-11.6071813,34.2540094,534.4,5,DISTRICT HOSPITAL,,MINISTRY OF HEALTH,,PERIURBAN,BOTH OUT AND INPATIENT,SECONDARY,54000
MWI_001374,SNORRIA KUMPASA,Malawi,St. Martins Mission Hospital,Random,South East Zone,Mangochi,SECONDARY,MWI,-14.34769,35.29401,470.5,5,OTHER (SPECIFY),Community Hospital,CHRISTIAN HEALTH ASSOCIATION OF MALAWI (CHAM),,RURAL,BOTH OUT AND INPATIENT,PRIMARY,43170
