,,Facility count,HIV,TB,Malaria,ANC,Immu,Quality_Score,HW_Competence_Score,ANC_score,ANC_score,ART_score,TB_score,Patient_Centeredness_Score,PC_avg_Communication,PC_avg_Respect,PC_avg_Autonomy,PC_avg_Confidentiality,PC_avg_Social support,PC_avg_HW told,PC_avg_Danger signs,PC_avg_Rudeness,PC_avg_Challenges,iss_score,fac_iss,fac_tech,fac_stats,fac_group_PS,fac_comms_data,HTM-ANC,HTM-ANC,hiv testing,ART access,iptp scores,TB screening,system_CHW_score,chw_count,chw_iss,chw_contract,chw_contract_any,chw_paid,chw_tools,facility_composite,HTM-ANC,HTM-ANC,presence_score,caseload,ANC_score,ANC_score,DPT_score,TB_treatment_completion,ART_retention,CHW_count,CHW_paid_full,CLM_score,comm_data_collectors,quarterly_feedback,comm_data_analysis,CLM_aware,CLM_promotion,client_feedback,guideline_score,guide_HIV_test,guide_ART,guide_TB,guide_malaria,guide_anc,guide_immu,guide_imci,flowmeter_avl,flowmeter_func,humidifier_avl,humidifier_func,oxy_available,oxy_deliverable,oxygen_avl,oxygen_avo,oxygen_delivery_avl,oxygen_delivery_func,oxygen_score,pulse_oximeter_avl,pulse_oximeter_func,test-capac,fac_has_lab,fac_test_no_lab,fac_no_test,score with lab,score without lab,Antibodies to HIV 1/2 (anti HIV Ab),Qualitative (EID) or quantitative (viral load) HIV nucleic acid test (NAT),CD4 cell enumeration,Antibodies to Treponema pallidum OR Combined antibodies to T. pallidum and HIV 1/2,Lipoarabinomannan (LAM) antigen,Mycobacterium tuberculosis bacteria,M. tuberculosis DNA,Drug susceptibility testing of M. tuberculosis culture,Plasmodium spp. antigens; species-specific (e.g. HRP2) and/or pan species-specific (e.g. pan-pLDH),Staining procedures,Culture OR Culture and Genus and species identification of bacteria and fungi,Antimicrobial susceptibility testing (AST),C-reactive protein (CRP),"Complete blood count (CBC), automated",Prothrombin time and international normalized ratio (PT/INR),Blood culture,Blood gas,Glucose,Liver profile/Liver Function test,Renal function test,SARS-CoV-2 test,Hepatitis B surface antigen (HBsAg),Influenza A and B antigen,Influenza A and B diagnostic,"Qualitative dengue virus nucleic acid test, Dengue virus IgM antibody or Dengue virus antigen (NS1)",Qualitative nucleic acid test (NAT) for Chlamydia trachomatis (CT) and Neisseria gonorrhoeae (NG) infections,Measles nucleic acid test or Measle serology,Vibrio cholerae antigen,vacancy_score,all_funded_posts,all_unfilled_posts
COUNTRY,AVERAGE,120.0,100.0,92.5,100.0,98.33333333333333,99.16666666666667,60.133070911622056,49.804044160104766,59.50933059407636,47.11864406779661,28.620448179271715,67.04326923076923,70.74049064070073,91.50560224089637,89.62885154061625,63.90756302521008,93.81054131054131,42.62571839080459,83.8095238095238,49.747899159663866,92.05882352941177,22.07977207977208,91.45833333333333,100.0,85.71428571428571,96.61016949152543,91.07142857142857,92.5,62.796610169491515,62.796610169491515,95.17241379310344,63.020833333333336,95.08474576271186,1.0169491525423728,38.59943977591036,4.683333333333334,30.784313725490197,26.778711484593835,90.18207282913167,56.624649859943986,40.21008403361345,73.56315799593482,62.796610169491515,62.796610169491515,75.50038484105846,68.29458633627725,59.50933059407636,47.11864406779661,91.12652086226214,97.98850574712644,80.18518518518519,4.683333333333334,56.624649859943986,76.80555555555556,82.5,72.5,75.0,78.33333333333333,68.33333333333333,84.16666666666667,86.89682539682539,91.66666666666667,96.63865546218487,83.78378378378379,81.66666666666667,78.8135593220339,92.43697478991596,85.71428571428571,56.75675675675676,54.054054054054056,74.32432432432432,75.67567567567568,91.89189189189189,83.78378378378379,48.648648648648646,71.62162162162163,87.83783783783784,91.89189189189189,60.13513513513514,74.32432432432432,75.67567567567568,48.804713804713806,75.0,20.833333333333332,4.166666666666667,52.345679012345684,38.18181818181817,84.16666666666667,75.0,60.833333333333336,53.333333333333336,65.83333333333333,94.44444444444444,65.55555555555556,24.444444444444443,85.0,94.44444444444444,28.88888888888889,28.88888888888889,18.88888888888889,74.44444444444444,20.0,21.11111111111111,14.444444444444445,97.77777777777777,65.55555555555556,64.44444444444444,75.0,87.5,3.3333333333333335,4.166666666666667,1.1111111111111112,5.555555555555555,23.333333333333332,53.333333333333336,29.71274055744312,385.925,391.1
General,PERIURBAN,13.0,100.0,100.0,100.0,100.0,100.0,62.57521876271876,50.74643874643875,64.94327894327894,61.53846153846154,27.435897435897438,58.46153846153846,74.40399877899878,92.6923076923077,95.28846153846153,73.46153846153847,95.0,54.54545454545455,76.92307692307692,46.15384615384615,95.38461538461539,32.17948717948718,100.0,100.0,100.0,100.0,100.0,100.0,62.435897435897445,62.435897435897445,98.33333333333333,100.0,89.23076923076923,3.076923076923077,37.30769230769231,4.846153846153846,17.692307692307693,29.23076923076923,100.0,85.0,17.307692307692307,73.7500352349517,62.435897435897445,62.435897435897445,74.30248978075065,40.25879270186336,64.94327894327894,61.53846153846154,91.13614034418651,100.0,88.63636363636364,4.846153846153846,85.0,84.61538461538461,92.3076923076923,92.3076923076923,76.92307692307692,84.61538461538461,69.23076923076923,92.3076923076923,95.6043956043956,100.0,100.0,100.0,100.0,92.3076923076923,92.3076923076923,84.61538461538461,25.0,33.333333333333336,75.0,75.0,91.66666666666667,91.66666666666667,25.0,66.66666666666667,83.33333333333333,91.66666666666667,45.833333333333336,75.0,75.0,63.81766381766382,100.0,0.0,0.0,63.81766381766382,,92.3076923076923,92.3076923076923,100.0,69.23076923076923,100.0,100.0,100.0,38.46153846153846,100.0,100.0,53.84615384615385,23.076923076923077,15.384615384615385,100.0,23.076923076923077,38.46153846153846,15.384615384615385,100.0,84.61538461538461,84.61538461538461,92.3076923076923,100.0,15.384615384615385,7.6923076923076925,7.6923076923076925,15.384615384615385,53.84615384615385,,25.96152246963645,486.7692307692308,339.46153846153845
General,RURAL,84.0,100.0,92.85714285714286,100.0,97.61904761904762,98.80952380952381,58.68862581572268,48.11875610360459,57.2219758561222,40.97560975609756,28.062248995983936,66.65492957746478,69.64313603620832,91.91767068273093,88.94076305220884,62.25903614457831,93.77572016460906,42.80995934959349,83.77510040160642,48.032128514056225,90.5421686746988,16.97530864197531,89.88095238095238,100.0,79.51807228915662,97.61904761904762,91.25,91.66666666666667,63.90243902439025,63.90243902439025,96.85185185185185,39.285714285714285,96.82926829268293,0.975609756097561,37.43975903614458,4.678571428571429,30.200803212851405,23.87550200803213,87.00803212851406,51.8273092369478,43.855421686746986,73.16020139578735,63.90243902439025,63.90243902439025,73.32204845191858,73.6819396852899,57.2219758561222,40.97560975609756,92.22407128447861,98.47457627118644,78.87254901960785,4.678571428571429,51.8273092369478,80.75396825396825,86.9047619047619,73.80952380952381,80.95238095238095,84.52380952380952,75.0,83.33333333333333,83.69047619047619,88.0952380952381,95.18072289156626,78.2051282051282,76.19047619047619,71.95121951219512,92.7710843373494,86.74698795180723,52.38095238095238,45.23809523809524,66.66666666666667,69.04761904761905,90.47619047619048,80.95238095238095,40.476190476190474,66.66666666666667,88.0952380952381,90.47619047619048,53.57142857142857,69.04761904761905,71.42857142857143,43.53054353054353,64.28571428571429,29.761904761904763,5.9523809523809526,46.50205761316873,38.18181818181818,78.57142857142857,67.85714285714286,52.38095238095238,44.04761904761905,59.523809523809526,96.29629629629629,53.7037037037037,20.37037037037037,78.57142857142857,92.5925925925926,12.962962962962964,22.22222222222222,14.814814814814815,61.111111111111114,18.51851851851852,9.25925925925926,7.407407407407407,96.29629629629629,51.851851851851855,50.0,66.66666666666667,83.33333333333333,0.0,3.5714285714285716,0.0,1.8518518518518519,18.51851851851852,53.333333333333336,30.250394086628145,289.5595238095238,332.2261904761905
General,URBAN,23.0,100.0,86.95652173913044,100.0,100.0,100.0,64.02809117211291,55.426351426351424,64.59288537549406,60.869565217391305,31.304347826086957,74.0,72.6298309178744,89.34782608695652,88.91304347826087,64.45652173913044,93.26086956521739,36.268115942028984,87.82608695652173,57.97101449275362,95.65217391304348,34.34782608695652,92.3913043478261,100.0,100.0,90.9090909090909,86.36363636363636,91.30434782608695,59.05797101449276,59.05797101449276,87.6086956521739,72.22222222222221,92.17391304347827,0.0,43.51449275362319,4.608695652173913,40.289855072463766,35.869565217391305,96.08695652173913,57.89855072463769,40.0,74.9291993135508,59.05797101449276,59.05797101449276,87.48110834551512,61.23715770291568,64.59288537549406,60.869565217391305,86.94033762042952,95.52631578947368,80.0,4.608695652173913,57.89855072463769,57.97101449275362,60.869565217391305,56.52173913043478,52.17391304347826,52.17391304347826,43.47826086956522,82.6086956521739,93.68530020703933,100.0,100.0,95.0,91.30434782608695,95.65217391304348,91.30434782608695,82.6086956521739,85.0,85.0,90.0,90.0,95.0,85.0,80.0,85.0,90.0,95.0,82.5,85.0,85.0,59.58132045088567,100.0,0.0,0.0,59.58132045088567,,100.0,91.30434782608695,69.56521739130434,78.26086956521739,69.56521739130434,86.95652173913044,73.91304347826087,26.08695652173913,100.0,95.65217391304348,52.17391304347826,47.82608695652174,30.434782608695652,91.30434782608695,21.73913043478261,39.130434782608695,30.434782608695652,100.0,86.95652173913044,86.95652173913044,95.65217391304348,95.65217391304348,8.695652173913043,4.3478260869565215,0.0,8.695652173913043,17.391304347826086,,29.642017617321667,680.8695652173913,635.304347826087
PRIMARY,General,63.0,100.0,85.71428571428571,100.0,96.82539682539682,98.41269841269842,58.1631620677436,46.278054210233144,56.93525418115582,41.31147540983606,22.956989247311828,67.60204081632654,70.57593019286567,92.3252688172043,88.17876344086021,63.95161290322581,93.68055555555556,42.03551912568306,85.05376344086021,48.89784946236559,90.88709677419355,22.833333333333332,86.5079365079365,100.0,74.19354838709677,95.16129032258064,87.93103448275862,88.88888888888889,63.360655737704924,63.360655737704924,97.41666666666667,46.42857142857143,95.73770491803279,0.32786885245901637,37.594086021505376,4.603174603174603,32.47311827956989,20.107526881720432,93.49462365591398,56.82795698924731,40.96774193548387,72.89562589442527,63.360655737704924,63.360655737704924,72.50031177972353,74.51442052099948,56.93525418115582,41.31147540983606,91.84668617088386,98.78048780487805,78.20261437908498,4.603174603174603,56.82795698924731,73.28042328042328,77.77777777777777,65.07936507936508,73.01587301587301,76.19047619047619,66.66666666666667,80.95238095238095,81.61753590325019,88.88888888888889,93.54838709677419,74.07407407407408,74.60317460317461,67.21311475409836,91.93548387096774,83.87096774193549,42.30769230769231,42.30769230769231,61.53846153846154,65.38461538461539,80.76923076923077,76.92307692307692,38.46153846153846,46.15384615384615,76.92307692307692,88.46153846153847,42.30769230769231,50.0,57.69230769230769,38.76863876863877,55.55555555555556,36.507936507936506,7.936507936507937,40.95238095238095,36.03896103896104,76.19047619047619,60.317460317460316,38.095238095238095,38.095238095238095,44.44444444444444,88.57142857142857,40.0,17.142857142857142,74.60317460317461,88.57142857142857,8.571428571428571,8.571428571428571,20.0,45.714285714285715,14.285714285714286,5.714285714285714,8.571428571428571,94.28571428571429,37.142857142857146,34.285714285714285,55.55555555555556,77.77777777777777,1.5873015873015872,3.1746031746031744,0.0,0.0,22.857142857142858,53.57142857142857,28.863145037176675,195.5079365079365,253.76190476190476
PRIMARY,PERIURBAN,1.0,100.0,100.0,100.0,100.0,100.0,62.46527777777777,43.333333333333336,80.0,80.0,0.0,50.0,81.59722222222221,100.0,95.0,80.0,100.0,60.0,100.0,60.0,100.0,25.0,100.0,100.0,100.0,100.0,100.0,100.0,66.66666666666667,66.66666666666667,100.0,,100.0,0.0,50.0,5.0,40.0,0.0,100.0,100.0,60.0,78.06364251861883,66.66666666666667,66.66666666666667,100.0,28.333333333333336,80.0,80.0,96.44549763033176,100.0,75.0,5.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,0.0,0.0,100.0,0.0,0.0,100.0,59.25925925925926,100.0,0.0,0.0,59.25925925925926,,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,100.0,,,999.0,78.0
PRIMARY,RURAL,56.0,100.0,89.28571428571429,100.0,96.42857142857143,98.21428571428571,57.087673423408,45.13418802217503,55.342686120463895,37.77777777777778,21.333333333333332,67.38888888888889,69.61766474266474,92.07575757575758,87.49242424242424,62.81818181818182,93.41194968553458,43.873456790123456,83.15151515151514,47.484848484848484,89.72727272727273,18.39622641509434,86.60714285714286,100.0,70.9090909090909,96.42857142857143,90.38461538461539,89.28571428571429,63.39506172839506,63.39506172839506,97.83018867924528,31.818181818181817,95.92592592592592,0.37037037037037035,36.0,4.678571428571429,28.303030303030305,20.484848484848488,93.12121212121212,53.848484848484844,41.36363636363637,71.72889973175945,63.39506172839506,63.39506172839506,70.06207481697678,74.63977272727273,55.342686120463895,37.77777777777778,92.14335401798463,98.64864864864865,75.30303030303031,4.678571428571429,53.848484848484844,77.08333333333334,82.14285714285714,67.85714285714286,78.57142857142857,80.35714285714286,71.42857142857143,82.14285714285714,79.61734693877551,87.5,92.72727272727273,72.0,71.42857142857143,62.96296296296296,90.9090909090909,83.63636363636364,40.0,35.0,65.0,65.0,80.0,75.0,35.0,45.0,80.0,90.0,40.0,50.0,55.0,37.72847522847523,50.0,41.07142857142857,8.928571428571429,39.41798941798942,36.03896103896104,73.21428571428571,57.142857142857146,39.285714285714285,35.714285714285715,44.642857142857146,96.42857142857143,39.285714285714285,21.428571428571427,71.42857142857143,89.28571428571429,7.142857142857143,10.714285714285714,14.285714285714286,39.285714285714285,10.714285714285714,3.5714285714285716,0.0,92.85714285714286,32.142857142857146,28.571428571428573,51.785714285714285,75.0,0.0,1.7857142857142858,0.0,0.0,21.428571428571427,53.57142857142857,29.968164327872135,179.5,265.4642857142857
PRIMARY,URBAN,6.0,100.0,50.0,100.0,100.0,100.0,67.48403679653678,57.444925444925445,67.42424242424242,66.66666666666667,41.666666666666664,76.66666666666667,77.52314814814814,93.33333333333333,93.33333333333333,71.66666666666667,95.0,22.5,100.0,60.0,100.0,61.666666666666664,83.33333333333333,100.0,100.0,80.0,60.0,83.33333333333333,62.50000000000001,62.50000000000001,93.33333333333333,100.0,93.33333333333333,0.0,50.138888888888886,3.8333333333333335,69.44444444444444,20.0,95.83333333333333,76.94444444444444,34.166666666666664,82.92373397527388,62.50000000000001,62.50000000000001,93.33333333333333,81.16666666666667,67.42424242424242,66.66666666666667,88.45965161158567,100.0,100.0,3.8333333333333335,76.94444444444444,33.333333333333336,33.333333333333336,33.333333333333336,16.666666666666668,33.333333333333336,16.666666666666668,66.66666666666667,97.22222222222223,100.0,100.0,100.0,100.0,100.0,100.0,83.33333333333333,60.0,60.0,60.0,60.0,100.0,80.0,60.0,60.0,80.0,80.0,60.0,60.0,60.0,45.06172839506173,100.0,0.0,0.0,45.06172839506173,,100.0,83.33333333333333,16.666666666666668,50.0,33.333333333333336,50.0,33.333333333333336,0.0,100.0,83.33333333333333,16.666666666666668,0.0,50.0,66.66666666666667,33.333333333333336,16.666666666666668,50.0,100.0,50.0,50.0,83.33333333333333,100.0,16.666666666666668,16.666666666666668,0.0,0.0,16.666666666666668,,19.801986853473903,211.0,173.83333333333334
SECONDARY,General,53.0,100.0,100.0,100.0,100.0,100.0,62.033311464915236,52.91395746112727,61.59100438345721,52.075471698113205,34.198113207547166,65.49019607843137,71.1526654687032,90.56603773584905,91.29716981132076,64.48113207547169,93.77358490566037,44.12581699346405,82.64150943396227,50.723270440251575,93.58490566037736,21.383647798742135,98.11320754716981,100.0,98.11320754716981,100.0,96.0,98.11320754716981,62.42138364779875,62.42138364779875,92.6923076923077,75.0,95.09433962264151,1.8867924528301887,39.85849056603774,4.754716981132075,29.62264150943396,32.45283018867924,86.32075471698113,58.0188679245283,39.339622641509436,74.37099767142054,62.42138364779875,62.42138364779875,79.33106923066934,60.34605193986192,61.59100438345721,52.075471698113205,90.99358724914862,97.61904761904762,83.33333333333333,4.754716981132075,58.0188679245283,84.59119496855345,92.45283018867924,84.90566037735849,81.13207547169812,84.90566037735849,75.47169811320755,88.67924528301887,93.5309973045822,94.33962264150944,100.0,94.33962264150944,90.56603773584905,92.45283018867924,92.45283018867924,90.56603773584905,62.22222222222222,57.77777777777778,80.0,80.0,97.77777777777777,86.66666666666667,51.111111111111114,86.66666666666667,93.33333333333333,93.33333333333333,68.88888888888889,88.88888888888889,86.66666666666667,58.61762276856617,96.22641509433963,3.7735849056603774,0.0,58.24255628177197,68.18181818181819,92.45283018867924,90.56603773584905,84.90566037735849,69.81132075471699,88.67924528301887,98.03921568627452,82.3529411764706,25.49019607843137,96.22641509433963,98.03921568627452,37.254901960784316,37.254901960784316,15.686274509803921,92.15686274509804,19.607843137254903,25.49019607843137,13.72549019607843,100.0,82.3529411764706,82.3529411764706,96.22641509433963,100.0,5.660377358490566,5.660377358490566,1.9607843137254901,7.8431372549019605,21.568627450980394,50.0,31.10850462645228,566.0,508.47169811320754
SECONDARY,PERIURBAN,12.0,100.0,100.0,100.0,100.0,100.0,62.58438051146385,51.364197530864196,63.68855218855219,60.0,29.722222222222225,59.166666666666664,73.8045634920635,92.08333333333333,95.3125,72.91666666666667,94.58333333333333,54.0,75.0,45.0,95.0,32.77777777777778,100.0,100.0,100.0,100.0,100.0,100.0,62.08333333333334,62.08333333333334,98.18181818181819,100.0,88.33333333333333,3.3333333333333335,36.25,4.833333333333333,15.833333333333334,31.666666666666668,100.0,83.75,13.75,73.39056796131275,62.08333333333334,62.08333333333334,71.44721086750071,41.58384374281113,63.68855218855219,60.0,90.60520461557199,100.0,90.0,4.833333333333333,83.75,83.33333333333333,91.66666666666667,91.66666666666667,75.0,83.33333333333333,66.66666666666667,91.66666666666667,95.23809523809524,100.0,100.0,100.0,100.0,91.66666666666667,91.66666666666667,83.33333333333333,27.272727272727273,27.272727272727273,81.81818181818181,72.72727272727273,100.0,90.9090909090909,27.272727272727273,72.72727272727273,90.9090909090909,90.9090909090909,50.0,81.81818181818181,72.72727272727273,64.19753086419753,100.0,0.0,0.0,64.19753086419753,,91.66666666666667,91.66666666666667,100.0,66.66666666666667,100.0,100.0,100.0,41.666666666666664,100.0,100.0,58.333333333333336,25.0,16.666666666666668,100.0,25.0,41.666666666666664,16.666666666666668,100.0,83.33333333333333,83.33333333333333,91.66666666666667,100.0,16.666666666666668,8.333333333333334,8.333333333333334,16.666666666666668,50.0,,25.96152246963645,444.0833333333333,361.25
