tHFA_A001,Q117,Facility count,HIV,TB,Malaria,ANC,Immu,Quality_Score,HW_Competence_Score,ANC_score,ART_score,TB_score,Patient_Centeredness_Score,PC_avg_Communication,PC_avg_Respect,PC_avg_Autonomy,PC_avg_Confidentiality,PC_avg_Social support,PC_avg_HW told,PC_avg_Danger signs,PC_avg_Rudeness,PC_avg_Challenges,iss_score,fac_iss,fac_tech,fac_stats,fac_group_PS,fac_comms_data,HTM-ANC,hiv testing,ART access,iptp scores,TB screening,system_CHW_score,chw_count,chw_iss,chw_contract,chw_paid,chw_tools,facility_composite,HTM-ANC,presence_score,caseload,ANC_score,DPT_score,TB_treatment_completion,ART_retention,CHW_count,CHW_paid,CLM_score,guideline_score,guide_HIV_test,guide_ART,guide_TB,guide_malaria,guide_anc,guide_immu,guide_imci,oxygen_score,oxygen_avl,oxygen_avo,test-capac,with lab,without lab,vacancy_score,all_funded_posts,all_unfilled_posts
COUNTRY,AVERAGE,120.0,100.0,92.5,100.0,98.33333333333333,99.16666666666667,59.92055287410402,49.37900808506869,59.50933059407636,28.151260504201684,67.04326923076923,70.74049064070073,91.50560224089637,89.62885154061625,63.90756302521008,93.81054131054131,42.62571839080459,83.8095238095238,49.747899159663866,92.05882352941177,22.07977207977208,91.45833333333333,100.0,85.71428571428571,96.61016949152543,91.07142857142857,92.5,62.34463276836158,95.17241379310344,63.020833333333336,95.08474576271186,1.0169491525423728,38.59943977591036,4.683333333333334,30.784313725490197,26.778711484593835,56.624649859943986,40.21008403361345,71.10406683802894,62.34463276836158,75.50038484105846,68.29458633627725,47.11864406779661,91.12652086226214,77.25085910652922,77.5,4.683333333333334,56.624649859943986,77.08333333333333,86.89682539682539,91.66666666666667,96.63865546218487,83.78378378378379,81.66666666666667,78.8135593220339,92.43697478991596,85.71428571428571,60.13513513513514,48.648648648648646,71.62162162162163,50.92665788317962,52.345679012345684,45.81818181818181,29.71274055744312,385.925,391.1
PERIURBAN,General,13.0,100.0,100.0,100.0,100.0,100.0,62.57521876271876,50.74643874643875,64.94327894327894,27.435897435897438,58.46153846153846,74.40399877899878,92.6923076923077,95.28846153846153,73.46153846153847,95.0,54.54545454545455,76.92307692307692,46.15384615384615,95.38461538461539,32.17948717948718,100.0,100.0,100.0,100.0,100.0,100.0,58.333333333333336,98.33333333333333,100.0,89.23076923076923,3.076923076923077,37.30769230769231,4.846153846153846,17.692307692307693,29.23076923076923,85.0,17.307692307692307,73.066274551191,58.333333333333336,74.30248978075065,40.25879270186336,61.53846153846154,91.13614034418651,100.0,88.63636363636364,4.846153846153846,85.0,84.61538461538461,95.6043956043956,100.0,100.0,100.0,100.0,92.3076923076923,92.3076923076923,84.61538461538461,45.833333333333336,25.0,66.66666666666667,63.81766381766382,63.81766381766382,,25.96152246963645,486.7692307692308,339.46153846153845
PRIMARY,General,63.0,100.0,85.71428571428571,100.0,96.82539682539682,98.41269841269842,57.7843169269937,45.52036392873334,56.93525418115582,22.1505376344086,67.60204081632654,70.57593019286567,92.3252688172043,88.17876344086021,63.95161290322581,93.68055555555556,42.03551912568306,85.05376344086021,48.89784946236559,90.88709677419355,22.833333333333332,86.5079365079365,100.0,74.19354838709677,95.16129032258064,87.93103448275862,88.88888888888889,63.360655737704924,97.41666666666667,46.42857142857143,95.73770491803279,0.32786885245901637,37.594086021505376,4.603174603174603,32.47311827956989,20.107526881720432,56.82795698924731,40.96774193548387,69.5642067874404,63.360655737704924,72.50031177972353,74.51442052099948,41.31147540983606,91.84668617088386,69.45578231292518,73.24074074074075,4.603174603174603,56.82795698924731,73.80952380952381,81.61753590325019,88.88888888888889,93.54838709677419,74.07407407407408,74.60317460317461,67.21311475409836,91.93548387096774,83.87096774193549,42.30769230769231,38.46153846153846,46.15384615384615,42.11076280041797,40.95238095238095,43.873517786561266,28.863145037176675,195.5079365079365,253.76190476190476
PRIMARY,PERIURBAN,1.0,100.0,100.0,100.0,100.0,100.0,62.46527777777777,43.333333333333336,80.0,0.0,50.0,81.59722222222221,100.0,95.0,80.0,100.0,60.0,100.0,60.0,100.0,25.0,100.0,100.0,100.0,100.0,100.0,100.0,66.66666666666667,100.0,,100.0,0.0,50.0,5.0,40.0,0.0,100.0,60.0,78.06364251861883,66.66666666666667,100.0,28.333333333333336,80.0,96.44549763033176,100.0,75.0,5.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,59.25925925925926,59.25925925925926,,,999.0,78.0
PRIMARY,RURAL,56.0,100.0,89.28571428571429,100.0,96.42857142857143,98.21428571428571,56.733893274985,44.42662772532902,55.342686120463895,20.787878787878785,67.38888888888889,69.61766474266474,92.07575757575758,87.49242424242424,62.81818181818182,93.41194968553458,43.873456790123456,83.15151515151514,47.484848484848484,89.72727272727273,18.39622641509434,86.60714285714286,100.0,70.9090909090909,96.42857142857143,90.38461538461539,89.28571428571429,63.39506172839506,97.83018867924528,31.818181818181817,95.92592592592592,0.37037037037037035,36.0,4.678571428571429,28.303030303030305,20.484848484848488,53.848484848484844,41.36363636363637,68.16529359921326,63.39506172839506,70.06207481697678,74.63977272727273,37.77777777777778,92.14335401798463,67.48148148148148,70.49645390070923,4.678571428571429,53.848484848484844,77.67857142857143,79.61734693877551,87.5,92.72727272727273,72.0,71.42857142857143,62.96296296296296,90.9090909090909,83.63636363636364,40.0,35.0,45.0,41.42734534891398,39.41798941798942,43.873517786561266,29.968164327872135,179.5,265.4642857142857
PRIMARY,URBAN,6.0,100.0,50.0,100.0,100.0,100.0,66.80811087061086,56.0930735930736,67.42424242424242,38.333333333333336,76.66666666666667,77.52314814814814,93.33333333333333,93.33333333333333,71.66666666666667,95.0,22.5,100.0,60.0,100.0,61.666666666666664,83.33333333333333,100.0,100.0,80.0,60.0,83.33333333333333,62.50000000000001,93.33333333333333,100.0,93.33333333333333,0.0,50.138888888888886,3.8333333333333335,69.44444444444444,20.0,76.94444444444444,34.166666666666664,81.20415725569715,62.50000000000001,93.33333333333333,81.16666666666667,66.66666666666667,88.45965161158567,88.8888888888889,94.44444444444444,3.8333333333333335,76.94444444444444,33.333333333333336,97.22222222222223,100.0,100.0,100.0,100.0,100.0,100.0,83.33333333333333,60.0,60.0,60.0,45.06172839506173,45.06172839506173,,19.801986853473903,211.0,173.83333333333334
RURAL,General,84.0,100.0,92.85714285714286,100.0,97.61904761904762,98.80952380952381,58.43330904254876,47.608122557256756,57.2219758561222,27.630522088353416,66.65492957746478,69.64313603620832,91.91767068273093,88.94076305220884,62.25903614457831,93.77572016460906,42.80995934959349,83.77510040160642,48.032128514056225,90.5421686746988,16.97530864197531,89.88095238095238,100.0,79.51807228915662,97.61904761904762,91.25,91.66666666666667,63.90243902439025,96.85185185185185,39.285714285714285,96.82926829268293,0.975609756097561,37.43975903614458,4.678571428571429,30.200803212851405,23.87550200803213,51.8273092369478,43.855421686746986,69.96939845667768,63.90243902439025,73.32204845191858,73.6819396852899,40.97560975609756,92.22407128447861,70.53140096618358,75.53990610328638,4.678571428571429,51.8273092369478,81.15079365079366,83.69047619047619,88.0952380952381,95.18072289156626,78.2051282051282,76.19047619047619,71.95121951219512,92.7710843373494,86.74698795180723,53.57142857142857,40.476190476190474,66.66666666666667,46.28564122235009,46.50205761316873,45.81818181818182,30.250394086628145,289.5595238095238,332.2261904761905
SECONDARY,General,53.0,100.0,100.0,100.0,100.0,100.0,62.002463905765794,52.852262342828375,61.59100438345721,34.08805031446541,65.49019607843137,71.1526654687032,90.56603773584905,91.29716981132076,64.48113207547169,93.77358490566037,44.12581699346405,82.64150943396227,50.723270440251575,93.58490566037736,21.383647798742135,98.11320754716981,100.0,98.11320754716981,100.0,96.0,98.11320754716981,61.41509433962264,92.6923076923077,75.0,95.09433962264151,1.8867924528301887,39.85849056603774,4.754716981132075,29.62264150943396,32.45283018867924,58.0188679245283,39.339622641509436,72.8036641230092,61.41509433962264,79.33106923066934,60.34605193986192,52.075471698113205,90.99358724914862,84.77272727272727,83.33333333333333,4.754716981132075,58.0188679245283,84.59119496855345,93.5309973045822,94.33962264150944,100.0,94.33962264150944,90.56603773584905,92.45283018867924,92.45283018867924,90.56603773584905,68.88888888888889,51.111111111111114,86.66666666666667,58.61762276856617,58.24255628177197,68.18181818181819,31.10850462645228,566.0,508.47169811320754
SECONDARY,PERIURBAN,12.0,100.0,100.0,100.0,100.0,100.0,62.58438051146385,51.364197530864196,63.68855218855219,29.722222222222225,59.166666666666664,73.8045634920635,92.08333333333333,95.3125,72.91666666666667,94.58333333333333,54.0,75.0,45.0,95.0,32.77777777777778,100.0,100.0,100.0,100.0,100.0,100.0,57.63888888888889,98.18181818181819,100.0,88.33333333333333,3.3333333333333335,36.25,4.833333333333333,15.833333333333334,31.666666666666668,83.75,13.75,72.64982722057202,57.63888888888889,71.44721086750071,41.58384374281113,60.0,90.60520461557199,100.0,90.0,4.833333333333333,83.75,83.33333333333333,95.23809523809524,100.0,100.0,100.0,100.0,91.66666666666667,91.66666666666667,83.33333333333333,50.0,27.272727272727273,72.72727272727273,64.19753086419753,64.19753086419753,,25.96152246963645,444.0833333333333,361.25
SECONDARY,RURAL,28.0,100.0,100.0,100.0,100.0,100.0,61.83214057767629,53.97111222111222,60.84632034632035,41.07142857142857,65.38461538461539,69.69316893424036,91.60714285714286,91.78571428571429,61.160714285714285,94.46428571428571,40.75892857142857,85.0,49.107142857142854,92.14285714285714,14.285714285714286,96.42857142857143,100.0,96.42857142857143,100.0,92.85714285714286,96.42857142857143,64.88095238095238,95.0,66.66666666666667,98.57142857142857,2.142857142857143,40.267857142857146,4.678571428571429,33.92857142857143,30.535714285714285,47.857142857142854,48.75,73.5776081716065,64.88095238095238,80.97589959482544,71.59969394184895,47.142857142857146,92.3825162890779,76.25,85.41666666666667,4.678571428571429,47.857142857142854,88.09523809523809,91.83673469387756,89.28571428571429,100.0,89.28571428571429,85.71428571428571,89.28571428571429,96.42857142857143,92.85714285714286,65.9090909090909,45.45454545454545,86.36363636363636,55.13468013468014,54.13105413105413,68.18181818181819,30.97360784344042,509.67857142857144,465.75
