Q100,Q102,Q105,Q106,Q105_a,Q113,Q113_A,Q116,Q116_A,Q117,Q118,tHFA_A001,tHFA_A002,Facility_Score,HW_Competence_Score,Patient_Centeredness_Score,iss_score,HTM-ANC,system_CHW_score,facility_composite,HTM-ANC,presence_score,caseload,ANC_score,DPT_score,TB_treatment_completion,ART_retention,CHW_count,CHW_paid,CLM_score,guideline_score,oxygen_score,vacancy_score,all_funded_posts,all_unfilled_posts
MWI_000193,Chikwawa District Hospital,South West Zone,Chikwawa,SECONDARY,DISTRICT HOSPITAL,,LOCAL GOVERNMENT,,PERIURBAN,BOTH OUT AND INPATIENT,SECONDARY,628282,56.64562289562289,39.427609427609426,73.86363636363636,100.0,50.0,43.75,68.33333333333333,50.0,40.0,20.0,100.0,,100.0,100.0,4.0,25.0,100.0,100.0,100.0,52.662721893491124,169.0,80.0
MWI_001282,Pirimiti Rural Hospital,South East Zone,Zomba,SECONDARY,HEALTH CENTRE,,MINISTRY OF HEALTH,,RURAL,BOTH OUT AND INPATIENT,SECONDARY,40137,44.12626262626262,39.36363636363636,48.888888888888886,66.66666666666667,63.333333333333336,95.0,52.08270331543988,63.333333333333336,88.46153846153845,12.173913043478262,0.0,96.44473173884938,,,5.0,80.0,66.66666666666666,100.0,100.0,58.64661654135339,133.0,55.0
MWI_000166,Chezi Mission Hospital,Central East Zone,Dowa,SECONDARY,HEALTH CENTRE,,CHRISTIAN HEALTH ASSOCIATION OF MALAWI (CHAM),,RURAL,BOTH OUT AND INPATIENT,PRIMARY,25177,85.0,100.0,70.0,100.0,,75.0,73.75,,100.0,100.0,,95.0,0.0,,5.0,100.0,100.0,100.0,100.0,82.14285714285714,56.0,10.0
MWI_001312,Salima District Hospital,Central East Zone,Salima,SECONDARY,DISTRICT HOSPITAL,,MINISTRY OF HEALTH,,URBAN,BOTH OUT AND INPATIENT,SECONDARY,85112,59.83333333333333,41.333333333333336,78.33333333333333,100.0,60.0,90.0,90.0,60.0,,,100.0,,100.0,100.0,5.0,100.0,83.33333333333334,100.0,100.0,,999.0,999.0
MWI_001109,Namadidi Health Centre,South East Zone,Zomba,PRIMARY,HEALTH CENTRE,,MINISTRY OF HEALTH,,RURAL,OUTPATIENT ONLY,PRIMARY,17100,46.81818181818181,33.63636363636363,60.0,100.0,66.66666666666667,65.0,62.57160759040458,66.66666666666667,28.57142857142857,100.0,0.0,92.76315789473684,100.0,50.0,5.0,80.0,100.0,100.0,,100.0,35.0,0.0
MWI_001356,St Montfort Hospital,South West Zone,Chikwawa,SECONDARY,OTHER GENERAL HOSPITAL,,CHRISTIAN HEALTH ASSOCIATION OF MALAWI (CHAM),,PERIURBAN,BOTH OUT AND INPATIENT,SECONDARY,9,60.44047619047619,72.66666666666667,48.214285714285715,100.0,66.66666666666667,70.0,56.66666666666667,66.66666666666667,,,60.0,,0.0,100.0,5.0,100.0,50.0,100.0,100.0,66.3265306122449,196.0,66.0
MWI_000240,Chinguluwe Health Centre,Central East Zone,Salima,PRIMARY,HEALTH CENTRE,,MINISTRY OF HEALTH,,RURAL,BOTH OUT AND INPATIENT,PRIMARY,17602,44.57070707070707,26.363636363636363,62.77777777777778,100.0,60.0,25.0,65.44520547945206,60.0,100.0,100.0,0.0,98.11643835616438,0.0,100.0,5.0,0.0,50.0,100.0,,,32.0,999.0
MWI_000221,Chilumba Rural Hospital,North Zone,Karonga,SECONDARY,OTHER (SPECIFY),Rural Community Hospital,MINISTRY OF HEALTH,,RURAL,BOTH OUT AND INPATIENT,PRIMARY,21115,79.16666666666666,83.33333333333333,75.0,75.0,46.66666666666667,50.0,56.03333333333334,46.66666666666667,,,40.0,93.5,100.0,0.0,3.0,33.333333333333336,100.0,100.0,,,45.0,999.0
MWI_000255,Chipoka Health Centre,Central East Zone,Salima,PRIMARY,HEALTH CENTRE,,MINISTRY OF HEALTH,,URBAN,BOTH OUT AND INPATIENT,PRIMARY,37179,52.420634920634924,39.285714285714285,65.55555555555556,75.0,66.66666666666667,45.0,78.69963369963371,66.66666666666667,100.0,100.0,40.0,94.23076923076923,50.0,100.0,5.0,20.0,50.0,100.0,100.0,94.33962264150944,53.0,3.0
MWI_000570,Karonga District Hospital,North Zone,Karonga,SECONDARY,DISTRICT HOSPITAL,,MINISTRY OF HEALTH,,PERIURBAN,BOTH OUT AND INPATIENT,SECONDARY,414100,71.2037037037037,66.29629629629629,76.11111111111111,100.0,50.0,60.0,75.10332434860736,50.0,80.0,100.0,0.0,95.72327044025157,100.0,100.0,5.0,60.0,100.0,100.0,100.0,,999.0,999.0
MWI_001168,Ngabu Sda Health Centre,South West Zone,Chikwawa,PRIMARY,HEALTH CENTRE,,MISSION/FAITH-BASED,,URBAN,BOTH OUT AND INPATIENT,PRIMARY,36554,58.388888888888886,39.0,77.77777777777777,50.0,60.000000000000014,75.0,86.71985815602837,60.000000000000014,100.0,100.0,80.0,80.31914893617021,,100.0,5.0,100.0,50.0,100.0,,30.303030303030297,33.0,23.0
MWI_000339,Diamphwe Health Centre,Central West Zone,Lilongwe,PRIMARY,HEALTH CENTRE,,MINISTRY OF HEALTH,,RURAL,OUTPATIENT ONLY,PRIMARY,21703,58.19556025369979,54.18181818181818,62.2093023255814,100.0,63.333333333333336,60.0,70.70175438596492,63.333333333333336,50.0,100.0,80.0,91.57894736842105,60.0,50.0,5.0,80.0,83.33333333333334,100.0,100.0,78.57142857142857,56.0,12.0
MWI_000914,Mhuju Rural Hospital,North Zone,Rumphi,SECONDARY,OTHER (SPECIFY),Community Hospital,MINISTRY OF HEALTH,,RURAL,BOTH OUT AND INPATIENT,PRIMARY,9,68.75,50.0,87.5,100.0,66.66666666666667,60.0,43.258145363408524,66.66666666666667,50.0,100.0,0.0,86.14035087719299,0.0,0.0,5.0,60.0,83.33333333333334,100.0,100.0,,34.0,999.0
MWI_000795,Makwapala Health Centre,South East Zone,Zomba,PRIMARY,HEALTH CENTRE,,MINISTRY OF HEALTH,,RURAL,OUTPATIENT ONLY,PRIMARY,25000,49.44444444444444,46.666666666666664,52.22222222222222,100.0,66.66666666666667,45.0,79.28011204481793,66.66666666666667,100.0,100.0,0.0,88.29411764705883,100.0,100.0,5.0,40.0,83.33333333333334,100.0,100.0,87.77777777777777,90.0,11.0
MWI_001371,St. Lukes Mission Hospital,South East Zone,Zomba,SECONDARY,OTHER GENERAL HOSPITAL,,CHRISTIAN HEALTH ASSOCIATION OF MALAWI (CHAM),,RURAL,BOTH OUT AND INPATIENT,SECONDARY,90000,49.111111111111114,27.666666666666668,70.55555555555556,75.0,63.333333333333336,65.0,68.49537037037037,63.333333333333336,100.0,49.375,0.0,98.26388888888889,,100.0,5.0,80.0,100.0,100.0,,80.12422360248448,161.0,32.0
