Q100,Q102,Q105,Q106,Q105_a,Q113,Q113_A,Q116,Q116_A,Q117,Q118,tHFA_A001,tHFA_A002,Quality_Score,HW_Competence_Score,HW_Check,Patient_Centeredness_Score,PC_Check,iss_score,iss_check,HTM-ANC,htm-anc-check,system_CHW_score,chw_check,facility_composite,HTM-ANC,presence_score,caseload,ANC_score,DPT_score,TB_treatment_completion,ART_retention,CHW_paid,CHW_scores,CLM_score,guideline_score,guideline_check,oxygen_score,oxygen_check,test-capac,test-capac_check,vacancy_score,all_funded_posts,all_unfilled_posts
MWI_000193,Chikwawa District Hospital,South West Zone,Chikwawa,SECONDARY,DISTRICT HOSPITAL,,LOCAL GOVERNMENT,,PERIURBAN,BOTH OUT AND INPATIENT,SECONDARY,628282,56.64562289562289,39.427609427609426,"[63.63636363636363, 77.77777777777777, 55.55555555555556, 77.77777777777777, 66.66666666666667, 0.0, 0.0, 0.0, 0.0, 0.0, 50.0, 50.0, 50.0, 50.0, 50.0]",73.86363636363636,"[100, 75, 50, 100, 25, 0, 0, 100, 0, 100, 100, 75, 100, 75, 100, 100, 100, 0, 100, 100, 100, 100, 75, 100, 0, 100, 0, 100, 100, 75, 100, 100, 100, 0, 100, 0, 100, nan, 100, 100, 100, 100, 100, 100, 0]",100.0,"[100, 100, 100, 100]",50.0,"[50.0, 50.0, 50.0, 50.0, 50.0]",43.75,"[50.0, 25.0, 75.0, 25.0]",68.33333333333333,50.0,40.0,20.0,100.0,,100.0,100.0,25.0,"[100, 0, 0, 0]",100.0,85.71428571428571,"[100, 100, 100, 100, 100, 0, 100]",50.0,"[0, 100]",55.55555555555556,"[100, 100, 100, 0, 100, 100, 100, 100, 0, 0, 0, 100, 100, 0, 0, 100, 100, 0, 100, 100, 0, 0, 0, 100, 100, 0, 0]",47.337278106508876,169.0,80.0
MWI_001282,Pirimiti Rural Hospital,South East Zone,Zomba,SECONDARY,HEALTH CENTRE,,MINISTRY OF HEALTH,,RURAL,BOTH OUT AND INPATIENT,SECONDARY,40137,44.12626262626262,39.36363636363636,"[70.0, 70.0, 70.0, 70.0, 63.63636363636363, 0.0, 50.0, 0.0, 0.0, 0.0]",48.888888888888886,"[50, 50, 50, 100, 0, 0, 0, 100, 0, 50, 50, 25, 25, 25, 0, 0, 100, 0, 75, 75, 50, 75, 25, 100, 100, 100, 0, 100, 100, 25, 100, 0, 0, 0, 100, 0, 75, 75, 25, 100, 75, 0, 100, 100, 0]",66.66666666666667,"[100, 100, 0, nan]",63.333333333333336,"[66.66666666666667, 66.66666666666667, 66.66666666666667, 66.66666666666667, 50.0]",95.0,"[75.0, 100.0, 100.0, 100.0, 100.0]",52.08270331543988,63.333333333333336,88.46153846153845,12.173913043478262,0.0,96.44473173884938,,,80.0,"[0, 100, 100, 100, 100]",66.66666666666666,100.0,"[100, 100, 100, 100, 100, 100, 100]",100.0,"[100, 100]",42.30769230769231,"[100, 100, 100, 0, 0, 100, 100, 0, 0, 0, 0, 0, 100, 0, 0, 100, 100, 100, 100, 100, 0, 0, 0, nan, 0, 0, 0]",41.35338345864661,133.0,55.0
MWI_000166,Chezi Mission Hospital,Central East Zone,Dowa,SECONDARY,HEALTH CENTRE,,CHRISTIAN HEALTH ASSOCIATION OF MALAWI (CHAM),,RURAL,BOTH OUT AND INPATIENT,PRIMARY,25177,85.0,100.0,"[100.0, 100.0, 100.0, 100.0, 100.0]",70.0,"[75, 50, 75, 75, 0, 100, 100, 100, 0, 100, 100, 0, 0, 50, 100, 100, 100, 0, 100, 100, 50, 100, nan, 100, 100, 100, 0, 75, 100, nan, nan, nan, 100, 0, 100, 0, 100, 50, 100, 100, nan, 100, 100, 100, 0]",100.0,"[100, 100, 100, 100]",,[],75.0,"[100.0, 50.0, 75.0, 75.0, 75.0]",73.75,,100.0,100.0,,95.0,0.0,,100.0,"[100, 100, 100, 100, 100]",100.0,100.0,"[100, nan, 100, 100, nan, 100, 100]",50.0,"[0, 100]",37.03703703703704,"[100, 0, 0, 0, 100, 100, 0, 100, 0, 0, 0, 0, 0, 0, 100, 100, 100, 0, 100, 100, 0, 0, 0, 100, 0, 0, 0]",17.857142857142858,56.0,10.0
MWI_001312,Salima District Hospital,Central East Zone,Salima,SECONDARY,DISTRICT HOSPITAL,,MINISTRY OF HEALTH,,URBAN,BOTH OUT AND INPATIENT,SECONDARY,85112,59.83333333333333,41.333333333333336,"[70.0, 70.0, 60.0, 70.0, 50.0, 0.0, 0.0, 0.0, 0.0, 0.0, 50.0, 50.0, 50.0, 100.0, 50.0]",78.33333333333333,"[100, 100, 75, 100, 75, 100, 100, 100, 0, 100, 100, 75, 100, 50, 100, 100, 0, 0, 75, 100, 100, 75, 100, 0, 0, 100, 0, 100, 100, 100, 100, 100, 100, 100, 100, 0, 100, 100, 100, 100, 100, 100, 100, 100, 0]",100.0,"[100, 100, 100, 100]",60.0,"[66.66666666666667, 66.66666666666667, 66.66666666666667, 66.66666666666667, 33.333333333333336]",90.0,"[100.0, 100.0, 100.0, 100.0, 50.0]",90.0,60.0,,,100.0,,100.0,100.0,100.0,"[100, 100, 100, 100, 100]",83.33333333333334,100.0,"[100, 100, 100, 100, 100, 100, 100]",100.0,"[100, 100]",62.96296296296296,"[100, 100, 100, 0, 100, 100, 100, 100, 100, 0, 100, 100, 100, 0, 0, 100, 100, 0, 100, 100, 0, 0, 0, 100, 100, 0, 0]",,999.0,999.0
MWI_001109,Namadidi Health Centre,South East Zone,Zomba,PRIMARY,HEALTH CENTRE,,MINISTRY OF HEALTH,,RURAL,OUTPATIENT ONLY,PRIMARY,17100,46.81818181818181,33.63636363636363,"[60.0, 60.0, 50.0, 50.0, 50.0, 0.0, 0.0, 0.0, 0.0, 0.0, 100.0]",60.0,"[100, 100, 100, 100, 50, 0, 0, 100, 0, 100, 100, 75, 100, 0, 100, 0, 100, 0, 100, 100, 100, 100, 0, 0, 0, 100, 0, 100, 100, 100, 100, 0, 0, 0, 100, 0, 100, 100, 75, 100, 0, 100, 0, 100, 0]",100.0,"[100, 100, 100, 100]",66.66666666666667,"[66.66666666666667, 66.66666666666667, 66.66666666666667, 66.66666666666667, 66.66666666666667]",65.0,"[75.0, 75.0, 75.0, 50.0, 50.0]",62.57160759040458,66.66666666666667,28.57142857142857,100.0,0.0,92.76315789473684,100.0,50.0,80.0,"[100, 100, 100, 100, 0]",100.0,42.857142857142854,"[0, 0, 0, 0, 100, 100, 100]",,"[nan, nan]",,[nan],0.0,35.0,0.0
MWI_001356,St Montfort Hospital,South West Zone,Chikwawa,SECONDARY,OTHER GENERAL HOSPITAL,,CHRISTIAN HEALTH ASSOCIATION OF MALAWI (CHAM),,PERIURBAN,BOTH OUT AND INPATIENT,SECONDARY,9,60.44047619047619,72.66666666666667,"[70.0, 70.0, 70.0, 70.0, 60.0, 100.0, 100.0, 100.0, 100.0, 100.0, 50.0, 50.0, 50.0, 50.0, 50.0]",48.214285714285715,"[100, 50, 25, nan, 25, 100, 0, 100, 0, 100, 100, 0, 0, 75, 100, 0, 100, 0, 0, 0, 0, nan, 0, 0, 0, 0, 0, 100, 100, 100, nan, 75, 100, 0, 100, 0, 0, 100, 100, 100, 75, 100, 0, 100, 0]",100.0,"[100, 100, 100, 100]",66.66666666666667,"[66.66666666666667, 66.66666666666667, 66.66666666666667, 66.66666666666667, 66.66666666666667]",70.0,"[75.0, 50.0, 75.0, 75.0, 75.0]",56.66666666666667,66.66666666666667,,,60.0,,0.0,100.0,100.0,"[100, 100, 100, 100, 100]",50.0,100.0,"[100, 100, 100, 100, 100, 100, 100]",50.0,"[0, 100]",44.44444444444444,"[0, 100, 100, 0, 100, 0, 100, 100, 0, 0, 0, 0, 0, 0, 0, 100, 100, 0, 100, 100, 0, 0, 0, 100, 100, 0, 100]",33.6734693877551,196.0,66.0
MWI_000240,Chinguluwe Health Centre,Central East Zone,Salima,PRIMARY,HEALTH CENTRE,,MINISTRY OF HEALTH,,RURAL,BOTH OUT AND INPATIENT,PRIMARY,17602,44.57070707070707,26.363636363636363,"[60.0, 50.0, 50.0, 30.0, 50.0, 0.0, 0.0, 0.0, 0.0, 0.0, 50.0]",62.77777777777778,"[100, 100, 75, 100, 100, 0, 0, 100, 0, 100, 50, 25, 100, 25, 100, 0, 100, 0, 50, 100, 25, 100, 75, 100, 100, 100, 0, 100, 100, 25, 100, 0, 100, 0, 0, 0, 100, 100, 75, 100, 100, 100, 100, 0, 0]",100.0,"[100, 100, 100, 100]",60.0,"[66.66666666666667, 66.66666666666667, 66.66666666666667, 33.333333333333336, 66.66666666666667]",25.0,"[25.0, 25.0, 25.0, 25.0, 25.0]",65.44520547945206,60.0,100.0,100.0,0.0,98.11643835616438,0.0,100.0,0.0,"[0, 0, 0, 0, 0]",50.0,71.42857142857143,"[100, 100, 0, 100, 0, 100, 100]",,"[nan, nan]",23.076923076923077,"[100, nan, 0, 0, 0, 100, 100, 0, 0, 0, 0, 0, 0, 0, 0, 100, 0, 0, 0, 100, 0, 0, 0, 100, 0, 0, 0]",,32.0,999.0
MWI_000221,Chilumba Rural Hospital,North Zone,Karonga,SECONDARY,OTHER (SPECIFY),Rural Community Hospital,MINISTRY OF HEALTH,,RURAL,BOTH OUT AND INPATIENT,PRIMARY,21115,79.16666666666666,83.33333333333333,"[10.0, 40.0, 60.0, 70.0, 70.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0]",75.0,"[100, 100, 100, 100, 0, 100, 100, 100, 0, 0, 100, 100, 100, 0, 100, 100, 100, 0, 100, 100, 75, 100, 50, 100, 100, 100, 0]",75.0,"[0, 100, 100, 100]",46.66666666666667,"[0.0, 33.333333333333336, 66.66666666666667, 66.66666666666667, 66.66666666666667]",50.0,"[25.0, 50.0, 75.0]",56.03333333333334,46.66666666666667,,,40.0,93.5,100.0,0.0,33.333333333333336,"[0, 0, 100]",100.0,57.142857142857146,"[100, 100, 100, 0, 0, 100, 0]",,"[nan, nan]",40.74074074074074,"[100, 0, 100, 0, 0, 0, 100, 100, 0, 0, 0, 100, 100, 0, 0, 100, 100, 0, 100, 100, 0, 0, 0, 0, 100, 0, 0]",,45.0,999.0
MWI_000255,Chipoka Health Centre,Central East Zone,Salima,PRIMARY,HEALTH CENTRE,,MINISTRY OF HEALTH,,URBAN,BOTH OUT AND INPATIENT,PRIMARY,37179,52.420634920634924,39.285714285714285,"[70.0, 70.0, 70.0, 70.0, 70.0, 0.0, 0.0, 0.0, 0.0, 0.0, 50.0, 50.0, 50.0, 50.0]",65.55555555555556,"[100, 50, 100, 50, 0, 100, 0, 100, 0, 100, 100, 75, 100, 0, 100, 100, 100, 0, 100, 100, 75, 100, 0, 100, 100, 100, 0, 100, 100, 0, 100, 0, 100, 0, 100, 0, 100, 100, 0, 100, 100, 100, 0, 100, 0]",75.0,"[100, 100, 0, 100]",66.66666666666667,"[66.66666666666667, 66.66666666666667, 66.66666666666667, 66.66666666666667, 66.66666666666667]",45.0,"[50.0, 50.0, 25.0, 50.0, 50.0]",78.69963369963371,66.66666666666667,100.0,100.0,40.0,94.23076923076923,50.0,100.0,20.0,"[100, 0, 0, 0, 0]",50.0,100.0,"[100, 100, 100, 100, 100, 100, 100]",0.0,"[0, 0]",29.62962962962963,"[100, 100, 0, 0, 100, 0, 100, 0, 0, 0, 0, 0, 0, 0, 0, 100, 0, 0, 100, 100, 0, 0, 0, 100, 0, 0, 0]",5.660377358490567,53.0,3.0
MWI_000570,Karonga District Hospital,North Zone,Karonga,SECONDARY,DISTRICT HOSPITAL,,MINISTRY OF HEALTH,,PERIURBAN,BOTH OUT AND INPATIENT,SECONDARY,414100,71.2037037037037,66.29629629629629,"[55.55555555555556, 55.55555555555556, 44.44444444444444, 44.44444444444444, 44.44444444444444, 100.0, 100.0, 100.0, 100.0, 100.0, 50.0, 50.0, 50.0, 50.0, 50.0]",76.11111111111111,"[100, 100, 100, 100, 100, 100, 100, 100, 0, 100, 100, 75, 100, 75, 100, 100, 100, 0, 100, 100, 100, 100, 25, 100, 100, 100, 0, 100, 100, 75, 100, 50, 100, 100, 100, 0, 100, 100, 0, 100, 25, 0, 0, 100, 0]",100.0,"[100, 100, 100, 100]",50.0,"[50.0, 50.0, 50.0, 50.0, 50.0]",60.0,"[25.0, 25.0, 75.0, 100.0, 75.0]",75.10332434860736,50.0,80.0,100.0,0.0,95.72327044025157,100.0,100.0,60.0,"[0, 0, 100, 100, 100]",100.0,100.0,"[100, 100, 100, 100, 100, 100, 100]",0.0,"[0, 0]",100.0,"[100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100]",,999.0,999.0
MWI_001168,Ngabu Sda Health Centre,South West Zone,Chikwawa,PRIMARY,HEALTH CENTRE,,MISSION/FAITH-BASED,,URBAN,BOTH OUT AND INPATIENT,PRIMARY,36554,58.388888888888886,39.0,"[80.0, 70.0, 80.0, 80.0, 80.0, 0.0, 0.0, 0.0, 0.0, 0.0]",77.77777777777777,"[100, 100, 100, 100, 50, 100, 100, 100, 0, 100, 50, 75, 100, 50, 100, 100, 100, 0, 100, 100, 75, 100, 50, 100, 100, 100, 0, 100, 100, 75, 100, 50, 100, 100, 100, 0, 100, 100, 75, 100, 50, 100, 0, 100, 0]",50.0,"[0, 0, 100, 100]",60.000000000000014,"[66.66666666666667, 33.333333333333336, 66.66666666666667, 66.66666666666667, 66.66666666666667]",75.0,"[75.0, 75.0, 75.0, 75.0, 75.0]",86.71985815602837,60.000000000000014,100.0,100.0,80.0,80.31914893617021,,100.0,100.0,"[100, 100, 100, 100, 100]",50.0,100.0,"[100, 100, nan, 100, 100, 100, 100]",,"[nan, nan]",33.333333333333336,"[100, 100, 0, 0, 100, 0, 0, 100, 0, 0, 0, 0, 0, 100, 0, 100, 100, 0, 0, 100, 0, 0, 0, 100, 0, 0, 0]",69.6969696969697,33.0,23.0
