Q100,Q102,Q105,Q106,Q105_a,Q113,Q113_A,Q116,Q116_A,Q117,Q118,tHFA_A001,tHFA_A002,HIV,TB,Malaria,ANC,Immu,Quality_Score,HW_Competence_Score,HW_Check,ANC_score,ART_score,TB_score,Patient_Centeredness_Score,PC_Individuals,PC_attributes,iss_score,iss_check,fac_tech,fac_stats,fac_group_PS,fac_comms_data,HTM-ANC,hiv testing,ART access,iptp scores,TB screening,system_CHW_score,chw_show,chw_iss,chw_contract,chw_paid,chw_tools,facility_composite,HTM-ANC,presence_score,caseload,ANC_score,DPT_score,TB_treatment_completion,ART_retention,CHW_paid,CHW_scores,CLM_score,guideline_score,guide_HIV,guide_TB,guide_malaria,guide_anc,guide_immu,guide_imci,oxygen_score,oxygen_avl,oxygen_avo,test-capac,test-capac_check,with lab,without lab,vacancy_score,all_funded_posts,all_unfilled_posts
MWI_001109,Namadidi Health Centre,South East Zone,Zomba,PRIMARY,HEALTH CENTRE,,MINISTRY OF HEALTH,,RURAL,OUTPATIENT ONLY,PRIMARY,17100,100,100,100,100,100,47.61679293,33.63636364,"[60.0, 60.0, 50.0, 50.0, 50.0, 0.0, 0.0, 0.0, 0.0, 0.0, 100.0]",54,0,100,61.59722222,"[61.111111111111114, 63.888888888888886, 55.55555555555556, 55.55555555555556, 71.875]","[100, 100, 100, 100, 50, 0, 0, 100, 0, 100, 100, 75, 100, 0, 100, 0, 100, 0, 100, 100, 100, 100, 0, 0, 0, 100, 0, 100, 100, 100, 100, 0, 0, 0, 100, 0, 100, 100, 75, 100, 0, 100, 0, 100, nan]",100,"[100, 100, 100, 100]",100,100,100,100,66.66666667,100,,100,0,60,"[50.0, 75.0, 75.0, 50.0, 50.0]",80,20,80,60,62.57160759,66.66666667,28.57142857,100,0,92.76315789,100,50,80,"[100, 100, 100, 100, 0]",100,42.85714286,0,0,0,100,100,100,,,,,[nan],,,0,35,0
MWI_000193,Chikwawa District Hospital,South West Zone,Chikwawa,SECONDARY,DISTRICT HOSPITAL,,LOCAL GOVERNMENT,,PERIURBAN,BOTH OUT AND INPATIENT,SECONDARY,628282,100,100,100,100,100,56.79713805,39.42760943,"[63.63636363636363, 77.77777777777777, 55.55555555555556, 77.77777777777777, 66.66666666666667, 0.0, 0.0, 0.0, 0.0, 0.0, 50.0, 50.0, 50.0, 50.0, 50.0]",68.28282828,0,50,74.16666667,"[50.0, 83.33333333333333, 75.0, 75.0, 87.5]","[100, 75, 50, 100, 25, 0, 0, 100, 0, 100, 100, 75, 100, 75, 100, 100, 100, 0, 100, 100, 100, 100, 75, 100, 0, 100, 0, 100, 100, 75, 100, 100, 100, 0, 100, 0, 100, nan, 100, 100, 100, 100, 100, 100, 0]",100,"[100, 100, 100, 100]",100,100,100,100,50,100,100,80,0,12.5,"[25.0, 0.0, 25.0, 0.0]",0,0,25,25,68.33333333,50,40,20,100,,100,100,25,"[100, 0, 0, 0]",100,85.71428571,100,100,100,100,0,100,50,0,100,55.55555556,"[100, 100, 100, 0, 100, 100, 100, 100, 0, 0, 0, 100, 100, 0, 0, 100, 100, 0, 100, 100, 0, 0, 0, 100, 100, 0, 0]",55.55555556,,47.33727811,169,80
MWI_001282,Pirimiti Rural Hospital,South East Zone,Zomba,SECONDARY,HEALTH CENTRE,,MINISTRY OF HEALTH,,RURAL,BOTH OUT AND INPATIENT,SECONDARY,40137,100,100,100,100,100,44.12626263,39.36363636,"[70.0, 70.0, 70.0, 70.0, 63.63636363636363, 0.0, 50.0, 0.0, 0.0, 0.0]",68.72727273,10,,48.88888889,"[38.888888888888886, 30.555555555555557, 66.66666666666667, 47.22222222222222, 61.111111111111114]","[50, 50, 50, 100, 0, 0, 0, 100, 0, 50, 50, 25, 25, 25, 0, 0, 100, 0, 75, 75, 50, 75, 25, 100, 100, 100, 0, 100, 100, 25, 100, 0, 0, 0, 100, 0, 75, 75, 25, 100, 75, 0, 100, 100, 0]",50,"[100, 100, 0, 0]",100,100,0,0,63.33333333,100,100,80,0,85,"[75.0, 100.0, 75.0, 100.0, 75.0]",60,100,80,100,52.08270332,63.33333333,88.46153846,12.17391304,0,96.44473174,,,80,"[0, 100, 100, 100, 100]",66.66666667,100,100,100,100,100,100,100,100,100,100,40.74074074,"[100, 100, 100, 0, 0, 100, 100, 0, 0, 0, 0, 0, 100, 0, 0, 100, 100, 100, 100, 100, 0, 0, 0, 0, 0, 0, 0]",40.74074074,,41.35338346,133,55
MWI_000166,Chezi Mission Hospital,Central East Zone,Dowa,SECONDARY,HEALTH CENTRE,,CHRISTIAN HEALTH ASSOCIATION OF MALAWI (CHAM),,RURAL,BOTH OUT AND INPATIENT,PRIMARY,25177,100,100,100,0,100,86.66666667,100,"[100.0, 100.0, 100.0, 100.0, 100.0]",,,100,73.33333333,"[63.888888888888886, 61.111111111111114, 81.25, 79.16666666666667, 81.25]","[75, 50, 75, 75, 0, 100, 100, 100, 0, 100, 100, 0, 0, 50, 100, 100, 100, 0, 100, 100, 50, 100, nan, 100, 100, 100, 0, 75, 100, nan, nan, nan, 100, 0, 100, 100, 100, 50, 100, 100, nan, 100, 100, 100, 0]",100,"[100, 100, 100, 100]",100,100,100,100,,,,,,60,"[50.0, 50.0, 75.0, 50.0, 75.0]",60,0,100,80,73.75,,100,100,,95,0,,100,"[100, 100, 100, 100, 100]",100,100,100,100,100,,100,100,50,0,100,37.03703704,"[100, 0, 0, 0, 100, 100, 0, 100, 0, 0, 0, 0, 0, 0, 100, 100, 100, 0, 100, 100, 0, 0, 0, 100, 0, 0, 0]",37.03703704,,17.85714286,56,10
MWI_001312,Salima District Hospital,Central East Zone,Salima,SECONDARY,DISTRICT HOSPITAL,,MINISTRY OF HEALTH,,URBAN,BOTH OUT AND INPATIENT,SECONDARY,85112,100,100,100,100,100,63.96527778,41.33333333,"[70.0, 70.0, 60.0, 70.0, 50.0, 0.0, 0.0, 0.0, 0.0, 0.0, 50.0, 50.0, 50.0, 100.0, 50.0]",64,0,60,86.59722222,"[93.75, 78.125, 61.111111111111114, 100.0, 100.0]","[100, 100, 75, 100, 75, 100, 100, 100, nan, 100, 100, 75, 100, 50, 100, 100, 0, nan, 75, 100, 100, 75, 100, 0, 0, 100, 0, 100, 100, 100, 100, 100, 100, 100, 100, nan, 100, 100, 100, 100, 100, 100, 100, 100, nan]",100,"[100, 100, 100, 100]",100,100,100,100,60,100,100,80,0,70,"[100.0, 75.0, 75.0, 50.0, 50.0]",80,20,100,80,90,60,,,100,,100,100,100,"[100, 100, 100, 100, 100]",83.33333333,100,100,100,100,100,100,100,100,100,100,62.96296296,"[100, 100, 100, 0, 100, 100, 100, 100, 100, 0, 100, 100, 100, 0, 0, 100, 100, 0, 100, 100, 0, 0, 0, 100, 100, 0, 0]",62.96296296,,,999,999
MWI_001356,St Montfort Hospital,South West Zone,Chikwawa,SECONDARY,OTHER GENERAL HOSPITAL,,CHRISTIAN HEALTH ASSOCIATION OF MALAWI (CHAM),,PERIURBAN,BOTH OUT AND INPATIENT,SECONDARY,9,100,100,100,100,100,61.29861111,72.66666667,"[70.0, 70.0, 70.0, 70.0, 60.0, 100.0, 100.0, 100.0, 100.0, 100.0, 50.0, 50.0, 50.0, 50.0, 50.0]",68,100,50,49.93055556,"[50.0, 52.77777777777778, 0.0, 71.875, 75.0]","[100, 50, 25, nan, 25, 100, 0, 100, 0, 100, 100, 0, 0, 75, 100, 0, 100, 0, 0, 0, 0, nan, 0, 0, 0, 0, 0, 100, 100, 100, nan, 75, 100, 0, 100, 0, 0, 100, 100, 100, 75, 100, 0, 100, 100]",100,"[100, 100, 100, 100]",100,100,100,100,66.66666667,100,,100,0,55,"[50.0, 50.0, 75.0, 50.0, 50.0]",40,80,100,0,56.66666667,66.66666667,,,60,,0,100,100,"[100, 100, 100, 100, 100]",50,100,100,100,100,100,100,100,50,0,100,44.44444444,"[0, 100, 100, 0, 100, 0, 100, 100, 0, 0, 0, 0, 0, 0, 0, 100, 100, 0, 100, 100, 0, 0, 0, 100, 100, 0, 100]",44.44444444,,33.67346939,196,66
MWI_000240,Chinguluwe Health Centre,Central East Zone,Salima,PRIMARY,HEALTH CENTRE,,MINISTRY OF HEALTH,,RURAL,BOTH OUT AND INPATIENT,PRIMARY,17602,100,100,100,100,100,44.57070707,26.36363636,"[60.0, 50.0, 50.0, 30.0, 50.0, 0.0, 0.0, 0.0, 0.0, 0.0, 50.0]",48,0,50,62.77777778,"[63.888888888888886, 55.55555555555556, 72.22222222222223, 47.22222222222222, 75.0]","[100, 100, 75, 100, 100, 0, 0, 100, 0, 100, 50, 25, 100, 25, 100, 0, 100, 0, 50, 100, 25, 100, 75, 100, 100, 100, 0, 100, 100, 25, 100, 0, 100, 0, 0, 0, 100, 100, 75, 100, 100, 100, 100, 0, 0]",100,"[100, 100, 100, 100]",100,100,100,100,60,100,100,80,0,10,"[0.0, 25.0, 25.0, 0.0, 0.0]",40,0,0,0,65.44520548,60,100,100,0,98.11643836,0,100,0,"[0, 0, 0, 0, 0]",16.66666667,71.42857143,100,0,100,0,100,100,,,,22.22222222,"[100, 0, 0, 0, 0, 100, 100, 0, 0, 0, 0, 0, 0, 0, 0, 100, 0, 0, 0, 100, 0, 0, 0, 100, 0, 0, 0]",22.22222222,,,32,999
MWI_000221,Chilumba Rural Hospital,North Zone,Karonga,SECONDARY,OTHER (SPECIFY),Rural Community Hospital,MINISTRY OF HEALTH,,RURAL,BOTH OUT AND INPATIENT,PRIMARY,21115,100,100,100,100,100,79.16666667,83.33333333,"[10.0, 40.0, 60.0, 70.0, 70.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0]",50,100,100,75,"[77.77777777777777, 66.66666666666667, 80.55555555555556]","[100, 100, 100, 100, 0, 100, 100, 100, 0, 0, 100, 100, 100, 0, 100, 100, 100, 0, 100, 100, 75, 100, 50, 100, 100, 100, 0]",75,"[0, 100, 100, 100]",0,100,100,100,46.66666667,50,100,80,0,16.66666667,"[25.0, 0.0, 25.0]",33.33333333,0,33.33333333,0,56.03333333,46.66666667,,,40,93.5,100,0,33.33333333,"[0, 0, 100]",100,57.14285714,100,100,0,0,100,0,,,,40.74074074,"[100, 0, 100, 0, 0, 0, 100, 100, 0, 0, 0, 100, 100, 0, 0, 100, 100, 0, 100, 100, 0, 0, 0, 0, 100, 0, 0]",40.74074074,,,45,999
MWI_000255,Chipoka Health Centre,Central East Zone,Salima,PRIMARY,HEALTH CENTRE,,MINISTRY OF HEALTH,,URBAN,BOTH OUT AND INPATIENT,PRIMARY,37179,100,100,100,100,100,54.64285714,39.28571429,"[70.0, 70.0, 70.0, 70.0, 70.0, 0.0, 0.0, 0.0, 0.0, 0.0, 50.0, 50.0, 50.0, 50.0]",70,0,50,70,"[55.55555555555556, 75.0, 75.0, 66.66666666666667, 77.77777777777777]","[100, 50, 100, 50, 0, 100, 0, 100, 0, 100, 100, 75, 100, 0, 100, 100, 100, 0, 100, 100, 75, 100, 0, 100, 100, 100, 0, 100, 100, 0, 100, 0, 100, 0, 100, 100, 100, 100, 0, 100, 100, 100, 0, 100, 100]",75,"[100, 100, 0, 100]",100,100,0,100,66.66666667,100,,100,0,15,"[50.0, 0.0, 0.0, 25.0, 0.0]",20,0,20,20,78.6996337,66.66666667,100,100,40,94.23076923,50,100,20,"[100, 0, 0, 0, 0]",16.66666667,100,100,100,100,100,100,100,0,0,0,29.62962963,"[100, 100, 0, 0, 100, 0, 100, 0, 0, 0, 0, 0, 0, 0, 0, 100, 0, 0, 100, 100, 0, 0, 0, 100, 0, 0, 0]",29.62962963,,5.660377358,53,3
MWI_000570,Karonga District Hospital,North Zone,Karonga,SECONDARY,DISTRICT HOSPITAL,,MINISTRY OF HEALTH,,PERIURBAN,BOTH OUT AND INPATIENT,SECONDARY,414100,100,100,100,100,100,72.31481481,66.2962963,"[55.55555555555556, 55.55555555555556, 44.44444444444444, 44.44444444444444, 44.44444444444444, 100.0, 100.0, 100.0, 100.0, 100.0, 50.0, 50.0, 50.0, 50.0, 50.0]",48.88888889,100,50,78.33333333,"[100.0, 83.33333333333333, 80.55555555555556, 80.55555555555556, 47.22222222222222]","[100, 100, 100, 100, 100, 100, 100, 100, nan, 100, 100, 75, 100, 75, 100, 100, 100, 0, 100, 100, 100, 100, 25, 100, 100, 100, 0, 100, 100, 75, 100, 50, 100, 100, 100, 0, 100, 100, 0, 100, 25, 0, 0, 100, 0]",100,"[100, 100, 100, 100]",100,100,100,100,50,,,100,0,30,"[0.0, 0.0, 50.0, 75.0, 25.0]",20,20,60,20,75.10332435,50,80,100,0,95.72327044,100,100,60,"[0, 0, 100, 100, 100]",100,100,100,100,100,100,100,100,0,0,0,100,"[100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100]",100,,,999,999
