Q100,Q102,Q105,Q106,Q105_a,Q113,Q113_A,Q116,Q116_A,Q117,Q118,tHFA_A001,tHFA_A002,HIV,TB,Malaria,ANC,Immu,Quality_Score,HW_Competence_Score,HW_Check,ANC_score,ART_score,TB_score,Patient_Centeredness_Score,PC_Individuals,PC_attributes,PC_avg_Communication,PC_avg_Respect,PC_avg_Autonomy,PC_avg_Confidentiality,PC_avg_Social support,PC_avg_HW told,PC_avg_Danger signs,PC_avg_Rudeness,PC_avg_Challenges,iss_score,iss_check,fac_iss,fac_tech,fac_stats,fac_group_PS,fac_comms_data,HTM-ANC,hiv testing,ART access,iptp scores,TB screening,system_CHW_score,chw_count,chw_show,chw_iss,chw_contract,chw_contract_any,chw_paid,chw_tools,facility_composite,HTM-ANC,presence_score,caseload,ANC_score,DPT_score,TB_treatment_completion,ART_retention,CHW_count,CHW_paid_full,CHW_scores,CLM_score,comm_data_collectors,quarterly_feedback,comm_data_analysis,CLM_aware,CLM_promotion,client_feedback,guideline_score,guide_HIV_test,guide_ART,guide_TB,guide_malaria,guide_anc,guide_immu,guide_imci,flowmeter_avl,flowmeter_func,humidifier_avl,humidifier_func,oxy_available,oxy_deliverable,oxygen_avl,oxygen_avo,oxygen_delivery_avl,oxygen_delivery_func,oxygen_score,pulse_oximeter_avl,pulse_oximeter_func,test-capac,fac_has_lab,fac_test_no_lab,fac_no_test,score with lab,score without lab,Antibodies to HIV 1/2 (anti HIV Ab),Qualitative (EID) or quantitative (viral load) HIV nucleic acid test (NAT),CD4 cell enumeration,Antibodies to Treponema pallidum OR Combined antibodies to T. pallidum and HIV 1/2,Lipoarabinomannan (LAM) antigen,Mycobacterium tuberculosis bacteria,M. tuberculosis DNA,Drug susceptibility testing of M. tuberculosis culture,Plasmodium spp. antigens; species-specific (e.g. HRP2) and/or pan species-specific (e.g. pan-pLDH),Staining procedures,Culture OR Culture and Genus and species identification of bacteria and fungi,Antimicrobial susceptibility testing (AST),C-reactive protein (CRP),"Complete blood count (CBC), automated",Prothrombin time and international normalized ratio (PT/INR),Blood culture,Blood gas,Glucose,Liver profile/Liver Function test,Renal function test,SARS-CoV-2 test,Hepatitis B surface antigen (HBsAg),Influenza A and B antigen,Influenza A and B diagnostic,"Qualitative dengue virus nucleic acid test, Dengue virus IgM antibody or Dengue virus antigen (NS1)",Qualitative nucleic acid test (NAT) for Chlamydia trachomatis (CT) and Neisseria gonorrhoeae (NG) infections,Measles nucleic acid test or Measle serology,Vibrio cholerae antigen,vacancy_score,all_funded_posts,all_unfilled_posts
MWI_001109,Namadidi Health Centre,South East Zone,Zomba,PRIMARY,HEALTH CENTRE,,MINISTRY OF HEALTH,,RURAL,OUTPATIENT ONLY,PRIMARY,17100,100,100,100,100,100,47.61679292929293,33.63636363636363,"[np.float64(60.0), np.float64(60.0), np.float64(50.0), np.float64(50.0), np.float64(50.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(100.0)]",54.0,0.0,100.0,61.597222222222214,"[np.float64(61.111111111111114), np.float64(63.888888888888886), np.float64(55.55555555555556), np.float64(55.55555555555556), np.float64(71.875)]","[100, 100, 100, 100, 50, 0, 0, 100, 0, 100, 100, 75, 100, 0, 100, 0, 100, 0, 100, 100, 100, 100, 0, 0, 0, 100, 0, 100, 100, 100, 100, 0, 0, 0, 100, 0, 100, 100, 75, 100, 0, 100, 0, 100, nan]",100.0,100.0,90.0,100.0,10.0,40.0,0.0,100.0,0.0,100.0,"[100, 100, 100, 100]",100,100.0,100.0,100.0,100.0,66.66666666666667,100.0,,100.0,0.0,60.0,5,"[np.float64(50.0), np.float64(75.0), np.float64(75.0), np.float64(50.0), np.float64(50.0)]",80.0,20.0,100.0,80.0,60.0,62.57160759040458,66.66666666666667,28.57142857142857,100.0,0.0,92.76315789473684,100.0,50.0,5,80.0,"[100, 100, 100, 100, 0]",100.0,100.0,100.0,100.0,100.0,100.0,100.0,42.857142857142854,0.0,0.0,0.0,0.0,100.0,100.0,100.0,,,,,,,,,,,,,,0.0,0.0,0.0,100.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,0.0,0.0,35.0,0.0
MWI_000193,Chikwawa District Hospital,South West Zone,Chikwawa,SECONDARY,DISTRICT HOSPITAL,,LOCAL GOVERNMENT,,PERIURBAN,BOTH OUT AND INPATIENT,SECONDARY,628282,100,100,100,100,100,56.79713804713804,39.427609427609426,"[np.float64(63.63636363636363), np.float64(77.77777777777777), np.float64(55.55555555555556), np.float64(77.77777777777777), np.float64(66.66666666666667), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(50.0), np.float64(50.0), np.float64(50.0), np.float64(50.0), np.float64(50.0)]",68.28282828282828,0.0,50.0,74.16666666666666,"[np.float64(50.0), np.float64(83.33333333333333), np.float64(75.0), np.float64(75.0), np.float64(87.5)]","[100, 75, 50, 100, 25, 0, 0, 100, 0, 100, 100, 75, 100, 75, 100, 100, 100, 0, 100, 100, 100, 100, 75, 100, 0, 100, 0, 100, 100, 75, 100, 100, 100, 0, 100, 0, 100, nan, 100, 100, 100, 100, 100, 100, 0]",100.0,93.75,80.0,100.0,75.0,80.0,40.0,100.0,0.0,100.0,"[100, 100, 100, 100]",100,100.0,100.0,100.0,100.0,50.0,100.0,100.0,80.0,0.0,12.5,4,"[np.float64(25.0), np.float64(0.0), np.float64(25.0), np.float64(0.0)]",0.0,0.0,100.0,25.0,25.0,68.33333333333333,50.0,40.0,20.0,100.0,,100.0,100.0,4,25.0,"[100, 0, 0, 0]",100.0,100.0,100.0,100.0,100.0,100.0,100.0,85.71428571428571,100.0,100.0,100.0,100.0,100.0,0.0,100.0,0.0,0.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,50.0,100.0,100.0,55.55555555555556,100.0,0.0,0.0,55.55555555555556,,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,,47.337278106508876,169.0,80.0
MWI_001282,Pirimiti Rural Hospital,South East Zone,Zomba,SECONDARY,HEALTH CENTRE,,MINISTRY OF HEALTH,,RURAL,BOTH OUT AND INPATIENT,SECONDARY,40137,100,100,100,100,100,44.12626262626263,39.36363636363636,"[np.float64(70.0), np.float64(70.0), np.float64(70.0), np.float64(70.0), np.float64(63.63636363636363), np.float64(0.0), np.float64(50.0), np.float64(0.0), np.float64(0.0), np.float64(0.0)]",68.72727272727272,10.0,,48.88888888888889,"[np.float64(38.888888888888886), np.float64(30.555555555555557), np.float64(66.66666666666667), np.float64(47.22222222222222), np.float64(61.111111111111114)]","[50, 50, 50, 100, 0, 0, 0, 100, 0, 50, 50, 25, 25, 25, 0, 0, 100, 0, 75, 75, 50, 75, 25, 100, 100, 100, 0, 100, 100, 25, 100, 0, 0, 0, 100, 0, 75, 75, 25, 100, 75, 0, 100, 100, 0]",70.0,70.0,35.0,80.0,25.0,20.0,40.0,100.0,0.0,50.0,"[100, 100, 0, 0]",100,100.0,100.0,0.0,0.0,63.333333333333336,100.0,100.0,80.0,0.0,85.0,5,"[np.float64(75.0), np.float64(100.0), np.float64(75.0), np.float64(100.0), np.float64(75.0)]",60.0,100.0,100.0,80.0,100.0,52.08270331543988,63.333333333333336,88.46153846153845,12.173913043478262,0.0,96.44473173884938,,,5,80.0,"[0, 100, 100, 100, 100]",66.66666666666667,100.0,100.0,0.0,100.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,40.74074074074074,100.0,0.0,0.0,40.74074074074074,,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,100.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,,41.35338345864661,133.0,55.0
MWI_000166,Chezi Mission Hospital,Central East Zone,Dowa,SECONDARY,HEALTH CENTRE,,CHRISTIAN HEALTH ASSOCIATION OF MALAWI (CHAM),,RURAL,BOTH OUT AND INPATIENT,PRIMARY,25177,100,100,100,0,100,86.66666666666667,100.0,"[np.float64(100.0), np.float64(100.0), np.float64(100.0), np.float64(100.0), np.float64(100.0)]",,,100.0,73.33333333333334,"[np.float64(63.888888888888886), np.float64(61.111111111111114), np.float64(81.25), np.float64(79.16666666666667), np.float64(81.25)]","[75, 50, 75, 75, 0, 100, 100, 100, 0, 100, 100, 0, 0, 50, 100, 100, 100, 0, 100, 100, 50, 100, nan, 100, 100, 100, 0, 75, 100, nan, nan, nan, 100, 0, 100, 100, 100, 50, 100, 100, nan, 100, 100, 100, 0]",90.0,80.0,56.25,68.75,25.0,100.0,80.0,100.0,20.0,100.0,"[100, 100, 100, 100]",100,100.0,100.0,100.0,100.0,,,,,,60.0,5,"[np.float64(50.0), np.float64(50.0), np.float64(75.0), np.float64(50.0), np.float64(75.0)]",60.0,0.0,100.0,100.0,80.0,98.33333333333333,,100.0,100.0,,95.0,,,5,100.0,"[100, 100, 100, 100, 100]",100.0,100.0,100.0,100.0,100.0,100.0,100.0,80.0,100.0,,0.0,100.0,,100.0,100.0,0.0,0.0,0.0,0.0,100.0,100.0,0.0,100.0,100.0,100.0,50.0,100.0,100.0,37.03703703703704,100.0,0.0,0.0,37.03703703703704,,100.0,0.0,0.0,100.0,0.0,100.0,0.0,0.0,100.0,100.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,100.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,,17.857142857142858,56.0,10.0
MWI_001312,Salima District Hospital,Central East Zone,Salima,SECONDARY,DISTRICT HOSPITAL,,MINISTRY OF HEALTH,,URBAN,BOTH OUT AND INPATIENT,SECONDARY,85112,100,100,100,100,100,63.96527777777777,41.333333333333336,"[np.float64(70.0), np.float64(70.0), np.float64(60.0), np.float64(70.0), np.float64(50.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(50.0), np.float64(50.0), np.float64(50.0), np.float64(100.0), np.float64(50.0)]",64.0,0.0,60.0,86.59722222222221,"[np.float64(93.75), np.float64(78.125), np.float64(61.111111111111114), np.float64(100.0), np.float64(100.0)]","[100, 100, 75, 100, 75, 100, 100, 100, nan, 100, 100, 75, 100, 50, 100, 100, 0, nan, 75, 100, 100, 75, 100, 0, 0, 100, 0, 100, 100, 100, 100, 100, 100, 100, 100, nan, 100, 100, 100, 100, 100, 100, 100, 100, nan]",95.0,100.0,90.0,95.0,85.0,80.0,80.0,80.0,0.0,100.0,"[100, 100, 100, 100]",100,100.0,100.0,100.0,100.0,60.0,100.0,100.0,80.0,0.0,70.0,5,"[np.float64(100.0), np.float64(75.0), np.float64(75.0), np.float64(50.0), np.float64(50.0)]",80.0,20.0,100.0,100.0,80.0,90.0,60.0,,,100.0,,100.0,100.0,5,100.0,"[100, 100, 100, 100, 100]",83.33333333333333,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,62.96296296296296,100.0,0.0,0.0,62.96296296296296,,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,100.0,0.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,,,999.0,999.0
MWI_001356,St Montfort Hospital,South West Zone,Chikwawa,SECONDARY,OTHER GENERAL HOSPITAL,,CHRISTIAN HEALTH ASSOCIATION OF MALAWI (CHAM),,PERIURBAN,BOTH OUT AND INPATIENT,SECONDARY,9,100,100,100,100,100,61.298611111111114,72.66666666666667,"[np.float64(70.0), np.float64(70.0), np.float64(70.0), np.float64(70.0), np.float64(60.0), np.float64(100.0), np.float64(100.0), np.float64(100.0), np.float64(100.0), np.float64(100.0), np.float64(50.0), np.float64(50.0), np.float64(50.0), np.float64(50.0), np.float64(50.0)]",68.0,100.0,50.0,49.93055555555556,"[np.float64(50.0), np.float64(52.77777777777778), np.float64(0.0), np.float64(71.875), np.float64(75.0)]","[100, 50, 25, nan, 25, 100, 0, 100, 0, 100, 100, 0, 0, 75, 100, 0, 100, 0, 0, 0, 0, nan, 0, 0, 0, 0, 0, 100, 100, 100, nan, 75, 100, 0, 100, 0, 0, 100, 100, 100, 75, 100, 0, 100, 100]",60.0,70.0,45.0,50.0,50.0,80.0,0.0,80.0,20.0,100.0,"[100, 100, 100, 100]",100,100.0,100.0,100.0,100.0,66.66666666666667,100.0,,100.0,0.0,55.0,5,"[np.float64(50.0), np.float64(50.0), np.float64(75.0), np.float64(50.0), np.float64(50.0)]",40.0,80.0,100.0,100.0,0.0,75.55555555555556,66.66666666666667,,,60.0,,,100.0,5,100.0,"[100, 100, 100, 100, 100]",50.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,100.0,100.0,100.0,50.0,100.0,100.0,44.44444444444444,100.0,0.0,0.0,44.44444444444444,,0.0,100.0,100.0,0.0,100.0,100.0,100.0,0.0,100.0,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,100.0,,33.6734693877551,196.0,66.0
MWI_000240,Chinguluwe Health Centre,Central East Zone,Salima,PRIMARY,HEALTH CENTRE,,MINISTRY OF HEALTH,,RURAL,BOTH OUT AND INPATIENT,PRIMARY,17602,100,100,100,100,100,44.57070707070707,26.363636363636363,"[np.float64(60.0), np.float64(50.0), np.float64(50.0), np.float64(30.0), np.float64(50.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(50.0)]",48.0,0.0,50.0,62.777777777777786,"[np.float64(63.888888888888886), np.float64(55.55555555555556), np.float64(72.22222222222223), np.float64(47.22222222222222), np.float64(75.0)]","[100, 100, 75, 100, 100, 0, 0, 100, 0, 100, 50, 25, 100, 25, 100, 0, 100, 0, 50, 100, 25, 100, 75, 100, 100, 100, 0, 100, 100, 25, 100, 0, 100, 0, 0, 0, 100, 100, 75, 100, 100, 100, 100, 0, 0]",90.0,90.0,45.0,100.0,60.0,80.0,40.0,60.0,0.0,100.0,"[100, 100, 100, 100]",100,100.0,100.0,100.0,100.0,60.0,100.0,100.0,80.0,0.0,10.0,5,"[np.float64(0.0), np.float64(25.0), np.float64(25.0), np.float64(0.0), np.float64(0.0)]",40.0,0.0,0.0,0.0,0.0,76.3527397260274,60.0,100.0,100.0,0.0,98.11643835616438,,100.0,5,0.0,"[0, 0, 0, 0, 0]",16.666666666666668,0.0,0.0,0.0,0.0,0.0,100.0,71.42857142857143,100.0,100.0,0.0,100.0,0.0,100.0,100.0,,,,,,,,,,,,,,22.22222222222222,100.0,0.0,0.0,22.22222222222222,,100.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,,,32.0,999.0
MWI_000221,Chilumba Rural Hospital,North Zone,Karonga,SECONDARY,OTHER (SPECIFY),Rural Community Hospital,MINISTRY OF HEALTH,,RURAL,BOTH OUT AND INPATIENT,PRIMARY,21115,100,100,100,100,100,79.16666666666666,83.33333333333333,"[np.float64(10.0), np.float64(40.0), np.float64(60.0), np.float64(70.0), np.float64(70.0), np.float64(100.0), np.float64(100.0), np.float64(100.0), np.float64(100.0), np.float64(100.0), np.float64(100.0), np.float64(100.0), np.float64(100.0), np.float64(100.0), np.float64(100.0)]",50.0,100.0,100.0,75.0,"[np.float64(77.77777777777777), np.float64(66.66666666666667), np.float64(80.55555555555556), np.float64(nan), np.float64(nan)]","[100, 100, 100, 100, 0, 100, 100, 100, 0, 0, 100, 100, 100, 0, 100, 100, 100, 0, 100, 100, 75, 100, 50, 100, 100, 100, 0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",66.66666666666667,100.0,91.66666666666667,100.0,16.666666666666668,100.0,100.0,100.0,0.0,75.0,"[0, 100, 100, 100]",100,0.0,100.0,100.0,100.0,46.66666666666667,50.0,100.0,80.0,0.0,16.666666666666668,3,"[np.float64(25.0), np.float64(0.0), np.float64(25.0)]",33.333333333333336,0.0,66.66666666666667,33.333333333333336,0.0,56.03333333333334,46.66666666666667,,,40.0,93.5,100.0,0.0,3,33.333333333333336,"[0, 0, 100]",100.0,100.0,100.0,100.0,100.0,100.0,100.0,57.142857142857146,100.0,100.0,100.0,0.0,0.0,100.0,0.0,,,,,,,,,,,,,,40.74074074074074,100.0,0.0,0.0,40.74074074074074,,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,,,45.0,999.0
MWI_000255,Chipoka Health Centre,Central East Zone,Salima,PRIMARY,HEALTH CENTRE,,MINISTRY OF HEALTH,,URBAN,BOTH OUT AND INPATIENT,PRIMARY,37179,100,100,100,100,100,54.64285714285714,39.285714285714285,"[np.float64(70.0), np.float64(70.0), np.float64(70.0), np.float64(70.0), np.float64(70.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(50.0), np.float64(50.0), np.float64(50.0), np.float64(50.0)]",70.0,0.0,50.0,70.0,"[np.float64(55.55555555555556), np.float64(75.0), np.float64(75.0), np.float64(66.66666666666667), np.float64(77.77777777777777)]","[100, 50, 100, 50, 0, 100, 0, 100, 0, 100, 100, 75, 100, 0, 100, 100, 100, 0, 100, 100, 75, 100, 0, 100, 100, 100, 0, 100, 100, 0, 100, 0, 100, 0, 100, 100, 100, 100, 0, 100, 100, 100, 0, 100, 100]",100.0,90.0,50.0,90.0,20.0,100.0,40.0,100.0,40.0,75.0,"[100, 100, 0, 100]",100,100.0,100.0,0.0,100.0,66.66666666666667,100.0,,100.0,0.0,15.0,5,"[np.float64(50.0), np.float64(0.0), np.float64(0.0), np.float64(25.0), np.float64(0.0)]",20.0,0.0,100.0,20.0,20.0,85.84249084249085,66.66666666666667,100.0,100.0,40.0,94.23076923076923,100.0,100.0,5,20.0,"[100, 0, 0, 0, 0]",16.666666666666668,0.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.62962962962963,100.0,0.0,0.0,29.62962962962963,,100.0,100.0,0.0,0.0,100.0,100.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,,5.660377358490567,53.0,3.0
MWI_000570,Karonga District Hospital,North Zone,Karonga,SECONDARY,DISTRICT HOSPITAL,,MINISTRY OF HEALTH,,PERIURBAN,BOTH OUT AND INPATIENT,SECONDARY,414100,100,100,100,100,100,72.31481481481481,66.29629629629629,"[np.float64(55.55555555555556), np.float64(55.55555555555556), np.float64(44.44444444444444), np.float64(44.44444444444444), np.float64(44.44444444444444), np.float64(100.0), np.float64(100.0), np.float64(100.0), np.float64(100.0), np.float64(100.0), np.float64(50.0), np.float64(50.0), np.float64(50.0), np.float64(50.0), np.float64(50.0)]",48.88888888888889,100.0,50.0,78.33333333333333,"[np.float64(100.0), np.float64(83.33333333333333), np.float64(80.55555555555556), np.float64(80.55555555555556), np.float64(47.22222222222222)]","[100, 100, 100, 100, 100, 100, 100, 100, nan, 100, 100, 75, 100, 75, 100, 100, 100, 0, 100, 100, 100, 100, 25, 100, 100, 100, 0, 100, 100, 75, 100, 50, 100, 100, 100, 0, 100, 100, 0, 100, 25, 0, 0, 100, 0]",100.0,100.0,70.0,100.0,55.0,80.0,80.0,100.0,0.0,100.0,"[100, 100, 100, 100]",100,100.0,100.0,100.0,100.0,50.0,,,100.0,0.0,30.0,5,"[np.float64(0.0), np.float64(0.0), np.float64(50.0), np.float64(75.0), np.float64(25.0)]",20.0,20.0,100.0,60.0,20.0,75.10332434860736,50.0,80.0,100.0,0.0,95.72327044025157,100.0,100.0,5,60.0,"[0, 0, 100, 100, 100]",100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,100.0,100.0,100.0,100.0,0.0,0.0,100.0,100.0,0.0,100.0,0.0,100.0,100.0,0.0,0.0,100.0,,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,,999.0,999.0
