Q100,Q102,Q105,Q106,Q105_a,Q113,Q113_A,Q116,Q116_A,Q117,Q118,tHFA_A001,tHFA_A002,HIV,TB,Malaria,ANC,Immu,Quality_Score,HW_Competence_Score,HW_Check,ANC_score,ART_score,TB_score,Patient_Centeredness_Score,PC_Individuals,PC_attributes,PC_avg_Communication,PC_avg_Respect,PC_avg_Autonomy,PC_avg_Confidentiality,PC_avg_Social support,PC_avg_HW told,PC_avg_Danger signs,PC_avg_Rudeness,PC_avg_Challenges,iss_score,iss_check,fac_iss,fac_tech,fac_stats,fac_group_PS,fac_comms_data,HTM-ANC,hiv testing,ART access,iptp scores,TB screening,system_CHW_score,chw_count,chw_show,chw_iss,chw_contract,chw_paid,chw_tools,facility_composite,HTM-ANC,presence_score,caseload,ANC_score,DPT_score,TB_treatment_completion,ART_retention,CHW_paid,CHW_scores,CLM_score,guideline_score,guide_HIV_test,guide_ART,guide_TB,guide_malaria,guide_anc,guide_immu,guide_imci,oxygen_score,oxygen_avl,oxygen_avo,test-capac,test-capac_check,with lab,without lab,vacancy_score,all_funded_posts,all_unfilled_posts
MWI_001109,Namadidi Health Centre,South East Zone,Zomba,PRIMARY,HEALTH CENTRE,,MINISTRY OF HEALTH,,RURAL,OUTPATIENT ONLY,PRIMARY,17100,100,100,100,100,100,47.61679292929293,33.63636363636363,"[60.0, 60.0, 50.0, 50.0, 50.0, 0.0, 0.0, 0.0, 0.0, 0.0, 100.0]",54.0,0.0,100.0,61.597222222222214,"[61.111111111111114, 63.888888888888886, 55.55555555555556, 55.55555555555556, 71.875]","[100, 100, 100, 100, 50, 0, 0, 100, 0, 100, 100, 75, 100, 0, 100, 0, 100, 0, 100, 100, 100, 100, 0, 0, 0, 100, 0, 100, 100, 100, 100, 0, 0, 0, 100, 0, 100, 100, 75, 100, 0, 100, 0, 100, nan]",100.0,100.0,90.0,100.0,10.0,40.0,0.0,100.0,0.0,100.0,"[100, 100, 100, 100]",100,100.0,100.0,100.0,100.0,66.66666666666667,100.0,,100.0,0.0,60.0,5,"[50.0, 75.0, 75.0, 50.0, 50.0]",80.0,20.0,80.0,60.0,62.57160759040458,66.66666666666667,28.57142857142857,100.0,0.0,92.76315789473684,100.0,50.0,80.0,"[100, 100, 100, 100, 0]",100.0,42.857142857142854,0.0,0.0,0.0,0.0,100.0,100.0,100.0,,,,,[nan],,,0.0,35.0,0.0
MWI_000193,Chikwawa District Hospital,South West Zone,Chikwawa,SECONDARY,DISTRICT HOSPITAL,,LOCAL GOVERNMENT,,PERIURBAN,BOTH OUT AND INPATIENT,SECONDARY,628282,100,100,100,100,100,56.79713804713804,39.427609427609426,"[63.63636363636363, 77.77777777777777, 55.55555555555556, 77.77777777777777, 66.66666666666667, 0.0, 0.0, 0.0, 0.0, 0.0, 50.0, 50.0, 50.0, 50.0, 50.0]",68.28282828282828,0.0,50.0,74.16666666666666,"[50.0, 83.33333333333333, 75.0, 75.0, 87.5]","[100, 75, 50, 100, 25, 0, 0, 100, 0, 100, 100, 75, 100, 75, 100, 100, 100, 0, 100, 100, 100, 100, 75, 100, 0, 100, 0, 100, 100, 75, 100, 100, 100, 0, 100, 0, 100, nan, 100, 100, 100, 100, 100, 100, 0]",100.0,93.75,80.0,100.0,75.0,80.0,40.0,100.0,0.0,100.0,"[100, 100, 100, 100]",100,100.0,100.0,100.0,100.0,50.0,100.0,100.0,80.0,0.0,12.5,4,"[25.0, 0.0, 25.0, 0.0]",0.0,0.0,25.0,25.0,68.33333333333333,50.0,40.0,20.0,100.0,,100.0,100.0,25.0,"[100, 0, 0, 0]",100.0,85.71428571428571,100.0,100.0,100.0,100.0,100.0,0.0,100.0,50.0,0.0,100.0,55.55555555555556,"[100, 100, 100, 0, 100, 100, 100, 100, 0, 0, 0, 100, 100, 0, 0, 100, 100, 0, 100, 100, 0, 0, 0, 100, 100, 0, 0]",55.55555555555556,,47.337278106508876,169.0,80.0
MWI_001282,Pirimiti Rural Hospital,South East Zone,Zomba,SECONDARY,HEALTH CENTRE,,MINISTRY OF HEALTH,,RURAL,BOTH OUT AND INPATIENT,SECONDARY,40137,100,100,100,100,100,44.12626262626263,39.36363636363636,"[70.0, 70.0, 70.0, 70.0, 63.63636363636363, 0.0, 50.0, 0.0, 0.0, 0.0]",68.72727272727272,10.0,,48.88888888888889,"[38.888888888888886, 30.555555555555557, 66.66666666666667, 47.22222222222222, 61.111111111111114]","[50, 50, 50, 100, 0, 0, 0, 100, 0, 50, 50, 25, 25, 25, 0, 0, 100, 0, 75, 75, 50, 75, 25, 100, 100, 100, 0, 100, 100, 25, 100, 0, 0, 0, 100, 0, 75, 75, 25, 100, 75, 0, 100, 100, 0]",70.0,70.0,35.0,80.0,25.0,20.0,40.0,100.0,0.0,50.0,"[100, 100, 0, 0]",100,100.0,100.0,0.0,0.0,63.333333333333336,100.0,100.0,80.0,0.0,85.0,5,"[75.0, 100.0, 75.0, 100.0, 75.0]",60.0,100.0,80.0,100.0,52.08270331543988,63.333333333333336,88.46153846153845,12.173913043478262,0.0,96.44473173884938,,,80.0,"[0, 100, 100, 100, 100]",66.66666666666666,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,40.74074074074074,"[100, 100, 100, 0, 0, 100, 100, 0, 0, 0, 0, 0, 100, 0, 0, 100, 100, 100, 100, 100, 0, 0, 0, 0, 0, 0, 0]",40.74074074074074,,41.35338345864661,133.0,55.0
MWI_000166,Chezi Mission Hospital,Central East Zone,Dowa,SECONDARY,HEALTH CENTRE,,CHRISTIAN HEALTH ASSOCIATION OF MALAWI (CHAM),,RURAL,BOTH OUT AND INPATIENT,PRIMARY,25177,100,100,100,0,100,86.66666666666667,100.0,"[100.0, 100.0, 100.0, 100.0, 100.0]",,,100.0,73.33333333333334,"[63.888888888888886, 61.111111111111114, 81.25, 79.16666666666667, 81.25]","[75, 50, 75, 75, 0, 100, 100, 100, 0, 100, 100, 0, 0, 50, 100, 100, 100, 0, 100, 100, 50, 100, nan, 100, 100, 100, 0, 75, 100, nan, nan, nan, 100, 0, 100, 100, 100, 50, 100, 100, nan, 100, 100, 100, 0]",90.0,80.0,56.25,68.75,25.0,100.0,80.0,100.0,20.0,100.0,"[100, 100, 100, 100]",100,100.0,100.0,100.0,100.0,,,,,,60.0,5,"[50.0, 50.0, 75.0, 50.0, 75.0]",60.0,0.0,100.0,80.0,73.75,,100.0,100.0,,95.0,0.0,,100.0,"[100, 100, 100, 100, 100]",100.0,80.0,100.0,,0.0,100.0,,100.0,100.0,50.0,0.0,100.0,37.03703703703704,"[100, 0, 0, 0, 100, 100, 0, 100, 0, 0, 0, 0, 0, 0, 100, 100, 100, 0, 100, 100, 0, 0, 0, 100, 0, 0, 0]",37.03703703703704,,17.857142857142858,56.0,10.0
MWI_001312,Salima District Hospital,Central East Zone,Salima,SECONDARY,DISTRICT HOSPITAL,,MINISTRY OF HEALTH,,URBAN,BOTH OUT AND INPATIENT,SECONDARY,85112,100,100,100,100,100,63.96527777777777,41.333333333333336,"[70.0, 70.0, 60.0, 70.0, 50.0, 0.0, 0.0, 0.0, 0.0, 0.0, 50.0, 50.0, 50.0, 100.0, 50.0]",64.0,0.0,60.0,86.59722222222221,"[93.75, 78.125, 61.111111111111114, 100.0, 100.0]","[100, 100, 75, 100, 75, 100, 100, 100, nan, 100, 100, 75, 100, 50, 100, 100, 0, nan, 75, 100, 100, 75, 100, 0, 0, 100, 0, 100, 100, 100, 100, 100, 100, 100, 100, nan, 100, 100, 100, 100, 100, 100, 100, 100, nan]",95.0,100.0,90.0,95.0,85.0,80.0,80.0,80.0,0.0,100.0,"[100, 100, 100, 100]",100,100.0,100.0,100.0,100.0,60.0,100.0,100.0,80.0,0.0,70.0,5,"[100.0, 75.0, 75.0, 50.0, 50.0]",80.0,20.0,100.0,80.0,90.0,60.0,,,100.0,,100.0,100.0,100.0,"[100, 100, 100, 100, 100]",83.33333333333334,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,62.96296296296296,"[100, 100, 100, 0, 100, 100, 100, 100, 100, 0, 100, 100, 100, 0, 0, 100, 100, 0, 100, 100, 0, 0, 0, 100, 100, 0, 0]",62.96296296296296,,,999.0,999.0
MWI_001356,St Montfort Hospital,South West Zone,Chikwawa,SECONDARY,OTHER GENERAL HOSPITAL,,CHRISTIAN HEALTH ASSOCIATION OF MALAWI (CHAM),,PERIURBAN,BOTH OUT AND INPATIENT,SECONDARY,9,100,100,100,100,100,61.298611111111114,72.66666666666667,"[70.0, 70.0, 70.0, 70.0, 60.0, 100.0, 100.0, 100.0, 100.0, 100.0, 50.0, 50.0, 50.0, 50.0, 50.0]",68.0,100.0,50.0,49.93055555555556,"[50.0, 52.77777777777778, 0.0, 71.875, 75.0]","[100, 50, 25, nan, 25, 100, 0, 100, 0, 100, 100, 0, 0, 75, 100, 0, 100, 0, 0, 0, 0, nan, 0, 0, 0, 0, 0, 100, 100, 100, nan, 75, 100, 0, 100, 0, 0, 100, 100, 100, 75, 100, 0, 100, 100]",60.0,70.0,45.0,50.0,50.0,80.0,0.0,80.0,20.0,100.0,"[100, 100, 100, 100]",100,100.0,100.0,100.0,100.0,66.66666666666667,100.0,,100.0,0.0,55.0,5,"[50.0, 50.0, 75.0, 50.0, 50.0]",40.0,80.0,100.0,0.0,56.66666666666667,66.66666666666667,,,60.0,,0.0,100.0,100.0,"[100, 100, 100, 100, 100]",50.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,50.0,0.0,100.0,44.44444444444444,"[0, 100, 100, 0, 100, 0, 100, 100, 0, 0, 0, 0, 0, 0, 0, 100, 100, 0, 100, 100, 0, 0, 0, 100, 100, 0, 100]",44.44444444444444,,33.6734693877551,196.0,66.0
MWI_000240,Chinguluwe Health Centre,Central East Zone,Salima,PRIMARY,HEALTH CENTRE,,MINISTRY OF HEALTH,,RURAL,BOTH OUT AND INPATIENT,PRIMARY,17602,100,100,100,100,100,44.57070707070707,26.363636363636363,"[60.0, 50.0, 50.0, 30.0, 50.0, 0.0, 0.0, 0.0, 0.0, 0.0, 50.0]",48.0,0.0,50.0,62.777777777777786,"[63.888888888888886, 55.55555555555556, 72.22222222222223, 47.22222222222222, 75.0]","[100, 100, 75, 100, 100, 0, 0, 100, 0, 100, 50, 25, 100, 25, 100, 0, 100, 0, 50, 100, 25, 100, 75, 100, 100, 100, 0, 100, 100, 25, 100, 0, 100, 0, 0, 0, 100, 100, 75, 100, 100, 100, 100, 0, 0]",90.0,90.0,45.0,100.0,60.0,80.0,40.0,60.0,0.0,100.0,"[100, 100, 100, 100]",100,100.0,100.0,100.0,100.0,60.0,100.0,100.0,80.0,0.0,10.0,5,"[0.0, 25.0, 25.0, 0.0, 0.0]",40.0,0.0,0.0,0.0,65.44520547945206,60.0,100.0,100.0,0.0,98.11643835616438,0.0,100.0,0.0,"[0, 0, 0, 0, 0]",16.666666666666664,71.42857142857143,100.0,100.0,0.0,100.0,0.0,100.0,100.0,,,,22.22222222222222,"[100, 0, 0, 0, 0, 100, 100, 0, 0, 0, 0, 0, 0, 0, 0, 100, 0, 0, 0, 100, 0, 0, 0, 100, 0, 0, 0]",22.22222222222222,,,32.0,999.0
MWI_000221,Chilumba Rural Hospital,North Zone,Karonga,SECONDARY,OTHER (SPECIFY),Rural Community Hospital,MINISTRY OF HEALTH,,RURAL,BOTH OUT AND INPATIENT,PRIMARY,21115,100,100,100,100,100,79.16666666666666,83.33333333333333,"[10.0, 40.0, 60.0, 70.0, 70.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0]",50.0,100.0,100.0,75.0,"[77.77777777777777, 66.66666666666667, 80.55555555555556]","[100, 100, 100, 100, 0, 100, 100, 100, 0, 0, 100, 100, 100, 0, 100, 100, 100, 0, 100, 100, 75, 100, 50, 100, 100, 100, 0]",66.66666666666667,100.0,91.66666666666667,100.0,16.666666666666668,100.0,100.0,100.0,0.0,75.0,"[0, 100, 100, 100]",100,0.0,100.0,100.0,100.0,46.66666666666667,50.0,100.0,80.0,0.0,16.666666666666668,3,"[25.0, 0.0, 25.0]",33.333333333333336,0.0,33.333333333333336,0.0,56.03333333333334,46.66666666666667,,,40.0,93.5,100.0,0.0,33.333333333333336,"[0, 0, 100]",100.0,57.142857142857146,100.0,100.0,100.0,0.0,0.0,100.0,0.0,,,,40.74074074074074,"[100, 0, 100, 0, 0, 0, 100, 100, 0, 0, 0, 100, 100, 0, 0, 100, 100, 0, 100, 100, 0, 0, 0, 0, 100, 0, 0]",40.74074074074074,,,45.0,999.0
MWI_000255,Chipoka Health Centre,Central East Zone,Salima,PRIMARY,HEALTH CENTRE,,MINISTRY OF HEALTH,,URBAN,BOTH OUT AND INPATIENT,PRIMARY,37179,100,100,100,100,100,54.64285714285714,39.285714285714285,"[70.0, 70.0, 70.0, 70.0, 70.0, 0.0, 0.0, 0.0, 0.0, 0.0, 50.0, 50.0, 50.0, 50.0]",70.0,0.0,50.0,70.0,"[55.55555555555556, 75.0, 75.0, 66.66666666666667, 77.77777777777777]","[100, 50, 100, 50, 0, 100, 0, 100, 0, 100, 100, 75, 100, 0, 100, 100, 100, 0, 100, 100, 75, 100, 0, 100, 100, 100, 0, 100, 100, 0, 100, 0, 100, 0, 100, 100, 100, 100, 0, 100, 100, 100, 0, 100, 100]",100.0,90.0,50.0,90.0,20.0,100.0,40.0,100.0,40.0,75.0,"[100, 100, 0, 100]",100,100.0,100.0,0.0,100.0,66.66666666666667,100.0,,100.0,0.0,15.0,5,"[50.0, 0.0, 0.0, 25.0, 0.0]",20.0,0.0,20.0,20.0,78.69963369963371,66.66666666666667,100.0,100.0,40.0,94.23076923076923,50.0,100.0,20.0,"[100, 0, 0, 0, 0]",16.666666666666664,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,29.62962962962963,"[100, 100, 0, 0, 100, 0, 100, 0, 0, 0, 0, 0, 0, 0, 0, 100, 0, 0, 100, 100, 0, 0, 0, 100, 0, 0, 0]",29.62962962962963,,5.660377358490567,53.0,3.0
MWI_000570,Karonga District Hospital,North Zone,Karonga,SECONDARY,DISTRICT HOSPITAL,,MINISTRY OF HEALTH,,PERIURBAN,BOTH OUT AND INPATIENT,SECONDARY,414100,100,100,100,100,100,72.31481481481481,66.29629629629629,"[55.55555555555556, 55.55555555555556, 44.44444444444444, 44.44444444444444, 44.44444444444444, 100.0, 100.0, 100.0, 100.0, 100.0, 50.0, 50.0, 50.0, 50.0, 50.0]",48.88888888888889,100.0,50.0,78.33333333333333,"[100.0, 83.33333333333333, 80.55555555555556, 80.55555555555556, 47.22222222222222]","[100, 100, 100, 100, 100, 100, 100, 100, nan, 100, 100, 75, 100, 75, 100, 100, 100, 0, 100, 100, 100, 100, 25, 100, 100, 100, 0, 100, 100, 75, 100, 50, 100, 100, 100, 0, 100, 100, 0, 100, 25, 0, 0, 100, 0]",100.0,100.0,70.0,100.0,55.0,80.0,80.0,100.0,0.0,100.0,"[100, 100, 100, 100]",100,100.0,100.0,100.0,100.0,50.0,,,100.0,0.0,30.0,5,"[0.0, 0.0, 50.0, 75.0, 25.0]",20.0,20.0,60.0,20.0,75.10332434860736,50.0,80.0,100.0,0.0,95.72327044025157,100.0,100.0,60.0,"[0, 0, 100, 100, 100]",100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,"[100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100]",100.0,,,999.0,999.0
