Q100,FI_2,FI_3,Q102,Q100a,Q105,Q106,Q105_a,Q106_a,Q109-Latitude,Q109-Longitude,Q109-Altitude,Q109-Accuracy,Q113,Q113_A,Q116,Q116_A,Q117,Q118,tHFA_A001,tHFA_A002
NGA_000653,Ademola femi,Nigeria,Primary Health Centre Owode,Random,Ogun,Ado-Odo-Ota,PRIMARY,NGA,6.7396833,3.216105,19.6,4.3,HEALTH CENTRE,,LOCAL GOVERNMENT,,RURAL,BOTH OUT AND INPATIENT,PRIMARY,18960
NGA_000679,Ademola femi,Nigeria,Primary Health Centre Makun,Random,Ogun,Sagamu,PRIMARY,NGA,6.8492005,3.6306874,95.3,3.9,HEALTH CENTRE,,LOCAL GOVERNMENT,,URBAN,BOTH OUT AND INPATIENT,PRIMARY,5275
NGA_000676,Ademola femi,Nigeria,Primary Health Centre Ilara,Random,Ogun,Remo-North,PRIMARY,NGA,6.9311913,3.727275,224.3,4.8,HEALTH CENTRE,,LOCAL GOVERNMENT,,RURAL,OUTPATIENT ONLY,PRIMARY,15714
NGA_000690,Excel Michael,Nigeria,General Hospital Iwaro-Oka,Random,Ondo,Akoko-South-West,SECONDARY,NGA,7.4430675,5.7541975,361.4,3.9,OTHER GENERAL HOSPITAL,,MINISTRY OF HEALTH,,PERIURBAN,BOTH OUT AND INPATIENT,SECONDARY,350000
NGA_000248,Daniel Olawuyi,Nigeria,Jowako Specialist Hospital,Panel,Kaduna,Kaduna-North,TERTIARY,NGA,10.51422,7.4325237,629.9,4.7,SPECIALTY HOSPITAL,,PRIVATE-FOR-PROFIT,,URBAN,BOTH OUT AND INPATIENT,TERTIARY,9
NGA_000665,Ademola femi,Nigeria,St Joseph Catholic Hospital Ijebu Igbo,Random,Ogun,Ijebu-North,PRIMARY,NGA,6.95577080555372,3.99758608652928,0,1,OTHER (SPECIFY),Private hospital,PRIVATE-FOR-PROFIT,,URBAN,BOTH OUT AND INPATIENT,PRIMARY,9
NGA_000698,Excel Michael,Nigeria,Basic Health Centre Isaipen,Random,Ondo,Owo,PRIMARY,NGA,7.1975005,5.5831284,382.8,3.9,HEALTH CENTRE,,LOCAL GOVERNMENT,,URBAN,BOTH OUT AND INPATIENT,PRIMARY,22500
NGA_000694,Excel Michael,Nigeria,General Hospital Igbokoda,Random,Ondo,Ilaje,SECONDARY,NGA,6.3665582071138,4.79056645184755,182.1,4,OTHER GENERAL HOSPITAL,,MINISTRY OF HEALTH,,PERIURBAN,BOTH OUT AND INPATIENT,SECONDARY,138500
NGA_000480,Udom Ndifreke,Nigeria,Primary Health Centre Mbiabong Itam,Random,Akwa-Ibom,Itu,PRIMARY,NGA,5.0995067,7.9304692,92.3,4.3,HEALTH CENTRE,,MINISTRY OF HEALTH,,RURAL,OUTPATIENT ONLY,PRIMARY,9286
NGA_000687,Ademola femi,Nigeria,State Hospital Ilaro,Random,Ogun,Yewa-South,SECONDARY,NGA,6.9077188,3.0223447,126.6,4.7,OTHER (SPECIFY),State hospital,LOCAL GOVERNMENT,,PERIURBAN,BOTH OUT AND INPATIENT,SECONDARY,198700
NGA_000322,Aduaka Izuchukwu,Nigeria,General Hospital Umuleri,Random,Anambra,Anambra-East,SECONDARY,NGA,6.3059631,6.8959019,95.9,4.9,OTHER GENERAL HOSPITAL,,MINISTRY OF HEALTH,,RURAL,BOTH OUT AND INPATIENT,SECONDARY,9
NGA_000656,Ademola femi,Nigeria,Health Centre Itoki,Random,Ogun,Ifo,PRIMARY,NGA,6.7149758,3.2856874,78.7,4.9,HEALTH CENTRE,,LOCAL GOVERNMENT,,URBAN,BOTH OUT AND INPATIENT,PRIMARY,41846
NGA_000395,Okafor Ogochukwu Nwamaka,Nigeria,District Hospital Agbani,Panel,Enugu,Nkanu-West,SECONDARY,NGA,6.3107302,7.5546341,155.5,4.9,DISTRICT HOSPITAL,,MINISTRY OF HEALTH,,RURAL,BOTH OUT AND INPATIENT,SECONDARY,9
NGA_000655,Ademola femi,Nigeria,State Hospital Ota,Random,Ogun,Ado-Odo-Ota,SECONDARY,NGA,6.682345,3.2092267,39.1,4.8,DISTRICT HOSPITAL,,MINISTRY OF HEALTH,,URBAN,BOTH OUT AND INPATIENT,SECONDARY,215001
NGA_000402,Okafor Ogochukwu Nwamaka,Nigeria,Nsukka - Bishop Shanahan Hospital Nsukka,Panel,Enugu,Nsukka,TERTIARY,NGA,6.8491386,7.3954319,483.3,4.3,SPECIALTY HOSPITAL,,NGO/NOT-FOR-PROFIT,,URBAN,BOTH OUT AND INPATIENT,TERTIARY,256
