tHFA_A001,Q117,Facility count,HIV,TB,Malaria,ANC,Immu,Quality_Score,HW_Competence_Score,ANC_score,ART_score,TB_score,Patient_Centeredness_Score,iss_score,fac_iss,fac_tech,fac_stats,fac_group_PS,fac_comms_data,HTM-ANC,hiv testing,ART access,iptp scores,TB screening,system_CHW_score,chw_count,chw_iss,chw_contract,chw_paid,chw_tools,facility_composite,HTM-ANC,presence_score,caseload,ANC_score,DPT_score,TB_treatment_completion,ART_retention,CHW_paid,CLM_score,guideline_score,guide_HIV_test,guide_ART,guide_TB,guide_malaria,guide_anc,guide_immu,guide_imci,oxygen_score,oxygen_avl,oxygen_avo,test-capac,with lab,without lab,vacancy_score,all_funded_posts,all_unfilled_posts
COUNTRY,AVERAGE,240.0,85.41666666666667,78.33333333333333,98.75,97.91666666666667,96.25,73.67643140761629,78.57877350450572,75.85675062499097,79.26075268817205,87.1574074074074,66.80064545937795,92.8125,97.5,97.86324786324786,95.34883720930233,92.23744292237443,96.46464646464646,70.0041726275632,80.05714285714286,91.89602446483181,93.45493562231759,37.389127324749644,54.58974358974359,2.1958333333333333,81.76923076923077,27.78632478632479,56.88034188034189,51.92307692307692,67.32318925878215,70.0041726275632,84.24641101975078,10.032676661107441,89.39198855507868,90.76011565606083,44.657407407407405,80.64876957494408,56.88034188034189,84.16666666666667,97.30357142857143,98.53658536585365,98.40425531914893,98.40425531914893,97.8902953586498,94.8936170212766,98.26839826839827,95.49549549549549,74.86772486772487,68.78306878306879,80.95238095238095,66.27409465837414,69.15343915343915,34.449760765550245,17.05189735893409,287.225,385.2916666666667
PRIMARY,General,57.0,56.14035087719298,45.6140350877193,98.24561403508773,100.0,96.49122807017544,71.5795615609212,74.50624606874608,71.36032948532949,85.18518518518518,94.6,66.41281512605042,94.88304093567251,100.0,100.0,92.5925925925926,92.45283018867924,96.29629629629629,62.963789682539684,78.18181818181819,89.62962962962962,93.39285714285714,22.321428571428573,52.68867924528302,2.192982456140351,81.50943396226415,24.27672955974843,55.22012578616352,49.74842767295597,66.31173076500855,62.963789682539684,84.10291281020132,10.759838563760134,88.21428571428571,88.89346751451063,51.06666666666667,89.23076923076923,55.22012578616352,82.74853801169591,95.88972431077694,96.875,100.0,96.15384615384616,98.21428571428571,91.2280701754386,98.18181818181819,92.0,67.3076923076923,61.53846153846154,73.07692307692308,37.11262282690854,41.04104104104104,25.0,19.097428103528,237.59649122807016,371.89473684210526
PRIMARY,PERIURBAN,3.0,33.333333333333336,33.333333333333336,100.0,100.0,100.0,66.5925925925926,74.66666666666667,72.66666666666667,70.0,100.0,58.51851851851851,100.0,100.0,100.0,100.0,100.0,100.0,73.33333333333333,100.0,100.0,100.0,20.0,41.388888888888886,3.3333333333333335,83.33333333333333,23.333333333333332,23.333333333333332,35.55555555555556,77.84147400082598,73.33333333333333,85.71428571428572,9.214285714285715,100.0,96.1741122565865,40.0,80.0,23.333333333333332,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,50.0,50.0,50.0,50.280583613916946,48.14814814814815,54.54545454545455,20.833333333333336,34.333333333333336,334.6666666666667
PRIMARY,RURAL,41.0,56.09756097560975,46.34146341463415,97.5609756097561,100.0,95.1219512195122,71.11587385062995,75.11164853664853,72.29486531986532,84.22222222222221,93.61111111111111,63.61054421768708,94.51219512195122,100.0,100.0,92.10526315789474,91.89189189189189,94.87179487179488,63.89930555555556,83.63636363636364,90.76923076923077,93.75,21.25,48.530701754385966,2.1707317073170733,77.28070175438596,22.36842105263158,53.68421052631579,40.78947368421053,65.67923607192779,63.89930555555556,79.61339985659914,11.515921515921516,89.5,87.79662692104678,49.81481481481481,88.0,53.68421052631579,83.739837398374,97.61904761904762,100.0,100.0,94.73684210526316,100.0,92.6829268292683,100.0,94.28571428571429,63.888888888888886,55.55555555555556,72.22222222222223,38.40364428599723,44.59259259259259,21.212121212121215,17.393556376515825,287.6829268292683,369.0975609756098
PRIMARY,URBAN,13.0,61.53846153846154,46.15384615384615,100.0,100.0,100.0,74.19280025530026,72.6064491064491,68.18337218337219,100.0,96.66666666666667,75.7791514041514,94.87179487179486,100.0,100.0,92.3076923076923,92.3076923076923,100.0,57.69230769230769,47.5,83.33333333333333,90.76923076923077,26.153846153846153,68.68055555555556,2.0,94.44444444444444,30.555555555555557,68.05555555555556,81.66666666666667,65.64581174261306,57.69230769230769,96.92876344086022,8.686174936174936,81.53846153846153,90.10947993162583,56.666666666666664,100.0,68.05555555555556,75.64102564102565,89.48717948717947,87.5,100.0,100.0,92.3076923076923,84.61538461538461,92.3076923076923,83.33333333333333,83.33333333333333,83.33333333333333,83.33333333333333,30.162738496071828,30.74074074074074,27.272727272727273,24.201034908866234,126.53846153846153,389.3076923076923
SECONDARY,General,160.0,93.75,87.5,99.375,97.5,96.25,73.88782597249394,79.35018222518222,76.69073531009015,78.38505747126437,85.96491228070175,66.14085530045351,92.08333333333334,96.25,97.40259740259741,96.47887323943662,93.10344827586206,96.09375,71.58960573476702,79.23076923076923,91.81434599156118,92.93548387096774,41.903225806451616,54.53703703703704,2.1125,80.67460317460318,27.55291005291005,57.94973544973545,51.97089947089947,67.59501165788096,71.58960573476702,83.644930490336,8.576377012212232,91.25806451612904,91.73390986633439,41.35338345864662,80.3781512605042,57.94973544973545,85.10416666666666,97.6875,99.33333333333333,97.94520547945206,98.57142857142857,98.11320754716981,95.51282051282051,98.7012987012987,96.0,75.88652482269504,69.50354609929079,82.26950354609929,72.36269274485835,73.19107186656856,51.51515151515151,15.33368375640864,292.13125,410.65625
SECONDARY,PERIURBAN,40.0,95.0,90.0,100.0,100.0,95.0,76.870703125,79.40072751322751,75.8348484848485,76.93693693693693,86.47619047619047,74.39550723838919,96.25,97.5,100.0,100.0,100.0,93.54838709677419,74.54166666666667,87.57575757575758,93.25,93.5,45.0,60.260416666666664,1.95,89.79166666666667,38.020833333333336,61.5625,51.666666666666664,65.95013682015134,74.54166666666667,82.69226826428769,8.744279959859934,92.0,88.24244098278018,29.285714285714285,84.25925925925925,61.5625,83.75,98.92857142857143,100.0,100.0,100.0,97.5,97.5,100.0,97.36842105263158,71.7948717948718,61.53846153846154,82.05128205128206,75.42087542087542,75.73099415204679,63.63636363636363,9.4447265678014,209.275,377.8
SECONDARY,RURAL,52.0,90.38461538461539,84.61538461538461,100.0,98.07692307692308,96.15384615384616,74.46916593911786,76.85274590082282,72.98464646464646,71.92028985507247,85.5625,69.6749261720192,93.42948717948717,98.07692307692308,98.03921568627452,95.34883720930233,87.23404255319149,100.0,68.33333333333334,77.02380952380952,94.20289855072463,93.4,35.0,49.87179487179487,1.9423076923076923,82.47863247863248,27.008547008547005,45.72649572649573,44.27350427350427,65.80500616839655,68.33333333333334,81.98600515073528,9.77818054597887,92.5,99.16460181859716,29.833333333333332,78.08823529411765,45.72649572649573,84.2948717948718,96.86813186813187,97.87234042553192,97.82608695652173,95.45454545454545,98.07692307692308,96.07843137254902,100.0,93.61702127659575,65.0,57.5,72.5,63.79124579124579,64.38140267927503,54.545454545454554,24.507932302756007,279.46153846153845,406.86538461538464
SECONDARY,URBAN,68.0,95.58823529411765,88.23529411764706,98.52941176470588,95.58823529411765,97.05882352941177,71.68863826124856,81.2302539508422,80.06827246827247,84.04569892473118,85.93390804597702,58.77802714892879,88.6029411764706,94.11764705882354,95.3125,95.08196721311475,93.22033898305085,94.64285714285714,72.27777777777779,74.88095238095238,89.49074074074073,92.23076923076923,45.30769230769231,54.515151515151516,2.338235294117647,74.0909090909091,21.84848484848485,64.51515151515152,57.60606060606061,69.93141281909234,72.27777777777779,85.64200502943973,7.44065457435081,89.84615384615384,89.37037602510922,56.58045977011494,79.91379310344827,64.51515151515152,86.51960784313725,97.58403361344537,100.0,96.82539682539682,100.0,98.50746268656717,93.84615384615384,96.96969696969697,96.92307692307692,85.48387096774194,82.25806451612904,88.70967741935483,76.91126955832839,78.00224466891133,40.90909090909091,11.816304904573066,350.55882352941177,432.88235294117646
TERTIARY,General,23.0,100.0,95.65217391304348,95.65217391304348,95.65217391304348,95.65217391304348,77.40245101114665,83.12817094338833,81.4263850627487,80.14492753623188,85.9090909090909,71.676731078905,92.7536231884058,100.0,95.65217391304348,94.73684210526316,85.71428571428571,100.0,76.75505050505052,92.85714285714286,95.83333333333333,97.27272727272727,43.93939393939394,61.302083333333336,2.782608695652174,91.25,41.25,53.958333333333336,58.75,67.93890883657711,76.75505050505052,88.47983730589661,17.43833232141035,79.24242424242424,88.21035985499714,57.34848484848485,75.98039215686275,53.958333333333336,81.15942028985508,98.13664596273293,95.65217391304348,100.0,100.0,95.45454545454545,100.0,95.45454545454545,100.0,77.27272727272727,72.72727272727273,81.81818181818181,86.83940857853901,88.72053872053871,45.45454545454545,22.32196709037744,376.0869565217391,242.04347826086956
TERTIARY,RURAL,1.0,100.0,100.0,100.0,100.0,100.0,49.55555555555556,31.333333333333332,44.0,0.0,50.0,67.77777777777779,100.0,100.0,100.0,100.0,100.0,100.0,66.66666666666667,100.0,,100.0,0.0,41.666666666666664,3.0,100.0,0.0,0.0,66.66666666666667,67.67628205128206,66.66666666666667,,,100.0,104.03846153846155,0.0,,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,0.0,327.0,0.0
TERTIARY,URBAN,22.0,100.0,95.45454545454545,95.45454545454545,95.45454545454545,95.45454545454545,78.6682189864008,85.48248174384538,83.20859387526055,83.78787878787878,87.61904761904762,71.85395622895622,92.42424242424242,100.0,95.45454545454545,94.44444444444444,85.0,100.0,77.23544973544975,92.3076923076923,95.83333333333333,97.14285714285714,46.03174603174603,62.61111111111111,2.772727272727273,90.66666666666667,44.0,57.55555555555556,58.22222222222222,67.95084641772688,77.23544973544975,88.47983730589661,17.43833232141035,78.25396825396825,86.99281357165371,60.07936507936508,75.98039215686275,57.55555555555556,80.30303030303031,98.05194805194806,95.45454545454545,100.0,100.0,95.23809523809524,100.0,95.23809523809524,100.0,76.19047619047619,71.42857142857143,80.95238095238095,86.24119987756352,88.18342151675485,45.45454545454545,23.71709003352603,378.3181818181818,253.04545454545453
