,,Facility count,HIV,TB,Malaria,ANC,Immu,Quality_Score,HW_Competence_Score,ANC_score,ANC_score,ART_score,TB_score,Patient_Centeredness_Score,PC_avg_Communication,PC_avg_Respect,PC_avg_Autonomy,PC_avg_Confidentiality,PC_avg_Social support,PC_avg_HW told,PC_avg_Danger signs,PC_avg_Rudeness,PC_avg_Challenges,iss_score,fac_iss,fac_tech,fac_stats,fac_group_PS,fac_comms_data,HTM-ANC,HTM-ANC,hiv testing,ART access,iptp scores,TB screening,system_CHW_score,chw_count,chw_iss,chw_contract,chw_contract_any,chw_paid,chw_tools,facility_composite,HTM-ANC,HTM-ANC,presence_score,caseload,ANC_score,ANC_score,DPT_score,TB_treatment_completion,ART_retention,CHW_count,CHW_paid_full,CLM_score,comm_data_collectors,quarterly_feedback,comm_data_analysis,CLM_aware,CLM_promotion,client_feedback,guideline_score,guide_HIV_test,guide_ART,guide_TB,guide_malaria,guide_anc,guide_immu,guide_imci,flowmeter_avl,flowmeter_func,humidifier_avl,humidifier_func,oxy_available,oxy_deliverable,oxygen_avl,oxygen_avo,oxygen_delivery_avl,oxygen_delivery_func,oxygen_score,pulse_oximeter_avl,pulse_oximeter_func,test-capac,fac_has_lab,fac_test_no_lab,fac_no_test,score with lab,score without lab,Antibodies to HIV 1/2 (anti HIV Ab),Qualitative (EID) or quantitative (viral load) HIV nucleic acid test (NAT),CD4 cell enumeration,Antibodies to Treponema pallidum OR Combined antibodies to T. pallidum and HIV 1/2,Lipoarabinomannan (LAM) antigen,Mycobacterium tuberculosis bacteria,M. tuberculosis DNA,Drug susceptibility testing of M. tuberculosis culture,Plasmodium spp. antigens; species-specific (e.g. HRP2) and/or pan species-specific (e.g. pan-pLDH),Staining procedures,Culture OR Culture and Genus and species identification of bacteria and fungi,Antimicrobial susceptibility testing (AST),C-reactive protein (CRP),"Complete blood count (CBC), automated",Prothrombin time and international normalized ratio (PT/INR),Blood culture,Blood gas,Glucose,Liver profile/Liver Function test,Renal function test,SARS-CoV-2 test,Hepatitis B surface antigen (HBsAg),Influenza A and B antigen,Influenza A and B diagnostic,"Qualitative dengue virus nucleic acid test, Dengue virus IgM antibody or Dengue virus antigen (NS1)",Qualitative nucleic acid test (NAT) for Chlamydia trachomatis (CT) and Neisseria gonorrhoeae (NG) infections,Measles nucleic acid test or Measle serology,Vibrio cholerae antigen,vacancy_score,all_funded_posts,all_unfilled_posts
COUNTRY,AVERAGE,240.0,85.41666666666667,78.33333333333333,100.0,97.91666666666667,100.0,77.87233267552278,77.9686887444907,74.65446308579355,84.89278752436648,79.26075268817205,87.1574074074074,76.85002329475851,89.41502463054188,92.02175697865354,80.80665024630542,91.99626865671642,77.96849087893865,75.46204620462046,72.43399339933993,92.16748768472907,3.3508771929824563,72.58403361344538,76.47058823529412,97.8021978021978,94.67455621301775,91.71597633136095,96.81528662420382,70.0041726275632,70.0041726275632,80.05714285714286,91.89602446483181,93.45493562231759,37.389127324749644,57.71477663230241,2.1958333333333333,85.37800687285224,30.403780068728526,70.52405498281787,60.249140893470795,54.82817869415808,71.51713716159074,70.0041726275632,70.0041726275632,84.24641101975078,10.032676661107441,74.65446308579355,84.89278752436648,88.24811943616945,96.45669291338582,80.64876957494408,2.1958333333333333,60.249140893470795,83.19444444444444,82.91666666666667,79.58333333333333,80.41666666666667,80.41666666666667,80.41666666666667,95.41666666666667,97.24801587301587,98.53658536585365,98.40425531914893,97.34042553191489,97.91666666666667,94.8936170212766,98.33333333333333,95.49549549549549,84.12698412698413,87.3015873015873,75.13227513227513,77.24867724867725,97.35449735449735,92.5925925925926,68.78306878306879,80.95238095238095,88.88888888888889,94.17989417989418,74.86772486772487,83.06878306878306,85.71428571428571,64.07407407407408,91.66666666666667,5.0,3.3333333333333335,68.53535353535354,15.0,79.58333333333333,69.58333333333333,66.25,63.333333333333336,48.333333333333336,74.0909090909091,66.81818181818181,65.0,90.0,81.36363636363636,81.81818181818181,76.81818181818181,60.0,73.18181818181819,51.81818181818182,73.18181818181819,47.72727272727273,93.63636363636364,71.81818181818181,70.9090909090909,53.75,80.83333333333333,58.333333333333336,59.166666666666664,35.45454545454545,55.45454545454545,55.45454545454545,10.0,14.74778339668226,287.225,385.2916666666667
General,PERIURBAN,43.0,90.69767441860465,86.04651162790698,100.0,100.0,100.0,78.16042333169271,78.80271522907182,75.09701667841203,88.04597701149426,76.75438596491227,86.85185185185185,78.18982329398996,90.48076923076923,93.5576923076923,86.77350427350427,94.63815789473684,79.51754385964912,71.96581196581197,73.24786324786325,89.74358974358974,5.0,69.18604651162791,69.76744186046511,100.0,100.0,100.0,96.0,74.45736434108528,74.45736434108528,88.61111111111111,93.57142857142857,93.95348837209302,43.25581395348837,63.88095238095239,2.046511627906977,95.42857142857143,42.0,66.85714285714286,64.0,54.095238095238095,73.35677065147325,74.45736434108528,74.45736434108528,82.87003399664052,8.771927357179099,75.09701667841203,88.04597701149426,86.8776659957281,95.83333333333334,84.10714285714286,2.046511627906977,64.0,84.49612403100775,83.72093023255815,81.3953488372093,83.72093023255815,81.3953488372093,83.72093023255815,93.02325581395348,99.00332225913621,100.0,100.0,100.0,97.67441860465117,97.67441860465117,100.0,97.5609756097561,80.48780487804878,78.04878048780488,73.17073170731707,73.17073170731707,97.5609756097561,90.2439024390244,60.97560975609756,80.48780487804878,95.1219512195122,95.1219512195122,70.73170731707317,82.92682926829268,82.92682926829268,73.18925691018714,97.67441860465117,2.3255813953488373,0.0,73.6331569664903,54.54545454545455,88.37209302325581,83.72093023255815,86.04651162790698,74.4186046511628,48.83720930232558,85.71428571428571,78.57142857142857,76.19047619047619,100.0,90.47619047619048,90.47619047619048,88.0952380952381,57.142857142857146,80.95238095238095,50.0,80.95238095238095,45.23809523809524,97.61904761904762,73.80952380952381,71.42857142857143,65.11627906976744,95.34883720930233,65.11627906976744,65.11627906976744,30.952380952380953,54.76190476190476,59.523809523809526,0.0,10.288327068951913,197.06976744186048,374.7906976744186
General,RURAL,94.0,75.53191489361703,68.08510638297872,100.0,98.93617021276596,100.0,77.13641403784356,74.8855873318239,70.90465090465091,84.91379310344827,73.73655913978494,87.41525423728814,78.16165495852997,93.10810810810811,93.58671171171171,81.1204954954955,92.57882882882882,77.86036036036036,74.29223744292237,72.05479452054794,95.4054054054054,2.9411764705882355,76.16487455197132,80.64516129032258,98.66666666666667,92.6470588235294,89.85507246376811,96.96969696969697,66.36599511599512,66.36599511599512,80.19736842105263,92.96296296296296,93.62637362637362,28.571428571428573,50.22970085470085,2.0531914893617023,82.00854700854701,25.042735042735043,63.18376068376068,50.2991452991453,43.56837606837607,69.08959894867468,66.36599511599512,66.36599511599512,80.83265535497466,10.624186018187789,70.90465090465091,84.91379310344827,89.99484449761478,95.17543859649122,80.3409090909091,2.0531914893617023,50.2991452991453,82.97872340425532,80.85106382978724,78.72340425531915,79.7872340425532,80.85106382978724,79.7872340425532,97.87234042553192,97.26443768996961,98.59154929577464,98.41269841269842,93.75,98.93617021276596,94.6236559139785,100.0,93.97590361445783,77.96610169491525,84.7457627118644,66.10169491525424,71.1864406779661,93.22033898305085,91.52542372881356,57.6271186440678,72.88135593220339,74.57627118644068,88.13559322033899,65.2542372881356,74.57627118644068,79.66101694915254,49.90328820116054,82.97872340425532,9.574468085106384,7.446808510638298,57.69230769230769,11.931818181818183,67.02127659574468,53.191489361702125,50.0,52.12765957446808,35.1063829787234,62.82051282051282,56.41025641025641,56.41025641025641,85.1063829787234,73.07692307692308,70.51282051282051,65.38461538461539,47.43589743589744,55.12820512820513,33.333333333333336,57.69230769230769,37.17948717948718,92.3076923076923,60.256410256410255,62.82051282051282,38.297872340425535,68.08510638297872,45.744680851063826,44.680851063829785,17.94871794871795,42.30769230769231,42.30769230769231,6.25,18.071042270979422,283.5531914893617,386.06382978723406
General,URBAN,103.0,92.23300970873787,84.46601941747574,100.0,96.11650485436893,100.0,78.42367688646006,80.40427410896666,77.90903989388838,83.78968253968253,84.35077519379846,87.1078431372549,75.19099059376838,85.91666666666667,90.06944444444444,77.96296296296296,90.38389513108615,77.39700374531834,77.92592592592592,72.38888888888889,90.55555555555556,3.007662835249042,70.75163398692811,75.49019607843137,96.1038961038961,94.36619718309859,90.0,96.96969696969697,71.41414141414141,71.41414141414141,75.0,90.48076923076923,93.08080808080808,42.94612794612795,62.2582304526749,2.3883495145631066,84.2798353909465,30.555555555555557,79.17695473251028,68.20987654320987,65.98765432098766,72.96455805430104,71.41414141414141,71.41414141414141,88.09624294935118,10.00518672946872,77.90903989388838,83.78968253968253,87.39723785014505,97.34299516908213,79.56709956709958,2.3883495145631066,68.20987654320987,82.84789644012946,84.46601941747574,79.6116504854369,79.6116504854369,79.6116504854369,79.6116504854369,94.1747572815534,96.50023116042533,97.89473684210526,97.70114942528735,98.85057471264368,97.0873786407767,93.93939393939394,96.11650485436893,95.91836734693878,89.88764044943821,93.25842696629213,82.02247191011236,83.14606741573034,100.0,94.38202247191012,79.7752808988764,86.51685393258427,95.50561797752809,97.75280898876404,83.14606741573034,88.76404494382022,91.01123595505618,73.20126834689943,97.0873786407767,1.941747572815534,0.970873786407767,74.85185185185185,18.181818181818183,87.37864077669903,78.64077669902913,72.81553398058253,68.93203883495146,60.19417475728155,78.0,70.0,67.0,90.29126213592232,84.0,87.0,81.0,71.0,84.0,67.0,82.0,57.0,93.0,80.0,77.0,63.10679611650485,86.40776699029126,66.99029126213593,69.90291262135922,51.0,66.0,64.0,33.333333333333336,13.670780509601572,328.2135922330097,388.97087378640776
PRIMARY,General,57.0,56.14035087719298,45.6140350877193,100.0,100.0,100.0,77.21593628309637,73.93397112147112,70.11958874458874,81.5,85.18518518518518,94.6,79.29844232253086,93.17708333333333,91.27604166666667,82.10069444444444,93.55902777777777,76.44965277777779,76.5625,78.4375,94.09722222222223,5.681818181818182,74.69696969696969,80.0,100.0,90.47619047619048,90.2439024390244,95.1219512195122,62.963789682539684,62.963789682539684,78.18181818181819,89.62962962962962,93.39285714285714,22.321428571428573,53.93867924528302,2.192982456140351,83.58490566037736,25.220125786163525,70.09433962264151,57.10691823899371,49.84276729559748,66.4323315836752,62.963789682539684,62.963789682539684,84.10291281020132,10.759838563760134,70.11958874458874,81.5,86.52301578338889,98.14814814814815,89.23076923076923,2.192982456140351,57.10691823899371,81.28654970760233,80.70175438596492,78.94736842105263,75.43859649122807,77.19298245614036,78.94736842105263,96.49122807017544,95.34670008354219,96.875,100.0,88.46153846153847,98.24561403508773,91.2280701754386,98.24561403508773,92.0,80.76923076923077,84.61538461538461,65.38461538461539,69.23076923076923,96.15384615384616,76.92307692307692,61.53846153846154,73.07692307692308,80.76923076923077,92.3076923076923,67.3076923076923,76.92307692307692,73.07692307692308,32.16374269005848,64.91228070175438,21.05263157894737,14.035087719298245,41.44144144144144,15.0,40.35087719298246,22.80701754385965,22.80701754385965,26.31578947368421,10.526315789473685,35.13513513513514,29.72972972972973,32.432432432432435,73.6842105263158,48.648648648648646,59.45945945945946,45.945945945945944,29.72972972972973,29.72972972972973,29.72972972972973,45.945945945945944,21.62162162162162,86.48648648648648,48.648648648648646,51.351351351351354,29.82456140350877,50.87719298245614,40.35087719298246,35.08771929824562,8.108108108108109,32.432432432432435,24.324324324324323,10.0,16.785926049343082,237.59649122807016,371.89473684210526
PRIMARY,PERIURBAN,3.0,33.333333333333336,33.333333333333336,100.0,100.0,100.0,74.92592592592592,74.66666666666667,72.66666666666667,100.0,70.0,100.0,75.18518518518518,89.16666666666667,80.83333333333333,86.66666666666667,93.33333333333333,80.0,60.0,73.33333333333333,86.66666666666667,0.0,33.333333333333336,33.333333333333336,100.0,100.0,100.0,100.0,73.33333333333333,73.33333333333333,100.0,100.0,100.0,20.0,53.888888888888886,3.3333333333333335,100.0,40.0,46.666666666666664,40.0,35.55555555555556,78.08311475793066,73.33333333333333,73.33333333333333,85.71428571428572,9.214285714285715,72.66666666666667,100.0,93.88316151202748,100.0,80.0,3.3333333333333335,40.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,50.0,50.0,100.0,50.0,50.0,50.0,100.0,100.0,50.0,50.0,50.0,50.280583613916946,66.66666666666667,33.333333333333336,0.0,48.14814814814815,54.54545454545455,66.66666666666667,33.333333333333336,66.66666666666667,33.333333333333336,0.0,50.0,50.0,50.0,100.0,100.0,100.0,50.0,50.0,50.0,50.0,50.0,0.0,100.0,50.0,50.0,33.333333333333336,66.66666666666667,66.66666666666667,33.333333333333336,0.0,50.0,0.0,0.0,20.833333333333336,34.333333333333336,334.6666666666667
PRIMARY,RURAL,41.0,56.09756097560975,46.34146341463415,100.0,100.0,100.0,77.55332253845974,74.43546361046361,70.80782828282828,82.14285714285714,84.22222222222221,93.61111111111111,78.9363994295635,94.6875,92.7734375,81.25,93.515625,78.0078125,74.84375,77.96875,93.95833333333333,5.0,76.875,82.5,100.0,90.3225806451613,90.0,93.54838709677419,63.89930555555556,63.89930555555556,83.63636363636364,90.76923076923077,93.75,21.25,49.28728070175439,2.1707317073170733,78.85964912280701,22.36842105263158,70.39473684210526,55.0,40.921052631578945,66.12391072916627,63.89930555555556,63.89930555555556,79.61339985659914,11.515921515921516,70.80782828282828,82.14285714285714,84.98496923233965,100.0,88.0,2.1707317073170733,55.0,82.52032520325204,80.48780487804878,78.04878048780488,78.04878048780488,80.48780487804878,80.48780487804878,97.5609756097561,97.27061556329849,100.0,100.0,89.47368421052632,100.0,92.6829268292683,100.0,94.28571428571429,72.22222222222223,77.77777777777777,61.111111111111114,66.66666666666667,94.44444444444444,83.33333333333333,55.55555555555556,72.22222222222223,77.77777777777777,94.44444444444444,63.888888888888886,77.77777777777777,72.22222222222223,31.93725876652706,60.97560975609756,21.951219512195124,17.073170731707318,44.74074074074074,11.931818181818183,41.46341463414634,21.951219512195124,21.951219512195124,29.26829268292683,12.195121951219512,40.0,32.0,32.0,68.29268292682927,48.0,64.0,52.0,28.0,32.0,28.0,52.0,24.0,96.0,56.0,64.0,29.26829268292683,46.34146341463415,41.46341463414634,36.58536585365854,8.0,32.0,28.0,6.25,17.393556376515825,287.6829268292683,369.0975609756098
PRIMARY,URBAN,13.0,61.53846153846154,46.15384615384615,100.0,100.0,100.0,76.68033586783586,72.22183372183372,67.41414141414141,76.0,100.0,96.66666666666667,81.13883801383803,90.38461538461539,90.0,83.14102564102564,93.71794871794872,71.7948717948718,84.61538461538461,80.76923076923077,96.15384615384616,8.333333333333334,77.77777777777779,83.33333333333333,100.0,90.0,90.0,100.0,57.69230769230769,57.69230769230769,47.5,83.33333333333333,90.76923076923077,26.153846153846153,68.68055555555556,2.0,94.44444444444444,30.555555555555557,75.0,68.05555555555556,81.66666666666667,64.71640123845205,57.69230769230769,57.69230769230769,96.92876344086022,8.686174936174936,67.41414141414141,76.0,89.39052568325981,91.66666666666667,100.0,2.0,68.05555555555556,73.07692307692308,76.92307692307692,76.92307692307692,61.53846153846154,61.53846153846154,69.23076923076923,92.3076923076923,88.2051282051282,87.5,100.0,83.33333333333333,92.3076923076923,84.61538461538461,92.3076923076923,83.33333333333333,100.0,100.0,83.33333333333333,83.33333333333333,100.0,66.66666666666667,83.33333333333333,83.33333333333333,83.33333333333333,83.33333333333333,83.33333333333333,83.33333333333333,83.33333333333333,28.6972286972287,76.92307692307692,15.384615384615385,7.6923076923076925,31.851851851851855,18.181818181818183,30.76923076923077,23.076923076923077,15.384615384615385,15.384615384615385,7.6923076923076925,20.0,20.0,30.0,84.61538461538461,40.0,40.0,30.0,30.0,20.0,30.0,30.0,20.0,60.0,30.0,20.0,30.76923076923077,61.53846153846154,30.76923076923077,30.76923076923077,10.0,30.0,20.0,33.333333333333336,13.372611324418553,126.53846153846153,389.3076923076923
SECONDARY,General,160.0,93.75,87.5,100.0,97.5,100.0,77.9423825740232,78.69906017978934,75.46072553491909,87.50750750750751,78.38505747126437,85.96491228070175,76.22767857142857,88.72474747474747,93.09027777777777,80.87121212121212,91.47582697201018,77.85576923076923,73.54961832061069,69.26208651399492,92.42424242424242,2.3983739837398375,70.20833333333334,73.75,96.61016949152543,95.45454545454545,92.72727272727273,97.05882352941177,71.58960573476702,71.58960573476702,79.23076923076923,91.81434599156118,92.93548387096774,41.903225806451616,58.53666666666666,2.1125,85.06666666666668,30.89333333333333,70.13333333333333,62.06666666666666,56.12,73.06668307683951,71.58960573476702,71.58960573476702,83.644930490336,8.576377012212232,75.46072553491909,87.50750750750751,89.2036196009265,97.00374531835206,80.3781512605042,2.1125,62.06666666666666,84.375,84.375,80.625,82.5,81.875,81.875,95.0,97.79761904761905,99.33333333333333,97.94520547945206,98.57142857142857,98.125,95.51282051282051,98.75,96.0,84.39716312056737,87.23404255319149,76.59574468085107,78.72340425531915,97.16312056737588,95.74468085106383,69.50354609929079,82.26950354609929,88.65248226950355,93.61702127659575,75.88652482269504,84.39716312056737,87.94326241134752,71.99074074074073,100.0,0.0,0.0,71.99074074074073,,90.625,82.5,78.75,74.375,56.875,81.25,72.5,70.625,95.625,88.125,84.375,80.625,63.125,79.375,50.625,75.625,50.0,94.375,73.75,71.875,60.0,88.75,61.875,65.625,37.5,56.25,58.75,,13.512902761922804,292.13125,410.65625
SECONDARY,PERIURBAN,40.0,95.0,90.0,100.0,100.0,100.0,78.40301063712522,79.1129188712522,75.27929292929294,87.1604938271605,76.93693693693693,86.47619047619047,78.44020980305703,90.59027777777777,94.61805555555556,86.7824074074074,94.75,79.47619047619047,72.96296296296296,73.24074074074073,90.0,5.303030303030303,71.875,72.5,100.0,100.0,100.0,95.83333333333333,74.54166666666667,74.54166666666667,87.57575757575758,93.25,93.5,45.0,64.81770833333333,1.95,95.0,42.1875,68.75,66.25,55.833333333333336,73.00229484348894,74.54166666666667,74.54166666666667,82.69226826428769,8.744279959859934,75.27929292929294,87.1604938271605,86.25953403840755,95.6140350877193,84.25925925925925,1.95,66.25,83.33333333333334,82.5,80.0,82.5,80.0,82.5,92.5,98.92857142857143,100.0,100.0,100.0,97.5,97.5,100.0,97.36842105263158,79.48717948717949,76.92307692307692,74.35897435897436,74.35897435897436,97.43589743589743,92.3076923076923,61.53846153846154,82.05128205128206,94.87179487179488,94.87179487179488,71.7948717948718,84.61538461538461,84.61538461538461,74.9074074074074,100.0,0.0,0.0,74.9074074074074,,90.0,87.5,87.5,77.5,52.5,87.5,80.0,77.5,100.0,90.0,90.0,90.0,57.5,82.5,50.0,82.5,47.5,97.5,75.0,72.5,67.5,97.5,65.0,67.5,32.5,55.0,62.5,,9.4447265678014,209.275,377.8
