tHFA_A001,Q117,Facility count,HIV,TB,Malaria,ANC,Immu,Quality_Score,HW_Competence_Score,ANC_score,ART_score,TB_score,Patient_Centeredness_Score,PC_avg_Communication,PC_avg_Respect,PC_avg_Autonomy,PC_avg_Confidentiality,PC_avg_Social support,PC_avg_HW told,PC_avg_Danger signs,PC_avg_Rudeness,PC_avg_Challenges,iss_score,fac_iss,fac_tech,fac_stats,fac_group_PS,fac_comms_data,HTM-ANC,hiv testing,ART access,iptp scores,TB screening,system_CHW_score,chw_count,chw_iss,chw_contract,chw_paid,chw_tools,facility_composite,HTM-ANC,presence_score,caseload,ANC_score,DPT_score,TB_treatment_completion,ART_retention,CHW_paid,CLM_score,guideline_score,guide_HIV_test,guide_ART,guide_TB,guide_malaria,guide_anc,guide_immu,guide_imci,oxygen_score,oxygen_avl,oxygen_avo,test-capac,with lab,without lab,vacancy_score,all_funded_posts,all_unfilled_posts
COUNTRY,AVERAGE,240.0,85.41666666666667,78.33333333333333,100.0,97.91666666666667,100.0,77.87233267552278,77.9686887444907,74.65446308579355,79.26075268817205,87.1574074074074,76.85002329475851,89.41502463054188,92.02175697865354,80.80665024630542,91.99626865671642,77.96849087893865,75.46204620462046,72.43399339933993,92.16748768472907,3.3508771929824563,72.58403361344538,76.47058823529412,97.8021978021978,94.67455621301775,91.71597633136095,96.81528662420382,70.0041726275632,80.05714285714286,91.89602446483181,93.45493562231759,37.389127324749644,54.58974358974359,2.1958333333333333,81.76923076923077,27.78632478632479,56.88034188034189,51.92307692307692,67.36929773829317,70.0041726275632,84.24641101975078,10.032676661107441,89.39198855507868,89.66818674655853,44.657407407407405,80.64876957494408,56.88034188034189,84.16666666666667,97.24801587301587,98.53658536585365,98.40425531914893,97.34042553191489,97.91666666666667,94.8936170212766,98.33333333333333,95.49549549549549,74.86772486772487,68.78306878306879,80.95238095238095,66.28352490421456,68.53535353535354,25.0,17.05189735893409,287.225,385.2916666666667
PRIMARY,General,57.0,56.14035087719298,45.6140350877193,100.0,100.0,100.0,77.21593628309637,73.93397112147112,70.11958874458874,85.18518518518518,94.6,79.29844232253086,93.17708333333333,91.27604166666667,82.10069444444444,93.55902777777777,76.44965277777779,76.5625,78.4375,94.09722222222223,5.681818181818182,74.69696969696969,80.0,100.0,90.47619047619048,90.2439024390244,95.1219512195122,62.963789682539684,78.18181818181819,89.62962962962962,93.39285714285714,22.321428571428573,52.68867924528302,2.192982456140351,81.50943396226415,24.27672955974843,55.22012578616352,49.74842767295597,66.58152713973294,62.963789682539684,84.10291281020132,10.759838563760134,88.21428571428571,87.93601940233444,51.06666666666667,89.23076923076923,55.22012578616352,82.74853801169591,95.34670008354219,96.875,100.0,88.46153846153847,98.24561403508773,91.2280701754386,98.24561403508773,92.0,67.3076923076923,61.53846153846154,73.07692307692308,37.414965986394556,41.44144144144144,25.0,19.097428103528,237.59649122807016,371.89473684210526
PRIMARY,PERIURBAN,3.0,33.333333333333336,33.333333333333336,100.0,100.0,100.0,74.92592592592592,74.66666666666667,72.66666666666667,70.0,100.0,75.18518518518518,89.16666666666667,80.83333333333333,86.66666666666667,93.33333333333333,80.0,60.0,73.33333333333333,86.66666666666667,0.0,33.333333333333336,33.333333333333336,100.0,100.0,100.0,100.0,73.33333333333333,100.0,100.0,100.0,20.0,41.388888888888886,3.3333333333333335,83.33333333333333,23.333333333333332,23.333333333333332,35.55555555555556,77.84147400082598,73.33333333333333,85.71428571428572,9.214285714285715,100.0,96.1741122565865,40.0,80.0,23.333333333333332,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,50.0,50.0,50.0,50.280583613916946,48.14814814814815,54.54545454545455,20.833333333333336,34.333333333333336,334.6666666666667
PRIMARY,RURAL,41.0,56.09756097560975,46.34146341463415,100.0,100.0,100.0,77.55332253845974,74.43546361046361,70.80782828282828,84.22222222222221,93.61111111111111,78.9363994295635,94.6875,92.7734375,81.25,93.515625,78.0078125,74.84375,77.96875,93.95833333333333,5.0,76.875,82.5,100.0,90.3225806451613,90.0,93.54838709677419,63.89930555555556,83.63636363636364,90.76923076923077,93.75,21.25,48.530701754385966,2.1707317073170733,77.28070175438596,22.36842105263158,53.68421052631579,40.78947368421053,66.05431883678853,63.89930555555556,79.61339985659914,11.515921515921516,89.5,86.52847746731413,49.81481481481481,88.0,53.68421052631579,83.739837398374,97.27061556329849,100.0,100.0,89.47368421052632,100.0,92.6829268292683,100.0,94.28571428571429,63.888888888888886,55.55555555555556,72.22222222222223,38.51257674787087,44.74074074074074,21.212121212121215,17.393556376515825,287.6829268292683,369.0975609756098
PRIMARY,URBAN,13.0,61.53846153846154,46.15384615384615,100.0,100.0,100.0,76.68033586783586,72.22183372183372,67.41414141414141,100.0,96.66666666666667,81.13883801383803,90.38461538461539,90.0,83.14102564102564,93.71794871794872,71.7948717948718,84.61538461538461,80.76923076923077,96.15384615384616,8.333333333333334,77.77777777777779,83.33333333333333,100.0,90.0,90.0,100.0,57.69230769230769,47.5,83.33333333333333,90.76923076923077,26.153846153846153,68.68055555555556,2.0,94.44444444444444,30.555555555555557,68.05555555555556,81.66666666666667,65.64581174261306,57.69230769230769,96.92876344086022,8.686174936174936,81.53846153846153,90.10947993162583,56.666666666666664,100.0,68.05555555555556,75.64102564102565,88.2051282051282,87.5,100.0,83.33333333333333,92.3076923076923,84.61538461538461,92.3076923076923,83.33333333333333,83.33333333333333,83.33333333333333,83.33333333333333,31.08866442199776,31.851851851851855,27.272727272727273,24.201034908866234,126.53846153846153,389.3076923076923
SECONDARY,General,160.0,93.75,87.5,100.0,97.5,100.0,77.9423825740232,78.69906017978934,75.46072553491909,78.38505747126437,85.96491228070175,76.22767857142857,88.72474747474747,93.09027777777777,80.87121212121212,91.47582697201018,77.85576923076923,73.54961832061069,69.26208651399492,92.42424242424242,2.3983739837398375,70.20833333333334,73.75,96.61016949152543,95.45454545454545,92.72727272727273,97.05882352941177,71.58960573476702,79.23076923076923,91.81434599156118,92.93548387096774,41.903225806451616,54.53703703703704,2.1125,80.67460317460318,27.55291005291005,57.94973544973545,51.97089947089947,67.56538084722337,71.58960573476702,83.644930490336,8.576377012212232,91.25806451612904,90.73765935881553,41.35338345864662,80.3781512605042,57.94973544973545,85.10416666666666,97.79761904761905,99.33333333333333,97.94520547945206,98.57142857142857,98.125,95.51282051282051,98.75,96.0,75.88652482269504,69.50354609929079,82.26950354609929,71.99074074074073,71.99074074074073,,15.33368375640864,292.13125,410.65625
SECONDARY,PERIURBAN,40.0,95.0,90.0,100.0,100.0,100.0,78.40301063712522,79.1129188712522,75.27929292929294,76.93693693693693,86.47619047619047,78.44020980305703,90.59027777777777,94.61805555555556,86.7824074074074,94.75,79.47619047619047,72.96296296296296,73.24074074074073,90.0,5.303030303030303,71.875,72.5,100.0,100.0,100.0,95.83333333333333,74.54166666666667,87.57575757575758,93.25,93.5,45.0,60.260416666666664,1.95,89.79166666666667,38.020833333333336,61.5625,51.666666666666664,65.91583976799714,74.54166666666667,82.69226826428769,8.744279959859934,92.0,87.11766330681606,29.285714285714285,84.25925925925925,61.5625,83.75,98.92857142857143,100.0,100.0,100.0,97.5,97.5,100.0,97.36842105263158,71.7948717948718,61.53846153846154,82.05128205128206,74.9074074074074,74.9074074074074,,9.4447265678014,209.275,377.8
SECONDARY,RURAL,52.0,90.38461538461539,84.61538461538461,100.0,98.07692307692308,100.0,77.33809884470942,76.06937969437969,71.52020202020202,71.92028985507247,85.5625,77.8102416440831,91.70731707317073,94.0650406504065,80.68089430894308,91.78861788617887,77.20528455284553,75.70833333333334,68.625,96.42276422764228,1.3513513513513513,75.16025641025641,78.84615384615384,97.5609756097561,94.44444444444444,89.47368421052632,100.0,68.33333333333334,77.02380952380952,94.20289855072463,93.4,35.0,49.87179487179487,1.9423076923076923,82.47863247863248,27.008547008547005,45.72649572649573,44.27350427350427,65.7161783295687,68.33333333333334,81.98600515073528,9.77818054597887,92.5,97.4734860788345,29.833333333333332,78.08823529411765,45.72649572649573,84.2948717948718,97.20695970695971,97.87234042553192,97.82608695652173,95.45454545454545,98.07692307692308,96.07843137254902,100.0,93.61702127659575,65.0,57.5,72.5,63.1054131054131,63.1054131054131,,24.507932302756007,279.46153846153845,406.86538461538464
SECONDARY,URBAN,68.0,95.58823529411765,88.23529411764706,100.0,95.58823529411765,100.0,78.13352421226195,80.46654602659504,78.60354830354831,84.04569892473118,85.93390804597702,73.59974747474747,85.28030303030303,91.36363636363636,77.1439393939394,89.1590909090909,77.2993827160494,72.36363636363636,67.12121212121212,91.03030303030303,1.320754716981132,65.44117647058823,70.58823529411765,93.75,93.33333333333333,90.69767441860465,95.45454545454545,72.27777777777779,74.88095238095238,89.49074074074073,92.23076923076923,45.30769230769231,54.515151515151516,2.338235294117647,74.0909090909091,21.84848484848485,64.51515151515152,57.60606060606061,69.94979517203353,72.27777777777779,85.64200502943973,7.44065457435081,89.84615384615384,88.84590502466085,56.58045977011494,79.91379310344827,64.51515151515152,86.51960784313725,97.58403361344537,100.0,96.82539682539682,100.0,98.52941176470588,93.84615384615384,97.05882352941177,96.92307692307692,85.48387096774194,82.25806451612904,88.70967741935483,77.06971677559913,77.06971677559913,,11.816304904573066,350.55882352941177,432.88235294117646
TERTIARY,General,23.0,100.0,95.65217391304348,100.0,95.65217391304348,100.0,79.01175052805488,82.71150427672167,80.51729415365779,80.14492753623188,85.9090909090909,75.31199677938808,85.52536231884058,87.44565217391305,77.73550724637681,91.68560606060606,81.77536231884058,84.05797101449275,77.97101449275362,86.66666666666666,3.985507246376812,84.05797101449275,86.95652173913044,100.0,100.0,88.88888888888889,100.0,76.75505050505052,92.85714285714286,95.83333333333333,97.27272727272727,43.93939393939394,61.302083333333336,2.782608695652174,91.25,41.25,53.958333333333336,58.75,67.95754237694977,76.75505050505052,88.47983730589661,17.43833232141035,79.24242424242424,86.13919300752113,57.34848484848485,75.98039215686275,53.958333333333336,81.15942028985508,98.13664596273293,95.65217391304348,100.0,100.0,95.65217391304348,100.0,95.65217391304348,100.0,77.27272727272727,72.72727272727273,81.81818181818181,88.08373590982286,88.08373590982286,,22.32196709037744,376.0869565217391,242.04347826086956
TERTIARY,RURAL,1.0,100.0,100.0,100.0,100.0,100.0,49.55555555555556,31.333333333333332,44.0,0.0,50.0,67.77777777777779,100.0,100.0,95.0,95.0,100.0,0.0,20.0,100.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,66.66666666666667,100.0,,100.0,0.0,41.666666666666664,3.0,100.0,0.0,0.0,66.66666666666667,67.67628205128206,66.66666666666667,,,100.0,104.03846153846155,0.0,,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,0.0,327.0,0.0
TERTIARY,URBAN,22.0,100.0,95.45454545454545,100.0,95.45454545454545,100.0,80.3506684813503,85.04687568323932,82.25621292287958,83.78787878787878,87.61904761904762,75.65446127946127,84.86742424242424,86.875,76.95075757575758,91.52777777777777,80.94696969696969,87.87878787878788,80.60606060606061,86.06060606060606,4.166666666666667,83.33333333333333,86.36363636363636,100.0,100.0,88.23529411764706,100.0,77.23544973544975,92.3076923076923,95.83333333333333,97.14285714285714,46.03174603174603,62.61111111111111,2.772727272727273,90.66666666666667,44.0,57.55555555555556,58.22222222222222,67.9703269372074,77.23544973544975,88.47983730589661,17.43833232141035,78.25396825396825,84.86067382673968,60.07936507936508,75.98039215686275,57.55555555555556,80.30303030303031,98.05194805194806,95.45454545454545,100.0,100.0,95.45454545454545,100.0,95.45454545454545,100.0,76.19047619047619,71.42857142857143,80.95238095238095,87.54208754208754,87.54208754208754,,23.71709003352603,378.3181818181818,253.04545454545453
