Q100,Q102,Q105,Q106,Q105_a,Q113,Q113_A,Q116,Q116_A,Q117,Q118,tHFA_A001,tHFA_A002,HIV,TB,Malaria,ANC,Immu,Quality_Score,HW_Competence_Score,HW_Check,ANC_score,ART_score,TB_score,Patient_Centeredness_Score,PC_Individuals,PC_attributes,iss_score,iss_check,fac_iss,fac_tech,fac_stats,fac_group_PS,fac_comms_data,HTM-ANC,hiv testing,ART access,iptp scores,TB screening,system_CHW_score,chw_count,chw_show,chw_iss,chw_contract,chw_paid,chw_tools,facility_composite,HTM-ANC,presence_score,caseload,ANC_score,DPT_score,TB_treatment_completion,ART_retention,CHW_paid,CHW_scores,CLM_score,guideline_score,guideline_check,guide_HIV_test,guide_ART,guide_TB,guide_malaria,guide_anc,guide_immu,guide_imci,oxygen_score,oxygen_avl,oxygen_avo,test-capac,test-capac_check,with lab,without lab,vacancy_score,all_funded_posts,all_unfilled_posts
NGA_000653,Primary Health Centre Owode,Ogun,Ado-Odo-Ota,PRIMARY,HEALTH CENTRE,,LOCAL GOVERNMENT,,RURAL,BOTH OUT AND INPATIENT,PRIMARY,18960,100,100,100,100,100,90.0,90.0,"[70.0, 80.0, 80.0, 90.0, 80.0, 100.0, 100.0, 100.0, 100.0, 100.0]",80.0,,100.0,,[],[],100.0,"[100, 100, nan, 100]",100,100.0,100.0,,100.0,60.000000000000014,100.0,,80.0,0.0,75.0,3,"[25.0, 100.0, 100.0]",66.66666666666667,66.66666666666667,66.66666666666667,100.0,63.59988776655444,60.000000000000014,100.0,5.0,100.0,76.5993265993266,40.0,,66.66666666666667,"[0, 100, 100]",100.0,100.0,"[100, nan, 100, 100, 100, 100, 100]",100.0,,100.0,100.0,100.0,100.0,100.0,,,,,[nan],,,0.0,8.0,0.0
NGA_000679,Primary Health Centre Makun,Ogun,Sagamu,PRIMARY,HEALTH CENTRE,,LOCAL GOVERNMENT,,URBAN,BOTH OUT AND INPATIENT,PRIMARY,5275,100,0,100,100,100,63.204365079365076,60.0,"[66.66666666666667, 66.66666666666667, 55.55555555555556, 55.55555555555556, 55.55555555555556]",60.0,,,66.40873015873015,"[78.57142857142857, 78.125, 53.125, 72.22222222222223, 50.0]","[75, 75, 75, 100, 25, 100, nan, 100, nan, 75, 75, 75, 75, 25, 100, 100, 100, nan, 75, 75, 75, 75, 25, 0, 0, 100, nan, 75, 75, 75, 75, 50, 100, 100, 100, 0, 75, 75, 75, 75, 0, 0, 0, 100, nan]",100.0,"[100, 100, 100, 100]",100,100.0,100.0,100.0,100.0,50.0,,,100.0,0.0,50.0,2,"[50.0, 50.0]",100.0,0.0,0.0,100.0,67.1875,50.0,100.0,18.75,100.0,,,,0.0,"[0, 0]",50.0,80.0,"[100, nan, nan, 100, 100, 100, 0]",100.0,,,100.0,100.0,100.0,0.0,,,,11.11111111111111,"[0, 0, 0, 0, 0, 0, 0, 0, 100, 100, 0, 0, 0, 0, 0, 0, 0, 100, 0, 0, 0, 0, 0, 0, 0, 0, 0]",11.11111111111111,,,999.0,999.0
NGA_000676,Primary Health Centre Ilara,Ogun,Remo-North,PRIMARY,HEALTH CENTRE,,LOCAL GOVERNMENT,,RURAL,OUTPATIENT ONLY,PRIMARY,15714,0,0,100,100,100,72.22222222222223,55.55555555555556,"[55.55555555555556, 55.55555555555556, 55.55555555555556, 55.55555555555556, 55.55555555555556]",55.55555555555556,,,88.88888888888889,[88.88888888888889],"[100, 100, 75, 100, 25, 100, 100, 100, 100]",100.0,"[100, 100, 100, 100]",100,100.0,100.0,100.0,100.0,50.0,,,100.0,0.0,50.0,2,"[50.0, 50.0]",100.0,0.0,0.0,100.0,54.444444444444436,50.0,,13.333333333333332,100.0,,,,0.0,"[0, 0]",50.0,100.0,"[nan, nan, nan, 100, 100, 100, 100]",,,,100.0,100.0,100.0,100.0,,,,,[nan],,,,999.0,999.0
NGA_000690,General Hospital Iwaro-Oka,Ondo,Akoko-South-West,SECONDARY,OTHER GENERAL HOSPITAL,,MINISTRY OF HEALTH,,PERIURBAN,BOTH OUT AND INPATIENT,SECONDARY,350000,100,100,100,100,100,86.71296296296296,93.33333333333333,"[80.0, 80.0, 80.0, 80.0, 80.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0]",80.0,100.0,100.0,80.0925925925926,"[77.77777777777777, 81.25, 81.25]","[75, 100, 50, 100, 75, 100, 100, 100, 0, 100, 100, nan, 100, 50, 100, 100, 100, 0, 100, 100, 50, 100, nan, 100, 100, 100, 0]",100.0,"[100, 100, 100, 100]",100,100.0,100.0,100.0,100.0,100.0,,100.0,100.0,100.0,50.0,1,[50.0],100.0,0.0,100.0,0.0,74.49726775956283,100.0,75.0,1.0,80.0,90.98360655737704,100.0,,100.0,[100],0.0,100.0,"[100, 100, 100, 100, 100, 100, 100]",100.0,100.0,100.0,100.0,100.0,100.0,100.0,50.0,0.0,100.0,51.851851851851855,"[100, 100, 100, 0, 100, 0, 0, 100, 100, 0, 100, 0, 0, 0, 0, 100, 100, 100, 0, 100, 0, 0, 0, 100, 100, 100, 0]",51.851851851851855,,15.0,40.0,6.0
NGA_000248,Jowako Specialist Hospital,Kaduna,Kaduna-North,TERTIARY,SPECIALTY HOSPITAL,,PRIVATE-FOR-PROFIT,,URBAN,BOTH OUT AND INPATIENT,TERTIARY,9,100,0,100,100,100,62.129629629629626,59.25925925925927,"[66.66666666666667, 66.66666666666667, 66.66666666666667, 66.66666666666667, 66.66666666666667, 50.0, 50.0, 50.0, 50.0]",66.66666666666667,50.0,,64.99999999999999,"[77.77777777777777, 58.333333333333336, 52.77777777777778, 77.77777777777777, 58.333333333333336]","[100, 100, 100, 100, 100, 100, 0, 100, 0, 100, 100, 75, 100, 50, 0, 0, 100, 0, 75, 100, 50, 75, 75, 0, 0, 100, 0, 75, 75, 100, 100, 50, 100, 100, 100, 0, 75, 100, 50, 75, 25, 100, 0, 100, 0]",100.0,"[100, nan, nan, nan]",100,100.0,,,,50.0,,,100.0,0.0,,0,[],,,,,57.24702380952381,50.0,100.0,7.1875,60.0,69.04761904761905,,,,[],16.666666666666664,100.0,"[100, 100, nan, 100, 100, 100, nan]",100.0,100.0,,100.0,100.0,100.0,,50.0,0.0,100.0,62.96296296296296,"[100, 100, 100, 0, 100, 100, 0, 100, 100, 100, 100, 100, 100, 0, 0, 100, 100, 100, 0, 100, 0, 100, 100, 0, 0, 0, 0]",62.96296296296296,,14.285714285714285,42.0,6.0
NGA_000665,St Joseph Catholic Hospital Ijebu Igbo,Ogun,Ijebu-North,PRIMARY,OTHER (SPECIFY),Private hospital,PRIVATE-FOR-PROFIT,,URBAN,BOTH OUT AND INPATIENT,PRIMARY,9,100,0,100,100,100,69.13194444444446,64.44444444444446,"[55.55555555555556, 66.66666666666667, 66.66666666666667, 66.66666666666667, 66.66666666666667]",64.44444444444446,,,73.81944444444444,"[78.125, 68.75, 72.22222222222223, 87.5, 62.5]","[100, 75, 75, 75, 0, 100, 100, 100, nan, 100, 100, 75, 75, 0, 0, 100, 100, nan, 100, 100, 75, 75, 0, 100, 100, 100, 0, 100, 100, 100, 100, 100, 0, 100, 100, nan, 100, 100, 100, 75, 25, 0, 0, 100, nan]",100.0,"[100, 100, 100, 100]",100,100.0,100.0,100.0,100.0,50.0,,,100.0,0.0,50.0,2,"[50.0, 50.0]",100.0,0.0,0.0,100.0,61.75,50.0,100.0,17.0,80.0,,,,0.0,"[0, 0]",16.666666666666664,0.0,"[0, nan, nan, 0, 0, 0, 0]",0.0,,,0.0,0.0,0.0,0.0,,,,0.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.0,,,5.0,999.0
NGA_000698,Basic Health Centre Isaipen,Ondo,Owo,PRIMARY,HEALTH CENTRE,,LOCAL GOVERNMENT,,URBAN,BOTH OUT AND INPATIENT,PRIMARY,22500,100,100,100,100,100,91.66666666666666,100.0,"[100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0]",100.0,100.0,100.0,83.33333333333333,"[88.88888888888889, 77.77777777777777]","[100, 100, 100, 100, 100, 100, 100, 100, 0, 100, 100, 100, 100, 100, 100, 100, 0, 0]",100.0,"[100, 100, 100, 100]",100,100.0,100.0,100.0,100.0,100.0,,100.0,100.0,100.0,75.0,2,"[75.0, 75.0]",100.0,0.0,100.0,100.0,85.66993464052288,100.0,100.0,12.5,80.0,107.18954248366013,100.0,100.0,100.0,"[100, 100]",100.0,100.0,"[100, 100, 100, 100, 100, 100, 100]",100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,51.851851851851855,"[100, 100, 100, 100, 100, 100, 0, 100, 0, 0, 0, 0, 0, 0, 0, 100, 0, 0, 100, 100, 100, 0, 0, 100, 100, 100, 0]",51.851851851851855,,69.23076923076923,13.0,9.0
NGA_000694,General Hospital Igbokoda,Ondo,Ilaje,SECONDARY,OTHER GENERAL HOSPITAL,,MINISTRY OF HEALTH,,PERIURBAN,BOTH OUT AND INPATIENT,SECONDARY,138500,100,100,100,100,100,89.53703703703704,96.66666666666667,"[90.0, 90.0, 90.0, 90.0, 90.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0]",90.0,100.0,100.0,82.4074074074074,"[83.33333333333333, 75.0, 88.88888888888889]","[100, 100, 100, 75, 75, 100, 100, 100, 0, 75, 75, 75, 75, 75, 100, 100, 100, 0, 100, 100, 100, 100, 100, 100, 100, 100, 0]",100.0,"[100, 100, 100, 100]",100,100.0,100.0,100.0,100.0,100.0,,100.0,100.0,100.0,75.0,2,"[75.0, 75.0]",100.0,0.0,100.0,100.0,87.63963963963964,100.0,100.0,2.6666666666666665,100.0,110.8108108108108,100.0,100.0,100.0,"[100, 100]",100.0,100.0,"[100, 100, 100, 100, 100, 100, 100]",100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,77.77777777777777,"[100, 100, 100, 100, 100, 0, 0, 100, 100, 100, 100, 100, 100, 0, 0, 100, 0, 0, 100, 100, 100, 100, 100, 100, 100, 100, 100]",77.77777777777777,,28.57142857142857,35.0,10.0
NGA_000480,Primary Health Centre Mbiabong Itam,Akwa-Ibom,Itu,PRIMARY,HEALTH CENTRE,,MINISTRY OF HEALTH,,RURAL,OUTPATIENT ONLY,PRIMARY,9286,100,100,100,100,100,76.83333333333334,73.11111111111111,"[66.66666666666667, 66.66666666666667, 66.66666666666667, 66.66666666666667, 80.0, 100.0, 100.0, 100.0, 100.0, 100.0, 50.0, 50.0, 50.0, 50.0, 50.0]",69.33333333333334,100.0,50.0,80.55555555555556,[80.55555555555556],"[100, 75, 100, 100, 50, 100, 100, 100, 0]",100.0,"[100, 100, 100, 100]",100,100.0,100.0,100.0,100.0,53.333333333333336,,100.0,100.0,0.0,50.0,2,"[50.0, 50.0]",100.0,0.0,100.0,0.0,59.02298850574713,53.333333333333336,100.0,5.0,60.0,94.82758620689656,0.0,100.0,100.0,"[100, 100]",100.0,100.0,"[100, 100, 100, 100, 100, 100, 100]",100.0,100.0,100.0,100.0,100.0,100.0,100.0,,,,22.22222222222222,"[100, 0, 0, 0, 100, 100, 100, 0, 0, 0, 0, 0, 0, 0, 0, 100, 0, 0, 0, 100, 0, 0, 0, 0, 0, 0, 0]",22.22222222222222,,33.33333333333333,15.0,5.0
NGA_000687,State Hospital Ilaro,Ogun,Yewa-South,SECONDARY,OTHER (SPECIFY),State hospital,LOCAL GOVERNMENT,,PERIURBAN,BOTH OUT AND INPATIENT,SECONDARY,198700,100,100,100,100,100,78.55555555555554,92.66666666666667,"[80.0, 80.0, 80.0, 80.0, 70.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0]",78.0,100.0,100.0,64.44444444444443,"[83.33333333333333, 75.0, 88.88888888888889, 0.0, 75.0]","[100, 100, 100, 75, 75, 100, 100, 100, 0, 75, 75, 75, 75, 75, 100, 100, 100, 0, 75, 50, 100, 100, 75, 100, 100, 100, 100, nan, nan, nan, nan, nan, 0, 0, nan, 0, 50, 75, 75, 100, 75, 100, 100, 100, 0]",100.0,"[100, 100, 100, nan]",100,100.0,100.0,100.0,,60.0,80.0,,100.0,0.0,,0,[],,,,,71.95174177053372,60.0,100.0,1.0,100.0,82.66219239373602,60.0,100.0,,[],100.0,100.0,"[100, 100, 100, 100, 100, 100, 100]",100.0,100.0,100.0,100.0,100.0,100.0,100.0,50.0,0.0,100.0,66.66666666666667,"[100, 100, 100, 0, 100, 0, 0, 0, 100, 100, 100, 0, 0, 100, 0, 100, 100, 100, 100, 100, 100, 0, 0, 100, 100, 100, 100]",66.66666666666667,,,40.0,999.0
