Q100,Q102,Q105,Q106,Q105_a,Q113,Q113_A,Q116,Q116_A,Q117,Q118,tHFA_A001,tHFA_A002,HIV,TB,Malaria,ANC,Immu,Quality_Score,HW_Competence_Score,HW_Check,ANC_score,ART_score,TB_score,Patient_Centeredness_Score,PC_Individuals,PC_attributes,PC_avg_Communication,PC_avg_Respect,PC_avg_Autonomy,PC_avg_Confidentiality,PC_avg_Social support,PC_avg_HW told,PC_avg_Danger signs,PC_avg_Rudeness,PC_avg_Challenges,iss_score,iss_check,fac_iss,fac_tech,fac_stats,fac_group_PS,fac_comms_data,HTM-ANC,hiv testing,ART access,iptp scores,TB screening,system_CHW_score,chw_count,chw_show,chw_iss,chw_contract,chw_contract_any,chw_paid,chw_tools,facility_composite,HTM-ANC,presence_score,caseload,ANC_score,DPT_score,TB_treatment_completion,ART_retention,CHW_count,CHW_paid_full,CHW_scores,CLM_score,comm_data_collectors,quarterly_feedback,comm_data_analysis,CLM_aware,CLM_promotion,client_feedback,guideline_score,guide_HIV_test,guide_ART,guide_TB,guide_malaria,guide_anc,guide_immu,guide_imci,flowmeter_avl,flowmeter_func,humidifier_avl,humidifier_func,oxy_available,oxy_deliverable,oxygen_avl,oxygen_avo,oxygen_delivery_avl,oxygen_delivery_func,oxygen_score,pulse_oximeter_avl,pulse_oximeter_func,test-capac,fac_has_lab,fac_test_no_lab,fac_no_test,score with lab,score without lab,Antibodies to HIV 1/2 (anti HIV Ab),Qualitative (EID) or quantitative (viral load) HIV nucleic acid test (NAT),CD4 cell enumeration,Antibodies to Treponema pallidum OR Combined antibodies to T. pallidum and HIV 1/2,Lipoarabinomannan (LAM) antigen,Mycobacterium tuberculosis bacteria,M. tuberculosis DNA,Drug susceptibility testing of M. tuberculosis culture,Plasmodium spp. antigens; species-specific (e.g. HRP2) and/or pan species-specific (e.g. pan-pLDH),Staining procedures,Culture OR Culture and Genus and species identification of bacteria and fungi,Antimicrobial susceptibility testing (AST),C-reactive protein (CRP),"Complete blood count (CBC), automated",Prothrombin time and international normalized ratio (PT/INR),Blood culture,Blood gas,Glucose,Liver profile/Liver Function test,Renal function test,SARS-CoV-2 test,Hepatitis B surface antigen (HBsAg),Influenza A and B antigen,Influenza A and B diagnostic,"Qualitative dengue virus nucleic acid test, Dengue virus IgM antibody or Dengue virus antigen (NS1)",Qualitative nucleic acid test (NAT) for Chlamydia trachomatis (CT) and Neisseria gonorrhoeae (NG) infections,Measles nucleic acid test or Measle serology,Vibrio cholerae antigen,vacancy_score,all_funded_posts,all_unfilled_posts
NGA_000653,Primary Health Centre Owode,Ogun,Ado-Odo-Ota,PRIMARY,HEALTH CENTRE,,LOCAL GOVERNMENT,,RURAL,BOTH OUT AND INPATIENT,PRIMARY,18960,100,100,100,100,100,90.0,90.0,"[np.float64(70.0), np.float64(80.0), np.float64(80.0), np.float64(90.0), np.float64(80.0), np.float64(100.0), np.float64(100.0), np.float64(100.0), np.float64(100.0), np.float64(100.0)]",80.0,,100.0,,"[np.float64(nan), np.float64(nan), np.float64(nan), np.float64(nan), np.float64(nan)]","[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",,,,,,,,,,100.0,"[100, 100, nan, 100]",100.0,100.0,100.0,,100.0,60.000000000000014,100.0,,80.0,0.0,75.0,3,"[np.float64(25.0), np.float64(100.0), np.float64(100.0)]",66.66666666666667,66.66666666666667,66.66666666666667,66.66666666666667,100.0,73.59988776655443,60.000000000000014,100.0,5.0,100.0,76.5993265993266,100.0,,3,66.66666666666667,"[0, 100, 100]",100.0,100.0,100.0,100.0,100.0,100.0,100.0,83.33333333333333,100.0,,0.0,100.0,100.0,100.0,100.0,,,,,,,,,,,,,,0.0,0.0,0.0,100.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,0.0,0.0,8.0,0.0
NGA_000679,Primary Health Centre Makun,Ogun,Sagamu,PRIMARY,HEALTH CENTRE,,LOCAL GOVERNMENT,,URBAN,BOTH OUT AND INPATIENT,PRIMARY,5275,100,0,100,100,100,63.204365079365076,60.0,"[np.float64(66.66666666666667), np.float64(66.66666666666667), np.float64(55.55555555555556), np.float64(55.55555555555556), np.float64(55.55555555555556)]",60.0,,,66.40873015873015,"[np.float64(78.57142857142857), np.float64(78.125), np.float64(53.125), np.float64(72.22222222222223), np.float64(50.0)]","[75, 75, 75, 100, 25, 100, nan, 100, nan, 75, 75, 75, 75, 25, 100, 100, 100, nan, 75, 75, 75, 75, 25, 0, 0, 100, nan, 75, 75, 75, 75, 50, 100, 100, 100, 0, 75, 75, 75, 75, 0, 0, 0, 100, nan]",75.0,75.0,75.0,80.0,25.0,60.0,50.0,100.0,0.0,,[],,,,,,50.0,,,100.0,0.0,50.0,2,"[np.float64(50.0), np.float64(50.0)]",100.0,0.0,0.0,0.0,100.0,67.1875,50.0,100.0,18.75,100.0,,,,2,0.0,"[0, 0]",50.0,100.0,100.0,0.0,0.0,0.0,100.0,80.0,100.0,,,100.0,100.0,100.0,0.0,,,,,,,,,,,,,,14.814814814814815,100.0,0.0,0.0,14.814814814814815,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,999.0,999.0
NGA_000676,Primary Health Centre Ilara,Ogun,Remo-North,PRIMARY,HEALTH CENTRE,,LOCAL GOVERNMENT,,RURAL,OUTPATIENT ONLY,PRIMARY,15714,0,0,100,100,100,72.22222222222223,55.55555555555556,"[np.float64(55.55555555555556), np.float64(55.55555555555556), np.float64(55.55555555555556), np.float64(55.55555555555556), np.float64(55.55555555555556)]",55.55555555555556,,,88.88888888888889,"[np.float64(88.88888888888889), np.float64(nan), np.float64(nan), np.float64(nan), np.float64(nan)]","[100, 100, 75, 100, 25, 100, 100, 100, 100, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",100.0,100.0,75.0,100.0,25.0,100.0,100.0,100.0,100.0,,[],,,,,,50.0,,,100.0,0.0,50.0,2,"[np.float64(50.0), np.float64(50.0)]",100.0,0.0,0.0,0.0,100.0,54.444444444444436,50.0,,13.333333333333332,100.0,,,,2,0.0,"[0, 0]",16.666666666666668,0.0,0.0,0.0,0.0,0.0,100.0,100.0,,,,100.0,100.0,100.0,100.0,,,,,,,,,,,,,,0.0,0.0,0.0,100.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,0.0,,999.0,999.0
NGA_000690,General Hospital Iwaro-Oka,Ondo,Akoko-South-West,SECONDARY,OTHER GENERAL HOSPITAL,,MINISTRY OF HEALTH,,PERIURBAN,BOTH OUT AND INPATIENT,SECONDARY,350000,100,100,100,100,100,86.71296296296296,93.33333333333333,"[np.float64(80.0), np.float64(80.0), np.float64(80.0), np.float64(80.0), np.float64(80.0), np.float64(100.0), np.float64(100.0), np.float64(100.0), np.float64(100.0), np.float64(100.0), np.float64(100.0), np.float64(100.0), np.float64(100.0), np.float64(100.0), np.float64(100.0)]",80.0,100.0,100.0,80.0925925925926,"[np.float64(77.77777777777777), np.float64(81.25), np.float64(81.25), np.float64(nan), np.float64(nan)]","[75, 100, 50, 100, 75, 100, 100, 100, 0, 100, 100, nan, 100, 50, 100, 100, 100, 0, 100, 100, 50, 100, nan, 100, 100, 100, 0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",91.66666666666667,100.0,50.0,100.0,62.5,100.0,100.0,100.0,0.0,100.0,"[100, 100, 100, 100]",100.0,100.0,100.0,100.0,100.0,100.0,,100.0,100.0,100.0,50.0,1,[np.float64(50.0)],100.0,0.0,100.0,100.0,0.0,74.49726775956283,100.0,75.0,1.0,80.0,90.98360655737704,100.0,,1,100.0,[100],0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,100.0,100.0,0.0,100.0,100.0,100.0,50.0,100.0,100.0,51.851851851851855,100.0,0.0,0.0,51.851851851851855,,100.0,100.0,100.0,0.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,,15.0,40.0,6.0
NGA_000248,Jowako Specialist Hospital,Kaduna,Kaduna-North,TERTIARY,SPECIALTY HOSPITAL,,PRIVATE-FOR-PROFIT,,URBAN,BOTH OUT AND INPATIENT,TERTIARY,9,100,0,100,100,100,62.129629629629626,59.25925925925927,"[np.float64(66.66666666666667), np.float64(66.66666666666667), np.float64(66.66666666666667), np.float64(66.66666666666667), np.float64(66.66666666666667), np.float64(50.0), np.float64(50.0), np.float64(50.0), np.float64(50.0)]",66.66666666666667,50.0,,64.99999999999999,"[np.float64(77.77777777777777), np.float64(58.333333333333336), np.float64(52.77777777777778), np.float64(77.77777777777777), np.float64(58.333333333333336)]","[100, 100, 100, 100, 100, 100, 0, 100, 0, 100, 100, 75, 100, 50, 0, 0, 100, 0, 75, 100, 50, 75, 75, 0, 0, 100, 0, 75, 75, 100, 100, 50, 100, 100, 100, 0, 75, 100, 50, 75, 25, 100, 0, 100, 0]",85.0,95.0,75.0,90.0,60.0,60.0,20.0,100.0,0.0,100.0,"[100, nan, nan, nan]",100.0,100.0,,,,50.0,,,100.0,0.0,,0,[],,,,,,57.24702380952381,50.0,100.0,7.1875,60.0,69.04761904761905,,,0,,[],16.666666666666668,0.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,100.0,,100.0,100.0,100.0,,100.0,100.0,0.0,0.0,100.0,100.0,0.0,100.0,100.0,100.0,50.0,100.0,100.0,62.96296296296296,100.0,0.0,0.0,62.96296296296296,,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,0.0,100.0,0.0,0.0,100.0,100.0,0.0,,14.285714285714285,42.0,6.0
NGA_000665,St Joseph Catholic Hospital Ijebu Igbo,Ogun,Ijebu-North,PRIMARY,OTHER (SPECIFY),Private hospital,PRIVATE-FOR-PROFIT,,URBAN,BOTH OUT AND INPATIENT,PRIMARY,9,100,0,100,100,100,69.13194444444446,64.44444444444446,"[np.float64(55.55555555555556), np.float64(66.66666666666667), np.float64(66.66666666666667), np.float64(66.66666666666667), np.float64(66.66666666666667)]",64.44444444444446,,,73.81944444444444,"[np.float64(78.125), np.float64(68.75), np.float64(72.22222222222223), np.float64(87.5), np.float64(62.5)]","[100, 75, 75, 75, 0, 100, 100, 100, nan, 100, 100, 75, 75, 0, 0, 100, 100, nan, 100, 100, 75, 75, 0, 100, 100, 100, 0, 100, 100, 100, 100, 100, 0, 100, 100, nan, 100, 100, 100, 75, 25, 0, 0, 100, nan]",100.0,95.0,85.0,80.0,25.0,40.0,80.0,100.0,0.0,100.0,"[100, 100, 100, 100]",100.0,100.0,100.0,100.0,100.0,50.0,,,100.0,0.0,50.0,2,"[np.float64(50.0), np.float64(50.0)]",100.0,0.0,0.0,0.0,100.0,61.75,50.0,100.0,17.0,80.0,,,,2,0.0,"[0, 0]",16.666666666666668,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,3.7037037037037037,100.0,0.0,0.0,3.7037037037037037,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,5.0,999.0
NGA_000698,Basic Health Centre Isaipen,Ondo,Owo,PRIMARY,HEALTH CENTRE,,LOCAL GOVERNMENT,,URBAN,BOTH OUT AND INPATIENT,PRIMARY,22500,100,100,100,100,100,91.66666666666666,100.0,"[np.float64(100.0), np.float64(100.0), np.float64(100.0), np.float64(100.0), np.float64(100.0), np.float64(100.0), np.float64(100.0), np.float64(100.0), np.float64(100.0), np.float64(100.0), np.float64(100.0), np.float64(100.0), np.float64(100.0), np.float64(100.0), np.float64(100.0)]",100.0,100.0,100.0,83.33333333333333,"[np.float64(88.88888888888889), np.float64(77.77777777777777), np.float64(nan), np.float64(nan), np.float64(nan)]","[100, 100, 100, 100, 100, 100, 100, 100, 0, 100, 100, 100, 100, 100, 100, 100, 0, 0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",100.0,100.0,100.0,100.0,100.0,100.0,100.0,50.0,0.0,100.0,"[100, 100, 100, 100]",100.0,100.0,100.0,100.0,100.0,100.0,,100.0,100.0,100.0,75.0,2,"[np.float64(75.0), np.float64(75.0)]",100.0,0.0,100.0,100.0,100.0,84.64285714285714,100.0,100.0,12.5,80.0,100.0,100.0,100.0,2,100.0,"[100, 100]",100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,51.851851851851855,100.0,0.0,0.0,51.851851851851855,,100.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,,69.23076923076923,13.0,9.0
NGA_000694,General Hospital Igbokoda,Ondo,Ilaje,SECONDARY,OTHER GENERAL HOSPITAL,,MINISTRY OF HEALTH,,PERIURBAN,BOTH OUT AND INPATIENT,SECONDARY,138500,100,100,100,100,100,89.53703703703704,96.66666666666667,"[np.float64(90.0), np.float64(90.0), np.float64(90.0), np.float64(90.0), np.float64(90.0), np.float64(100.0), np.float64(100.0), np.float64(100.0), np.float64(100.0), np.float64(100.0), np.float64(100.0), np.float64(100.0), np.float64(100.0), np.float64(100.0), np.float64(100.0)]",90.0,100.0,100.0,82.4074074074074,"[np.float64(83.33333333333333), np.float64(75.0), np.float64(88.88888888888889), np.float64(nan), np.float64(nan)]","[100, 100, 100, 75, 75, 100, 100, 100, 0, 75, 75, 75, 75, 75, 100, 100, 100, 0, 100, 100, 100, 100, 100, 100, 100, 100, 0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",91.66666666666667,91.66666666666667,91.66666666666667,83.33333333333333,83.33333333333333,100.0,100.0,100.0,0.0,100.0,"[100, 100, 100, 100]",100.0,100.0,100.0,100.0,100.0,100.0,,100.0,100.0,100.0,75.0,2,"[np.float64(75.0), np.float64(75.0)]",100.0,0.0,100.0,100.0,100.0,86.09523809523809,100.0,100.0,2.6666666666666665,100.0,100.0,100.0,100.0,2,100.0,"[100, 100]",100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,77.77777777777777,100.0,0.0,0.0,77.77777777777777,,100.0,100.0,100.0,0.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,28.57142857142857,35.0,10.0
NGA_000480,Primary Health Centre Mbiabong Itam,Akwa-Ibom,Itu,PRIMARY,HEALTH CENTRE,,MINISTRY OF HEALTH,,RURAL,OUTPATIENT ONLY,PRIMARY,9286,100,100,100,100,100,76.83333333333334,73.11111111111111,"[np.float64(66.66666666666667), np.float64(66.66666666666667), np.float64(66.66666666666667), np.float64(66.66666666666667), np.float64(80.0), np.float64(100.0), np.float64(100.0), np.float64(100.0), np.float64(100.0), np.float64(100.0), np.float64(50.0), np.float64(50.0), np.float64(50.0), np.float64(50.0), np.float64(50.0)]",69.33333333333334,100.0,50.0,80.55555555555556,"[np.float64(80.55555555555556), np.float64(nan), np.float64(nan), np.float64(nan), np.float64(nan)]","[100, 75, 100, 100, 50, 100, 100, 100, 0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",100.0,75.0,100.0,100.0,50.0,100.0,100.0,100.0,0.0,100.0,"[100, 100, 100, 100]",100.0,100.0,100.0,100.0,100.0,53.333333333333336,,100.0,100.0,0.0,50.0,2,"[np.float64(50.0), np.float64(50.0)]",100.0,0.0,100.0,100.0,0.0,68.86015325670498,53.333333333333336,100.0,5.0,60.0,94.82758620689656,,100.0,2,100.0,"[100, 100]",100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,,,,,,,,,,,,,22.22222222222222,100.0,0.0,0.0,22.22222222222222,,100.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,,33.33333333333333,15.0,5.0
NGA_000687,State Hospital Ilaro,Ogun,Yewa-South,SECONDARY,OTHER (SPECIFY),State hospital,LOCAL GOVERNMENT,,PERIURBAN,BOTH OUT AND INPATIENT,SECONDARY,198700,100,100,100,100,100,86.61111111111111,92.66666666666667,"[np.float64(80.0), np.float64(80.0), np.float64(80.0), np.float64(80.0), np.float64(70.0), np.float64(100.0), np.float64(100.0), np.float64(100.0), np.float64(100.0), np.float64(100.0), np.float64(100.0), np.float64(100.0), np.float64(100.0), np.float64(100.0), np.float64(100.0)]",78.0,100.0,100.0,80.55555555555554,"[np.float64(83.33333333333333), np.float64(75.0), np.float64(88.88888888888889), np.float64(nan), np.float64(75.0)]","[100, 100, 100, 75, 75, 100, 100, 100, 0, 75, 75, 75, 75, 75, 100, 100, 100, 0, 75, 50, 100, 100, 75, 100, 100, 100, 100, nan, nan, nan, nan, nan, nan, nan, nan, nan, 50, 75, 75, 100, 75, 100, 100, 100, 0]",75.0,75.0,87.5,87.5,75.0,100.0,100.0,100.0,25.0,100.0,"[100, 100, 100, nan]",100.0,100.0,100.0,100.0,,60.0,80.0,,100.0,0.0,,0,[],,,,,,77.66602748481942,60.0,100.0,1.0,100.0,82.66219239373602,100.0,100.0,0,,[],100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,100.0,0.0,0.0,100.0,100.0,100.0,50.0,100.0,100.0,66.66666666666667,100.0,0.0,0.0,66.66666666666667,,100.0,100.0,100.0,0.0,0.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,0.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,100.0,100.0,0.0,100.0,0.0,0.0,100.0,,,40.0,999.0
