Q100,FI_2,FI_3,Q102,Q100a,Q105,Q106,Q105_a,Q106_a,Q109-Latitude,Q109-Longitude,Q109-Altitude,Q109-Accuracy,Q113,Q113_A,Q116,Q116_A,Q117,Q118,tHFA_A001,tHFA_A002
TZA_010244,Flaviana Richard,Tanzania,MWANANYAMALA,Panel,Dar es Salaam Region,Kinondoni District,SECONDARY,TZA,-6.786925454629406,39.25444473880905,22.6,14.3,REGIONAL/PROVINCIAL REFERRAL HOSPITAL,,MINISTRY OF HEALTH,,URBAN,BOTH OUT AND INPATIENT,SECONDARY,9
TZA_010241,Salha Musa Mgazija,Tanzania,MOROGORO,Panel,Morogoro Region,Morogoro District,SECONDARY,TZA,-6.82810790617364,37.671198140604936,502.2,5,REGIONAL/PROVINCIAL REFERRAL HOSPITAL,,MINISTRY OF HEALTH,,URBAN,BOTH OUT AND INPATIENT,SECONDARY,3100000
TZA_010254,Kelvin Nyamori,Tanzania,Temeke,Panel,Dar es Salaam Region,Temeke District,SECONDARY,TZA,-6.8601401,39.2632555,-15,5,REGIONAL/PROVINCIAL REFERRAL HOSPITAL,,MINISTRY OF HEALTH,,URBAN,BOTH OUT AND INPATIENT,SECONDARY,1346674
TZA_010247,Rosemarry Ponya,Tanzania,SEKOU-TOURE,Panel,Mwanza Region,Nyamagana District,SECONDARY,TZA,-2.5120257,32.9048039,1146.9,14.8,REGIONAL/PROVINCIAL REFERRAL HOSPITAL,,MINISTRY OF HEALTH,,URBAN,BOTH OUT AND INPATIENT,SECONDARY,3699875
TZA_010239,Etropia Shirima,Tanzania,MAWENZI,Panel,Kilimanjaro Region,Moshi District,SECONDARY,TZA,-3.3518908,37.3393704,859.7,18.7,REGIONAL/PROVINCIAL REFERRAL HOSPITAL,,MINISTRY OF HEALTH,,URBAN,BOTH OUT AND INPATIENT,SECONDARY,1861934
TZA_010225,Etropia Shirima,Tanzania,KCMC,Panel,Kilimanjaro Region,Moshi District,TERTIARY,TZA,-3.3197827,37.3279547,947.2,15.3,SPECIALTY HOSPITAL,,MINISTRY OF HEALTH,,URBAN,BOTH OUT AND INPATIENT,TERTIARY,1100000
TZA_010242,Vannessa Emanuel,Tanzania,MT. MERU,Panel,Arusha Region,Arusha District,SECONDARY,TZA,-3.3652413,36.6955824,1395.9,5,REGIONAL/PROVINCIAL REFERRAL HOSPITAL,,LOCAL GOVERNMENT,,URBAN,BOTH OUT AND INPATIENT,SECONDARY,2356255
TZA_010229,Kelvin Nyamori,Tanzania,AMANA,Panel,Dar es Salaam Region,Ilala District,SECONDARY,TZA,-6.8265139,39.2593978,-2.4,2.2,REGIONAL/PROVINCIAL REFERRAL HOSPITAL,,MINISTRY OF HEALTH,,URBAN,BOTH OUT AND INPATIENT,SECONDARY,1500000
TZA_010250,Yuda Everist (Supervisor),Tanzania,SINGIDA,Panel,Singida Region,Singida District,SECONDARY,TZA,-4.7954571,34.70463,1500.4,4.3,REGIONAL/PROVINCIAL REFERRAL HOSPITAL,,MINISTRY OF HEALTH,,URBAN,BOTH OUT AND INPATIENT,SECONDARY,2008058
TZA_010214,Flaviana Richard,Tanzania,SHREE HINDU MANDAL,Random,Dar es Salaam Region,Ilala District,SECONDARY,TZA,-6.816629886136208,39.28639688183764,13.8,35,REGIONAL/PROVINCIAL REFERRAL HOSPITAL,,NGO/NOT-FOR-PROFIT,,URBAN,BOTH OUT AND INPATIENT,SECONDARY,9
