Q100,Q102,Q105,Q106,Q105_a,Q113,Q113_A,Q116,Q116_A,Q117,Q118,tHFA_A001,tHFA_A002,HIV,TB,Malaria,ANC,Immu,Quality_Score,HW_Competence_Score,HW_Check,ANC_score,ART_score,TB_score,Patient_Centeredness_Score,PC_Individuals,PC_attributes,PC_avg_Communication,PC_avg_Respect,PC_avg_Autonomy,PC_avg_Confidentiality,PC_avg_Social support,PC_avg_HW told,PC_avg_Danger signs,PC_avg_Rudeness,PC_avg_Challenges,iss_score,iss_check,fac_iss,fac_tech,fac_stats,fac_group_PS,fac_comms_data,HTM-ANC,hiv testing,ART access,iptp scores,TB screening,system_CHW_score,chw_count,chw_show,chw_iss,chw_contract,chw_contract_any,chw_paid,chw_tools,facility_composite,HTM-ANC,presence_score,caseload,ANC_dropout,DPT_score,TB_treatment_completion,ART_retention,CHW_count,CHW_paid_full,CHW_scores,CLM_score,comm_data_collectors,quarterly_feedback,comm_data_analysis,CLM_aware,CLM_promotion,client_feedback,guideline_score,guide_HIV_test,guide_ART,guide_TB,guide_malaria,guide_anc,guide_immu,guide_imci,flowmeter_avl,flowmeter_func,humidifier_avl,humidifier_func,oxy_available,oxy_deliverable,oxygen_avl,oxygen_avo,oxygen_delivery_avl,oxygen_delivery_func,oxygen_score,pulse_oximeter_avl,pulse_oximeter_func,test-capac,fac_has_lab,fac_test_no_lab,fac_no_test,score with lab,score without lab,Antibodies to HIV 1/2 (anti HIV Ab),Qualitative (EID) or quantitative (viral load) HIV nucleic acid test (NAT),CD4 cell enumeration,Antibodies to Treponema pallidum OR Combined antibodies to T. pallidum and HIV 1/2,Lipoarabinomannan (LAM) antigen,Mycobacterium tuberculosis bacteria,M. tuberculosis DNA,Drug susceptibility testing of M. tuberculosis culture,Plasmodium spp. antigens; species-specific (e.g. HRP2) and/or pan species-specific (e.g. pan-pLDH),Staining procedures,Culture OR Culture and Genus and species identification of bacteria and fungi,Antimicrobial susceptibility testing (AST),C-reactive protein (CRP),"Complete blood count (CBC), automated",Prothrombin time and international normalized ratio (PT/INR),Blood culture,Blood gas,Glucose,Liver profile/Liver Function test,Renal function test,SARS-CoV-2 test,Hepatitis B surface antigen (HBsAg),Influenza A and B antigen,Influenza A and B diagnostic,"Qualitative dengue virus nucleic acid test, Dengue virus IgM antibody or Dengue virus antigen (NS1)",Qualitative nucleic acid test (NAT) for Chlamydia trachomatis (CT) and Neisseria gonorrhoeae (NG) infections,Measles nucleic acid test or Measle serology,Vibrio cholerae antigen,vacancy_score,all_funded_posts,all_unfilled_posts,doctor_posts,doctor_vacancies,nurses_posts,nurses_vacancies,lab-tech_posts,lab-tech_vacancies,pharmacists_posts,pharmacists_vacancies,CHW_posts,CHW_vacancies
TZA_010244,MWANANYAMALA,Dar es Salaam Region,Kinondoni District,SECONDARY,REGIONAL/PROVINCIAL REFERRAL HOSPITAL,,MINISTRY OF HEALTH,,URBAN,BOTH OUT AND INPATIENT,SECONDARY,9,100,100,100,100,100,80.61111111111111,87.33333333333333,"[np.float64(70.0), np.float64(60.0), np.float64(60.0), np.float64(60.0), np.float64(60.0), np.float64(100.0), np.float64(100.0), np.float64(100.0), np.float64(100.0), np.float64(100.0), np.float64(100.0), np.float64(100.0), np.float64(100.0), np.float64(100.0), np.float64(100.0)]",62.0,100.0,100.0,73.88888888888889,"[np.float64(50.0), np.float64(75.0), np.float64(94.44444444444444), np.float64(88.88888888888889), np.float64(61.111111111111114)]","[50, 25, 50, 100, 25, 100, 0, 100, 0, 100, 100, 100, 100, nan, 100, 100, 0, 0, 100, 100, 100, 100, 50, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 0, 100, 100, 50, 100, 100, 100, 0, 100, 0, 100, 0]",80.0,85.0,90.0,100.0,43.75,100.0,40.0,80.0,40.0,33.333333333333336,"[100, 0, 0, nan]",100.0,100.0,0.0,0.0,,66.66666666666667,100.0,,100.0,0.0,,0,[],,,,,,91.66666666666667,66.66666666666667,,,100.0,,100.0,100.0,0,,[],16.666666666666668,0.0,0.0,0.0,0.0,0.0,100.0,85.71428571428571,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,88.88888888888889,100.0,0.0,0.0,88.88888888888889,,100.0,100.0,100.0,100.0,0.0,100.0,100.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,,34.42211055276382,398.0,137.0,81.0,5.0,284.0,130.0,16.0,1.0,13.0,0.0,0.0,0.0
TZA_010241,MOROGORO,Morogoro Region,Morogoro District,SECONDARY,REGIONAL/PROVINCIAL REFERRAL HOSPITAL,,MINISTRY OF HEALTH,,URBAN,BOTH OUT AND INPATIENT,SECONDARY,3100000,100,100,100,0,0,65.625,38.888888888888886,"[np.float64(50.0), np.float64(50.0), np.float64(0.0), np.float64(0.0), np.float64(50.0), np.float64(50.0), np.float64(50.0), np.float64(50.0), np.float64(50.0)]",,25.0,50.0,92.3611111111111,"[np.float64(86.11111111111111), np.float64(100.0), np.float64(100.0), np.float64(nan), np.float64(83.33333333333333)]","[100, 100, 100, 100, 75, 100, 0, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, nan, nan, nan, nan, nan, nan, nan, nan, nan, 75, 100, 100, 100, 75, 100, 100, 100, 0]",93.75,100.0,100.0,100.0,87.5,100.0,75.0,100.0,75.0,66.66666666666667,"[100, 100, 0, nan]",100.0,100.0,100.0,0.0,,,,,,,56.25,4,"[np.float64(50.0), np.float64(75.0), np.float64(50.0), np.float64(50.0)]",75.0,0.0,100.0,100.0,50.0,66.0169082125604,,95.83333333333334,2.217391304347826,,,100.0,,4,100.0,"[100, 100, 100, 100]",100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,,,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,77.77777777777777,100.0,0.0,0.0,77.77777777777777,,100.0,100.0,100.0,0.0,0.0,100.0,100.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,0.0,0.0,,37.29809104258444,681.0,254.0,49.0,31.0,263.0,44.0,13.0,0.0,5.0,0.0,0.0,0.0
TZA_010254,Temeke,Dar es Salaam Region,Temeke District,SECONDARY,REGIONAL/PROVINCIAL REFERRAL HOSPITAL,,MINISTRY OF HEALTH,,URBAN,BOTH OUT AND INPATIENT,SECONDARY,1346674,100,100,100,100,100,91.38888888888889,100.0,"[np.float64(100.0), np.float64(100.0), np.float64(100.0), np.float64(100.0), np.float64(100.0), np.float64(100.0), np.float64(100.0), np.float64(100.0), np.float64(100.0), np.float64(100.0), np.float64(100.0), np.float64(100.0), np.float64(100.0), np.float64(100.0), np.float64(100.0)]",100.0,100.0,100.0,82.77777777777779,"[np.float64(72.22222222222223), np.float64(75.0), np.float64(88.88888888888889), np.float64(88.88888888888889), np.float64(88.88888888888889)]","[50, 50, 100, 100, 50, 100, 100, 100, 0, 75, 75, 75, 75, 75, 100, 100, 100, 0, 100, 100, 100, 100, 100, 100, 100, 100, 0, 100, 100, 100, 100, 100, 100, 100, 100, 0, 100, 100, 100, 100, 100, 100, 100, 100, 0]",85.0,85.0,95.0,95.0,85.0,100.0,100.0,100.0,0.0,100.0,"[100, 100, 100, 100]",100.0,100.0,100.0,100.0,100.0,100.0,,100.0,100.0,100.0,100.0,5,"[np.float64(100.0), np.float64(100.0), np.float64(100.0), np.float64(100.0)]",100.0,100.0,100.0,100.0,100.0,65.83333333333333,100.0,100.0,15.0,0.0,,100.0,80.0,5,100.0,"[100, 100, 100, 100]",100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,100.0,,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,,32.0,32.0,0.0,0.0,5.0,5.0,16.0,16.0,2.0,2.0,6.0,6.0
TZA_010247,SEKOU-TOURE,Mwanza Region,Nyamagana District,SECONDARY,REGIONAL/PROVINCIAL REFERRAL HOSPITAL,,MINISTRY OF HEALTH,,URBAN,BOTH OUT AND INPATIENT,SECONDARY,3699875,100,100,100,0,100,76.45833333333334,80.0,"[np.float64(100.0), np.float64(100.0), np.float64(100.0), np.float64(100.0), np.float64(100.0), np.float64(100.0), np.float64(50.0), np.float64(50.0), np.float64(50.0), np.float64(50.0)]",,100.0,60.0,72.91666666666667,"[np.float64(62.5), np.float64(75.0), np.float64(93.75), np.float64(66.66666666666667), np.float64(66.66666666666667)]","[100, 100, nan, 100, 0, 100, 0, 100, 0, 100, 100, 75, 100, 0, 100, 100, 100, 0, 75, 100, 100, nan, 75, 100, 100, 100, 100, 75, 75, 75, 50, 25, 100, 100, 100, 0, 50, 75, 50, 75, 50, 100, 100, 100, 0]",80.0,90.0,75.0,81.25,30.0,100.0,80.0,100.0,20.0,75.0,"[100, 100, 0, 100]",100.0,100.0,100.0,0.0,100.0,,,,,,25.0,5,"[np.float64(25.0), np.float64(0.0), np.float64(25.0), np.float64(50.0), np.float64(25.0)]",60.0,0.0,80.0,40.0,0.0,77.76125356125355,,100.0,8.037037037037036,,80.76923076923077,100.0,100.0,5,40.0,"[0, 0, 0, 100, 100]",100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,100.0,,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,74.07407407407408,100.0,0.0,0.0,74.07407407407408,,100.0,100.0,100.0,100.0,0.0,100.0,0.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,100.0,0.0,0.0,,0.0,474.0,0.0,49.0,0.0,177.0,0.0,22.0,0.0,16.0,0.0,12.0,0.0
TZA_010239,MAWENZI,Kilimanjaro Region,Moshi District,SECONDARY,REGIONAL/PROVINCIAL REFERRAL HOSPITAL,,MINISTRY OF HEALTH,,URBAN,BOTH OUT AND INPATIENT,SECONDARY,1861934,100,100,100,100,100,84.53030303030303,97.3939393939394,"[np.float64(100.0), np.float64(90.0), np.float64(90.9090909090909), np.float64(90.0), np.float64(90.0), np.float64(100.0), np.float64(100.0), np.float64(100.0), np.float64(100.0), np.float64(100.0), np.float64(100.0), np.float64(100.0), np.float64(100.0), np.float64(100.0), np.float64(100.0)]",92.18181818181817,100.0,100.0,71.66666666666667,"[np.float64(75.0), np.float64(75.0), np.float64(75.0), np.float64(72.22222222222223), np.float64(61.111111111111114)]","[50, 100, 75, 75, 75, 100, 100, 100, 0, 75, 75, 75, 75, 75, 100, 100, 100, 0, 75, 75, 75, 75, 75, 100, 100, 100, 0, 50, 100, 50, 100, 50, 100, 100, 100, 0, 50, 50, 75, 25, 50, 100, 100, 100, 0]",60.0,80.0,70.0,70.0,65.0,100.0,100.0,100.0,0.0,100.0,"[100, nan, 100, 100]",100.0,100.0,,100.0,100.0,75.00000000000001,100.0,100.0,20.0,100.0,20.0,5,"[np.float64(75.0), np.float64(25.0), np.float64(0.0), np.float64(0.0), np.float64(0.0)]",40.0,20.0,20.0,20.0,0.0,76.67268614370063,75.00000000000001,83.85093167701864,1.1851851851851851,100.0,,100.0,100.0,5,20.0,"[100, 0, 0, 0, 0]",100.0,100.0,100.0,100.0,100.0,100.0,100.0,57.142857142857146,100.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,55.55555555555556,100.0,0.0,0.0,55.55555555555556,,100.0,0.0,100.0,0.0,0.0,100.0,100.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,0.0,100.0,100.0,100.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,,53.498542274052475,686.0,367.0,91.0,52.0,399.0,276.0,13.0,11.0,10.0,6.0,20.0,5.0
TZA_010225,KCMC,Kilimanjaro Region,Moshi District,TERTIARY,SPECIALTY HOSPITAL,,MINISTRY OF HEALTH,,URBAN,BOTH OUT AND INPATIENT,TERTIARY,1100000,100,100,100,100,100,88.33333333333334,100.0,"[np.float64(100.0), np.float64(100.0), np.float64(100.0), np.float64(100.0), np.float64(100.0), np.float64(100.0), np.float64(100.0), np.float64(100.0), np.float64(100.0), np.float64(100.0), np.float64(100.0), np.float64(100.0), np.float64(100.0), np.float64(100.0), np.float64(100.0)]",100.0,100.0,100.0,76.66666666666667,"[np.float64(80.55555555555556), np.float64(80.55555555555556), np.float64(83.33333333333333), np.float64(72.22222222222223), np.float64(66.66666666666667)]","[75, 75, 75, 100, 100, 100, 100, 100, 0, 75, 75, 75, 100, 100, 100, 100, 100, 0, 100, 75, 75, 100, 100, 100, 100, 100, 0, 25, 75, 50, 100, 100, 100, 100, 100, 0, 75, 75, 50, 50, 50, 100, 100, 100, 0]",70.0,75.0,65.0,90.0,90.0,100.0,100.0,100.0,0.0,100.0,"[100, 100, 100, 100]",100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,15.0,5,"[np.float64(25.0), np.float64(25.0), np.float64(25.0), np.float64(0.0), np.float64(0.0)]",60.0,0.0,0.0,0.0,0.0,95.72815533980582,100.0,,,100.0,78.64077669902912,100.0,100.0,5,0.0,"[0, 0, 0, 0, 0]",100.0,100.0,100.0,100.0,100.0,100.0,100.0,71.42857142857143,100.0,100.0,0.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,81.48148148148148,100.0,0.0,0.0,81.48148148148148,,100.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,0.0,,57.713992824192715,1951.0,1126.0,171.0,94.0,818.0,573.0,65.0,17.0,8.0,3.0,20.0,5.0
TZA_010242,MT. MERU,Arusha Region,Arusha District,SECONDARY,REGIONAL/PROVINCIAL REFERRAL HOSPITAL,,LOCAL GOVERNMENT,,URBAN,BOTH OUT AND INPATIENT,SECONDARY,2356255,100,100,100,0,100,84.44444444444444,100.0,"[np.float64(100.0), np.float64(100.0), np.float64(100.0), np.float64(100.0), np.float64(100.0), np.float64(100.0), np.float64(100.0), np.float64(100.0), np.float64(100.0), np.float64(100.0)]",,100.0,100.0,68.88888888888889,"[np.float64(75.0), np.float64(75.0), np.float64(63.888888888888886), np.float64(72.22222222222223), np.float64(58.333333333333336)]","[100, 100, 75, 100, 100, 100, 100, 0, 0, 100, 100, 75, 100, 100, 100, 100, 0, 0, 75, 75, 75, 75, 75, 100, 100, 0, 0, 100, 75, 75, 100, 100, 100, 100, 0, 0, 100, 0, 75, 75, 75, 100, 100, 0, 0]",95.0,70.0,75.0,90.0,90.0,100.0,100.0,0.0,0.0,100.0,"[100, 100, 100, 100]",100.0,100.0,100.0,100.0,100.0,,,,,,25.0,5,"[np.float64(25.0), np.float64(25.0), np.float64(25.0), np.float64(25.0), np.float64(25.0)]",100.0,0.0,0.0,0.0,0.0,100.0,,,,,,100.0,100.0,5,0.0,"[0, 0, 0, 0, 0]",100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,77.77777777777777,100.0,0.0,0.0,77.77777777777777,,100.0,100.0,100.0,100.0,0.0,100.0,100.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,,36.596385542168676,664.0,243.0,50.0,0.0,300.0,94.0,15.0,0.0,9.0,0.0,0.0,0.0
TZA_010229,AMANA,Dar es Salaam Region,Ilala District,SECONDARY,REGIONAL/PROVINCIAL REFERRAL HOSPITAL,,MINISTRY OF HEALTH,,URBAN,BOTH OUT AND INPATIENT,SECONDARY,1500000,100,100,100,100,100,92.77777777777779,100.0,"[np.float64(100.0), np.float64(100.0), np.float64(100.0), np.float64(100.0), np.float64(100.0), np.float64(100.0), np.float64(100.0), np.float64(100.0), np.float64(100.0), np.float64(100.0), np.float64(100.0), np.float64(100.0), np.float64(100.0), np.float64(100.0), np.float64(100.0)]",100.0,100.0,100.0,85.55555555555557,"[np.float64(61.111111111111114), np.float64(88.88888888888889), np.float64(100.0), np.float64(88.88888888888889), np.float64(88.88888888888889)]","[50, 50, 50, 50, 50, 100, 100, 100, 0, 100, 100, 100, 100, 100, 100, 100, 100, 0, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 0, 100, 100, 100, 100, 100, 100, 100, 100, 0]",90.0,90.0,90.0,90.0,90.0,100.0,100.0,100.0,20.0,100.0,"[100, 100, 100, 100]",100.0,100.0,100.0,100.0,100.0,100.0,,100.0,100.0,100.0,100.0,3,"[np.float64(100.0), np.float64(100.0), np.float64(100.0)]",100.0,100.0,100.0,100.0,100.0,64.57643202208419,100.0,77.10144927536233,10.357142857142858,0.0,,100.0,100.0,3,100.0,"[100, 100, 100]",100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,100.0,,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,,21.0,21.0,0.0,0.0,8.0,5.0,0.0,0.0,1.0,1.0,0.0,0.0
TZA_010250,SINGIDA,Singida Region,Singida District,SECONDARY,REGIONAL/PROVINCIAL REFERRAL HOSPITAL,,MINISTRY OF HEALTH,,URBAN,BOTH OUT AND INPATIENT,SECONDARY,2008058,100,100,100,0,100,68.88888888888889,60.0,"[np.float64(50.0), np.float64(0.0), np.float64(50.0), np.float64(50.0), np.float64(50.0), np.float64(100.0), np.float64(50.0), np.float64(100.0), np.float64(100.0), np.float64(50.0)]",,40.0,80.0,77.77777777777777,"[np.float64(83.33333333333333), np.float64(75.0), np.float64(77.77777777777777), np.float64(75.0), np.float64(77.77777777777777)]","[100, 100, 50, 100, 100, 100, 100, 100, 0, 100, 100, 75, 100, 100, 100, 0, 100, 0, 50, 100, 50, 100, 100, 100, 100, 100, 0, 100, 100, 75, 100, 25, 100, 0, 100, nan, 100, 100, 100, 100, 0, 100, 0, 100, 100]",90.0,100.0,70.0,100.0,65.0,100.0,40.0,100.0,25.0,100.0,"[100, 100, 100, 100]",100.0,100.0,100.0,100.0,100.0,,,,,,25.0,5,"[np.float64(25.0), np.float64(25.0), np.float64(25.0), np.float64(25.0), np.float64(25.0)]",100.0,0.0,0.0,0.0,0.0,100.0,,,,,,100.0,100.0,5,0.0,"[0, 0, 0, 0, 0]",100.0,100.0,100.0,100.0,100.0,100.0,100.0,83.33333333333333,100.0,100.0,100.0,100.0,,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,66.66666666666667,100.0,0.0,0.0,66.66666666666667,,100.0,100.0,100.0,100.0,0.0,100.0,100.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,,44.684129429892145,649.0,290.0,69.0,23.0,303.0,128.0,26.0,0.0,24.0,4.0,999.0,999.0
TZA_010214,SHREE HINDU MANDAL,Dar es Salaam Region,Ilala District,SECONDARY,REGIONAL/PROVINCIAL REFERRAL HOSPITAL,,NGO/NOT-FOR-PROFIT,,URBAN,BOTH OUT AND INPATIENT,SECONDARY,9,100,100,100,100,100,84.94444444444446,82.66666666666667,"[np.float64(100.0), np.float64(90.0), np.float64(100.0), np.float64(100.0), np.float64(100.0), np.float64(100.0), np.float64(100.0), np.float64(100.0), np.float64(100.0), np.float64(100.0), np.float64(50.0), np.float64(50.0), np.float64(50.0), np.float64(50.0), np.float64(50.0)]",98.0,100.0,50.0,87.22222222222223,"[np.float64(88.88888888888889), np.float64(77.77777777777777), np.float64(88.88888888888889), np.float64(88.88888888888889), np.float64(91.66666666666667)]","[100, 100, 100, 100, 0, 100, 100, 100, 100, 100, 100, 100, 100, 0, 100, 0, 100, 100, 100, 100, 50, 100, 50, 100, 100, 100, 100, 100, 100, 100, 100, 0, 100, 100, 100, 100, 100, 100, 100, 100, 25, 100, 100, 100, 100]",100.0,100.0,90.0,100.0,15.0,100.0,80.0,100.0,100.0,100.0,"[100, nan, nan, nan]",100.0,100.0,,,,93.33333333333334,100.0,,80.0,100.0,,0,[],,,,,,98.33333333333334,93.33333333333334,,,,100.0,100.0,100.0,0,,[],16.666666666666668,0.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,88.88888888888889,100.0,0.0,0.0,88.88888888888889,,100.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,,25.0,460.0,115.0,44.0,12.0,91.0,35.0,8.0,5.0,1.0,0.0,0.0,0.0
