Q100,FI_2,FI_3,Q102,Q100a,Q105,Q106,Q105_a,Q106_a,Q109-Latitude,Q109-Longitude,Q109-Altitude,Q109-Accuracy,Q113,Q113_A,Q116,Q116_A,Q117,Q118,tHFA_A001,tHFA_A002
UGA_001068,Nuru Mugide,Uganda,Bushenyi-Buyanja HC II,Random,Ankole,Bushenyi District,PRIMARY,UGA,-0.6174817,30.2352953,1583.4,4.8,HEALTH CENTRE,,MINISTRY OF HEALTH (GOVERNMENT),,PERIURBAN,OUTPATIENT ONLY,SECONDARY,2474
UGA_009072,Aguma Daniel,Uganda,Ogwete HC III,Random,Lango,Otuke District,PRIMARY,UGA,2.3941713,33.5973671,1037.5,4.9,HEALTH CENTRE,,MINISTRY OF HEALTH (GOVERNMENT),,RURAL,BOTH OUT AND INPATIENT,PRIMARY,21200
UGA_000376,Aguma Daniel,Uganda,Apac Hospital,Random,Lango,Apac District,SECONDARY,UGA,1.9792657,32.5338233,1042.6,4.9,DISTRICT HOSPITAL,,LOCAL GOVERNMENT,,URBAN,BOTH OUT AND INPATIENT,SECONDARY,30466
UGA_000291,Asiku Ibrahim,Uganda,Amanipi HC II,Random,West Nile,Maracha District,PRIMARY,UGA,3.3111807,30.9798834,1019.9,4.8,HEALTH CENTRE,,MINISTRY OF HEALTH (GOVERNMENT),,RURAL,OUTPATIENT ONLY,PRIMARY,4327
UGA_009434,Asiku Ibrahim,Uganda,Kuluba HC III,Random,West Nile,Koboko District,PRIMARY,UGA,3.505869,30.9422734,1257.2,4.3,HEALTH CENTRE,,MINISTRY OF HEALTH (GOVERNMENT),,RURAL,BOTH OUT AND INPATIENT,PRIMARY,12472
UGA_000430,Asiku Ibrahim,Uganda,Arua Regional Referral Hospital,Panel,West Nile,Arua District,SECONDARY,UGA,3.0199252,30.9123112,1208,4.9,REGIONAL/PROVINCIAL REFERRAL HOSPITAL,,MINISTRY OF HEALTH (GOVERNMENT),,URBAN,BOTH OUT AND INPATIENT,SECONDARY,2274334
UGA_003593,Asiku Ibrahim,Uganda,Koboko Hospital,Panel,West Nile,Koboko District,SECONDARY,UGA,3.4092719,30.9595173,1238,5,GENERAL HOSPITAL,,MINISTRY OF HEALTH (GOVERNMENT),,URBAN,BOTH OUT AND INPATIENT,SECONDARY,64100
UGA_003482,Nuru Mugide,Uganda,Kitagata Hospital,Panel,Ankole,Sheema District,SECONDARY,UGA,-0.6768781,30.1520725,1528,4.6,GENERAL HOSPITAL,,MINISTRY OF HEALTH (GOVERNMENT),,URBAN,BOTH OUT AND INPATIENT,TERTIARY,21000
UGA_007204,Bruhan Kaggwa,Uganda,Wakiso HC IV,Random,South Central,Wakiso District,PRIMARY,UGA,0.3966667,32.4774367,1189.7,3.9,HEALTH CENTRE,,MINISTRY OF HEALTH (GOVERNMENT),,PERIURBAN,BOTH OUT AND INPATIENT,PRIMARY,104500
UGA_005609,Odomel Steven,Uganda,Oburin HC II,Random,Teso,Serere District,PRIMARY,UGA,1.506934,33.5140798,893.7,174.4,HEALTH CENTRE,,MINISTRY OF HEALTH (GOVERNMENT),,RURAL,BOTH OUT AND INPATIENT,PRIMARY,17180
UGA_009159,Bruhan Kaggwa,Uganda,Luwero Hospital,Panel,North Central,Luwero District,SECONDARY,UGA,0.8345287,32.499091,1107.1,4.8,DISTRICT HOSPITAL,,MINISTRY OF HEALTH (GOVERNMENT),,URBAN,BOTH OUT AND INPATIENT,SECONDARY,53333
UGA_002958,Odomel Steven,Uganda,Katakwi Hospital,Random,Teso,Katakwi District,SECONDARY,UGA,1.9174785,33.9621511,889.5,25.1,DISTRICT HOSPITAL,,LOCAL GOVERNMENT,,PERIURBAN,BOTH OUT AND INPATIENT,SECONDARY,32150
