Q100,Q102,Q105,Q106,Q105_a,Q113,Q113_A,Q116,Q116_A,Q117,Q118,tHFA_A001,tHFA_A002,HIV,TB,Malaria,ANC,Immu,Quality_Score,HW_Competence_Score,HW_Check,ANC_score,ART_score,TB_score,Patient_Centeredness_Score,PC_Individuals,PC_attributes,PC_avg_Communication,PC_avg_Respect,PC_avg_Autonomy,PC_avg_Confidentiality,PC_avg_Social support,PC_avg_HW told,PC_avg_Danger signs,PC_avg_Rudeness,PC_avg_Challenges,iss_score,iss_check,fac_iss,fac_tech,fac_stats,fac_group_PS,fac_comms_data,HTM-ANC,hiv testing,ART access,iptp scores,TB screening,system_CHW_score,chw_count,chw_show,chw_iss,chw_contract,chw_paid,chw_tools,facility_composite,HTM-ANC,presence_score,caseload,ANC_score,DPT_score,TB_treatment_completion,ART_retention,CHW_count,CHW_paid,CHW_scores,CLM_score,guideline_score,guide_HIV_test,guide_ART,guide_TB,guide_malaria,guide_anc,guide_immu,guide_imci,oxygen_score,oxygen_avl,oxygen_avo,test-capac,test-capac_check,with lab,without lab,vacancy_score,all_funded_posts,all_unfilled_posts
UGA_001068,Bushenyi-Buyanja HC II,Ankole,Bushenyi District,PRIMARY,HEALTH CENTRE,,MINISTRY OF HEALTH (GOVERNMENT),,PERIURBAN,OUTPATIENT ONLY,SECONDARY,2474,100,0,100,100,100,72.68055555555556,78.0,"[80.0, 80.0, 80.0, 80.0, 70.0]",78.0,,,67.36111111111111,"[72.22222222222223, 86.11111111111111, 61.111111111111114, nan, 50.0]","[100, 100, 100, 100, 50, 100, 0, 100, 0, 100, 100, 100, 100, 75, 100, 100, 100, 0, 100, 100, 0, 100, 50, 0, 100, 100, 0, nan, nan, nan, nan, nan, nan, nan, nan, nan, 100, 100, 0, nan, 0, 100, 0, 100, 0]",100.0,100.0,50.0,100.0,43.75,75.0,50.0,100.0,0.0,100.0,"[100, 100, 100, 100]",100.0,100.0,100.0,100.0,100.0,66.66666666666667,100.0,,100.0,0.0,0.0,1,[0.0],0.0,0.0,0.0,0.0,78.21445221445222,66.66666666666667,100.0,50.0,80.0,94.4055944055944,,,1,0.0,[0],100.0,60.0,0.0,,,100.0,0.0,100.0,100.0,,,,18.181818181818183,"[0, 0, 0, 0, 100, 100, 0, 0, 0, 0, 0]",,18.181818181818183,,999.0,999.0
UGA_009072,Ogwete HC III,Lango,Otuke District,PRIMARY,HEALTH CENTRE,,MINISTRY OF HEALTH (GOVERNMENT),,RURAL,BOTH OUT AND INPATIENT,PRIMARY,21200,100,100,100,100,100,93.3080808080808,99.3939393939394,"[100.0, 100.0, 100.0, 90.9090909090909, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0]",98.18181818181817,100.0,100.0,87.22222222222221,"[83.33333333333333, 88.88888888888889, 88.88888888888889, 88.88888888888889, 86.11111111111111]","[100, 100, 50, 100, 100, 100, 100, 100, 0, 100, 100, 100, 100, 100, 100, 100, 100, 0, 100, 100, 100, 100, 100, 100, 100, 100, 0, 100, 100, 100, 100, 100, 100, 100, 100, 0, 100, 100, 75, 100, 100, 100, 100, 100, 0]",100.0,100.0,85.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,"[100, 100, 100, 100]",100.0,100.0,100.0,100.0,100.0,95.0,100.0,50.0,100.0,100.0,25.0,3,"[25.0, 25.0, 25.0]",100.0,0.0,0.0,0.0,88.56093800714054,95.0,100.0,62.5,80.0,93.86562804284323,,100.0,3,0.0,"[0, 0, 0]",100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,,,66.66666666666667,"[100, 100, 100, 100, 100, 100, 100, 100, 0, 0, 0, 0, 0, 0, 0, 100, 100, 0, 100, 100, 100, 100, 0, 100, 100, 100, 100]",66.66666666666667,,36.84210526315789,19.0,7.0
UGA_000376,Apac Hospital,Lango,Apac District,SECONDARY,DISTRICT HOSPITAL,,LOCAL GOVERNMENT,,URBAN,BOTH OUT AND INPATIENT,SECONDARY,30466,100,100,100,100,100,78.02777777777777,88.0,"[80.0, 90.0, 70.0, 90.0, 90.0, 100.0, 50.0, 100.0, 50.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0]",84.0,80.0,100.0,68.05555555555556,"[69.44444444444444, 55.55555555555556, 86.11111111111111, nan, 61.111111111111114]","[100, 50, 75, 75, 25, 100, 100, 100, 0, 100, 50, 50, 50, 50, 100, 100, 0, 0, 100, 100, 100, 100, 75, 100, 100, 100, 0, nan, nan, nan, nan, nan, nan, nan, nan, nan, 75, 75, 50, 0, 50, 100, 100, 100, 0]",93.75,68.75,68.75,56.25,50.0,100.0,100.0,75.0,0.0,50.0,"[0, 100, 100, 0]",100.0,0.0,100.0,100.0,0.0,73.33333333333334,100.0,100.0,100.0,20.0,58.333333333333336,3,"[50.0, 50.0, 75.0]",100.0,0.0,100.0,33.333333333333336,78.79960317460318,73.33333333333334,85.71428571428571,13.75,100.0,100.0,,100.0,3,100.0,"[100, 100, 100]",16.666666666666664,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,50.0,0.0,100.0,92.5925925925926,"[100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 0, 100, 100, 100, 0, 100, 100, 100, 100, 100, 100, 100, 100, 100]",92.5925925925926,,26.595744680851062,188.0,50.0
UGA_000291,Amanipi HC II,West Nile,Maracha District,PRIMARY,HEALTH CENTRE,,MINISTRY OF HEALTH (GOVERNMENT),,RURAL,OUTPATIENT ONLY,PRIMARY,4327,0,100,100,0,0,33.99305555555556,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",,,0.0,67.98611111111111,"[65.625, 68.75, 69.44444444444444, 61.111111111111114, 75.0]","[75, 75, 50, 75, 50, 100, 0, 100, nan, 75, 75, 75, 75, 50, 100, 0, 100, nan, 75, 50, 75, 75, 50, 100, 100, 100, 0, 75, 75, 75, 75, 50, 100, 0, 100, 0, 75, 75, 75, 75, 75, 100, 100, 100, 0]",75.0,70.0,70.0,75.0,55.0,100.0,40.0,100.0,0.0,0.0,[],0.0,,,,,,,,,,0.0,2,"[0.0, 0.0]",0.0,0.0,0.0,0.0,31.666666666666664,,33.33333333333333,30.0,,,,,2,0.0,"[0, 0]",100.0,66.66666666666667,,,0.0,100.0,,,100.0,0.0,0.0,0.0,18.181818181818183,"[0, 0, 0, 0, 100, 0, 100, 0, 0, 0, 0]",,18.181818181818183,33.33333333333333,9.0,3.0
UGA_009434,Kuluba HC III,West Nile,Koboko District,PRIMARY,HEALTH CENTRE,,MINISTRY OF HEALTH (GOVERNMENT),,RURAL,BOTH OUT AND INPATIENT,PRIMARY,12472,100,100,100,100,100,57.611111111111114,48.0,"[40.0, 60.0, 60.0, 50.0, 60.0, 0.0, 0.0, 0.0, 0.0, 0.0, 100.0, 100.0, 100.0, 100.0, 50.0]",54.0,0.0,90.0,67.22222222222223,"[69.44444444444444, 72.22222222222223, 61.111111111111114, 61.111111111111114, 72.22222222222223]","[75, 75, 50, 75, 50, 100, 100, 100, 0, 75, 75, 75, 75, 50, 100, 100, 100, 0, 75, 75, 75, 75, 50, 100, 0, 100, 0, 75, 75, 75, 75, 50, 100, 0, 100, 0, 75, 75, 50, 75, 75, 100, 100, 100, 0]",75.0,75.0,65.0,75.0,55.0,100.0,60.0,100.0,0.0,75.0,"[100, 100, 0, 100]",100.0,100.0,100.0,0.0,100.0,40.0,0.0,100.0,100.0,0.0,0.0,2,"[0.0, 0.0]",0.0,0.0,0.0,0.0,59.55555555555555,40.0,16.666666666666664,100.0,60.0,90.66666666666666,50.0,,2,0.0,"[0, 0]",100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,,,40.74074074074074,"[100, 100, 100, 0, 100, 100, 100, 100, 0, 0, 0, 0, 0, 0, 0, 100, 0, 0, 100, 100, 0, 0, 0, 100, 0, 0, 0]",40.74074074074074,,44.44444444444444,9.0,4.0
UGA_000430,Arua Regional Referral Hospital,West Nile,Arua District,SECONDARY,REGIONAL/PROVINCIAL REFERRAL HOSPITAL,,MINISTRY OF HEALTH (GOVERNMENT),,URBAN,BOTH OUT AND INPATIENT,SECONDARY,2274334,100,100,100,100,100,70.04166666666666,71.33333333333333,"[80.0, 80.0, 70.0, 70.0, 70.0, 0.0, 0.0, 100.0, 50.0, 50.0, 100.0, 100.0, 100.0, 100.0, 100.0]",74.0,40.0,100.0,68.75,"[68.75, 72.22222222222223, 58.333333333333336, 75.0, 69.44444444444444]","[75, 75, nan, 75, 25, 100, 100, 100, 0, 75, 75, 75, 75, 50, 100, 100, 100, 0, 75, 75, 75, 75, 25, 100, 0, 100, 0, 75, 75, 75, 75, 75, 100, 100, 100, 0, 75, 75, 50, 75, 50, 100, 100, 100, 0]",75.0,75.0,68.75,75.0,45.0,100.0,80.0,100.0,0.0,100.0,"[100, 100, 100, 100]",100.0,100.0,100.0,100.0,100.0,46.66666666666667,40.0,,100.0,0.0,40.0,5,"[25.0, 50.0, 50.0, 50.0, 25.0]",20.0,60.0,80.0,0.0,72.38095238095238,46.66666666666667,100.0,100.0,60.0,100.0,0.0,100.0,5,80.0,"[0, 100, 100, 100, 100]",66.66666666666666,85.71428571428571,100.0,100.0,100.0,100.0,100.0,100.0,0.0,50.0,0.0,100.0,66.66666666666667,"[100, 100, 100, 0, 100, 100, 100, 100, 100, 100, 100, 100, 100, 0, 0, 100, 100, 0, 100, 100, 0, 0, 0, 100, 0, 100, 0]",66.66666666666667,,50.0,12.0,6.0
UGA_003593,Koboko Hospital,West Nile,Koboko District,SECONDARY,GENERAL HOSPITAL,,MINISTRY OF HEALTH (GOVERNMENT),,URBAN,BOTH OUT AND INPATIENT,SECONDARY,64100,100,100,100,100,100,64.66666666666667,59.333333333333336,"[70.0, 70.0, 70.0, 70.0, 60.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 100.0, 50.0]",68.0,50.0,60.0,70.0,"[77.77777777777777, 75.0, 63.888888888888886, 61.111111111111114, 72.22222222222223]","[75, 100, 75, 100, 50, 100, 100, 100, 0, 75, 100, 50, 100, 50, 100, 100, 100, 0, 50, 75, 50, 50, 50, 100, 100, 100, 0, 100, 100, 50, 75, 25, 100, 0, 100, 0, 50, 100, 50, 75, 75, 100, 100, 100, 0]",70.0,95.0,55.0,80.0,50.0,100.0,80.0,100.0,0.0,100.0,"[100, 100, 100, 100]",100.0,100.0,100.0,100.0,100.0,26.666666666666668,0.0,,80.0,0.0,33.333333333333336,3,"[25.0, 50.0, 25.0]",66.66666666666667,0.0,66.66666666666667,0.0,79.55241460541814,26.666666666666668,,100.0,80.0,91.09540636042402,,100.0,3,66.66666666666667,"[100, 100, 0]",100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,50.0,0.0,100.0,66.66666666666667,"[100, 100, 100, 0, 100, 0, 100, 100, 100, 100, 100, 100, 100, 0, 0, 100, 100, 0, 100, 100, 0, 0, 0, 100, 100, 100, 0]",66.66666666666667,,80.52631578947368,190.0,153.0
UGA_003482,Kitagata Hospital,Ankole,Sheema District,SECONDARY,GENERAL HOSPITAL,,MINISTRY OF HEALTH (GOVERNMENT),,URBAN,BOTH OUT AND INPATIENT,TERTIARY,21000,100,100,100,100,100,64.29861111111111,88.66666666666667,"[90.0, 100.0, 90.0, 100.0, 100.0, 100.0, 50.0, 50.0, 50.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0]",96.0,70.0,100.0,39.93055555555556,"[33.333333333333336, 62.5, 22.22222222222222, 41.666666666666664, nan]","[100, 100, 0, 100, 0, 0, 0, 0, 0, 100, 100, nan, 100, 0, 100, 0, 100, 0, 75, 50, 0, 75, 0, 0, 0, 0, 0, 100, 100, 0, 75, 0, 0, 0, 100, 0, nan, nan, nan, nan, nan, nan, nan, nan, nan]",93.75,87.5,0.0,87.5,0.0,25.0,0.0,50.0,0.0,75.0,"[100, 100, 0, 100]",100.0,100.0,100.0,0.0,100.0,86.66666666666667,100.0,100.0,100.0,60.0,25.0,2,"[25.0, 25.0]",100.0,0.0,0.0,0.0,78.66071428571429,86.66666666666667,60.0,3.958333333333333,100.0,100.0,100.0,100.0,2,0.0,"[0, 0]",100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,,,55.55555555555556,"[100, 100, 100, 0, 100, 100, 100, 100, 0, 0, 0, 100, 100, 0, 0, 100, 100, 0, 100, 100, 0, 0, 100, 100, 0, 0, 0]",55.55555555555556,,40.0,200.0,80.0
UGA_007204,Wakiso HC IV,South Central,Wakiso District,PRIMARY,HEALTH CENTRE,,MINISTRY OF HEALTH (GOVERNMENT),,PERIURBAN,BOTH OUT AND INPATIENT,PRIMARY,104500,100,100,100,100,100,61.95833333333333,52.666666666666664,"[50.0, 70.0, 60.0, 50.0, 60.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0]",58.0,50.0,50.0,71.25,"[50.0, 81.25, 66.66666666666667, 69.44444444444444, 88.88888888888889]","[100, 100, 50, 100, 0, 100, 0, 0, 0, 100, 100, 100, 100, 50, 100, 0, 100, nan, 100, 100, 100, 100, 100, 0, 0, 100, 0, 100, 75, 50, 100, 100, 100, 100, 0, 0, 100, 100, 100, 100, 100, 100, 100, 100, 0]",100.0,95.0,80.0,100.0,70.0,80.0,40.0,60.0,0.0,75.0,"[0, 100, 100, 100]",100.0,0.0,100.0,100.0,100.0,66.66666666666667,100.0,,100.0,0.0,0.0,3,"[0.0, 0.0, 0.0]",0.0,0.0,0.0,0.0,68.33549743960462,66.66666666666667,47.05882352941176,52.5,60.0,92.12299188115392,100.0,60.0,3,0.0,"[0, 0, 0]",100.0,85.71428571428571,100.0,100.0,100.0,100.0,100.0,100.0,0.0,50.0,0.0,100.0,70.37037037037037,"[100, 100, 100, 0, 100, 100, 100, 100, 100, 0, 100, 100, 100, 0, 100, 100, 100, 0, 0, 100, 0, 0, 0, 100, 100, 100, 100]",70.37037037037037,,,19.0,999.0
UGA_005609,Oburin HC II,Teso,Serere District,PRIMARY,HEALTH CENTRE,,MINISTRY OF HEALTH (GOVERNMENT),,RURAL,BOTH OUT AND INPATIENT,PRIMARY,17180,100,100,100,100,100,100.0,100.0,"[100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0]",100.0,100.0,,100.0,"[100.0, nan, nan, nan, nan]","[100, 100, 100, 100, 100, 100, 100, 100, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,75.0,"[100, 100, 0, 100]",100.0,100.0,100.0,0.0,100.0,100.0,100.0,,100.0,100.0,25.0,1,[25.0],100.0,0.0,0.0,0.0,71.05555555555556,100.0,83.33333333333334,43.0,60.0,100.0,,40.0,1,0.0,[0],83.33333333333334,71.42857142857143,0.0,100.0,0.0,100.0,100.0,100.0,100.0,,,,37.03703703703704,"[100, 100, 100, 0, 100, 100, 100, 100, 0, 0, 0, 0, 0, 0, 0, 100, 0, 0, 0, 100, 0, 0, 0, 100, 0, 0, 0]",37.03703703703704,,50.0,24.0,12.0
