tHFA_A001,Q117,Facility count,HIV,TB,Malaria,ANC,Immu,Quality_Score,HW_Competence_Score,Patient_Centeredness_Score,iss_score,fac_iss,fac_stats,fac_group_PS,fac_comms_data,HTM-ANC,hiv testing,ART access,iptp scores,TB screening,system_CHW_score,chw_iss,chw_contract,chw_paid,chw_tools,facility_composite,HTM-ANC,presence_score,caseload,ANC_score,DPT_score,TB_treatment_completion,ART_retention,CHW_paid,CLM_score,guideline_score,guide_HIV,guide_TB,guide_malaria,guide_anc,guide_immu,guide_imci,oxygen_score,oxygen_avl,oxygen_avo,test-capac,with lab,without lab,vacancy_score,all_funded_posts,all_unfilled_posts
COUNTRY,AVERAGE,120.0,91.66666666666667,83.33333333333333,100.0,90.83333333333333,98.33333333333333,75.01535434713306,77.9382063810865,72.36115642770463,88.81944444444443,88.03418803418803,91.45299145299145,89.74358974358974,96.42857142857143,79.97324159021407,93.14641744548288,85.29411764705883,93.57798165137615,54.678899082568805,25.803030303030305,61.651515151515156,4.484848484848485,28.257575757575758,8.818181818181818,70.40656318688644,79.97324159021407,76.27044799988003,41.70575707850726,68.39449541284404,89.31315475619529,64.84848484848484,76.36015325670498,28.257575757575758,86.11111111111111,93.10515873015875,89.16666666666667,99.0,93.33333333333333,89.90825688073394,99.15254237288136,86.66666666666667,84.81012658227849,77.21518987341773,92.40506329113924,55.767823159127495,58.73459514236213,30.3030303030303,43.51819710785924,276.23333333333335,196.75
PRIMARY,General,46.0,78.26086956521739,58.69565217391305,100.0,82.6086956521739,95.65217391304348,72.49149118851605,72.98281361218424,71.94692407703677,85.32608695652173,88.37209302325581,90.69767441860465,86.04651162790698,100.0,77.76315789473684,92.10526315789474,70.58823529411765,95.78947368421052,46.8421052631579,20.978682170542637,58.333333333333336,2.3255813953488373,20.155038759689923,3.10077519379845,67.14080655620224,77.76315789473684,69.3396374866963,50.183949296890475,63.1578947368421,91.19495455093671,53.07692307692308,73.33333333333333,20.155038759689923,86.95652173913044,87.851966873706,73.91304347826087,96.29629629629629,89.1304347826087,81.57894736842105,97.72727272727273,80.43478260869566,66.66666666666667,55.55555555555556,77.77777777777777,37.27519093372752,40.50179211469534,27.272727272727273,44.2212628193949,67.3913043478261,76.47826086956522
PRIMARY,PERIURBAN,4.0,75.0,75.0,100.0,75.0,100.0,74.6540404040404,82.44444444444444,69.2929292929293,93.75,75.0,100.0,100.0,100.0,88.8888888888889,100.0,100.0,100.0,66.66666666666667,31.25,75.0,25.0,25.0,0.0,67.15281748798108,88.8888888888889,70.43137254901961,41.0171568627451,73.33333333333333,75.57771474323326,66.66666666666667,86.66666666666667,25.0,100.0,96.42857142857143,75.0,100.0,100.0,100.0,100.0,75.0,75.0,50.0,100.0,47.64309764309765,60.49382716049382,9.090909090909092,41.94805194805195,45.0,264.25
PRIMARY,RURAL,39.0,76.92307692307692,56.41025641025641,100.0,82.05128205128206,94.87179487179488,72.37263684861489,72.40301296499644,72.18370687563467,83.33333333333333,88.88888888888889,88.88888888888889,83.33333333333333,100.0,75.88541666666667,91.25,61.53846153846154,95.0,43.125,19.502314814814817,55.78703703703704,0.0,18.51851851851852,3.703703703703704,66.76596151096078,75.88541666666667,70.24271524271524,50.88708133971292,60.625,93.23224117268363,53.333333333333336,68.42105263157895,18.51851851851852,84.61538461538461,86.03785103785104,71.7948717948718,95.45454545454545,87.17948717948718,78.125,97.29729729729729,79.48717948717949,60.0,60.0,60.0,35.601109130520896,37.464387464387464,29.545454545454547,44.45437160540135,69.92307692307692,60.205128205128204
PRIMARY,URBAN,3.0,100.0,66.66666666666667,100.0,100.0,100.0,71.15319865319866,69.8989898989899,72.4074074074074,100.0,100.0,100.0,100.0,100.0,86.66666666666667,93.33333333333333,100.0,100.0,66.66666666666667,25.0,66.66666666666667,0.0,33.333333333333336,0.0,71.99777756863593,86.66666666666667,56.74603174603175,53.5,80.0,87.57050150024497,30.0,100.0,33.333333333333336,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,75.0,50.0,100.0,42.42424242424243,50.0,27.272727272727273,43.61946532999165,64.33333333333333,37.666666666666664
SECONDARY,General,57.0,100.0,98.24561403508773,100.0,100.0,100.0,76.22176647964069,79.29985316827423,73.14367979100717,91.37426900584795,87.71929824561404,91.2280701754386,92.98245614035088,94.64285714285714,79.24707602339183,93.80116959064328,90.38461538461539,92.98245614035088,53.333333333333336,26.48148148148148,57.376543209876544,3.5802469135802473,35.03086419753087,9.938271604938272,71.66375054113736,79.24707602339183,81.67814949308574,38.21888706034687,69.3859649122807,89.62154624207588,67.14285714285714,74.20289855072464,35.03086419753087,89.1812865497076,96.04010025062658,98.24561403508773,100.0,98.24561403508773,92.98245614035088,100.0,89.47368421052632,85.18518518518519,75.92592592592592,94.44444444444444,63.90808671510426,64.57912457912458,45.45454545454546,41.49680679621902,301.7368421052632,224.66666666666666
SECONDARY,PERIURBAN,22.0,100.0,95.45454545454545,100.0,100.0,100.0,82.15179576270667,89.41988062442607,74.88371090098728,93.56060606060606,100.0,86.36363636363636,90.9090909090909,100.0,85.30303030303031,94.16666666666666,88.88888888888889,93.63636363636364,70.0,26.333333333333332,50.66666666666667,2.5,43.0,9.166666666666668,73.13364078789543,85.30303030303031,77.36055534261413,36.40171930671859,73.63636363636364,88.54041215810993,86.19047619047619,54.074074074074076,43.0,93.18181818181819,96.23376623376625,95.45454545454545,100.0,100.0,90.9090909090909,100.0,100.0,92.10526315789474,89.47368421052632,94.73684210526316,61.095806550352,63.13932980599647,18.181818181818183,35.45152369911697,305.54545454545456,196.0
SECONDARY,RURAL,13.0,100.0,100.0,100.0,100.0,100.0,73.76568688763811,74.59052059052058,72.94085318475562,90.38461538461539,76.92307692307692,92.3076923076923,100.0,92.3076923076923,80.8974358974359,96.53846153846153,83.33333333333333,93.84615384615384,58.46153846153846,22.5,63.07692307692308,0.0,16.923076923076923,10.0,68.48838516178236,80.8974358974359,82.42578270668159,32.26971696436505,53.84615384615385,92.40174606255765,53.84615384615385,90.0,16.923076923076923,91.02564102564102,94.50549450549451,100.0,100.0,100.0,92.3076923076923,100.0,76.92307692307692,84.61538461538461,84.61538461538461,84.61538461538461,64.28386428386429,63.58024691358025,72.72727272727273,48.28711269358837,297.6923076923077,237.53846153846155
SECONDARY,URBAN,22.0,100.0,100.0,100.0,100.0,100.0,71.74305695548532,71.96261314443133,71.52350076653933,89.77272727272727,81.81818181818181,95.45454545454545,90.9090909090909,90.9090909090909,72.2159090909091,91.81818181818181,95.45454545454545,91.81818181818181,33.63636363636363,29.08730158730159,60.23809523809524,6.825396825396826,38.65079365079365,10.634920634920636,72.07021256399815,72.2159090909091,85.51198097593652,43.57070499742914,74.31818181818181,89.00366385112527,56.81818181818182,85.55555555555556,38.65079365079365,84.0909090909091,96.75324675324674,100.0,100.0,95.45454545454545,95.45454545454545,100.0,86.36363636363636,79.54545454545455,59.09090909090909,100.0,66.4983164983165,66.4983164983165,,43.16564220004435,300.3181818181818,245.72727272727272
TERTIARY,General,17.0,100.0,100.0,100.0,82.3529411764706,100.0,77.79960221439461,84.74093879976233,70.85826562902687,89.70588235294117,88.23529411764706,94.11764705882354,88.23529411764706,92.85714285714286,88.92857142857143,93.33333333333333,100.0,90.0,81.42857142857143,38.94230769230769,90.38461538461539,15.384615384615385,26.923076923076923,23.076923076923077,75.02804117624946,88.92857142857143,80.67109767029619,25.911283579088202,78.57142857142857,82.32180312067284,75.29411764705883,86.47058823529412,26.923076923076923,73.52941176470588,97.47899159663865,100.0,100.0,88.23529411764706,100.0,100.0,94.11764705882354,93.75,93.75,93.75,73.07387601505248,73.07387601505248,,47.80402536066028,755.8235294117648,428.5882352941176
