tHFA_A001,Q117,Facility count,HIV,TB,Malaria,ANC,Immu,Quality_Score,HW_Competence_Score,ANC_score,ART_score,TB_score,Patient_Centeredness_Score,PC_avg_Communication,PC_avg_Respect,PC_avg_Autonomy,PC_avg_Confidentiality,PC_avg_Social support,PC_avg_HW told,PC_avg_Danger signs,PC_avg_Rudeness,PC_avg_Challenges,iss_score,fac_iss,fac_tech,fac_stats,fac_group_PS,fac_comms_data,HTM-ANC,hiv testing,ART access,iptp scores,TB screening,system_CHW_score,chw_count,chw_iss,chw_contract,chw_paid,chw_tools,facility_composite,HTM-ANC,presence_score,caseload,ANC_score,DPT_score,TB_treatment_completion,ART_retention,CHW_paid,CLM_score,guideline_score,guide_HIV_test,guide_ART,guide_TB,guide_malaria,guide_anc,guide_immu,guide_imci,oxygen_score,oxygen_avl,oxygen_avo,test-capac,with lab,without lab,vacancy_score,all_funded_posts,all_unfilled_posts
COUNTRY,AVERAGE,120.0,91.66666666666667,83.33333333333333,100.0,90.83333333333333,98.33333333333333,75.82390236289385,77.9382063810865,83.60332684644611,61.91919191919192,89.29292929292929,73.74750606261023,91.78819444444443,90.44097222222221,65.04861111111111,91.99229691876751,59.090277777777786,92.0138888888889,74.27777777777779,90.48611111111111,4.1456582633053225,89.02777777777777,97.5,88.03418803418803,92.24137931034483,89.74358974358974,96.42857142857143,79.97324159021407,93.14641744548288,85.29411764705883,93.57798165137615,54.678899082568805,26.87121212121212,1.7916666666666667,65.92424242424242,4.484848484848485,28.257575757575758,8.818181818181818,70.40656318688644,79.97324159021407,76.27044799988003,41.70575707850726,68.39449541284404,89.31315475619529,64.84848484848484,76.36015325670498,28.257575757575758,86.11111111111111,93.10515873015875,92.72727272727273,100.0,99.0,93.33333333333333,89.90825688073394,99.15254237288136,86.66666666666667,81.64556962025317,74.68354430379746,88.60759493670886,54.80310349875567,58.54009349154979,22.72727272727273,43.51819710785924,276.23333333333335,196.75
PRIMARY,General,46.0,78.26086956521739,58.69565217391305,100.0,82.6086956521739,95.65217391304348,73.58681672046296,72.98281361218424,81.26156299840511,51.15384615384615,82.3076923076923,73.53562801932368,89.31159420289855,90.36231884057972,63.2427536231884,89.375,59.311594202898554,92.82608695652173,74.4927536231884,92.89855072463767,2.5185185185185186,85.8695652173913,93.47826086956522,88.37209302325581,92.85714285714286,86.04651162790698,100.0,77.76315789473684,92.10526315789474,70.58823529411765,95.78947368421052,46.8421052631579,22.38372093023256,1.7826086956521738,63.95348837209303,2.3255813953488373,20.155038759689923,3.10077519379845,67.14080655620224,77.76315789473684,69.3396374866963,50.183949296890475,63.1578947368421,91.19495455093671,53.07692307692308,73.33333333333333,20.155038759689923,86.95652173913044,87.851966873706,88.88888888888889,100.0,96.29629629629629,89.1304347826087,81.57894736842105,97.72727272727273,80.43478260869566,66.66666666666667,55.55555555555556,77.77777777777777,34.87722756015439,40.26284348864994,18.181818181818183,44.2212628193949,67.3913043478261,76.47826086956522
PRIMARY,PERIURBAN,4.0,75.0,75.0,100.0,75.0,100.0,77.80902777777777,82.44444444444444,80.66666666666667,83.33333333333333,83.33333333333333,72.95138888888889,96.875,93.75,54.375,96.875,65.625,90.0,65.0,85.0,5.0,93.75,100.0,75.0,100.0,100.0,100.0,88.8888888888889,100.0,100.0,100.0,66.66666666666667,31.25,3.25,75.0,25.0,25.0,0.0,67.15281748798108,88.8888888888889,70.43137254901961,41.0171568627451,73.33333333333333,75.57771474323326,66.66666666666667,86.66666666666667,25.0,100.0,96.42857142857143,100.0,100.0,100.0,100.0,100.0,100.0,75.0,75.0,50.0,100.0,47.64309764309765,60.49382716049382,9.090909090909092,41.94805194805195,45.0,264.25
PRIMARY,RURAL,39.0,76.92307692307692,56.41025641025641,100.0,82.05128205128206,94.87179487179488,73.3409708223228,72.40301296499644,81.02651515151516,50.0,82.85714285714286,73.68233618233619,88.35470085470085,90.04273504273503,65.04273504273503,88.42948717948718,59.123931623931625,93.07692307692308,74.52991452991452,93.67521367521368,2.456140350877193,83.97435897435898,92.3076923076923,88.88888888888889,91.42857142857143,83.33333333333333,100.0,75.88541666666667,91.25,61.53846153846154,95.0,43.125,20.48611111111111,1.6923076923076923,59.72222222222222,0.0,18.51851851851852,3.703703703703704,66.76596151096078,75.88541666666667,70.24271524271524,50.88708133971292,60.625,93.23224117268363,53.333333333333336,68.42105263157895,18.51851851851852,84.61538461538461,86.03785103785104,86.66666666666667,100.0,95.45454545454545,87.17948717948718,78.125,97.29729729729729,79.48717948717949,60.0,60.0,60.0,32.70944741532977,37.17948717948718,18.181818181818183,44.45437160540135,69.92307692307692,60.205128205128204
PRIMARY,URBAN,3.0,100.0,66.66666666666667,100.0,100.0,100.0,71.15319865319866,69.8989898989899,84.36363636363636,15.0,75.0,72.4074074074074,91.66666666666667,90.0,51.666666666666664,91.66666666666667,53.333333333333336,93.33333333333333,86.66666666666667,93.33333333333333,0.0,100.0,100.0,100.0,100.0,100.0,100.0,86.66666666666667,93.33333333333333,100.0,100.0,66.66666666666667,33.333333333333336,1.0,100.0,0.0,33.333333333333336,0.0,71.99777756863593,86.66666666666667,56.74603174603175,53.5,80.0,87.57050150024497,30.0,100.0,33.333333333333336,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,75.0,50.0,100.0,42.42424242424243,50.0,27.272727272727273,43.61946532999165,64.33333333333333,37.666666666666664
SECONDARY,General,57.0,100.0,98.24561403508773,100.0,100.0,100.0,76.76294205104513,79.29985316827423,83.88366117313485,63.095238095238095,91.25,74.22603093381603,93.0701754385965,90.19736842105263,65.35818713450293,94.68005952380952,58.89619883040936,93.80116959064328,75.99415204678363,90.87719298245614,2.1052631578947367,91.37426900584795,100.0,87.71929824561404,91.2280701754386,92.98245614035088,94.64285714285714,79.24707602339183,93.80116959064328,90.38461538461539,92.98245614035088,53.333333333333336,27.65432098765432,2.0,62.0679012345679,3.5802469135802473,35.03086419753087,9.938271604938272,71.66375054113736,79.24707602339183,81.67814949308574,38.21888706034687,69.3859649122807,89.62154624207588,67.14285714285714,74.20289855072464,35.03086419753087,89.1812865497076,96.04010025062658,92.98245614035088,100.0,100.0,98.24561403508773,92.98245614035088,100.0,89.47368421052632,85.18518518518519,75.92592592592592,94.44444444444444,63.90808671510426,64.57912457912458,45.45454545454546,41.49680679621902,301.7368421052632,224.66666666666666
SECONDARY,PERIURBAN,22.0,100.0,95.45454545454545,100.0,100.0,100.0,82.4077517600245,89.41988062442607,87.52984389348025,83.96825396825396,98.57142857142857,75.39562289562289,95.9659090909091,93.23863636363636,66.83712121212122,98.48484848484848,63.21969696969697,91.21212121212122,81.66666666666667,86.81818181818181,1.8181818181818181,93.56060606060606,100.0,100.0,86.36363636363636,90.9090909090909,100.0,85.30303030303031,94.16666666666666,88.88888888888889,93.63636363636364,70.0,28.833333333333332,1.4090909090909092,60.666666666666664,2.5,43.0,9.166666666666668,73.13364078789543,85.30303030303031,77.36055534261413,36.40171930671859,73.63636363636364,88.54041215810993,86.19047619047619,54.074074074074076,43.0,93.18181818181819,96.23376623376625,86.36363636363636,100.0,100.0,100.0,90.9090909090909,100.0,100.0,92.10526315789474,89.47368421052632,94.73684210526316,61.095806550352,63.13932980599647,18.181818181818183,35.45152369911697,305.54545454545456,196.0
SECONDARY,RURAL,13.0,100.0,100.0,100.0,100.0,100.0,74.7498543123543,74.59052059052058,82.23310023310023,58.46153846153846,83.07692307692308,74.90918803418803,94.61538461538461,90.76923076923077,56.92307692307692,98.95833333333333,60.76923076923077,95.38461538461539,72.3076923076923,92.3076923076923,3.076923076923077,90.38461538461539,100.0,76.92307692307692,92.3076923076923,100.0,92.3076923076923,80.8974358974359,96.53846153846153,83.33333333333333,93.84615384615384,58.46153846153846,22.5,1.9230769230769231,63.07692307692308,0.0,16.923076923076923,10.0,68.48838516178236,80.8974358974359,82.42578270668159,32.26971696436505,53.84615384615385,92.40174606255765,53.84615384615385,90.0,16.923076923076923,91.02564102564102,94.50549450549451,92.3076923076923,100.0,100.0,100.0,92.3076923076923,100.0,76.92307692307692,84.61538461538461,84.61538461538461,84.61538461538461,64.28386428386429,63.58024691358025,72.72727272727273,48.28711269358837,297.6923076923077,237.53846153846155
SECONDARY,URBAN,22.0,100.0,100.0,100.0,100.0,100.0,72.30768418765578,71.96261314443133,81.21280991735536,45.90909090909091,89.0909090909091,72.65275523088023,89.26136363636364,86.81818181818181,68.86363636363636,88.54166666666667,53.46590909090909,95.45454545454545,72.5,94.0909090909091,1.8181818181818181,89.77272727272727,100.0,81.81818181818181,95.45454545454545,90.9090909090909,90.9090909090909,72.2159090909091,91.81818181818181,95.45454545454545,91.81818181818181,33.63636363636363,29.72222222222222,2.6363636363636362,62.77777777777777,6.825396825396826,38.65079365079365,10.634920634920636,72.07021256399815,72.2159090909091,85.51198097593652,43.57070499742914,74.31818181818181,89.00366385112527,56.81818181818182,85.55555555555556,38.65079365079365,84.0909090909091,96.75324675324674,100.0,100.0,100.0,95.45454545454545,95.45454545454545,100.0,86.36363636363636,79.54545454545455,59.09090909090909,100.0,66.4983164983165,66.4983164983165,,43.16564220004435,300.3181818181818,245.72727272727272
TERTIARY,General,17.0,100.0,100.0,100.0,82.3529411764706,100.0,78.72864808802308,84.74093879976233,88.81818181818183,74.50980392156863,93.52941176470588,72.71635737628384,94.19117647058823,91.47058823529412,68.8970588235294,90.22058823529412,59.1421568627451,83.82352941176471,67.94117647058823,82.6470588235294,15.294117647058824,89.70588235294117,100.0,88.23529411764706,94.11764705882354,88.23529411764706,92.85714285714286,88.92857142857143,93.33333333333333,100.0,90.0,81.42857142857143,38.46153846153846,1.1176470588235294,88.46153846153847,15.384615384615385,26.923076923076923,23.076923076923077,75.02804117624946,88.92857142857143,80.67109767029619,25.911283579088202,78.57142857142857,82.32180312067284,75.29411764705883,86.47058823529412,26.923076923076923,73.52941176470588,97.47899159663865,100.0,100.0,100.0,88.23529411764706,100.0,100.0,94.11764705882354,78.125,81.25,75.0,72.33115468409585,72.33115468409585,,47.80402536066028,755.8235294117648,428.5882352941176
TERTIARY,PERIURBAN,2.0,100.0,100.0,100.0,100.0,100.0,75.52777777777777,81.88888888888889,99.0,51.66666666666667,95.0,69.16666666666667,100.0,87.5,75.0,90.0,50.0,70.0,50.0,90.0,10.0,100.0,100.0,100.0,100.0,100.0,100.0,96.66666666666667,100.0,100.0,90.0,100.0,25.0,2.0,100.0,0.0,0.0,0.0,78.7840437776587,96.66666666666667,75.75757575757575,2.3333333333333335,100.0,93.32023575638507,80.0,65.0,0.0,91.66666666666667,85.71428571428571,100.0,100.0,100.0,0.0,100.0,100.0,100.0,75.0,50.0,100.0,68.51851851851852,68.51851851851852,,61.43436654878302,727.5,548.0
TERTIARY,RURAL,1.0,100.0,100.0,100.0,100.0,100.0,85.36111111111111,99.33333333333333,98.0,100.0,100.0,71.38888888888889,80.0,75.0,80.0,60.0,75.0,100.0,100.0,60.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,12.5,2.0,50.0,0.0,0.0,0.0,70.29475133161769,100.0,100.0,10.714285714285714,60.0,41.34897360703812,80.0,100.0,0.0,100.0,85.71428571428571,100.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,51.851851851851855,51.851851851851855,,77.36842105263158,190.0,147.0
TERTIARY,URBAN,14.0,100.0,100.0,100.0,78.57142857142857,100.0,78.712167916409,84.10606060606061,86.13223140495869,75.95238095238095,92.85714285714286,73.31827522675736,94.375,93.21428571428571,67.23214285714286,92.41071428571429,59.31547619047619,84.64285714285714,68.21428571428571,83.21428571428571,17.142857142857142,87.5,100.0,85.71428571428571,92.85714285714286,85.71428571428571,90.9090909090909,86.51515151515152,91.11111111111111,100.0,89.0909090909091,76.36363636363636,42.04545454545455,0.9285714285714286,90.9090909090909,18.181818181818183,31.818181818181817,27.272727272727273,74.82956150780754,86.51515151515152,79.46981596888092,29.142529254967982,76.36363636363636,84.8196695271664,74.28571428571429,88.57142857142857,31.818181818181817,69.04761904761905,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,76.92307692307692,84.61538461538461,69.23076923076923,74.33862433862433,74.33862433862433,,43.74509121293051,800.2857142857143,431.64285714285717
