tHFA_A001,Q117,Facility count,HIV,TB,Malaria,ANC,Immu,Quality_Score,HW_Competence_Score,ANC_score,ART_score,TB_score,Patient_Centeredness_Score,PC_avg_Communication,PC_avg_Respect,PC_avg_Autonomy,PC_avg_Confidentiality,PC_avg_Social support,PC_avg_HW told,PC_avg_Danger signs,PC_avg_Rudeness,PC_avg_Challenges,iss_score,fac_iss,fac_tech,fac_stats,fac_group_PS,fac_comms_data,HTM-ANC,hiv testing,ART access,iptp scores,TB screening,system_CHW_score,chw_count,chw_iss,chw_contract,chw_paid,chw_tools,facility_composite,HTM-ANC,presence_score,caseload,ANC_score,DPT_score,TB_treatment_completion,ART_retention,CHW_count,CHW_paid,CLM_score,guideline_score,guide_HIV_test,guide_ART,guide_TB,guide_malaria,guide_anc,guide_immu,guide_imci,oxygen_score,oxygen_avl,oxygen_avo,test-capac,with lab,without lab,vacancy_score,all_funded_posts,all_unfilled_posts
COUNTRY,AVERAGE,120.0,92.5,83.33333333333333,100.0,90.83333333333333,98.33333333333333,75.67895637523952,77.68156921294491,83.54828097488647,61.5,89.29292929292929,73.69928075396825,91.78819444444443,90.44097222222221,64.90972222222221,91.99229691876751,58.96875,92.08333333333333,74.1388888888889,90.48611111111111,4.1456582633053225,86.83473389355741,94.11764705882354,88.39285714285714,93.69369369369369,91.07142857142857,96.29629629629629,79.97324159021407,93.14641744548288,85.29411764705883,93.57798165137615,54.678899082568805,27.308868501529055,1.7916666666666667,67.29357798165138,4.525993883792049,28.516819571865444,8.899082568807339,73.62771336829307,79.97324159021407,76.27044799988003,41.70575707850726,67.5,88.53426698064268,96.28691983122363,75.49242424242424,1.7916666666666667,28.516819571865444,86.11111111111111,92.84722222222223,92.7927927927928,100.0,97.0,93.33333333333333,89.90825688073394,99.15254237288136,86.66666666666667,81.64556962025317,74.68354430379746,88.60759493670886,54.80310349875567,58.54009349154979,22.72727272727273,43.51819710785924,276.23333333333335,196.75
PERIURBAN,General,28.0,96.42857142857143,92.85714285714286,100.0,96.42857142857143,100.0,81.15602453102453,88.08698092031426,87.61690983913206,81.41025641025641,96.53846153846153,74.39484126984128,96.38392857142857,92.90178571428571,65.04464285714286,97.64880952380952,62.098214285714285,89.82142857142857,76.42857142857143,86.78571428571429,2.857142857142857,94.04761904761905,100.0,96.42857142857143,89.28571428571429,92.85714285714286,100.0,86.5432098765432,95.24691358024691,92.3076923076923,94.07407407407408,71.85185185185185,29.4,1.7142857142857142,65.86666666666667,6.0,38.4,7.333333333333334,74.77140636542302,86.5432098765432,76.02784121718611,35.692326772660444,75.55555555555556,86.63636175606706,99.16666666666667,59.27536231884058,1.7142857142857142,38.4,94.04761904761905,95.51020408163265,88.88888888888889,100.0,100.0,92.85714285714286,92.5925925925926,100.0,96.42857142857143,89.1304347826087,82.6086956521739,95.65217391304348,59.704184704184705,63.24786324786324,13.636363636363637,38.428826634372676,298.4642857142857,230.89285714285714
PRIMARY,General,46.0,80.43478260869566,58.69565217391305,100.0,82.6086956521739,95.65217391304348,73.27159932915862,72.2392238685945,81.103668261563,50.0,82.3076923076923,73.53562801932368,89.31159420289855,90.36231884057972,63.2427536231884,89.375,59.311594202898554,92.82608695652173,74.4927536231884,92.89855072463767,2.5185185185185186,82.22222222222223,88.88888888888889,87.5,94.87179487179488,87.5,100.0,77.76315789473684,92.10526315789474,70.58823529411765,95.78947368421052,46.8421052631579,22.38372093023256,1.7826086956521738,63.95348837209303,2.3255813953488373,20.155038759689923,3.10077519379845,69.62502497456566,77.76315789473684,69.3396374866963,50.183949296890475,61.111111111111114,90.33302301519586,97.22222222222223,70.4,1.7826086956521738,20.155038759689923,86.95652173913044,87.17908902691512,89.1891891891892,100.0,88.88888888888889,89.1304347826087,81.57894736842105,97.72727272727273,80.43478260869566,66.66666666666667,55.55555555555556,77.77777777777777,34.87722756015439,40.26284348864994,18.181818181818183,44.2212628193949,67.3913043478261,76.47826086956522
PRIMARY,PERIURBAN,4.0,75.0,75.0,100.0,75.0,100.0,77.80902777777777,82.44444444444444,80.66666666666667,83.33333333333333,83.33333333333333,72.95138888888889,96.875,93.75,54.375,96.875,65.625,90.0,65.0,85.0,5.0,93.75,100.0,75.0,100.0,100.0,100.0,88.8888888888889,100.0,100.0,100.0,66.66666666666667,31.25,3.25,75.0,25.0,25.0,0.0,70.35226011490462,88.8888888888889,70.43137254901961,41.0171568627451,73.33333333333333,75.57771474323326,100.0,86.66666666666667,3.25,25.0,100.0,96.42857142857143,100.0,100.0,100.0,100.0,100.0,100.0,75.0,75.0,50.0,100.0,47.64309764309765,60.49382716049382,9.090909090909092,41.94805194805195,45.0,264.25
PRIMARY,RURAL,39.0,79.48717948717949,56.41025641025641,100.0,82.05128205128206,94.87179487179488,72.96917595052794,71.52422508620856,80.83901515151516,48.63636363636363,82.85714285714286,73.68233618233619,88.35470085470085,90.04273504273503,65.04273504273503,88.42948717948718,59.123931623931625,93.07692307692308,74.52991452991452,93.67521367521368,2.456140350877193,79.60526315789474,86.84210526315789,87.87878787878788,93.75,84.84848484848484,100.0,75.88541666666667,91.25,61.53846153846154,95.0,43.125,20.48611111111111,1.6923076923076923,59.72222222222222,0.0,18.51851851851852,3.703703703703704,68.96094399126824,75.88541666666667,70.24271524271524,50.88708133971292,58.0,92.28398932924254,96.66666666666667,65.0,1.6923076923076923,18.51851851851852,84.61538461538461,85.24420024420024,87.09677419354838,100.0,86.36363636363636,87.17948717948718,78.125,97.29729729729729,79.48717948717949,60.0,60.0,60.0,32.70944741532977,37.17948717948718,18.181818181818183,44.45437160540135,69.92307692307692,60.205128205128204
PRIMARY,URBAN,3.0,100.0,66.66666666666667,100.0,100.0,100.0,71.15319865319866,69.8989898989899,84.36363636363636,15.0,75.0,72.4074074074074,91.66666666666667,90.0,51.666666666666664,91.66666666666667,53.333333333333336,93.33333333333333,86.66666666666667,93.33333333333333,0.0,100.0,100.0,100.0,100.0,100.0,100.0,86.66666666666667,93.33333333333333,100.0,100.0,66.66666666666667,33.333333333333336,1.0,100.0,0.0,33.333333333333336,0.0,77.2884309036469,86.66666666666667,56.74603174603175,53.5,80.0,86.59517160925243,100.0,100.0,1.0,33.333333333333336,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,75.0,50.0,100.0,42.42424242424243,50.0,27.272727272727273,43.61946532999165,64.33333333333333,37.666666666666664
RURAL,General,53.0,84.90566037735849,67.9245283018868,100.0,86.79245283018868,96.22641509433963,73.639756212119,72.96403252882943,81.60606060606061,53.611111111111114,83.42857142857143,73.93998951781971,89.73270440251572,89.937106918239,63.33333333333333,90.3125,59.827044025157235,93.77358490566037,74.46540880503144,92.70440251572326,2.5641025641025643,82.6923076923077,90.38461538461539,85.1063829787234,93.47826086956522,89.36170212765957,97.82608695652173,77.82608695652173,92.93478260869566,70.0,94.78260869565217,48.69565217391305,20.85,1.7547169811320755,60.4,0.0,17.733333333333334,5.266666666666667,70.35340616317843,77.82608695652173,73.58498109701962,45.98780526462784,56.81818181818182,91.08842912994636,96.95652173913044,74.19354838709677,1.7547169811320755,17.733333333333334,86.47798742138365,87.52470799640611,88.88888888888889,100.0,91.66666666666667,90.56603773584905,82.6086956521739,98.03921568627452,77.35849056603773,78.94736842105263,78.94736842105263,78.94736842105263,41.65965207631874,45.67901234567901,24.242424242424242,46.03251045551084,128.0566037735849,105.33962264150944
SECONDARY,General,57.0,100.0,98.24561403508773,100.0,100.0,100.0,76.7121785682641,79.29985316827423,83.88366117313485,63.095238095238095,91.25,74.12450396825396,93.0701754385965,90.19736842105263,65.0657894736842,94.68005952380952,58.64035087719298,93.94736842105263,75.70175438596492,90.87719298245614,2.1052631578947367,89.61988304093566,98.24561403508773,87.5,91.07142857142857,92.85714285714286,94.54545454545455,79.24707602339183,93.80116959064328,90.38461538461539,92.98245614035088,53.333333333333336,28.040123456790123,2.0,63.611111111111114,3.5802469135802473,35.03086419753087,9.938271604938272,75.67857771599034,79.24707602339183,81.67814949308574,38.21888706034687,69.3859649122807,89.14568745263975,96.30434782608695,74.20289855072464,2.0,35.03086419753087,89.1812865497076,96.04010025062658,92.98245614035088,100.0,100.0,98.24561403508773,92.98245614035088,100.0,89.47368421052632,85.18518518518519,75.92592592592592,94.44444444444444,63.90808671510426,64.57912457912458,45.45454545454546,41.49680679621902,301.7368421052632,224.66666666666666
SECONDARY,PERIURBAN,22.0,100.0,95.45454545454545,100.0,100.0,100.0,82.27622819100091,89.41988062442607,87.52984389348025,83.96825396825396,98.57142857142857,75.13257575757575,95.9659090909091,93.23863636363636,66.07954545454545,98.48484848484848,62.55681818181818,91.5909090909091,80.9090909090909,86.81818181818181,1.8181818181818181,93.56060606060606,100.0,100.0,86.36363636363636,90.9090909090909,100.0,85.30303030303031,94.16666666666666,88.88888888888889,93.63636363636364,70.0,29.25,1.4090909090909092,62.333333333333336,2.5,43.0,9.166666666666668,74.87676894925343,85.30303030303031,77.36055534261413,36.40171930671859,73.63636363636364,88.34321239474966,99.0,54.074074074074076,1.4090909090909092,43.0,93.18181818181819,96.23376623376625,86.36363636363636,100.0,100.0,100.0,90.9090909090909,100.0,100.0,92.10526315789474,89.47368421052632,94.73684210526316,61.095806550352,63.13932980599647,18.181818181818183,35.45152369911697,305.54545454545456,196.0
SECONDARY,RURAL,13.0,100.0,100.0,100.0,100.0,100.0,74.7498543123543,74.59052059052058,82.23310023310023,58.46153846153846,83.07692307692308,74.90918803418803,94.61538461538461,90.76923076923077,56.92307692307692,98.95833333333333,60.76923076923077,95.38461538461539,72.3076923076923,92.3076923076923,3.076923076923077,90.38461538461539,100.0,76.92307692307692,92.3076923076923,100.0,92.3076923076923,80.8974358974359,96.53846153846153,83.33333333333333,93.84615384615384,58.46153846153846,22.5,1.9230769230769231,63.07692307692308,0.0,16.923076923076923,10.0,74.53530458902908,80.8974358974359,82.42578270668159,32.26971696436505,53.84615384615385,91.60375900288835,100.0,90.0,1.9230769230769231,16.923076923076923,91.02564102564102,94.50549450549451,92.3076923076923,100.0,100.0,100.0,92.3076923076923,100.0,76.92307692307692,84.61538461538461,84.61538461538461,84.61538461538461,64.28386428386429,63.58024691358025,72.72727272727273,48.28711269358837,297.6923076923077,237.53846153846155
