Q100,Q102,Q105,Q106,Q105_a,Q113,Q113_A,Q116,Q116_A,Q117,Q118,tHFA_A001,tHFA_A002,HIV,TB,Malaria,ANC,Immu,Quality_Score,HW_Competence_Score,HW_Check,Patient_Centeredness_Score,PC_Check,iss_score,iss_check,fac_iss,fac_stats,fac_group_PS,fac_comms_data,HTM-ANC,hiv testing,ART access,iptp scores,TB screening,system_CHW_score,chw_show,chw_iss,chw_contract,chw_paid,chw_tools,facility_composite,HTM-ANC,presence_score,caseload,ANC_score,DPT_score,TB_treatment_completion,ART_retention,CHW_paid,CHW_scores,CLM_score,guideline_score,guide_HIV,guide_TB,guide_malaria,guide_anc,guide_immu,guide_imci,oxygen_score,oxygen_avl,oxygen_avo,test-capac,test-capac_check,with lab,without lab,vacancy_score,all_funded_posts,all_unfilled_posts
UGA_001068,Bushenyi-Buyanja HC II,Ankole,Bushenyi District,PRIMARY,HEALTH CENTRE,,MINISTRY OF HEALTH (GOVERNMENT),,PERIURBAN,OUTPATIENT ONLY,SECONDARY,2474,100,0,100,100,100,72.46774193548387,78.0,"[80.0, 80.0, 80.0, 80.0, 70.0]",66.93548387096774,"[100, 100, 100, 100, 50, 100, 0, 100, 0, 100, 100, 100, 100, 75, 100, 100, 100, 0, 100, 100, 0, 100, 50, 0, 100, 100, 0, nan, nan, nan, nan, nan, 0, 0, 100, 0]",100.0,"[100, 100, 100, 100]",100.0,100.0,100.0,100.0,66.66666666666667,100.0,,100.0,0.0,0.0,[0.0],0.0,0.0,0.0,0.0,78.21445221445222,66.66666666666667,100.0,50.0,80.0,94.4055944055944,,,0.0,[0],100.0,60.0,0.0,,100.0,0.0,100.0,100.0,,,,18.181818181818183,"[0, 0, 0, 0, 100, 100, 0, 0, 0, 0, 0]",,18.181818181818183,,999.0,999.0
UGA_009072,Ogwete HC III,Lango,Otuke District,PRIMARY,HEALTH CENTRE,,MINISTRY OF HEALTH (GOVERNMENT),,RURAL,BOTH OUT AND INPATIENT,PRIMARY,21200,100,100,100,100,100,93.30808080808082,99.3939393939394,"[100.0, 100.0, 100.0, 90.9090909090909, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0]",87.22222222222223,"[100, 100, 50, 100, 100, 100, 100, 100, 0, 100, 100, 100, 100, 100, 100, 100, 100, 0, 100, 100, 100, 100, 100, 100, 100, 100, 0, 100, 100, 100, 100, 100, 100, 100, 100, 0, 100, 100, 75, 100, 100, 100, 100, 100, 0]",100.0,"[100, 100, 100, 100]",100.0,100.0,100.0,100.0,95.0,100.0,50.0,100.0,100.0,8.333333333333334,"[0.0, 0.0, 25.0]",33.333333333333336,0.0,0.0,0.0,75.9093754346919,95.0,100.0,62.5,80.0,93.86562804284323,0.0,100.0,0.0,"[0, 0, 0]",100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,,,66.66666666666667,"[100, 100, 100, 100, 100, 100, 100, 100, 0, 0, 0, 0, 0, 0, 0, 100, 100, 0, 100, 100, 100, 100, 0, 100, 100, 100, 100]",66.66666666666667,,36.84210526315789,19.0,7.0
UGA_000376,Apac Hospital,Lango,Apac District,SECONDARY,DISTRICT HOSPITAL,,LOCAL GOVERNMENT,,URBAN,BOTH OUT AND INPATIENT,SECONDARY,30466,100,100,100,100,100,75.875,88.0,"[80.0, 90.0, 70.0, 90.0, 90.0, 100.0, 50.0, 100.0, 50.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0]",63.75,"[100, 50, 75, 75, 25, 100, 100, 100, 0, 100, 50, 50, 50, 50, 100, 100, 0, 0, 100, 100, 100, 100, 75, 100, 100, 100, 0, nan, nan, nan, nan, nan, 0, 0, 100, 0, 75, 75, 50, 0, 50, 100, 100, 100, 0]",50.0,"[0, 100, 100, 0]",0.0,100.0,100.0,0.0,73.33333333333334,100.0,100.0,100.0,20.0,50.0,"[25.0, 50.0, 75.0]",66.66666666666667,0.0,100.0,33.333333333333336,67.6194770837628,73.33333333333334,85.71428571428571,13.75,100.0,100.53872053872055,0.0,100.0,100.0,"[100, 100, 100]",16.666666666666664,100.0,100.0,100.0,100.0,100.0,100.0,100.0,50.0,0.0,100.0,92.5925925925926,"[100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 0, 100, 100, 100, 0, 100, 100, 100, 100, 100, 100, 100, 100, 100]",92.5925925925926,,26.595744680851062,188.0,50.0
UGA_000291,Amanipi HC II,West Nile,Maracha District,PRIMARY,HEALTH CENTRE,,MINISTRY OF HEALTH (GOVERNMENT),,RURAL,OUTPATIENT ONLY,PRIMARY,4327,0,100,100,0,0,32.5,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",65.0,"[75, 75, 50, 75, 50, 100, 0, 100, 0, 75, 75, 75, 75, 50, 100, 0, 100, 0, 75, 50, 75, 75, 50, 100, 100, 100, 0, 75, 75, 75, 75, 50, 100, 0, 100, 0, 75, 75, 75, 75, 75, 100, 100, 100, 0]",0.0,[],,,,,,,,,,0.0,"[0.0, 0.0]",0.0,0.0,0.0,0.0,21.11111111111111,,33.33333333333333,30.0,,,0.0,,0.0,"[0, 0]",100.0,100.0,0.0,100.0,100.0,,,100.0,0.0,0.0,0.0,18.181818181818183,"[0, 0, 0, 0, 100, 0, 100, 0, 0, 0, 0]",,18.181818181818183,33.33333333333333,9.0,3.0
UGA_009434,Kuluba HC III,West Nile,Koboko District,PRIMARY,HEALTH CENTRE,,MINISTRY OF HEALTH (GOVERNMENT),,RURAL,BOTH OUT AND INPATIENT,PRIMARY,12472,100,100,100,100,100,57.611111111111114,48.0,"[40.0, 60.0, 60.0, 50.0, 60.0, 0.0, 0.0, 0.0, 0.0, 0.0, 100.0, 100.0, 100.0, 100.0, 50.0]",67.22222222222223,"[75, 75, 50, 75, 50, 100, 100, 100, 0, 75, 75, 75, 75, 50, 100, 100, 100, 0, 75, 75, 75, 75, 50, 100, 0, 100, 0, 75, 75, 75, 75, 50, 100, 0, 100, 0, 75, 75, 50, 75, 75, 100, 100, 100, 0]",75.0,"[100, 100, 0, 100]",100.0,100.0,0.0,100.0,40.0,0.0,100.0,100.0,0.0,0.0,"[0.0, 0.0]",0.0,0.0,0.0,0.0,54.55555555555555,40.0,16.666666666666664,100.0,60.0,90.66666666666666,20.0,,0.0,"[0, 0]",100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,,,40.74074074074074,"[100, 100, 100, 0, 100, 100, 100, 100, 0, 0, 0, 0, 0, 0, 0, 100, 0, 0, 100, 100, 0, 0, 0, 100, 0, 0, 0]",40.74074074074074,,44.44444444444444,9.0,4.0
UGA_000430,Arua Regional Referral Hospital,West Nile,Arua District,SECONDARY,REGIONAL/PROVINCIAL REFERRAL HOSPITAL,,MINISTRY OF HEALTH (GOVERNMENT),,URBAN,BOTH OUT AND INPATIENT,SECONDARY,2274334,100,100,100,100,100,70.04166666666666,71.33333333333333,"[80.0, 80.0, 70.0, 70.0, 70.0, 0.0, 0.0, 100.0, 50.0, 50.0, 100.0, 100.0, 100.0, 100.0, 100.0]",68.75,"[75, 75, nan, 75, 25, 100, 100, 100, 0, 75, 75, 75, 75, 50, 100, 100, 100, 0, 75, 75, 75, 75, 25, 100, 0, 100, 0, 75, 75, 75, 75, 75, 100, 100, 100, 0, 75, 75, 50, 75, 50, 100, 100, 100, 0]",100.0,"[100, 100, 100, 100]",100.0,100.0,100.0,100.0,46.66666666666667,40.0,,100.0,0.0,40.0,"[25.0, 50.0, 50.0, 50.0, 25.0]",20.0,60.0,80.0,0.0,72.89473684210527,46.66666666666667,100.0,100.0,60.0,103.59649122807018,0.0,100.0,80.0,"[0, 100, 100, 100, 100]",66.66666666666666,85.71428571428571,100.0,100.0,100.0,100.0,100.0,0.0,50.0,0.0,100.0,66.66666666666667,"[100, 100, 100, 0, 100, 100, 100, 100, 100, 100, 100, 100, 100, 0, 0, 100, 100, 0, 100, 100, 0, 0, 0, 100, 0, 100, 0]",66.66666666666667,,50.0,12.0,6.0
UGA_003593,Koboko Hospital,West Nile,Koboko District,SECONDARY,GENERAL HOSPITAL,,MINISTRY OF HEALTH (GOVERNMENT),,URBAN,BOTH OUT AND INPATIENT,SECONDARY,64100,100,100,100,100,100,64.66666666666667,59.333333333333336,"[70.0, 70.0, 70.0, 70.0, 60.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 100.0, 50.0]",70.0,"[75, 100, 75, 100, 50, 100, 100, 100, 0, 75, 100, 50, 100, 50, 100, 100, 100, 0, 50, 75, 50, 50, 50, 100, 100, 100, 0, 100, 100, 50, 75, 25, 100, 0, 100, 0, 50, 100, 50, 75, 75, 100, 100, 100, 0]",100.0,"[100, 100, 100, 100]",100.0,100.0,100.0,100.0,26.666666666666668,0.0,,80.0,0.0,33.333333333333336,"[25.0, 50.0, 25.0]",66.66666666666667,0.0,66.66666666666667,0.0,66.29367883784845,26.666666666666668,,100.0,80.0,91.09540636042402,0.0,100.0,66.66666666666667,"[100, 100, 0]",100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,50.0,0.0,100.0,66.66666666666667,"[100, 100, 100, 0, 100, 0, 100, 100, 100, 100, 100, 100, 100, 0, 0, 100, 100, 0, 100, 100, 0, 0, 0, 100, 100, 100, 0]",66.66666666666667,,80.52631578947368,190.0,153.0
UGA_003482,Kitagata Hospital,Ankole,Sheema District,SECONDARY,GENERAL HOSPITAL,,MINISTRY OF HEALTH (GOVERNMENT),,URBAN,BOTH OUT AND INPATIENT,TERTIARY,21000,100,100,100,100,100,63.97619047619048,88.66666666666667,"[90.0, 100.0, 90.0, 100.0, 100.0, 100.0, 50.0, 50.0, 50.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0]",39.285714285714285,"[100, 100, 0, 100, 0, 0, 0, 0, 0, 100, 100, nan, 100, 0, 100, 0, 100, 0, 75, 50, 0, 75, 0, 0, 0, 0, 0, 100, 100, 0, 75, 0, 0, 0, 100, 0]",75.0,"[100, 100, 0, 100]",100.0,100.0,0.0,100.0,86.66666666666667,100.0,100.0,100.0,60.0,12.5,"[0.0, 25.0]",50.0,0.0,0.0,0.0,77.88493377483444,86.66666666666667,60.0,3.958333333333333,100.0,114.56953642384107,80.0,100.0,0.0,"[0, 0]",100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,,,68.18181818181819,"[100, 100, 100, nan, 100, 100, 100, 100, 0, 0, 0, 100, 100, 0, 0, 100, 100, nan, 100, 100, 0, nan, 100, 100, 0, nan, nan]",68.18181818181819,,40.0,200.0,80.0
UGA_007204,Wakiso HC IV,South Central,Wakiso District,PRIMARY,HEALTH CENTRE,,MINISTRY OF HEALTH (GOVERNMENT),,PERIURBAN,BOTH OUT AND INPATIENT,PRIMARY,104500,100,100,100,100,100,61.05555555555556,52.666666666666664,"[50.0, 70.0, 60.0, 50.0, 60.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0]",69.44444444444444,"[100, 100, 50, 100, 0, 100, 0, 0, 0, 100, 100, 100, 100, 50, 100, 0, 100, 0, 100, 100, 100, 100, 100, 0, 0, 100, 0, 100, 75, 50, 100, 100, 100, 100, 0, 0, 100, 100, 100, 100, 100, 100, 100, 100, 0]",75.0,"[0, 100, 100, 100]",0.0,100.0,100.0,100.0,66.66666666666667,100.0,,100.0,0.0,0.0,"[0.0, 0.0, 0.0]",0.0,0.0,0.0,0.0,68.33549743960462,66.66666666666667,47.05882352941176,52.5,60.0,92.12299188115392,100.0,60.0,0.0,"[0, 0, 0]",100.0,85.71428571428571,100.0,100.0,100.0,100.0,100.0,0.0,50.0,0.0,100.0,70.37037037037037,"[100, 100, 100, 0, 100, 100, 100, 100, 100, 0, 100, 100, 100, 0, 100, 100, 100, 0, 0, 100, 0, 0, 0, 100, 100, 100, 100]",70.37037037037037,,,19.0,999.0
UGA_005609,Oburin HC II,Teso,Serere District,PRIMARY,HEALTH CENTRE,,MINISTRY OF HEALTH (GOVERNMENT),,RURAL,BOTH OUT AND INPATIENT,PRIMARY,17180,100,100,100,100,100,94.44444444444444,100.0,"[100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0]",88.88888888888889,"[100, 100, 100, 100, 100, 100, 100, 100, 0]",75.0,"[100, 100, 0, 100]",100.0,100.0,0.0,100.0,100.0,100.0,,100.0,100.0,25.0,[25.0],100.0,0.0,0.0,0.0,71.22263993316626,100.0,83.33333333333334,43.0,60.0,101.00250626566417,,40.0,0.0,[0],83.33333333333334,71.42857142857143,100.0,0.0,100.0,100.0,100.0,100.0,,,,37.03703703703704,"[100, 100, 100, 0, 100, 100, 100, 100, 0, 0, 0, 0, 0, 0, 0, 100, 0, 0, 0, 100, 0, 0, 0, 100, 0, 0, 0]",37.03703703703704,,50.0,24.0,12.0
